資料集名稱,檔案格式,下載連結,資料集類型,資料集描述,主要欄位說明,資料集提供機關,更新頻率,授權方式,授權說明網址,計費方式,編碼格式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,備註
"行政院重大政策","xml","http://www.ey.gov.tw/Rss_News.aspx?n=3D06E532B0D8316C","rawData","提供行政院重大政策之訊息。","「主題」、「日期」、「連結」、「內容」。","行政院","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","洪先生","02-33568122",""
"深溝水源生態園區介紹","xml","http://www.water.gov.tw/opendata/tai_08water/waterpark_z8.xml","rawData","本資料集主要提供台灣自來水公司深溝水源生態園區介紹","主要欄位有「簡介」、「電話」、「地址」、「開放時間」。","台灣自來水股份有限公司","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","吳先生","04-22244191#602",""
"用電統計資料","txt","http://data.taipower.com.tw/opendata/apply/file/d003001/001.zip","rawData","歷年售電量、歷年行業別用電、歷年平均電價、歷年用戶數","主要欄位有「電燈售電量」、「電力售電量」、「各行業別用電」、「電燈平均電價」、「電力平均電價」、「電燈用戶數」、「電力用戶數」、「電燈非營業用戶數」、「電燈營業用戶數」","台灣電力股份有限公司","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";BIG-5","王先生","02-23666484",""
"台電服務據點相關資訊","csv","http://data.taipower.com.tw/opendata/apply/file/d007001/001.csv","rawData","台電服務據點相關資訊","台電服務據點地址、電話","台灣電力股份有限公司","有異動時","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","王先生","02-23666671",""
"機車使用狀況調查資料","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201306211102180.zip&filedisplay=%E6%A9%9F%E8%BB%8A%E4%BD%BF%E7%94%A8%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","臺閩地區機車之持有、使用、通（勤）學、支出、違規與事故情形。","性別、年齡、教育程度、年底是否還在使用、何時才開始不使用及不使用原因、不使用機車後最常使用的運具、預計再使用年數、機車淘汰後預計會購買之機車類型、機車行照有無逾期及未去換發行照之理由、已行駛公里數、每公升汽油可行駛里程數（燃油效率）、平常出門最常乘載人數、通常每星期使用天數、通常使用天數中平均每天行駛時間及里程數、機車主要用途、不同用途之每星期使用天數、每天使用次數、每次行駛時間及里程數、通勤(學)使用機車之原因、機車做通勤(學)用時作為轉搭乘其他交通工具情形、平常在工作（上學）地點最常停放的位置、每星期耗用汽油費、平均每月花費停車費、全年保養維修費用、騎乘機車有沒有違規過及較常違規之項目、發生道路交通事故總次數及因違規行為引發事故之次數、親自到監理處所(站)辦理有關機車考照、換照及其他手續、對整體服務態度及品質滿意程度情形、機車使用縣市最需要增闢之機車硬體措施、實施何種機車管理措施會改用公共運輸工具。","交通部","每2年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","呂小姐","02-23492711",""
"民眾日常使用運具狀況調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201309161154570.zip&filedisplay=101%E5%B9%B4%E6%B0%91%E7%9C%BE%E6%97%A5%E5%B8%B8%E4%BD%BF%E7%94%A8%E9%81%8B%E5%85%B7%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","各縣市民眾平常日使用運具之情形、民眾未使用公共運輸工具之原因、民眾使用公共運輸工具之滿意度及不滿意的原因。","性別、年齡、教育程度、外出較常使用運具、外出最常使用運具、昨天有沒有外出、昨天一整天外出所從事的每一個活動目的、地點、使用運具及花費時間、民眾未使用公共運輸工具之原因、民眾使用公共運輸工具之滿意度及不滿意的原因。","交通部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","許小姐","02-23492712",""
"小客貨車租賃業營運狀況調查資料","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201308061439500.zip&filedisplay=%E5%B0%8F%E5%AE%A2%E8%B2%A8%E8%BB%8A%E7%A7%9F%E8%B3%83%E7%87%9F%E9%81%8B%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","臺閩地區小客貨車租賃業公司基本資料、經營短租、長租營運狀況、出租車輛行駛、保險、違規及肇事狀況、對相關措施之意見及未來展望。","公司經營項目、經營期間、租期型態、營業車輛數、靠行車輛數及平均每輛每月靠行費、員工總人數、支薪司機人數、平均每位司機每月薪資、平均每天營業時間、與其他相關產業業者策略聯盟、在交通場站租設專櫃之營業額比例、短租主要租車人之性別、年齡、客戶來源、租車用途、較常租車天數、平常日與例假日短租車輛出租率、短租車輛平常保養維修費、租車人未將車輛歸還之車輛數、提供或代僱司機服務之比例、每輛租賃小客貨車出租1天之平均收費、平均每輛短租車之租金收入、短租收入與上年比較、最主要之長租客戶、每次租期、租車用途、租購者所占比例、平均每輛長租車之租金收入、長租收入與上年比較、長租收入占總收入之比率、全年整體營運收入與上年比較、營業車輛投保種類、平均每輛營業車輛之保險費、所有出租車輛違規被照相逕行舉發件數、使用交通部核定之「小客車租賃定型化契約範本」情形、業者認為同業間利用自用車變相經營租賃車業務、非小客貨車租賃業者違法經營小客貨車租賃業務情形。","交通部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","呂小姐","02-23492711",""
"自用小客車使用狀況調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201311080848420.zip&filedisplay=%E8%87%AA%E7%94%A8%E5%B0%8F%E5%AE%A2%E8%BB%8A%E4%BD%BF%E7%94%A8%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5%28101%E5%B9%B4%E5%BA%A6%29.zip&flag=doc","rawData","臺閩地區自用小客車車輛之使用、通勤(學)、支出情形。","使用屬性、排檔系統、使用燃料、購買情形、府上擁有幾輛自用小客車、已行駛公里數、燃油效率、乘坐人數、收聽廣播電臺情形、發生交通事故情形、每星期使用天數、一天行駛時間、使用小客車最主要用途及其使用頻率、車輛在居家附近停放位置、尋找停車位時間、平均每月停車費、車輛在工作(上學)地點附近停放位置、每次尋找停車位時間、平均每月花費於工作(上學)地點附近之停車費、未來3年內通勤(學)時是否會考慮完全使用公共運輸工具來代替汽車、購車貸款及利息、全年保養維修費及保險費、平均每月油費、清潔費、行駛高速公路之通行費、性別、年齡、教育程度、就業情形、是否有兼用交通工具、主要使用縣市等。","交通部","每兩年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","葉先生","02-23492713",""
"98年自行車使用狀況調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201308061447270.zip&filedisplay=%E8%87%AA%E8%A1%8C%E8%BB%8A%E4%BD%BF%E7%94%A8%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","臺灣地區民眾使用自行車的型態、對自行車騎乘規範的認知程度，以及對市區內設置自行車專用道的看法。","自行車的使用型態、騎自行車通勤(學)的潛在需求、對自行車行車安全的看法、對自行車專用道的看法、估算預計購買新單車的花費及平均每人有幾輛自行車、受訪者基本資料。","交通部","一次性","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","段小姐","02-23492719",""
"汽車貨運調查","txt","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201309141435230.zip&filedisplay=%E6%B1%BD%E8%BB%8A%E8%B2%A8%E9%81%8B%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","本調查主要係定期蒐集臺灣地區利用汽車貨運方式運送商品之流向、流量及運費資料，以供編製全國性及地區性產業關表之重要參據，並了解現行汽車貨運主要運送商品之種類、運量及運費率等數據。","調查日期、商品編號、起點、迄點、單程區間公里、行車總次數、迄點之裝卸貨總重量、貨櫃個數、貨櫃20呎當量、商品來源別。","交通部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","黃小姐","02-23492715",""
"民眾對交通部施政措施滿意度調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201309021139230.zip&filedisplay=%E6%B0%91%E7%9C%BE%E5%B0%8D%E4%BA%A4%E9%80%9A%E9%83%A8%E6%96%BD%E6%94%BF%E6%8E%AA%E6%96%BD%E6%BB%BF%E6%84%8F%E5%BA%A6%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","民眾對交通各業之滿意度及對交通施政措施之看法","民眾對郵政、民用航空(不含桃園國際機場)、桃園國際機場、公路監理、臺鐵、高速公路、觀光、氣象等業務之接觸情形、對各項服務的滿意度、整體滿意度及評價，以及對交通部施政措施之看法，受訪者基本資料。","交通部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","段小姐","02-23492719",""
"計程車營運狀況調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201309021140490.zip&filedisplay=%E8%A8%88%E7%A8%8B%E8%BB%8A%E7%87%9F%E9%81%8B%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","臺閩地區計程車之持有管理、使用、收支情形。","性別、年齡、教育程度、駕駛計程車年資、選擇開計程車之最主要原因、居住縣市、主要營業縣市、專職或兼職、使用燃料、經營型態、計費方式、載客方式、車主購買當時為新車或二手車、已行駛公里數、每天行駛公里數、每月放假天數、主要營業時段、每天營業時數、每天空車時數、每天空繞行駛里程、每天載客趟數、燃油效率、交通事故情形、幾年後汰舊換新、有無每月提撥定額換車基金、有無考慮停開計程車、有無加入無線電或衛星派遣車隊、有無提供乘客車資折扣、乘客車資折扣負擔比例、不加入派遣車隊之原因、購買情形、廣告物設置情形、每天燃料支出、全年保養維修費、保險種類、全年保險費、每月管理（服務）費用、每月停車費、每天營業總收入。","交通部","每兩年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","葉先生","02-23492713",""
"遊覽車營運狀況調查","csv","http://event.motc.gov.tw/uploaddowndoc?file=opendata/201309021141470.zip&filedisplay=%E9%81%8A%E8%A6%BD%E8%BB%8A%E7%87%9F%E9%81%8B%E7%8B%80%E6%B3%81%E8%AA%BF%E6%9F%A5.zip&flag=doc","rawData","遊覽車之基本資料、行駛里程及能源使用情況、車輛保養及維修費用、車輛營運狀況、配屬人員基本資料、公司基本資料、營運狀況與未來展望及對政府採取之輔導管理措施等之意見。","(1)車輛表：遊覽車基本資料、駕駛員年齡、教育程度、從事遊覽車駕駛年數、已服務年資、平均每月本(底)薪、獎金及額外收入、使用燃油種類、每公升柴(汽)油可行駛里程數及全年行駛里程數、經營型態、行駛日數、全年營運總(淨)收入、行駛總次數、平均每次載客人數及事故情形、有無考慮停開遊覽車及原因、判定遊覽車好壞的最主要考量因素。  (2)公司表：公司經營車隊組成、員工人數及司機短缺情形、營運收入較上年成長衰退之幅度及原因、預期營運收入、有無增車計畫、是否與相關產業結合進行促銷、平均一天所出車輛占總營運車輛的比例、業者認為政府推動之施政措施中，有那些對改善遊覽車之行車品質及預防交通事故較有幫助、安全考核及服務品質評鑑是否會促使業者更重視行車安全。","交通部","每兩年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","呂小姐","02-23492711",""
"高速公路延車公里統計","csv","http://www.freeway.gov.tw/UserFiles/File/opendata%E6%AD%B7%E5%B9%B4MVK.csv","rawData","提供民眾查詢歷年高速公路延車公里統計資料","年度別,百萬車公里","交通部臺灣區國道高速公路局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","歐小姐","02-29096141#2332",""
" 高速公路局各服務區顧客服務專線一覽表","csv","http://www.freeway.gov.tw/Publish.aspx?cnid=69&p=4588","rawData","本資料集主要提供高速公路局各服務區客服資訊","主要欄位有「單位名稱」、「管理單位」、「電話」、「客服信箱」、「經營廠商」、「客服電話」、「客服信箱」。","交通部臺灣區國道高速公路局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","丁小姐","02-29096141#2429",""
"國內定期航線月份班表","csv","http://www.caa.gov.tw/big5/timesheet/index.asp?","rawData","提供民眾搭乘國內定期航線班機時刻表","航線、航空公司、班次、離場時間、到場時間、飛行日期、機型","交通部民用航空局","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","呂先生","02-23496042",""
"預報-縣市天氣預報","xml","http://www.cwb.gov.tw/opendata/forecast/wf36hrC.xml","rawData","提供全臺22縣市之今明天氣預報","縣市名稱、發布時間、起始時間、結束時間、時間描述、舒適度、天氣狀況、降雨機率、最高溫、最低溫","交通部中央氣象局","每6小時更新資料，一天共發布4次預報","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","賴先生","02-23491440",""
"地震報告","txt","http://www.cwb.gov.tw/opendata/earthquake/EC.txt","rawData","有編號地震報告","地震編號、地震日期、地震時間、地震位置、地震深度、地震規模、縣市名稱、縣市最大震度、測站、測站名稱、震度","交通部中央氣象局","有感地震發生時","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";Big5","蕭先生","02-23491350",""
"100年世界前10名國際機場之客運量排名與成長率","csv","http://www.iot.gov.tw/public/Data/39215194171.csv","rawData","本資料集主要提供民眾國際機場之客運量排名資訊","機場別、進出旅客人次、排  名、成長率","交通部運輸研究所","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","林小姐","02-23496847",""
"100年世界前10大國際機場之貨運量、排名與成長率","csv","http://www.iot.gov.tw/public/Data/39215192171.csv","rawData","本資料集主要提供民眾國際機場之貨運量排名資訊","機場別、進出貨物噸數、排  名、成長率","交通部運輸研究所","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","林小姐","02-23496847",""
"其他部分國家高速鐵路長度比較表","csv","http://www.iot.gov.tw/public/Data/39215195971.csv","rawData","本資料集主要提供民眾部分國家高速鐵路資訊","國別、高速鐵路長度、高速鐵路密度 ","交通部運輸研究所","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","林小姐","02-23496847",""
"其他部分國家鐵路長度比較表","csv","http://www.iot.gov.tw/public/Data/39215202071.csv","rawData","本資料集主要提供民眾部分國家鐵路資訊","國別、鐵路名稱、營業公里、電化區間、鐵路密度、電化比例","交通部運輸研究所","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","林小姐","02-23496847",""
"臺灣桃園國際機場聯外捷運系統路線資料","csv","http://www.hsr.gov.tw/homepage.nsf/5570525aaf0566824825739d000a2023/e2e7609c68fe6cdc48257b940024cc0f!OpenDocument","rawData","臺灣桃園國際機場聯外捷運系統路線空間及屬性資料","結構類型、站間里程、連續里程、座標N值、座標E值、高程(m)","交通部高速鐵路工程局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","房先生","02-80723333#8261",""
"道路(橋梁)預警性封閉","xml","http://thb-gis.thb.gov.tw/Normaltemp.aspx?U=thb","rawData","主要內容為即時道路(橋梁)預警性封閉訊息。","封閉地點、預計封閉時間、開放時間、道路別及管制措施。","交通部公路總局","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-23113456#6620","資料係屬及時性資料，若無天然災害影響路況，將無相關資料提供。"
"客運時刻","csv","http://www.taiwanbus.tw/TimeTableExport/timetable.csv","rawData","提供民眾查詢路線靜態時刻表。","客運業者,路線編號,支線,往返,路線名稱,站名,班次序,發車時間,星期一,星期二,星期三,星期四,星期五,星期六,星期日,開班日期(起),開班日期(迄)。","交通部公路總局","每周","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","潘先生","02-23113456#2231",""
"道路(橋梁)災害性封閉","xml","http://thb-gis.thb.gov.tw/NonOpenEventList.aspx?U=thb","rawData","主要內容為即時道路(橋梁)災害性封閉訊息。","路線樁號、受損狀況、災害發生時間、預計搶通時間及交通影響情形。","交通部公路總局","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","陳先生","02-23113456#6620","資料係屬及時性資料，若無天然災害影響路況，將無相關資料提供。"
"全國大客車禁行路段","kmz","http://www.thb.gov.tw/TM/Files/Webpage/201311/01_%E5%A4%A7%E5%AE%A2%E8%BB%8A%E7%A6%81%E8%A1%8C%E8%B7%AF%E6%AE%B51030.zip","rawData","本資料集主要提供全國省、縣、鄉道大客車禁行路段資料。","主要欄位有縣市別、鄉鎮市區、路線路名、路線樁號及起迄地名、管制通行措施、路況概述、提報單位及備註等。  							  ","交通部公路總局","視各單位提報狀況","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","郭小姐","02-23113456#6122",""
"全國大客車禁行路段","csv","http://www.thb.gov.tw/TM/Files/Webpage/201311/20_%E5%85%A8%E5%9C%8B%E5%A4%A7%E5%AE%A2%E8%BB%8A%E7%A6%81%E8%A1%8C%E8%B7%AF%E6%AE%B5.csv","rawData","本資料集主要提供全國省、縣、鄉道大客車禁行路段資料。","主要欄位有縣市別、鄉鎮市區、路線路名、路線樁號及起迄地名、管制通行措施、路況概述、提報單位及備註等。  							  ","交通部公路總局","視各單位提報狀況","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","郭小姐","02-23113456#6122",""
"鐵路時刻表","xml","http://163.29.3.98/XML/","rawData","鐵路客車時刻資料包括西部幹線對逆行、西部幹線順行、東部幹線對逆行、東部幹線順行、南迴線逆行、 南迴線順行客運列車行車時刻","日期、列車車次、列車種類、車次行駛路線、行駛 山、海線或無經過、列車行駛方向、跨夜車站代號、殘障車、辦理托運、餐車、火車狀態、備註","交通部臺灣鐵路管理局資訊中心","每日","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","李先生","02-23815226#3137","本資料集由45個檔案組成，每一個檔案存放一天的資料，提供最近45天之列車班次。"
"3+2碼郵遞區號","txt","http://download.post.gov.tw/post/download/Zip32_UTF8_10208.txt","rawData","本資料集主要提供3+2郵遞區號資料","Zip Code(區域號碼)、City(縣、市名)、Area(鄉、鎮、市及區名)、Road(街、路段巷名)及	Scope(號弄名)","中華郵政股份有限公司","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","中先生","0800-700-365",""
"縣市鄉鎮中英對照檔","csv","http://download.post.gov.tw/post/download/county_h.csv","rawData","中華郵政公司郵務業務相關資訊，主要提供縣市鄉鎮中英對照Excel檔(漢語拼音,csv檔)","3碼區域號碼、縣市鄉鎮中文名、縣市鄉鎮英文名","中華郵政股份有限公司","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";Big5","中先生","0800-700-365",""
"中華郵政全國營業據點","txt","http://download.post.gov.tw/post/download/Post_All_1020924.txt","rawData","中華郵政公司郵務業務相關資訊","郵遞區號、電腦局號、郵務局號、局名、電腦局名、地址、郵務電話、儲匯電話","中華郵政股份有限公司","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";Big5","中先生","0800-700-365",""
"全國郵局ATM分佈","csv","http://download.post.gov.tw/post/download/post_atm_location.csv","rawData","中華郵政公司郵務業務相關資訊","縣市、鄉鎮市區、儲匯局號、局名、聯絡電話、郵局地址、經度、緯度、自動櫃員機、自動櫃員存提款機、 自動補摺機、自動櫃員提款機、是否為局外ATM","中華郵政股份有限公司","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";Big5","中先生","0800-700-365",""
"台灣桃園國際機場無線上網熱點位置","csv","http://www.taoyuan-airport.com/uploads/20130606/Taoyuanairport_Wireless_List.csv","rawData","本資料集提供台灣桃園國際機場無線上網熱點位置資訊。","主要欄位有「項次」與「AP位置」。  ","桃園國際機場股份有限公司","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","李先生","03-3982543",""
"金廈(東渡、五通)及石井航線航班表","csv","http://www.motcmpb.gov.tw/files/attach/attfile3.2.5.9.csv","rawData","交通部航港局客輪船期資料，主要內容為金門地區小三通之航班資訊。","小三通船班時刻表、金門--->東渡/五通/石井、日期、開航時間、金門地區訂位電話","交通部航港局","不定期(航班異動時更新)","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","游先生","02-89782782",""
"兩馬小三通航班表","csv","http://www.motcmpb.gov.tw/files/attach/attfile3.2.6.1.csv","rawData","交通部航港局客輪船期資料，主要內容為馬祖地區小三通之航班資訊。","兩馬小三通航班表、日期、船舶、馬祖→馬尾、馬尾→馬祖、開航時間、抵達時間","交通部航港局","不定期(航班異動時更新)","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","游先生","02-89782782",""
"基隆港國際線旅客船船期表","csv","http://www.klhb.gov.tw/Html/H13/國際線旅客船船期表.csv","rawData","基隆港國際線旅客船船期表","日期、星期、船名、靠泊碼頭、靠船時間、開船時間","臺灣港務股份有限公司","每月更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";big5","高先生","02-24206422",""
"高雄港郵輪船期","csv","http://www.khb.gov.tw/AutoHtml/39/1077/103_Cruise.csv","rawData","郵輪船期","船次、船名、船舶總噸、碼頭、進港時間、出港時間、前一港、後一港、船務公司、狀況、備註","臺灣港務股份有限公司高雄港務分公司","隨時更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";big5","陳先生","07-5622653","更新103年船期"
"花蓮港務分公司觀光郵輪各航次進出港預報表","csv","http://www.hlhb.gov.tw/chinese/installation/102_Cruise.csv","rawData","花蓮港務分公司觀光郵輪各航次進出港預報","「船名」、「靠泊碼頭」、「進港日期」、「進港時間」、「出港日期」、「出港時間」、「船務公司」","臺灣港務股份有限公司花蓮港務分公司","船期異動","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","游先生","03-8325131#2515",""
"蒙藏委員會補助團體私人情形季報表","xml","http://www.mtac.gov.tw/pages/283/1020221001.xml","rawData","蒙藏委員會補助團體私人情形季報表","補助對象、補助事項或用途、補助金額、核准日期","蒙藏委員會","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙藏用語對照表","xml","http://www.mtac.gov.tw/pages/283/1020313001.zip","rawData","蒙藏用語對照表","類別、蒙文、藏文、英文譯名、中文譯名","蒙藏委員會","半年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"西藏統計資料","xml","http://www.mtac.gov.tw/pages/283/1020221003.xml","rawData","大陸藏族聚居區人口分布表  西藏自治區及西藏流亡組織重要人事資料  國外藏族人口分布情形  在臺藏胞及居留藏人人口數","戶數、人口數","蒙藏委員會","半年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙古統計資料","xml","http://www.mtac.gov.tw/pages/283/1020221004.xml","rawData","在臺蒙胞人口數統計表  蒙古國基本資料","戶數、人口數","蒙藏委員會","半年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙藏委員會性別主流化訓練統計表","xml","http://www.mtac.gov.tw/pages/283/1020221005.xml","rawData","蒙藏委員會性別主流化訓練統計表","序號、參加人數、性別、性別主流化類訓練名稱、日期、總時數、主辦機關","蒙藏委員會","1年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙古檢察官司法研習班統計表","csv","http://www.mtac.gov.tw/pages/283/1021030016.csv","rawData","蒙古檢察官司法研習班統計表"," 主要欄位有「年度」、「人次」","蒙藏委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙古法官司法研習班統計表","csv","http://www.mtac.gov.tw/pages/283/1021030017.csv","rawData","蒙古法官司法研習班統計表","主要欄位有「年度」、「人次」","蒙藏委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙古警察警政研習班統計表","csv","http://www.mtac.gov.tw/pages/283/1021030018.csv","rawData","蒙古警察警政研習班統計表","主要欄位有「年度」、「人次」","蒙藏委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙藏文物展覽參觀人數統計表","csv","http://www.mtac.gov.tw/pages/283/1021030019.csv","rawData","蒙藏文物展覽參觀人數統計表","主要欄位有「日期」、「展覽地點」、「參觀人數」","蒙藏委員會","每半年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙藏籍學生蒙藏語文班上課人數統計表","csv","http://www.mtac.gov.tw/pages/283/1021030020.csv","rawData","蒙藏籍學生蒙藏語文班上課人數統計表","主要欄位有「班別」、「學生人數」","蒙藏委員會","半年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙藏文化中心臉書瀏覽人數統計表","csv","http://www.mtac.gov.tw/pages/283/1021030021.csv","rawData","蒙藏文化中心臉書瀏覽人數統計表","主要欄位有「時間」、「蒙藏委員會蒙藏文化中心粉絲人數」","蒙藏委員會","半年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙藏委員會性別年齡統計表","csv","http://www.mtac.gov.tw/pages/283/1021030022.csv","rawData","蒙藏委員會性別年齡統計表","主要欄位有「人數」、「年齡別」","蒙藏委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"最新蒙藏重要訊息","csv","http://www.mtac.gov.tw/pages/283/1021030023.csv","rawData","最新蒙藏重要訊息","主要欄位有「地 區」、「類 別」、「內容摘要」","蒙藏委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","蕭先生","02-23566461",""
"海外華人僑團統計","csv","http://www.ocac.gov.tw/public/DownFile/File_24815.csv","rawData","現階段僑務政策，以輔助海外僑團推展各項活動，促進團結合作，並加強聯繫與服務為主要工作重點之一；本資料集主要內容包括歷年及各洲僑團數等2大類資料。","年別、洲別","僑務委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","江小姐","02-23272789",""
"海外華文學校、中文班分布情形","csv","http://www.ocac.gov.tw/public/DownFile/File_24816.csv","rawData","早期華人移民海外，為傳承母國文化，紛紛在當地設立學校。本會為扶植海外僑校之發展，在教材、經費、師資等各方面給予協助；本資料集主要內容包括歷年及各洲華文學校、中文班及臺灣學校人數等4大類資料。","校別、洲別","僑務委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","江小姐","02-23272789",""
"海外信用保證基金承保案件統計","csv","http://www.ocac.gov.tw/public/DownFile/File_24819.csv","rawData","配合政府輔導台商赴海外投資之政策，對經濟部核准或核備在國外設立之台商企業提供信用保證業務；本資料集內容包括歷年僑民創業貸款、僑營事業貸款、融資金額及保證金額等4大類資料。","年別、僑民創業貸款、僑營事業貸款、融資金額、保證金額","僑務委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","江小姐","02-23272789",""
