製造廠名稱,製造廠地址,登錄號碼,登錄品項,是否在3年有效期間內,有效期限
"台富製藥股份有限公司","桃園縣大園鄉和平西路一段391號","GMP0353","梅毒螺旋體螺旋體試劑","Y","2018-01-05"
"台富製藥股份有限公司","桃園縣大園鄉和平西路一段391號","GMP0353","梅毒螺旋體螺旋體試劑","Y","2018-01-05"
"台富製藥股份有限公司","桃園縣大園鄉和平西路一段391號","GMP0353","梅毒螺旋體螺旋體試劑","Y","2018-01-05"
"台富製藥股份有限公司","桃園縣大園鄉和平西路一段391號","GMP0353","低離子聚合試劑等4項。","Y","2018-01-05"
"台富製藥股份有限公司","桃園縣大園鄉和平西路一段391號","GMP0353","低離子聚合試劑等4項。","Y","2018-01-05"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","疼痛舒緩用經皮神經電刺激器","Y","2020-01-18"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","手動緊急呼吸器","Y","2020-01-18"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","動力式熱敷墊","Y","2020-01-18"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","胎兒真空吸取器","Y","2020-01-18"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","胃腸管及其附件","Y","2020-01-18"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","導入/引流導管及其附件(滅菌)","Y","2020-01-18"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","微量噴霧加藥杯組","Y","2020-01-18"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","口咽氣道管(滅菌)","Y","2020-01-18"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","鼻咽氣道管(滅菌)","Y","2020-01-18"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","傷口引流球(滅菌)","Y","2020-01-18"
"貝斯美德股份有限公司","新北市五股區五工二路116巷5號","GMP0791","動力式扣敲器","Y","2020-01-18"
"光星骨科復健器材股份有限公司二廠","台中市神岡區豐洲路1096、1102號","GMP0232","醫療用手杖","Y","2020-04-22"
"光星骨科復健器材股份有限公司二廠","台中市神岡區豐洲路1096、1102號","GMP0232","醫療用柺杖","Y","2020-04-22"
"光星骨科復健器材股份有限公司二廠","台中市神岡區豐洲路1096、1102號","GMP0232","機械式助行器","Y","2020-04-22"
"光星骨科復健器材股份有限公司二廠","台中市神岡區豐洲路1096、1102號","GMP0232","機械椅","Y","2020-04-22"
"聿新生物科技股份有限公司新竹科學園區分公司一廠","新竹市東區科學工業園區工業東四路18號1樓","GMP1075","水性創傷及燒傷覆蓋材(滅菌)","Y","2020-04-22"
"禾研科技股份有限公司","南部科學工業園區高雄市路竹區路科二路55號4樓","GMP1085","血液透析系統","Y","2020-05-27"
"達楷生醫科技股份有限公司","桃園市中壢區內定里定安路1號7樓","GMP1095","心電圖描記器","Y","2020-07-15"
"博通生技股份有限公司","桃園市中壢區西園路91號1、2樓","GMP1098","葡萄糖試驗系統(血糖機、血糖試片)","Y","2020-07-14"
"綠能奈米科技有限公司","新北市三重區重新路五段609巷20號8樓","GMP1097","非動力式治療床墊","Y","2020-07-14"
"綠能奈米科技有限公司","新北市三重區重新路五段609巷20號8樓","GMP1097","醫療用的冷熱敷墊","Y","2020-07-14"
"綠能奈米科技有限公司","新北市三重區重新路五段609巷20號8樓","GMP1097","醫用輔助襪","Y","2020-07-14"
"鴻祥科技股份有限公司","台南市安南區安和路一段496巷53號","GMP0686","超音波透熱治療儀","Y","2020-08-10"
"鴻祥科技股份有限公司","台南市安南區安和路一段496巷53號","GMP0686","疼痛舒緩用經皮神經電刺激器","Y","2020-08-10"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","氦氖雷射","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","傷口引流管(含穿刺針)(滅菌)","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","傷口引流球(含固定夾)(滅菌)","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","體外引流穿引針(滅菌)","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","腦室導管(滅菌)","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","腹腔導管","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","腰椎導管","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","腦室腹腔分流術貯水閥","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","顱內廢液引流系統","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","顱內壓力引流導管","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","顱內廢液引流袋","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","藥物注射閥","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","腦室腹腔分流術導管組","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","脊椎固定器-骨板","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","脊椎固定器-骨釘","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","脊椎固定器-索線","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","脊椎固定器-管鋏","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","脊椎固定環","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","氦氖雷射附件-光針(滅菌)","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","導管接頭","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","鈦棒環夾","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","脊椎固定器-頸椎墊片填充塊","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","脊椎固定器-腰椎墊片填充塊","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","脊椎固定器-骨板墊片填充塊","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","腦室穿刺套(滅菌)","Y","2019-11-19"
"長安儀器有限公司","新北市中和區中山路2段327巷11弄7號5樓","GMP0780","顱骨固定片","Y","2019-11-19"
"麗臺科技股份有限公司","新北市中和區中山路二段327巷11弄2號5樓及4號5樓","GMP0578","自律神經分析儀","Y","2020-04-03"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","人類絨毛膜促性腺激素試驗系統","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","人類絨毛膜促性腺激素試驗試片","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","血氧飽和測定儀","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","心電圖描記器","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","黃體激素試驗系統","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","黃體激素試驗試片","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","血壓壓脈帶","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","血氧濃度計探頭","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","血糖試片","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","臨床電子體溫計","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","葡萄糖試驗系統","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","非侵入性血壓測量系統","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","葡萄糖試驗系統與非侵入性血壓測試系統二合一","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","可測量用運動設備","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","噴霧器","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","糖化血紅素分析儀","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","糖化血紅素分析試劑","Y","2020-06-30"
"泰博科技股份有限公司五股廠","新北市五股區五工二路127號B1-7樓","GMP1099","酮(非定量)試驗系統","Y","2020-06-30"
"應用奈米醫材科技股份有限公司","新竹科學工業園區新竹縣竹北市生醫路二段16號4樓","GMP1100","人工水晶體","Y","2020-06-30"
"應用奈米醫材科技股份有限公司","新竹科學工業園區新竹縣竹北市生醫路二段16號4樓","GMP1100","人工水晶體導引器(滅菌)","Y","2020-06-30"
"優盛醫學科技股份有限公司內湖二廠","台北市內湖區港墘路189號2樓","GMP1101","非侵入性血壓測量系統","Y","2020-08-12"
"優盛醫學科技股份有限公司內湖二廠","台北市內湖區港墘路189號2樓","GMP1101","噴霧治療器","Y","2020-08-12"
"優盛醫學科技股份有限公司內湖二廠","台北市內湖區港墘路189號2樓","GMP1101","血壓壓脈帶","Y","2020-08-12"
"立創生醫科技股份有限公司","桃園市桃園區經國路888號12樓之12","GMP1106","無線電波式生理信號傳輸接收器","Y","2020-08-05"
"亞東創新發展股份有限公司生醫廠","新竹縣湖口鄉和興路30號2樓","GMP0595","液體性繃帶(滅菌)","Y","2020-07-04"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","穿刺套組【導引鞘、擴張器、導引線、穿刺針及刀片（含柄）】","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","血管攝影注射器和注射筒","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","經皮導管用血管擴張器","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","Y型連接器組(Y型連接器、扭力控制器、導引支撐器)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","壓力槍組(壓力槍、Y型連接器、扭力控制器)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","穿刺針","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","導引鞘組(導引鞘、擴張器、導引線、穿刺針、靜脈留置針、注射筒、紗布、護理巾、可鎖式保護套)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","手術衣(滅菌)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","縫線導引器(滅菌)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","熱調節系統","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","心導管包【病患覆蓋巾、洞巾、導引線、穿刺針、多路引流器、導引鞘組(導引鞘、擴張器、穿刺針、導引線)、壓力連接管、高壓力連接管、無菌保護套、紗布、大棉棒、海綿刷（吸收性尖端塗藥器）、手術衣、刀片（含刀柄）、三路活塞、注射針筒、Y型連接器、塑膠鑷子、蚊式鉗、剪刀、膠布、透明薄膜、彎盆、圓盆、擦手紙和護理巾】(滅菌)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","吸收性尖端塗藥器(滅菌)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","心臟血管外科器械(滅菌)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","一般手術用手動式器械(滅菌)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","體外循環管組","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","灌流管組","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","血壓監視組合套","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","無菌保護套","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","壓力連接管","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","多路引流器","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","心肺血管繞道術熱交換機","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","血管攝影準備包【大棉棒、紗布、刀片（含刀柄）、塑膠鑷子、蚊式鉗、剪刀、膠布、海綿刷（吸收性尖端塗藥器）、彎盆、護理巾】(滅菌)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","導引線","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","外科用覆蓋巾","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","血管攝影包【病患覆蓋巾、洞巾、導引線、穿刺針、多路引流器、導引鞘組(導引鞘、擴張器、穿刺針、導引線)、壓力連接管、高壓力連接管、無菌保護套、紗布、大棉棒、海綿刷（吸收性尖端塗藥器）、手術衣、刀片（含刀柄）、三路活塞、注射針筒、Y型連接器、塑膠鑷子、蚊式鉗、剪刀、膠布、透明薄膜、彎盆、圓盆、擦手紙和護理巾】(滅菌)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","外科手術包【手術衣、病患覆蓋巾、洞巾、紗布、大棉棒、海綿刷（吸收性尖端塗藥器）、彎盆、圓盆、擦手紙和護理巾】(滅菌)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","噴射灌洗器(滅菌)","Y","2020-06-13"
"吉生醫療器材有限公司","新北市汐止區康寧街169巷31之1號2樓之1、8樓之1、8樓之2","GMP0825","非充氣式止血帶(滅菌)","Y","2020-06-13"
"城紹科技股份有限公司","桃園縣楊梅市東流里中山南路760號","GMP0850","靜電器(電位治療器)","Y","2020-09-21"
"威欣利實業有限公司","新北市林口區粉寮路一段110號","GMP1108","醫療用衣物-口罩","Y","2020-08-17"
"宸野科技健康股份有限公司","台中市豐原區水源路93號","GMP0589","動力式熱敷墊","Y","2020-06-10"
"中國衛生材料生產中心股份有限公司","彰化縣彰化市福田里彰南路六段424巷21號","GMP0007","縫合針(滅菌)","Y","2020-08-07"
"康健生醫科技股份有限公司","新北市五股區五權五路29號4、5樓","GMP1109","婦產科用腹腔鏡及其附件(滅菌)","Y","2020-08-13"
"康健生醫科技股份有限公司","新北市五股區五權五路29號4、5樓","GMP1109","切割及止血用電刀及其附件","Y","2020-08-13"
"康健生醫科技股份有限公司","新北市五股區五權五路29號4、5樓","GMP1109","皮膚標記用筆(滅菌)","Y","2020-08-13"
"康健生醫科技股份有限公司","新北市五股區五權五路29號4、5樓","GMP1109","腹腔鏡灌入器(滅菌)","Y","2020-08-13"
"康健生醫科技股份有限公司","新北市五股區五權五路29號4、5樓","GMP1109","一般手術用手動式器械(滅菌)","Y","2020-08-13"
"康健生醫科技股份有限公司","新北市五股區五權五路29號4、5樓","GMP1109","外科手術用照相機及其附件(滅菌)","Y","2020-08-13"
"博尚企業有限公司","桃園市中壢區松江南路11-1號","GMP0847","硬式隱形眼鏡保存盒","Y","2020-09-20"
"鐿鈦科技股份有限公司總公司","台中市南屯區精科路9號","GMP1116","平滑或螺紋之金屬類骨固定物","Y","2020-09-15"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","鈉試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","血液樣本收集設備","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","游離甲狀腺素試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","三碘甲狀腺素吸收試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","尿素氮試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","臨床使用的連續流動式多項化學分析儀","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","臨床使用的個別式光度量測化學分析儀","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","臨床使用微量化學分析儀","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","自動尿液分析系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","艾米康絲菌素(藥名)試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","苯重氮基鹽試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","臨床毒物學校正器","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","古柯鹼及其代謝物試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","毛地黃毒素試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","慶大黴素試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","鋰試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","其他(臨床化學及臨床毒理學)","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","染料及化學溶液染料","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","免疫病理組織化學試劑與套組","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","分析特定試劑","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","酵素製劑","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","潛血試驗","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","糖(基)化血紅素分析","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","全血血紅素分析","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","前凝血酵素時間試驗","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","人類乳突瘤病毒血清試劑","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","奈瑟氏菌屬直接血清試劑","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","核醣核酸分析前處理系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","藍胞漿素免疫試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","C反應蛋白免疫試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","鐵蛋白免疫試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","免疫球蛋白A，G，M，D及E免疫試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","低密度脂蛋白免疫試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","β-2-微球蛋白免疫試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","甲狀腺自體抗體免疫試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","腫瘤相關抗原免疫試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","麻醉傳輸穿刺針","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","導管導引線","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","其他(心臟血管醫學)","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","尿液收集器及其附件","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","酒精棉片","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","外部使用非吸收式紗布或海綿球","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","親水性創傷覆蓋材","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","閉合用傷口/燒燙傷敷料","Y","2020-06-28"
"泓傑企業股份有限公司","南投縣竹山鎮中和里前山路二段47之11號","GMP0069","抹片棒(刷)","Y","2020-05-08"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","水性創傷與燒傷覆蓋材","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","疤痕處理矽膠產品","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","手術用手套","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","一般手術用手動式器械","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","一般外科、整形外科及皮膚科用雷射儀","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","靜脈輸液用容器","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","液體性繃帶","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","血管內導管","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","血管內導管固定裝置","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","醫療用黏性膠帶及黏性繃帶","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","皮下單腔針","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","輸液幫浦","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","活塞式注射筒","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","真空動力式體液吸收器具","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","促腎上腺皮質荷爾蒙試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","白蛋白試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","鹼性磷酸酶或同功酶試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","澱粉酶試驗系統","Y","2020-06-28"
"裕利股份有限公司","桃園市大園區和平里1鄰開和路91號","GMP0833","鈣試驗系統","Y","2020-06-28"
"惠生生醫科技股份有限公司","屏東縣新園鄉新園村媽祖路407巷1弄3號","GMP1122","凝膠床墊","Y","2020-10-21"
"惠生生醫科技股份有限公司","屏東縣新園鄉新園村媽祖路407巷1弄3號","GMP1122","凝膠座墊","Y","2020-10-21"
"泓傑企業股份有限公司","南投縣竹山鎮中和里前山路二段47之11號","GMP0069","醫療用吸收纖維(滅菌)","Y","2020-05-08"
"皇亮生醫科技股份有限公司","高雄市路竹區路科二路55號1樓","GMP0841","骨內植體用牙橋","Y","2020-08-10"
"佑合企業股份有限公司","彰化縣鹿港鎮海明街201巷20號","GMP0593","親水性創傷覆蓋材(滅菌)","Y","2020-06-24"
"佑合企業股份有限公司","彰化縣鹿港鎮海明街201巷20號","GMP0593","醫療用黏性膠帶及黏性繃帶(滅菌)","Y","2020-06-24"
"佑合企業股份有限公司","彰化縣鹿港鎮海明街201巷20號","GMP0593","體內用不被吸收紗布(滅菌)","Y","2020-06-24"
"廣達電腦股份有限公司華亞醫材廠","桃園市龜山區文化里文化二路188號4樓","GMP1126","心電圖描記器","Y","2020-11-03"
"振朋生技股份有限公司","桃園市龜山區嶺頂里萬壽路二段353號3樓","GMP1128","水性創傷與燒傷覆蓋材","Y","2020-11-03"
"台塑生醫科技股份有限公司宜蘭廠","宜蘭縣礁溪鄉龍潭村龍泉路3號","GMP0560","糞便潛血及運鐵蛋白二合一品管液組","Y","2020-11-09"
"台塑生醫科技股份有限公司宜蘭廠","宜蘭縣礁溪鄉龍潭村龍泉路3號","GMP0560","瘧疾抗原二合一快檢試劑","Y","2020-11-09"
"台塑生醫科技股份有限公司宜蘭廠","宜蘭縣礁溪鄉龍潭村龍泉路3號","GMP0560","梅毒螺旋體螺旋體試劑","Y","2020-11-09"
"台塑生醫科技股份有限公司宜蘭廠","宜蘭縣礁溪鄉龍潭村龍泉路3號","GMP0560","愛滋病抗體快檢試劑","Y","2020-11-09"
"台塑生醫科技股份有限公司宜蘭廠","宜蘭縣礁溪鄉龍潭村龍泉路3號","GMP0560","C型肝炎抗體快檢試劑","Y","2020-11-09"
"泓傑企業股份有限公司","南投縣竹山鎮中和里前山路二段47之11號","GMP0069","衛生套","Y","2020-05-08"
