試驗藥品監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
"Clarithromycin tab 250mg","達康","衛署藥製 045188","","Y","","910924","Klaricid tab 250mg","Abbott","UK"
"Clarithromycin tab 250mg","寶齡富錦","衛署藥製 047968","","","Y","941221","Klarith tab 500mg","寶齡富錦","Taiwan"
"Clarithromycin tab 250mg","永信","衛署藥製 045343","","Y","","911001","Klaricid tab 250mg","Abbott","UK"
"Clarithromycin tab 250mg","瑞士","衛部藥製 059228","","","Y","1050524","Clathrocin tab 500mg","瑞士新市廠","Taiwan"
"Clarithromycin tab 500mg","華興","衛署藥製 054979","","Y","","990312","Klaricid tab 500mg","Abbott","UK"
"Clarithromycin tab 500mg","瑞士","衛部藥製 058197","","Y","","1021227","Klaricid tab 500mg","Aesica Queenborough","UK"
"Clarithromycin tab 500mg","寶齡富錦","衛署藥製 046638","","Y","","930910","Klaricid tab 500mg","Abbott","UK"
"Clarithromycin XL tab 500mg","寶齡富錦","衛署藥製 049305","","Y","","970129","Klaricid XL tab 500mg","Abbott","UK"
"Clodronate disodium cap 400mg","杏輝","衛署藥製 047874","","Y","","950116","Bonefos cap 400mg","Leiras Oy","Finland"
"Clopidogrel tab 75mg","壽元","衛署藥製 055428","","Y","","990429","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","優生","衛署藥製 057140","","Y","","1000902","Plavix tab 75 mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","中國化學","衛署藥製 049344","","Y","","961123","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","元宙","衛署藥製 052522","","Y","","990205","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","天行健","衛署藥製 048062","","Y","","941226","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","永勝","衛署藥製 049224","","Y","","961220","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","生達","衛署藥製 048649","","Y","","960110","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","信東","衛署藥製 050126","","Y","","980421","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","健亞","衛署藥製 049967","","Y","","970414","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","健維","衛署藥製 048730","","Y","","960427","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","培力","衛署藥製 049719","","Y","","970904","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","瑞士","衛署藥製 050241","","Y","","980623","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","榮民","衛署藥製 055044","","Y","","990609","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","聯邦","衛署藥製 057123","","Y","","1001019","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","躍欣","衛署藥製 047589","","Y","","940928","Plavix tab 75mg","Sanofi Winthrop","France"
"Clopidogrel tab 75mg","台灣諾華","衛署藥輸 025114","","Y","","980112","Plavix tab 75mg","Sanofi Winthrop","France"
"Clozapine tab 25mg","台灣汎生","衛署藥製 043629","","","Y","890315","Clorin tab 100mg","台灣汎生","Taiwan"
"Clozapine tab 25mg","信東","衛署藥製 048058","","","Y","950424","Clozaril tab 25mg","Novartis","UK"
"Clozapine tab 25mg","瑞士","衛署藥製 042621","","","Y","870921","Clopine tab 100mg","瑞士","Taiwan"
"Clozapine tab 100mg","台灣汎生","衛署藥製 042886","","Y","","880407","Clozaril tab 100mg","Novartis","Switzerland"
"Clozapine tab 100mg","信東","衛署藥製 045414","","Y","","920221","Clozaril tab 100mg","Novartis","Switzerland"
"Clozapine tab 100mg","瑞士","衛署藥製 042448","","Y","","870428","Clozaril tab 100mg","Novartis","Switzerland"
"Clozapine tab 100mg","優生","衛署藥製 043859","","Y","","890704","Clozaril tab 100mg","Novartis","Switzerland"
"Cyclobenzaprine tab 5mg","健喬信元","衛署藥製 049545","","","Y","970530","Flexer tab 10mg","健喬信元","Taiwan"
"Cyclobenzaprine tab 10mg","派頓","衛署藥製 048499","","Y","","951101","Flexeril tab 10mg","Merck/McNeil","US"
"Cyclobenzaprine tab 10mg","健喬信元","衛署藥製 047787","Y","","","940816","Flexeril tab 10mg","Merck","US"
"Cyclobenzaprine ER tab 30mg","旭能","衛部藥製 059670","","Y","","1060111","Amrix ER cap 30mg","Aptalis Pharmatech Inc.","US"
"Cyclosporin cap 100mg","艾維斯","衛署藥輸 024127","","Y","","930308","Sandimmun Neoral cap 100mg","Novartis","Switzerland"
"Cyclosporin cap 25mg","艾維斯","衛署藥輸 024110","","Y","","930412","Sandimmun Neoral cap 25mg","Novartis","Switzerland"
"Cyclosporin gel cap 100mg","因華","衛署藥製 050140","","Y","","980427","Sandimmun Neoral cap 100mg","R.P. Scherer","Germany"
"Desloratadine syrup 0.5mg/ml","歐舒邁克","衛署藥製 057795","","Y","","1011015","CLARINEX Syrup 0.5mg/ml","Schering Corporation","US"
"Desloratadine tab 5mg","美時","衛署藥製 045972","","Y","","990707","Denosin tab 5mg","美時","Taiwan"
"Desloratadine tab 5mg","健亞","衛署藥製 049099","","Y","","931215","Aerius tab 5mg","Schering-Plough","Italy"
"Desloratadine tab 5mg","瑩碩","衛署藥製 050163","","Y","","980219","Aerius tab 5mg","Schering-Plough","Italy"
"Desloratadine tab 5mg","優生","衛署藥製 051197","","Y","","980817","Aerius tab 5mg","Schering-Plough","Italy"
"Diclofenac K tab 25mg","生達","衛署藥製 044997","","Y","","910207","Cataflam tab 25mg","Novartis","Switzerland"
"Diclofenac K tab 25mg","永信","衛署藥製 045305","","","Y","911217","Voren-K tab 50mg","永信","Taiwan"
"Diclofenac K tab 25mg","永勝","衛署藥製 044450","","","Y","900406","Meitan tab 50mg","永勝","Taiwan"
"Diclofenac K tab 25mg","培力","衛署藥製 044976","","","Y","921008","Peiflam tab 50mg","培力","Taiwan"
"Diclofenac K tab 25mg","瑞士","衛署藥製 042216","","","Y","870418","Flamquit tab 50mg","瑞士","Taiwan"
"Diclofenac K tab 25mg","瑞安","衛署藥製 046420","","","Y","930526","Clofen-P tab 50mg","瑞安","Taiwan"
"Diclofenac K tab 50mg","永信","衛署藥製 044403","","Y","","900319","Cataflam tab 50mg","Novartis","Switzerland"
"Diclofenac K tab 50mg","永勝","衛署藥製 043896","","Y","","890705","Cataflam tab 50mg","Novartis","Switzerland"
"Diclofenac K tab 50mg","生達","衛署藥製 045150","","Y","","910524","Cataflam tab 50mg","Novartis","Switzerland"
"Diclofenac K tab 50mg","培力","衛署藥製 044976","","Y","","910418","Cataflam tab 50mg","Novartis","Switzerland"
"Diclofenac K tab 50mg","瑞士","衛署藥製 041664","","Y","","861007","Cataflam tab 25mg","Novartis","Switzerland"
"Diclofenac K tab 50mg","景德","衛署藥製 047785","","","Y","941108","Deflam-K tab 25mg","景德","Taiwan"
"Diclofenac K tab 50mg","瑞安","衛署藥製 045844","","Y","","920703","Cataflam tab 50mg","佳生","Taiwan"
"Divalproex EC tab 250mg","英伯士","衛署藥製 047925","","Y","","950816","Depakote EC tab 250mg","Abbott Lab","US"
"Divalproex EC tab 250mg","安成","衛署藥製 057737","","","Y","1010817","Divoshot ER tab 500mg","安成","Taiwan"
"Donepezil OD tab 5mg","生達","衛署藥製 056646","","Y","","1000222","Aricept D tab 5mg","Eisai","Japan"
"Donepezil tab 10mg","南光","衛署藥製 049348","","Y","","970307","Aricept tab 10mg","衛采","Taiwan"
"Donepezil tab 10mg","瑞安","衛署藥製 055538","","Y","","991026","Aricept tab 10mg","Eisai","Taiwan"
"Donepezil tab 10mg","瑞蒙","衛署藥製 051718","","Y","","980331","Aricept tab 10mg","衛采","Taiwan"
"Donepezil tab 10mg","瑩碩","衛署藥製 050273","","Y","","980717","Aricept tab 10mg","衛采","Taiwan"
"Donepezil tab 10mg","瑞士","衛署藥製 057965","","","Y","1000321","Remecin tab 5mg","瑞士","Taiwan"
"Donepezil tab 5mg","中國化學","衛署藥製 047469","","Y","","940727","Aricept tab 5mg","衛采","Taiwan"
"Donepezil tab 5mg","信東","衛署藥製 056737","","Y","","1000110","Aricep tab 5mg","衛采","Taiwan"
"Donepezil tab 5mg","瑞士","衛署藥製 050165","","Y","","971028","Aricept tab 5mg","衛采","Taiwan"
"Donepezil tab 5mg","鼎豐宇","衛署藥製 049329","","Y","","961224","Aricept tab 5mg","衛采","Taiwan"
"Donepezil tab 5mg","南光","衛署藥製 049493","","","Y","970530","EPA tab 10mg","南光","Taiwan"
"Donepezil tab 5mg","瑩碩","衛署藥製 052351","","","Y","981126","Rewise tab 10mg","聯亞","Taiwan"
"Donepezil tab 5mg","瑞蒙","衛署藥製 055013","","","Y","980914","Nepes tab 10mg","健亞","Taiwan"
"Doxazosin mesylate tab 1mg","強生","衛署藥製 045144","","","Y","910613","Saxobin tab 2mg","天騵委託強生製造","Taiwan"
"Doxazosin mesylate tab 2mg","十全","衛署藥製 043467","","Y","","880621","Doxaben tab 2mg","Pfizer","Taiwan"
"Doxazosin mesylate tab 2mg","中國化學","衛署藥製 045039","","Y","","910221","Doxaben tab 2mg","Pfizer","Australia"
"Doxazosin mesylate tab 2mg","五洲","衛署藥製 044681","","Y","","900912","Doxaben tab 2mg","Pfizer","Australia"
"Doxazosin mesylate tab 2mg","天騵","衛署藥製 044567","","Y","","900702","Doxaben tab 2mg","Pfizer","Australia"
"Doxazosin mesylate tab 2mg","生達","衛署藥製 044621","","Y","","900823","Doxaben tab 2mg","Pfizer","Australia"
"Doxazosin mesylate tab 2mg","信東","衛署藥製 044853","","Y","","910220","Doxaben tab 2mg","Pfizer","Australia"
"Doxazosin mesylate tab 2mg","健亞","衛署藥製 042378","","Y","","870604","Doxaben tab 2mg","Pfizer","Taiwan"
"Doxazosin mesylate tab 2mg","健喬信元","衛署藥製 045013","","Y","","910219","Doxaben tab 2mg","Pfizer","Australia"
"Doxazosin mesylate tab 2mg","景德","衛署藥製 043765","","Y","","890508","Doxaben tab 2mg","Pfizer","Australia"
"Doxazosin mesylate tab 4mg","十全","衛署藥製 057288","","","Y","1001104","Doxazon tab 2mg ＂S.C.＂","十全","Taiwan"
"Doxazosin mesylate tab 4mg","健亞","衛署藥製 042874","","","Y","880311","Genzosin tab 2mg","健亞","Taiwan"
"Doxazosin mesylate tab 4mg","健喬信元","衛署藥製 050263","","","Y","980512","Dozan tab 2mg","信元","Taiwan"
"Doxazosin mesylate XL tab 4mg","生達","衛署藥製 057838","","Y","","1011220","Doxaben XL tab 4mg","Pfizer Pharmaceuticals LLC","Puerto Rico"
"Doxazosin mesylate XL tab 4mg","旭能","衛署藥製 057929","","Y","","1020425","Doxaben XL tab 4mg","Pfizer Pharmaceuticals LLC","Puerto Rico"
"Doxazosin SR tab 4mg","中國化學","衛署藥製 049920","","Y","","971124","Doxaben XL tab 4mg","Pfizer","US"
"Duloxetine cap 30mg","中國化學","衛署藥製 056776","","Y","","1000801","Cymbalta cap 30mg","Eli Lilly","US"
"Duloxetine cap 30mg","台裕","衛部藥製 058181","","Y","","1020607","Cymbalta cap 30mg","Eli Lilly","US"
"Duloxetine cap 30mg","瑞士","衛部藥製 059210","","Y","","1041230","Cymbalta cap 30mg","Lilly Del Caribe Inc.","Puerto Rico"
"Duloxetine cap 30mg","鴻汶","衛部藥製 059274","","","Y","1040610","Apa-Cymba cap 30mg","強生","Taiwan"
"Duloxetine cap 60mg","鴻汶","衛部藥製 058356","","Y","","1030715","Cymbalta cap 60mg","Eli Lilly","US"
"Duloxetine cap 60mg","中國化學","衛署藥製 057743","","","Y","1010921","Duxetine cap 30mg","中國化學","Taiwan"
"Ebastine tab 10mg","五洲","衛署藥製 047950","","Y","","940202","Ebastel tab 10mg","Dainippon","Japan"
"Ebastine tab 5mg","景德","衛署藥製 049700","","Y","","970917","Ebastel tab 5mg","Dainippon","Japan"
"Efavirenz tab 600mg","美商惠而適","衛署藥製 056775","","Y","","1000811","Stocrit tab 600mg","MSD","Australia"
"Efavirenz tab 600mg","聯亞","衛部藥製 058392","","Y","","1030527","Stocrit tab 600mg","MSD","Australia"
"Emtricitabine/Tenofovir tab 200mg/300mg","貽康","衛部藥製 059685","","Y","","1050809","Truvada tab 200/300mg","Gilead Science Inc.","US"
"Enalapril tab 10mg","永信","衛署藥製 044480","","","Y","900510","Landing tab 20mg","永信","Taiwan"
"Enalapril tab 10mg","回春堂","衛署藥製 042712","","","Y","870929","Peri Safe tab 20mg","回春堂","Taiwan"
"Enalapril tab 20mg","大豐","衛署藥製 044315","","Y","","900208","Renitec tab 20mg","MSD","UK"
"Enalapril tab 20mg","中國化學","衛署藥製 039401","","Y","","841004","Renitec tab 20mg","MSD","France"
"Enalapril tab 20mg","永信","衛署藥製 044420","","Y","","900119","Renitec tab 20mg","MSD","France"
"Enalapril tab 20mg","生達","衛署藥製 048119","","Y","","950308","Renitec tab 20mg","MSD","UK"
"Enalapril tab 20mg","回春堂","衛署藥製 042346","","Y","","870604","Renitec tab 20mg","MSD","France"
"Enalapril tab 20mg","信元","衛署藥製 042584","","Y","","870422","Vasotec tab 20mg","MSD","US"
"Enalapril tab 20mg","信東","衛署藥製 039414","","Y","","841011","Vastec tab 20mg","MSD","US"
"Enalapril tab 20mg","皇佳","衛署藥製 045975","","Y","","920904","Renitec tab 20mg","MSD","UK"
"Enalapril tab 20mg","景德","衛署藥製 041281","","Y","","841228","Renitec tab 20mg","MSD","France"
"Enalapril tab 20mg","衛達","衛署藥製 044810","","Y","","910116","Renitec tab 20mg","MSD","UK"
"Enalapril tab 5mg","健喬信元","衛署藥製 045254","","Y","","910909","Renitec tab 5mg","MSD","UK"
"Enalapril tab 5mg","中國化學","衛署藥製 041430","","","Y","860313","Enalatec tab 20mg","中國化學","Taiwan"
"Enalapril tab 5mg","回春堂","衛署藥製 042711","","","Y","870925","PeriSafe tab 5mg","回春堂","Taiwan"
"Enalapril tab 5mg","信東","衛署藥製 039974","","","Y","880311","Renitec tab 5mg","MSD","France"
"Entacapone tab 200mg","瑩碩","衛署藥製 049165","","Y","","961029","Comtan tab 200mg","Orion for Novartis","Finland"
"Entacapone tab 200mg","生達二廠","衛部藥製 059028","","","Y","1050120","Comtan tab 200mg","Orion for Novartis","Finland"
"Entecavir tab 0.5mg","永信","衛部藥製 058335","","","Y","1030528","Entecavir tab 1mg","永信","Taiwan"
"Entecavir tab 0.5mg","永信","衛部藥製 058335","","Y","","1040430","Baraclude tab 0.5mg","Bristol-Myers Squibb","US"
"Entecavir tab 0.5mg","中國化學","衛署藥製 057322","","Y","","1010730","Baraclude tab 0.5mg","Bristol-Myers Squibb","US"
"Entecavir tab 0.5mg","瑩碩","衛署藥製 057786","","Y","","1010822","Baraclude tab 0.5mg","Bristol-Myers Squibb","US"
"Entecavir tab 0.5mg","勝群","衛部藥製 058369","","Y","","1030416","Baraclude tab 0.5mg","Bristol-Myers Squibb","US"
"Entecavir tab 0.5mg","生達","衛部藥製 058542","","Y","","1030620","Baraclude tab 0.5mg","Bristol-Myers Squibb","US"
"Entecavir tab 0.5mg","健亞","衛部藥製 058091","","Y","","1020502","Baraclude tab 0.5mg","Bristol-Myers Squibb","US"
"Entecavir tab 0.5mg","培力","衛部藥製 059258","","","Y","1060609","BeSaNo tab 0.5mg","培力","Taiwan"
"Entecavir tab 0.5mg","意欣","衛部藥製 059750","","Y","","1060522","Baraclude tab 0.5mg","Btistol-Myers Squibb","US"
"Entecavir tab 1mg","永信","衛部藥製 058334","","Y","","1020904","Baraclude tab 1mg","Bristol-Myers Squibb","US"
"Entecavir tab 1mg","中國化學","衛署藥製 057856","","","Y","1010925","Envir tab 0.5mg","中國化學","Taiwan"
"Entecavir tab 1mg","勝群","衛部藥製 058600","","","Y","1030724","Bocanon tab 0.5mg","五洲","Taiwan"
"Entecavir tab 1mg","生達","衛部藥製 058541","","","Y","1030729","Hepuri tab 0.5mg","生達","Taiwan"
"Entecavir tab 1mg","瑞士","衛部藥製 059378","Y","","","1050929","Baraclude tab 1mg","Bristol-Myers Squibb","Taiwan"
"Entecavir tab 1mg","健亞","衛部藥製 059253","","","Y","1041215","Liverpro tab 0.5mg","健亞","Taiwan"
"Eplerenone tab 50mg","健喬信元","衛部藥製 059658","","Y","","1050502","Inspra tab 50mg","Pfizer Pharmaceuticals LLC","Puerto Rico"
"Escitalopram Oral soln 1mg/ml","晟德","衛署藥製 056725","","Y","","1001004","Lexapro Oral soln 1mg/ml","Froest","US"
"Escitalopram tab 10mg","中國化學","衛署藥製 049629","","Y","","970815","Lexapro tab 10mg","H. Lundbeck A/S","Denmark"
"Escitalopram tab 10mg","五洲","衛署藥製 054980","","Y","","990310","Lexapro tab 10mg","H. Lundbeck A/S","Denmark"
"Escitalopram tab 10mg","吉富","衛署藥輸 025369","","Y","","990211","Lexapro tab 10mg","H. Lundbeck A/S","Denmark"
"Escitalopram tab 10mg","東竹","衛署藥製 048506","","Y","","951114","Lexapro tab 10mg","H. Lundbeck A/S","Denmark"
"Escitalopram tab 10mg","景德","衛署藥製 057259","","Y","","1010223","Lexapro tab 10mg","H.Lundbeck A/S.","Denmark"
"Escitalopram tab 10mg","瑞士","衛署藥製 056639","","Y","","1000624","Lexapro tab 10mg","H. Lundbeck A/S","Denmark"
"Escitalopram tab 10mg","優生","衛部藥製 058784","","Y","","1040407","Lexapro tab 10mg","H. Lundbeck A/S","Denmark"
"Escitalopram tab 15mg","瑞士","衛部藥製 058346","","","Y","1030613","Escitalo tab 10mg","瑞士","Taiwan"
"Escitalopram tab 20mg","瑞士","衛部藥製 058336","","","Y","1030617","Escitalo tab 10mg","瑞士","Taiwan"
"Escitalopram tab 20mg","鼎泰","衛署藥製 048661","","Y","","960209","Cipralex tab 20mg","H. Lundbeck A/S","Denmark"
"Escitalopram tab 20mg","東竹","衛署藥製 054860","","","Y","981105","Epram tab 10mg","健亞","Taiwan"
"Esomeprazole powder for inj. 40mg","永信","衛部藥製 058196","","Y","","1050325","Nexium powder for inj. 40mg","AstraZeneca AB","Sweden"
"Esomeprazole tab 40mg","景德","衛部藥製 058102","","Y","","1020403","Nexium tab 40mg","AstraZeneca AB","Sweden"
"Esomeprazole tab 40mg","生達二廠","衛部藥製 059693","","Y","","1051223","Nexium tab 40mg","AstraZeneca AB","Sweden"
"Esomeprazole EC tab 40mg","台裕","衛部藥製 059243","","Y","","1050519","Nexium tab 40mg","AstraZeneca AB","Sweden"
"Eszopiclone tab 1mg","瑩碩","衛署藥製 057350","","","Y","1010710","Runesda-S tab 2mg","聯亞","Taiwan"
"Eszopiclone tab 3mg","瑩碩","衛署藥製 057349","","","Y","1010626","Eszopiclone tab 2mg","聯亞","Taiwan"
"Etodolac SR tab 400mg","正和","衛署藥製 057966","","Y","","1011105","LACOXA SR tab 400 mg","臺灣東洋","Taiwan"
"Etodolac SR tab 400mg","恆生","衛署藥製 057976","","Y","","1011226","Lacoxa tab 400 mg","臺灣東洋","Taiwan"
"Etodolac SR tab 400mg","翰諾士","衛署藥製 057361","","Y","","1000324","Lacoxa SR tab 400mg","臺灣東洋","Taiwan"
"Etodolac XL tab 500mg","生達","衛署藥製 046385","","Y","","921112","Lodine XL tab 500mg","Wyeth-Ayerst Laboratories","Taiwan"
"Etoricoxib tab 60mg","瑞安","衛部藥製 058391","","Y","","1030120","Arcoxia tab 60mg","Merck & Co.","US"
"Etoricoxib tab 60mg","生達二廠","衛部藥製 059245","","Y","","1050516","Arcoxia tab 60mg","Frosst Iberica SA","Spain"
"Etoricoxib tab 60mg","中國化學","衛部藥製 059720","","Y","","1060421","Arcoxia tab 60mg","Frosst Iberica S.A.","Spain"
"Famotidine granule 20mg/gm","瑞安","衛署藥製 044500","","Y","","900518","Gaster granule 20mg/gm","Yamanouchi","Japan"
"Famotidine inj 10mg/ml","南光","衛署藥製 033072","","Y","","840307","Gaster inj 20mg/amp","Yamanouchi","Japan"
"Famotidine lyo-inj 20mg","生達","衛署藥製 032990","","Y","","870120","Gaster lyo-inj 20mg/vial","Yamanouchi","Japan"
"Famotidine powder 20mg/gm","山之內","衛署藥製 044875","","","Y","910125","Gaster powder 20mg/g","Yamanouchi","Japan"
"Famotidine tab 10mg","中國化學","衛署藥製 043005","","","Y","871228","Quimadine tab 20mg","中國化學","Taiwan"
"Famotidine tab 10mg","永勝","衛署藥製 043821","","","Y","890425","Winiful tab 40mg","永勝","Taiwan"
"Famotidine tab 10mg","南光","衛署藥製 042949","","","Y","880331","Famodine tab 40mg","南光","Taiwan"
"Famotidine tab 10mg","瑪科隆","衛署藥製 044608","","","Y","900817","Yamtac tab 20mg","順生","Taiwan"
"Famotidine tab 10mg","衛達","衛署藥製 049052","","","Y","960913","Weimok tab 40mg","衛達","Taiwan"
"Famotidine tab 10mg","天良","衛部藥製 059244","","","Y","1041029","HC Noritle Suwefue Sulcer tab 40mg","衛達","Taiwan"
"Famotidine tab 20mg","大豐","衛署藥製 043935","","Y","","890701","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 20mg","中國化學","衛署藥製 039794","","Y","","841228","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 20mg","正和","衛署藥製 041352","","Y","","841118","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 20mg","生達","衛署藥製 038605","","Y","","831129","Gaster tab 20mg","Yamanouchi","Japan"
"Famotidine tab 20mg","回春堂","衛署藥製 033990","","Y","","800504","Gaster tab 20mg","Yamanouchi","Japan"
"Famotidine tab 20mg","鼎明","衛署藥輸 022496","","Y","","871113","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 20mg","榮民","衛署藥製 032250","","Y","","790406","Gaster tab 20mg","Yamanouchi","Japan"
"Famotidine tab 20mg","瑪科隆","衛署藥製 044421","","Y","","900327","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 20mg","永信","衛署藥製 040206","","","Y","850803","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 20mg","永勝","衛署藥製 043501","","","Y","890124","Winiful tab 40mg","永勝","Taiwan"
"Famotidine tab 20mg","信東","衛署藥製 042863","","","Y","880112","Famo FC tab 40mg","信東","Taiwan"
"Famotidine tab 20mg","南光","衛署藥製 037601","","","Y","830419","Gaster tab 20mg","Yamanouchi","Japan"
"Famotidine tab 20mg","景德","衛署藥製 043759","","","Y","890424","Kimodin tab 40mg","景德","Taiwan"
"Famotidine tab 20mg","衛達","衛署藥製 040986","","","Y","860226","Weimok tab 40mg","衛達","Taiwan"
"Famotidine tab 40mg","世達","衛署藥製 042416","","Y","","870702","Gaster tab 20mg","Yamanouchi","Japan"
"Famotidine tab 40mg","永信","衛署藥製 039772","","Y","","841229","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 40mg","永勝","衛署藥製 043294","","Y","","880830","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 40mg","全福","衛署藥製 040697","","Y","","851014","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 40mg","合誠","衛署藥製 038776","","Y","","840206","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 40mg","信東","衛署藥製 041882","","Y","","870103","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 40mg","南光","衛署藥製 036869","","Y","","820906","Gaster tab 20mg","Yamanouchi","Japan"
"Famotidine tab 40mg","景德","衛署藥製 041601","","Y","","860702","Gaster tab 20mg","Yamanouchi","Taiwan"
"Famotidine tab 40mg","衛達","衛署藥製 038291","","Y","","831109","Gaster tab 20mg","Yamanouchi","Japan"
"Famotidine tab 40mg","天良","衛部藥製 058377","","Y","","1021014","Pepcid tab 40mg","Marathon Pharmaceuticals, LLC","US"
"Famotidine tab 40mg","順生","衛署藥製 046078","","","Y","920109","Yamtac tab 20mg","順生","Taiwan"
"Febuxostat tab 80mg","南光","衛部藥製 059209","","Y","","1050511","Feburic tab 80mg","Patheon France","France"
"Febuxostat tab 80mg","中國化學","衛部藥製 059271","","Y","","1050825","Feburic tab 80mg","Patheon France","France"
"Felodipine ER tab 2.5mg","永勝","衛署藥製 049376","","","Y","970130","Felo ER tab 5mg","永勝","Taiwan"
"Felodipine ER tab 5mg","十全","衛部藥製 058208","","","Y","1030108","Felopine E.R. tab 10mg","十全","Taiwan"
"Felodipine ER tab 5mg","永勝","衛署藥製 055896","","","Y","990726","Felo E.R. tab 10mg ＂Everest＂","永勝","Taiwan"
"Felodipine ER tab 5mg","永信","衛署藥製 049876","","Y","","970911","Plendil ER tab 5mg","AstraZeneca","Sweden"
"Felodipine ER tab 5mg","永勝","衛署藥製 044575","","Y","","900716","Plendil ER tab 5mg","Astra","Sweden"
"Felodipine ER tab 5mg","永勝","衛署藥製 055896","","","Y","990726","Felo ER tab 10mg","永勝","Taiwan"
"Felodipine ER tab 5mg","信東","衛署藥製 045392","","Y","","920127","Plendil ER tab 5mg","Astra","Sweden"
"Felodipine ER tab 5mg","健喬信元","衛署藥製 047536","","Y","","940825","Plendil ER tab 5mg","AstraZeneca","Sweden"
"Felodipine ER tab 5mg","十安","衛署藥製 044468","","","Y","900402","Felop ER tab 10mg","十全","Taiwan"
"Felodipine ER tab 10mg","十全","衛署藥製 043931","","Y","","890814","Plendil ER tab 10mg","Astra","Sweden"
"Felodipine ER tab 10mg","永信","衛署藥製 049963","","Y","","980113","Plendil ER tab 10mg","AstraZeneca","Sweden"
"Felodipine SR tab 5mg","生達","衛署藥製 044098","","Y","","891020","Plendil ER tab 5mg","Astra","Sweden"
"Felodipine SR tab 5mg","育生","衛署藥製 046480","","Y","","930809","Plendil ER tab 5mg","AB Astra","Swden"
"Felodipine SR tab 5mg","健亞","衛署藥製 044631","","Y","","900525","Plendil ER tab 5mg","Astra","Sweden"
"Felodipine SR tab 5mg","南光","衛署藥製 046021","","","Y","920903","Polo SR tab 10mg","南光","Taiwan"
"Felodipine SR tab 10mg","永勝","衛署藥製 050138","","Y","","980429","Plendil ER tab 10mg","AstraZeneca","Sweden"
"Felodipine SR tab 10mg","南光","衛署藥製 045510","","Y","","920403","Plendil ER tab 10mg","Astra","Sweden"
"Fenofibrate cap 100mg","十全","衛署藥製 042775","","Y","","880105","Lipanthyl cap 100mg","Fournier","France"
"Fenofibrate cap 100mg","信元","衛署藥製 042826","","Y","","880202","Lipanthyl cap 100mg","Fournier","France"
"Fenofibrate cap 100mg","培力","衛署藥製 041837","","Y","","870115","Lipanthyl cap 100mg","Fournier","France"
"Fenofibrate cap 200 mg","十全","衛署藥製 056754","","","Y","1001122","Fenofibrate cap 100 mg","十全","Taiwan"
"Fenofibrate cap 200mg","井田","衛署藥製 049551","","Y","","970617","Lipanthyl cap 200mg","Fournier","France"
"Fenofibrate cap 200mg","天義","衛署藥輸 023215","","Y","","910917","Lipanthyl cap 200mg","Fournier","France"
"Fenofibrate cap 200mg","正和","衛署藥製 042619","","Y","","870609","Lipanthyl cap 200mg","Fournier","France"
"Fenofibrate cap 200mg","健喬信元","衛署藥製 049808","","Y","","971105","Lipanthyl 200M cap 200mg","Fournier","France"
"Fenofibrate cap 67mg","正豪","衛署藥製 044461","","","Y","900202","Fenolip cap 200mg","正和","Taiwan"
"Fenofibrate tab 160mg","井田","衛署藥製 049797","","Y","","971028","Lipanthyl tab 160mg","Fournier","France"
"Fenofibrate tab 160mg","正和","衛署藥製 047228","Y","","","940113","Fenolip cap 200mg","正和","Taiwan"
"Fenofibrate tab 160mg","健喬信元","衛署藥製 056720","","Y","","1000720","Lipanthyl Supra tab 160mg","Fournier","France"
