許可證字號,核准日期,英文品名,藥品有效成分,藥商名稱,期滿日期,類別
"衛署藥製字第046441號","02 08 2004 12:00:00","Safe plan Tablets ＂P.L.＂","Levonorgestrel","培力藥品工業股份有限公司","05 07 2007 12:00:00",""
"衛署藥製字第046460號","17 08 2004 12:00:00","Salaflow Flim-coated Tablets 5mg","Pilocarpine Hydrochloride 5mg","世羽興業有限公司","12 09 2007 12:00:00","新適應症新投予途徑(藥輸023548)"
"衛署菌疫輸字第000797號","12 10 2004 12:00:00","Infanrix Hexa","Each Dose (0.5ml) Contains: Pt 25ug; Dt 30iu; Tt 40iu; Fha 25ug; Pertactine (69k) 8ug; R-Dna Hbsag 10ug; Inactive Polio Virus Type I 40du; Inactive Polio Virus Type Ii 8du; Inactive Polio Virus Type Iii 32du; Prp-T(10ug Of Prp And 20~40ug Of T)","荷商葛蘭素史克藥廠股份有限公司台灣分公司","12 10 2011 12:00:00","新成分"
"衛署藥輸字第024084號","14 10 2004 12:00:00","Alimta powder for concentrate for solution for infusion","Pemetrexed Disodium Heptahydrate","台灣禮來股份有限公司","14 10 2011 12:00:00","新成分"
"衛署藥製字第046613號","03 11 2004 12:00:00","＂U-Chu＂ Tonec Tablets 100mg","Aceclofenac 100mg","五洲製藥股份有限公司","03 11 2009 12:00:00","新成分"
"衛署藥製字第046612號","03 11 2004 12:00:00","Witgen Tablets 10mg","Memantine Hydrochloride 10mg","美時化學製藥股份有限公司","03 11 2009 12:00:00","新成分"
"衛署藥製字第046614號","04 11 2004 12:00:00","Antiflam Oral Solution","Prednisolone Phosphate","晟德大藥廠股份有限公司","04 11 2009 12:00:00","新投予途徑"
"衛署藥製字第046641號","16 11 2004 12:00:00","Butaro Nasal Spray 10mg/ml","Butorphanol Tartrate","美時化學製藥股份有限公司","16 11 2009 12:00:00","新成分"
"衛署藥製字第046643號","18 11 2004 12:00:00","Basasyde Capsules 750mg","Balsalazide Disodium Dihydrate","美時化學製藥股份有限公司","18 11 2009 12:00:00","新成分"
"衛署藥輸字第024129號","02 12 2004 12:00:00","Crestor 20mg Film-coat Tablets","Rosuvastatin Calcium","台灣阿斯特捷利康股份有限公司","02 12 2009 12:00:00","新成分"
"衛署藥輸字第024131號","02 12 2004 12:00:00","Crestor 10mg Film-coat Tablets","Rosuvastatin Calcium","台灣阿斯特捷利康股份有限公司","02 12 2009 12:00:00","新成分"
"衛署藥輸字第024142號","22 12 2004 12:00:00","Dynastat 20mg powder for solution for injection","Parecoxib Sodium 21.18mg","輝瑞大藥廠股份有限公司","22 12 2009 12:00:00","新成分"
"衛署藥輸字第024143號","22 12 2004 12:00:00","Dynastat 40mg powder for solution for injection","Parecoxib Sodium 42.36mg","輝瑞大藥廠股份有限公司","22 12 2009 12:00:00","新成分"
"衛署藥製字第046742號","24 12 2004 12:00:00","Amtrel Tablets","Amlodipine 7mg + Benazepril Hydrochloride 10mg","東生華製藥股份有限公司","24 12 2009 12:00:00","新複方"
"衛署藥輸字第024175號","09 03 2005 12:00:00","＂Mallinckrodt＂ Optimark 0.5mmol/ml Injection","Gadoversetamide","台灣泰科醫藥股份有限公司","09 03 2010 12:00:00","新成分"
"衛署藥輸字第024220號","05 05 2005 12:00:00","Ebixa film coated tablet 10mg","Memantine Hydrochloride","禾利行股份有限公司","03 11 2009 12:00:00","新成分"
"衛署菌疫輸字第000807號","24 05 2005 12:00:00","AVASTIN INJECTION","Bevacizumab 25mg","羅氏大藥廠股份有限公司","24 05 2010 12:00:00","新成分"
"衛署藥製字第R00023號","26 05 2005 12:00:00","Iner Trodat-1 Kit","Trodat-1.3hcl","行政院原子能委員會核能研究所","26 05 2010 12:00:00","新成分"
"衛署藥輸字第024268號","21 07 2005 12:00:00","Navelbine 30mg soft capsule","Vinorelbine Tartrate 41.55mg","友華生技醫藥股份有限公司","21 07 2010 12:00:00","新投予途逕"
"衛署藥輸字第024269號","21 07 2005 12:00:00","Navelbine 20mg soft capsule","Vinorelbine Tartrate 27.7mg","友華生技醫藥股份有限公司","21 07 2010 12:00:00","新投予途逕"
"衛署藥輸字第024305號","12 10 2005 12:00:00","Inspra F.C. Tablets25mg","Eplerenone 25mg","輝瑞大藥廠股份有限公司","12 10 2010 12:00:00","新成分"
"衛署藥輸字第024306號","12 10 2005 12:00:00","Inspra F.C. Tablets 50mg","Eplerenone 50mg","輝瑞大藥廠股份有限公司","12 10 2010 12:00:00","新成分"
"衛署藥製字第047656號","02 12 2005 12:00:00","Mopride F.C. Tablets 5mg","Mosapride Citrate Dihydrate 5.29mg","東生華製藥股份有限公司","02 12 2010 12:00:00","新成分"
"衛署藥製字第047682號","20 12 2005 12:00:00","Erdotin capsules 300mg","Erdosteine","美時化學製藥股份有限公司","20 12 2010 12:00:00","新成分"
"衛署藥輸字第024349號","28 12 2005 12:00:00","Yentreve 40mg","Duloxetine Hcl","台灣禮來股份有限公司","28 12 2010 12:00:00","新成分(藥輸024239, 024240)"
"衛署藥輸字第024350號","28 12 2005 12:00:00","Yentreve 20mg","Duloxetine Hcl","台灣禮來股份有限公司","28 12 2010 12:00:00","新成分(藥輸024239, 024240)"
"衛署菌疫輸字第000821號","19 01 2006 12:00:00","Pediacel","Each Dose (0.5 mL) Contains: pertussis toxoid (PT) 20 μg, filamentous haemagglutinin (FHA) 20 μg, fimbrial agglutinogens 2+3 (FIM) 5 μg, pertactin (PRN) 3 μg , diphtheria toxoid 15Lf, tetanus toxoid 5 Lf, purified polyribose ribitol phosphate capsular 10μg polysaccharide (PRP) of Haemophilus influenza；type b covalently bound to 20 μg of tetanus protein-poliovirus tpye1 (Mahoney) 40 D-antigen units, poliovirus type2 (MEFI) 8 D-antigen units, poliovirus type 2 (Saukett) 32 D-antigen units","台灣安萬特藥品股份有限公司","19 01 2011 12:00:00","新成分"
"衛署藥製字第047782號","25 01 2006 12:00:00","Mucolow Sustained Release Tablets 75mg ＂LOTUS＂","Ambroxol Hydrochloride","美時化學製藥股份有限公司","25 01 2011 12:00:00","新劑型"
"衛署藥製字第047787號","03 02 2006 12:00:00","Flexer F.C. Tablets 10mg","Cyclobenzaprine Hcl","健喬信元醫藥生技股份有限公司","25 06 2009 12:00:00","新成分"
"衛署藥製字第047879號","08 03 2006 12:00:00","Azela Nasal Spray 0.1% w/v","Azelastine Hydrochloride","壽元化學工業股份有限公司","16 09 2007 12:00:00","新成分(藥輸023024)"
"衛署藥製字第047926號","10 04 2006 12:00:00","Setizin-CP SR F.C. Tablets","Pseudoephedrine Hydrochloride 120mg+ Cetirizine Dihydrochloride 5mg","中國化學製藥股份有限公司新豐工廠","18 05 2010 12:00:00","新複方(藥輸024232)"
"衛署藥製字第047953號","25 04 2006 12:00:00","Hiros S.R.M. Capsules ＂EVEREST＂","Pseudoephedrine And Cetirizine Dihydrochloride","永勝藥品工業股份有限公司","18 05 2010 12:00:00","新複方(藥輸024232)"
"衛署藥輸字第024443號","12 05 2006 12:00:00","Tygacil(Tigecycline) 50mg Lyophilized Powder","Tigecycline","美商惠氏藥廠（亞洲）股份有限公司台灣分公司","12 05 2011 12:00:00","新成分"
"衛署藥輸字第024468號","22 06 2006 12:00:00","BARACLUDE TABLETS 1MG","Entecavir 1mg","台灣必治妥施貴寶股份有限公司","22 06 2011 12:00:00","新成分"
"衛署藥輸字第024469號","22 06 2006 12:00:00","BARACLUDE TABLETS 0.5MG","Entecavir 0.5mg","台灣必治妥施貴寶股份有限公司","22 06 2011 12:00:00","新成分"
"衛署藥製字第048064號","27 06 2006 12:00:00","Lasyn F.C. Tablets 4mg","Licidipine 4mg","健喬信元醫藥生技股份有限公司","",""
"衛署藥製字第048072號","30 06 2006 12:00:00","Finska-LP 24 Hour SR F.C. Tablets","Pseudoephedrine Sulfate 240mg + Loratadine 10mg","中國化學製藥股份有限公司新豐工廠","30 06 2011 12:00:00","新複方"
"衛署藥輸字第024485號","11 07 2006 12:00:00","Tricilest Tablets","Norgestimate And Ethinylestradiol","嬌生股份有限公司","11 07 2011 12:00:00","新成分"
"衛署藥製字第048130號","25 07 2006 12:00:00","C.T.L. XR Tablets 500mg ＂C.H.＂","Metformin Hcl","正和製藥股份有限公司","13 09 2010 12:00:00","新藥/新劑型"
"衛署藥輸字第024493號","26 07 2006 12:00:00","Fosrenol Chewable Tablets 250mg","Lanthanum","吉帝藥品股份有限公司","26 07 2011 12:00:00","新成分"
"衛署藥輸字第024494號","26 07 2006 12:00:00","Fosrenol Chewable Tablets 750mg","Lanthanum","吉帝藥品股份有限公司","26 07 2011 12:00:00","新成分"
"衛署藥輸字第024495號","26 07 2006 12:00:00","Fosrenol Chewable Tablets 500mg","Lanthanum","吉帝藥品股份有限公司","26 07 2011 12:00:00","新成分"
"衛署藥輸字第024496號","26 07 2006 12:00:00","Fosrenol Chewable Tablets 1000mg","Lanthanum","吉帝藥品股份有限公司","26 07 2011 12:00:00","新成分"
"衛署菌疫輸字第000825號","31 08 2006 12:00:00","RotaTeq (Rottavirus vaccine, live, oral, pentavalent)","G1,2,3,4,P1 Reassortant","美商默沙東藥廠股份有限公司台灣分公司","31 08 2011 12:00:00","新成分"
"衛署藥輸字第024514號","04 09 2006 12:00:00","Strattera 10mg Hard Capsules","Atomoxetine Hydrochloride","台灣禮來股份有限公司","04 09 2011 12:00:00","新成分"
"衛署藥輸字第024515號","04 09 2006 12:00:00","Strattera 18mg Hard Capsules","Atomoxetine Hydrochloride","台灣禮來股份有限公司","04 09 2011 12:00:00","新成分"
"衛署藥輸字第024516號","04 09 2006 12:00:00","Strattera 25mg Hard Capsules","Atomoxetine Hydrochloride","台灣禮來股份有限公司","04 09 2011 12:00:00","新成分"
"衛署藥輸字第024517號","04 09 2006 12:00:00","Strattera 40mg Hard Capsules","Atomoxetine Hydrochloride","台灣禮來股份有限公司","04 09 2011 12:00:00","新成分"
"衛署藥輸字第024518號","04 09 2006 12:00:00","Strattera 60mg Hard Capsules","Atomoxetine Hydrochloride","台灣禮來股份有限公司","04 09 2011 12:00:00","新成分"
"衛署藥製字第048275號","28 09 2006 12:00:00","Factive Tablets 320mg","Gemifloxacin Mesylate","和聯藥業股份有限公司","28 09 2011 12:00:00","新成分"
"衛署藥輸字第024561號","13 11 2006 12:00:00","Tractocile concentrate for solution for infusion 7.5mg/ml","Atosiban Acetate","輝凌藥品股份有限公司","13 11 2011 12:00:00","新成分"
"衛署藥輸字第024562號","13 11 2006 12:00:00","Tractocile solution for injection 7.5mg/ml","Atosiban Acetate","輝凌藥品股份有限公司","13 11 2011 12:00:00","新成分"
"衛署藥輸字第024565號","14 11 2006 12:00:00","Cubicin Injection","Daptomycin 500mg/Daptomycin 250mg","台灣東洋藥品工業股份有限公司","14 11 2011 12:00:00","新成分"
"衛署藥輸字第022048號","05 12 2006 12:00:00","Taxotere Concentrate for Infusion","Docetaxel 40mg","台灣安萬特藥品股份有限公司","05 12 2011 12:00:00","新適應症"
"衛署藥輸字第022568號","15 01 2007 12:00:00","ELOXATIN 5 MG/ML POWDER FOR SOLUTION FOR INFUSION","Oxaliplatin 50mg","賽諾菲股份有限公司","15 01 2012 12:00:00","新適應症"
"衛署藥製字第048599號","02 03 2007 12:00:00","Manotin F.C. Tablets 10mg","Memantine Hydrochloride 10mg","台灣東洋藥品工業股份有限公司","02 03 2012 12:00:00","新成分(藥製046612)"
"衛署藥製字第048603號","05 03 2007 12:00:00","Guaphen SR Tablet","Guaifenesin 600mg","東生華製藥股份有限公司","05 03 2007 12:00:00","新劑型"
"衛署藥字第048635號","22 03 2007 12:00:00","Azetin Nasal Spray 140mcg/dose","Azelastine Hydrochloride 1mg","健喬信元醫藥生技股份有限公司","16 10 2007 12:00:00",""
"衛署藥製字第048755號","28 05 2007 12:00:00","Agacerium Cream ＂LOTUS＂","Silver Sulfadiazine And Cerium Nitrate 6h2o","美時化學製藥股份有限公司","28 05 2012 12:00:00","新成分"
"衛署藥製字第048969號","05 06 2007 12:00:00","Thado Capsules 50mg","Thalidomide","晟德大藥廠股份有限公司","05 06 2012 12:00:00","新適應症"
"衛署菌疫輸字第000839號","05 06 2007 12:00:00","Raptiva Injection","Efalizumab","新加坡商雪蘭諾股份有限公司台灣分公司","05 06 2012 12:00:00","基因工程製劑"
"衛署菌疫輸字第000840號","23 06 2007 12:00:00","Adacel","Each Dose(0.5ml)Contains： Pertactin 3 Mcg, Diphtheria Toxoid 2 Lf(Units), Pertussis Toxoid 2.5 Mcg, Tetanus Toxoid 5 Lf(Units), Filamentous Haemagglutinin 5 Mcg, Agglutinogens Fimbriae 2+3 5 Mcg","賽諾菲安萬特股份有限公司","23 06 2012 12:00:00","其他疫苗"
"衛署藥製字第048881號","10 07 2007 12:00:00","Trimetin Tablets 100mg(Trimebutine)","Trimebutine Maleate 100mg","五洲製藥股份有限公司","10 07 2012 12:00:00","新成分"
"衛署藥輸字第024662號","11 07 2007 12:00:00","Sebivo 600mg film-coated tablets","Telbivudine(Ldt 600)","台灣諾華股份有限公司","11 07 2012 12:00:00","新成分"
"衛署藥製字第049084號","08 10 2007 12:00:00","Sotalon Capsules 10mg","Zaleplon","萬菱藥品科技股份有限公司","12 05 2010 12:00:00","新成分(藥輸023720)"
"衛署藥輸字第024732號","29 10 2007 12:00:00","Invega Extended Release Tablets 3mg","Paliperidone","嬌生股份有限公司","29 10 2012 12:00:00","新成分"
"衛署藥字第049153號","15 11 2007 12:00:00","Oxbu Extended-release Tablets 5mg","Oxybutynin Chloride 5mg","健喬信元醫藥生技股份有限公司","","新劑型"
"衛署藥製字第049166號","21 11 2007 12:00:00","Onsleep capsules 10mg ＂Standard＂(Zaleplon)","Zaleplon","生達化學製藥股份有限公司","12 05 2010 12:00:00","新成分(藥輸023720)"
"衛署藥輸字第024763號","26 12 2007 12:00:00","Protos 2g","Strontium Ranelate","新加坡商施維雅股份有限公司台灣分公司","26 12 2012 12:00:00","新成分"
"衛署藥製字第049263號","29 01 2008 12:00:00","Nosetec sustained-release capsules","Pseudoephedrine Hydrochloride And Cetirizine Dihydrochloride","瑞士藥廠股份有限公司","18 05 2010 12:00:00","新複方(藥輸024232)"
"衛署藥輸字第024794號","03 03 2008 12:00:00","Sprycel Tablets 50mg","Dasatinib","台灣必治妥施貴寶股份有限公司","03 03 2013 12:00:00","新成分"
"衛署藥輸字第024813號","27 03 2008 12:00:00","Sprycel Tablets 20mg","Dasatinib","台灣必治妥施貴寶股份有限公司","27 03 2013 12:00:00","新成分"
"衛署藥輸字第024800號","27 03 2008 12:00:00","Sprycel Tablets 70mg","Dasatinib","台灣必治妥施貴寶股份有限公司","06 03 2013 12:00:00","新成分"
"衛署藥輸字第024876號","03 09 2008 12:00:00","Amaryl M Tablets 2/500 mg","Glimepiride 2mg + Metformin Hydrochloride 500mg","賽諾菲安萬特股份有限公司","03 09 2013 12:00:00","新複方"
"衛署藥製字第049829號","26 11 2008 12:00:00","Diaban Tablets 100mg ＂C.H.＂","Miglitol 100mg","正和製藥股份有限公司","26 11 2013 12:00:00","新成分"
"衛署菌疫輸字第000873號","15 12 2008 12:00:00","Zostavax","(Plaque-Forming Units) Of Oka/Merck Strain Of Vzv","美商默沙東藥廠股份有限公司台灣分公司","15 12 2013 12:00:00","新成分"
"衛署藥製字第049859號","18 12 2008 12:00:00","Setoral Injection 0.3mg","Ramosetron Hydrochloride 0.3mg","台灣安斯泰來製藥股份有限公司","18 12 2013 12:00:00","新成分"
"衛署藥輸字第024084號","23 01 2009 12:00:00","Alimta powder for concentrate for solution for infusion","Pemetrexed Disodium Heptahydrate ","台灣禮來股份有限公司","23 01 2014 12:00:00","新適應症"
"衛署藥輸字第025003號","01 04 2009 12:00:00","Byetta Injection 0.25mg/ml ＂U.K.＂","Exenatide 0.25mg","台灣禮來股份有限公司","01 04 2014 12:00:00","新成分"
"衛署藥輸字第025004號","01 04 2009 12:00:00","Byetta Injection 0.25mg/ml “USA”","Exenatide 0.25mg","台灣禮來股份有限公司","01 04 2014 12:00:00","新成分"
"衛署藥製字第050084號","08 04 2009 12:00:00","Diaban Tablets 50mg ＂C.H.＂","Miglitol 50mg","正和製藥股份有限公司","26 11 2013 12:00:00","新成分(藥製049829)"
"衛署藥製字第051714號","28 10 2009 12:00:00","Migbose F.C. Tablets 50mg ＂standard＂ (Miglitol)","Miglitol 50mg","生達化學製藥股份有限公司","26 11 2013 12:00:00","新成分(藥製050084)"
"衛署菌疫輸字第000891號","25 11 2009 12:00:00","Synflorix","Pneumococcal polysaccharide serotype 1 1 ug Pneumococcal polysaccharide serotype 4 3 ug Pneumococcal polysaccharide serotype 5 1 ug Pneumococcal polysaccharide serotype 6b 1 ug Pneumococcal polysaccharide serotype 7f 1 ug Pneumococcal polysaccharide serotype 9v 1 ug Pneumococcal polysaccharide serotype 14 1 ug Pneumococcal polysaccharide serotype 18c 3 ug Pneumococcal polysaccharide serotype 19f 3 ug Pneumococcal polysaccharide serotype 23f 1 ug Carrier protein (protein d (pd)) 9-16 ug Carrier protein (tetanus toxoid (tt)) 5-10 ug Carrier protein (diphtheria toxoid (dt)) 3-6 ug","荷商葛蘭素史克藥廠股份有限公司台灣分公司","25 11 2014 12:00:00","新成分"
"衛署菌疫輸字第000891號","25 11 2009 12:00:00","Synflorix","Pneumococcal polysaccharide serotype 1 1 ug Pneumococcal polysaccharide serotype 4 3 ug Pneumococcal polysaccharide serotype 5 1 ug Pneumococcal polysaccharide serotype 6b 1 ug Pneumococcal polysaccharide serotype 7f 1 ug Pneumococcal polysaccharide serotype 9v 1 ug Pneumococcal polysaccharide serotype 14 1 ug Pneumococcal polysaccharide serotype 18c 3 ug Pneumococcal polysaccharide serotype 19f 3 ug Pneumococcal polysaccharide serotype 23f 1 ug Carrier protein (protein d (pd)) 9-16 ug Carrier protein (tetanus toxoid (tt)) 5-10 ug Carrier protein (diphtheria toxoid (dt)) 3-6 ug","荷商葛蘭素史克藥廠股份有限公司台灣分公司","25 11 2014 12:00:00","新成分"
"衛署藥輸字第025158號","24 03 2010 12:00:00","Invega Extended Release Tablets 9mg","Paliperidone","嬌生股份有限公司","29 10 2012 12:00:00","新成分"
"衛署菌疫輸字第000897號","27 05 2010 12:00:00","Orencia Lyophilized Powder for IV Infusion 250mg","Abatacept 262.5mg","台灣必治妥施貴寶股份有限公司","27 05 2015 12:00:00","新成分"
"衛署藥輸字第025220號","22 06 2010 12:00:00","Onglyza Film-Coated Tablet 2.5mg","Saxagliptin","台灣必治妥施貴寶股份有限公司","22 06 2015 12:00:00","新成分"
"衛署藥輸字第025221號","22 06 2010 12:00:00","Onglyza Film-Coated Tablet 5mg","Saxagliptin","台灣必治妥施貴寶股份有限公司","22 06 2015 12:00:00","新成分"
"衛署藥輸字第025224號","28 06 2010 12:00:00","Multaq 400mg film-coated tablets","Dronedarone Hydrochloride 426mg","賽諾菲安萬特股份有限公司","28 06 2015 12:00:00","新成分"
"衛署藥輸字第025234號","14 07 2010 12:00:00","EXELON PATCH 5","Rivastigmine 9mg","台灣諾華股份有限公司","14 07 2015 12:00:00","新投予途徑"
"衛署藥製字第055118號","16 07 2010 12:00:00","Urief Capsules 4 mg","Silodosin 4mg","健喬信元醫藥生技股份有限公司","16 07 2015 12:00:00","新成分"
"衛署藥輸字第025242號","05 08 2010 12:00:00","TS-1CAPSULES 25MG","Tegafur 25mg+Gimeracil 7.25mg+Oteracil Potassium 24.5mg","臺灣東洋藥品工業股份有限公司　","05 08 2015 12:00:00","新複方"
"衛署藥輸字第025243號","05 08 2010 12:00:00","TS-1 CAPSULES 20MG　","Tegafur 20mg+Gimeracil 5.8mg+Oteracil Potassium 19.6mg","臺灣東洋藥品工業股份有限公司　","05 08 2015 12:00:00","新複方"
"衛署藥製字第055405號","01 10 2010 12:00:00","Nidadd Sustained Release Tablets 500mg　","Niacin 500mg","世育興業股份有限公司","01 10 2015 12:00:00","新適應症"
"衛署藥輸字第025272號","05 10 2010 12:00:00","Revolade film-coated tablets 25mg","Eltrombopag Olamine, Milled","荷商葛蘭素史克藥廠股份有限公司台灣分公司","05 10 2015 12:00:00","新成分"
"衛署藥輸字第025273號","05 10 2010 12:00:00","Revolade film-coated tablets 50mg","Eltrombopag Olamine, Milled","荷商葛蘭素史克藥廠股份有限公司台灣分公司","05 10 2015 12:00:00","新成分"
"衛署藥輸字第025282號","19 10 2010 12:00:00","Onbrez Breezhaler 150 mcg inhalation powder, hard capsule","Indacaterol Maleate","台灣諾華股份有限公司","19 10 2015 12:00:00","新成分"
"衛署藥字第056633號","23 06 2011 12:00:00","Coniel F.C. Tablets 4mg","Benidipine Hydrochloride","健僑信元醫藥生技股份有限公司","23 06 2016 12:00:00","新成分"
"衛署菌疫輸字第000912號","13 01 2011 12:00:00","Adacel Polio　","Each dose (0.5mL) contains: Pertussis Toxoid 2.5 Mcg, Filamentous Haemagglutinin 5 Mcg, Agglutinogens Fimbriae 2+3 5 Mcg, Pertactin 3 Mcg, Diphtheria Toxoid 2 Lf(Units), Tetanus Toxoid 5 Lf(Units), Inactivated Poliovirus Vaccine Type I 40 D-Antigen Units, Inactivated Poliovirus Vaccine Type Ii 8 D-Antigen Units, Inactivated Poliovirus Vaccine Type Iii 32 D-Antigen Units","賽諾菲安萬特股份有限公司","13 01 2016 12:00:00","新成分"
"衛署藥輸字第025633號","28 02 2011 12:00:00","Jevtana Concentrate and solvent for solution for infusion","Cabazitaxel 60mg + Polysorbate 80 Df Rpp-2 1.56 g/L","賽諾菲安萬特股份有限公司","28 02 2017 12:00:00","新成分"
"衛署菌疫輸字第000916號","08 03 2011 12:00:00","Prepandrix TM","Purified Antigen Fractions Of Inactivated Split Virions A/Indonesia/05/2005 (H5n1) Pr8-Ibcdc-Rg2,Tocopherol Alpha Dl- (Eq To Dl-Alpha Tocopherol),Tween 80 (Eq To Polysorbate 80),Squalene ","荷商葛蘭素史克藥廠股份有限公司台灣分公司","08 03 2016 12:00:00","新成分, 疫苗"
"衛署藥輸字第025451號","06 07 2011 12:00:00","Valdoxan film-coated tablets 25mg","Agomelatine 25mg","新加坡施維雅股份有限公司台灣分公司","09 07 2016 12:00:00","新成分"
"衛署藥輸字第025451號","09 07 2011 12:00:00","Valdoxan film-coated tablets 25mg","Agomelatine 25mg","新加坡施維雅股份有限公司台灣分公司","09 07 2016 12:00:00","新成分"
"衛署藥輸字第025573號","28 11 2011 12:00:00","Daxas Film-Coated Tablets 500 mcg","Roflumilast(Micronized)","臺灣武田藥品工業股份有限公司","28 11 2016 12:00:00","新成分"
"衛署藥輸字第025395號","14 02 2012 12:00:00","Simdax 2.5mg/ml Concentrate for Solution for Infusion","Levosimendan 2.5mg","健喬信元醫藥生技股份有限公司","14 02 2017 12:00:00","新成分"
"衛署藥輸字第025691號","11 05 2012 12:00:00","BRILINTA Film-coated Tablets 90 mg　","Ticagrelor 90mg","臺灣阿斯特捷利康股份有限公司","11 05 2017 12:00:00","新成分"
"衛署藥製字第057216號","15 05 2012 12:00:00","Linicor F.C.T. 20/500 mg","Niacin 500mg+Lovastatin 20mg","居正企業股份有限公司","15 05 2017 12:00:00","新複方"
"衛署藥輸字第025542號","24 05 2012 12:00:00","Ella　","Ulipristal Acetate  30mg","友華生技醫藥股份有限公司","24 05 2017 12:00:00","新成分"
"衛署藥輸字第024239號","26 11 2012 12:00:00","Cymbalta 60mg","Duloxetine Hydrochloride 67.3mg","台灣禮來股份有限公司","26 11 2017 12:00:00","新適應症"
"衛署藥輸字第024240號","26 11 2012 12:00:00","Cymbalta 30mg","Duloxetine Hydrochloride 33.7mg","台灣禮來股份有限公司","26 11 2017 12:00:00","新適應症"
"衛署藥輸字第025146號","26 12 2012 12:00:00","Cialis Film-Coated Tablets 2.5mg","Tadalafil 2.5mg","台灣禮來股份有限公司","26 12 2017 12:00:00","新適應症"
"衛署藥輸字第025147號","26 12 2012 12:00:00","Cialis Film-Coated Tablets 5mg","Tadalafil 5mg","台灣禮來股份有限公司","26 12 2017 12:00:00","新適應症"
"衛署藥輸字第025938號","01 03 2013 12:00:00","XALKORI Capsules 250mg","Crizotinib 250mg","輝瑞大藥廠股份有限公司","","新成分"
"衛署藥輸字第025939號","01 03 2013 12:00:00","XALKORI Capsules 250mg","Crizotinib 200mg","輝瑞大藥廠股份有限公司","","新成分"
"衛署藥輸字第022932號","10 01 2012 12:00:00","Plavix film-coated tablets 75 mg","CLOPIDOGREL HYDROGEN SULFATE 97.875mg","賽諾菲股份有限公司","10 01 2017 12:00:00","新增適應症"
"衛署藥製字第057199號","101/05/02","Zonegran Film-coated Tablets 100 mg","Zonisamide 100mg","衛采製藥股份有限公司","106/05/02","新成分"
"衛署藥輸字第025958號","27 03 2013 12:00:00","Veregen 10% Ointment","Polyphenon E 0.1g","杏國新藥股份有限公司","27 03 2018 12:00:00","新成分"
"衛署藥輸字第025242號","102/08/23","TS-1CAPSULES 25MG","Tegafur 25mg+Gimeracil 7.25mg+Oteracil Potassium 24.5mg","臺灣東洋藥品工業股份有限公司　","107/08/22","新增適應症"
"衛署藥輸字第025243號","102/08/23","TS-1 CAPSULES 20MG　","Tegafur 20mg+Gimeracil 5.8mg+Oteracil Potassium 19.6mg","臺灣東洋藥品工業股份有限公司　","107/08/22","新增適應症"
"衛署藥輸字第026031號","102/05/17","Giotrif Film-Coated Tablets 20 mg","Afatinib dimaleate 29.56 mg (equivalent to 20 mg free base)","臺灣百靈佳殷格翰股份有限公司","107/05/17","新成分"
"衛署藥輸字第026032號","102/05/17","Giotrif Film-Coated Tablets 30 mg","Afatinib dimaleate 44.34 mg (equivalent to 30 mg free base)","臺灣百靈佳殷格翰股份有限公司","107/05/17","新成分"
"衛署藥輸字第026033號","102/05/17","Giotrif Film-Coated Tablets 40 mg","Afatinib dimaleate 59.12 mg (equivalent to 40 mg free base)","臺灣百靈佳殷格翰股份有限公司","107/05/17","新成分"
"衛署藥輸字第026034號","102/05/17","Giotrif Film-Coated Tablets 50 mg","Afatinib dimaleate 79.3 mg (equivalent to 50 mg free base)","臺灣百靈佳殷格翰股份有限公司","107/05/17","新成分"
"衛署菌液輸字第000935號","101/10/16","Benlysta Powder for Solution for Infusion","BELIMUMAB 400 mg","荷商葛蘭素史克藥廠股份有限公司台灣分公司","106/10/16","新成分, 基因工程製劑"
"衛部藥字第058156賀號","103/02/19","Brosym for Injection","CEFOPERAZONE SODIUM 500mg+SULBACTAM(AS SODIUM)STERILE 500mg","臺灣東洋藥品工業股份有限公司　","108/02/19","新複方"
"衛部藥輸字第026216號","103/03/18","Betmiga Prolonged-release Tablets 50mg","Mirabegron 50mg","台灣安斯泰來製藥股份有限公司","108/03/18","新成分"
"衛部藥輸字第026217號","103/03/18","Betmiga Prolonged-release Tablets 25mg","Mirabegron 25mg","台灣安斯泰來製藥股份有限公司","108/03/18","新成分"
"衛部藥輸字第026124號","102/08/14","Eliquis Film-Coated Tablet 2.5mg","Apixaban 2.50mg","臺灣必治妥施貴寶股份有限公司","107/08/14","新成分"
"衛部藥輸字第026133號","102/08/14","Eliquis Film-Coated Tablet 5mg","Apixaban 5mg","臺灣必治妥施貴寶股份有限公司","107/08/14","新成分"
"衛部藥輸字第026536號","104/09/10","OPSUMIT film-coated tablets 10mg","Macitentan 10mg","愛可泰隆醫藥技術有限公司","109/09/10","新成分"
"衛部藥輸字第058792號","104/11/10","Bowklean Powder","PICOSULFATE SODIUM 0.01gm+CITRIC ACID ANHYDROUS 12gm+MAGNESIUM OXIDE 3.5gm","景安興業股份有限公司","109/11/10","新複方"
"衛部藥輸字第026649號","105/02/19","RAPIACTA for intravenous Drip Infusion 300mg","Peramivir hydrate 349.4mg","台灣塩野義製藥股份有限公司","110/02/19","新成分"
"衛部罕藥輸字第000034號","105/01/25","Opsumit film-coated tablets 10mg","Macitentan 10mg","愛可泰隆醫藥技術有限公司","110/01/25","新成分"
