回收分級,文號,日期,產品,許可證字號,批號,許可證持有者,原因,
"","衛署藥字第0980362511號函","2009-08-26","＂台裕＂縮水蘋果酸甲基麥角新鹼注射液","衛署藥製字第021893號","","台裕化學製藥廠股份有限公司","藥品發生內含白色長條狀物",
"","衛署藥字第0980362191號函","2009-08-06","＂聯邦＂扼煞西林注射劑","衛署藥製字第048641號","OYI09E49","聯邦化學製藥股份有限公司","注射劑溶解後出現白色或黑色雜質",
"","衛署藥字第0980362146號書函","2009-08-06","＂榮民＂得百利寧錠500毫克（乙醯胺酚）","衛署藥製字第020707號","T-7411","榮民製藥股份有限公司","有毛髮雜質",
"","衛署藥字第0980362190號書函","2009-08-06","久仁浣腸液","衛署成製字第007869號","","久仁製藥廠股份有限公司","有雜質",
"","衛署藥字第0980362131號函","2009-08-04","＂永信＂伏摩素注射液","衛署藥製字第044601號","KSIA004","永信藥品工業股份有限公司","有雜質",
"","衛署藥字第0980316153號函","2009-04-21","氯化鈉注射液0.9% 500ml（塑膠瓶）","衛署藥製字第044280號","OL8097A","暉達藥品有限公司","內容物有雜質",
"2","FDA藥字第0991559950號書函","2010-11-24","克必恩周邊靜脈輸注液 KABIVEN PI, EMULSION FOR INFUSION","衛署藥輸字第023709號","10CM7868、10CM7872、10DA8404、10CC1695、10CM8250","臺灣費森尤斯卡比股份有限公司","顏色異常、包裝瑕疵",
"2","104年10月27日 FDA藥字第1041410827號(食藥署藥品組)","2015-11-05","保孕威凍晶注射劑75國際單位 BRAVELLE 75 I.U. Powder and Solvent for solution for Injection","衛署藥輸字第025574號","H13609E、H14374E、K18203L","輝凌藥品股份有限公司","廠商主動通報，說明藥品因長期安定性試驗結果發現其主成分之效價低於原核准規格",
"2","104年11月9日 FDA藥字第1046070991號(食藥署藥品組)","2015-11-26","＂景德＂ 安祈平錠0.5毫克(樂耐平) ANZEPAM TABLETS 0.5MG (LORAZEPAM) ＂KINGDOM＂","衛署藥製字第023370號","MM005、MM006、PA007、PA008、PB022、PB023、PD008、PD009、T03394、T03395、T03396、T03666、T03667、T03668","景德製藥股份有限公司","廠商主動通報，說明藥品因長期安定性試驗結果發現主成分(LORAZEPAM) 含量低於原核准規格。",
"2","104年11月9日 FDA藥字第1046070991號(食藥署藥品組)","2015-11-26","＂景德＂雙羥蒽醌注射液2毫克/毫升 MITOXANTRONE INJECTION 2MG/ML ＂KINGDOM＂","衛署藥製字第033445號","O00302","景德製藥股份有限公司","廠商主動通報，說明藥品因長期安定性試驗結果發現不純物限量項目不符合規格。",
"2","104年11月9日 FDA藥字第1046070991號(食藥署藥品組)","2015-11-26","＂景德＂ 安敏易眼藥水 Alminto Eye Drops ＂Kingdom＂","衛署藥製字第048389號","RC008、RC009、RC010","景德製藥股份有限公司","廠商主動通報，說明藥品因長期安定性試驗結果發現主成分(CHLORHEXIDINE GLUCONATE)含量趨近於原核准規格下限。",
"2","104年11月9日 FDA藥字第1046070991號(食藥署藥品組)","2015-11-26","＂景德＂丹祈屏錠2毫克 DIAZEPAM TABLETS","衛署藥製字第001646號","MP111、MP112、MR013、MR014","景德製藥股份有限公司","廠商主動通報，說明藥品未申請變更賦形劑。",
"2","104年11月20日 FDA藥字第1040054779號(食藥署藥品組)","2015-12-07","特卡朗糖衣錠0.75公絲(迪皮質醇) DECARON S.C. TABLET 0.75MG (DEXAMETHASONE) ＂CHEN TA＂","衛署藥製字第012550號","A21602、C22801","成大藥品股份有限公司","藥品因長期安定性試驗之溶離度試驗結果未符合原核准規格",
"2","104年11月20日 FDA藥字第1040054779號(食藥署藥品組)","2015-12-07","法樂奇漱口水 ORALFRESH GARGLE","衛署成製字第016214號","效期APR 2017前全批號(共25批)","成大藥品股份有限公司","廠商主動通報，說明藥品因長期安定性試驗之pH值試驗結果未符合原核准規格。",
"第二級","104年11月5日部授食字第1041107041號(食藥署風管組)","2015-12-10","美膚乳膏","衛署藥製字第027468號","104年4月前生產之批號","信效生物科技股份有限公司","",
"第二級","104年11月5日部授食字第1041107042號(食藥署風管組)","2015-12-10","＂嘉信＂ 愛吾膚水溶性軟膏","衛署藥製字第013642號","104年4月前生產之批號","嘉信藥品股份有限公司","使用不符合規定之原料藥。",
"","104年10月19日部授食字第1041106143B號(食藥署風管組)","2015-12-10","除得淨糖衣錠","衛署藥製字第005359號","OP06(共1批)","永吉製藥股份有限公司","持續性安定性試驗檢驗結果不合格。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂苯甲酸氫偶素注射液","衛署藥製字第020842號","4283201","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"","衛署藥字第0980316154號函","2009-04-21","久仁浣腸液","衛署成製字第007869號","80855、80531","久仁製藥廠股份有限公司","藥品有黑色雜質",
"2","署授食字第1001101352號函","2011-08-18","熱風可鎮膠囊、痢博新膠囊、磺胺甲氧唑錠、協定痛錠、＂木村＂胃散、青蘭油","內衛藥製字第015056號、衛署藥製字第022893號、衛署藥製字第008499號、衛署藥製字第006964號、衛署藥製字第024680號、衛署成製字第003664號","","木村藥化企業股份有限公司","涉及嚴重缺失，其產品品質及安全堪慮",
"2","FDA藥字第1000000042號書函","2011-01-02","得百利寧錠500毫克 DEPYRETIN TABLETS 500mg(ACETAMINOPHEN)","衛署藥製字第020707號","T-9101、T-9182","榮民製藥股份有限公司","錠劑中有毛刷",
"2","","2010-03-22","賜爾寧注射劑（西華樂林）STAZOLIN INJ. (CEFAZOLIN) ＂STANDARD＂","衛署藥製字第032549號","231","生達化學製藥股份有限公司","注入注射用蒸餾水溶解後發現有黑點雜質",
"2","FDA藥字第1001405534號書函","2011-08-25","康賜爾散劑 KONSYL","衛署藥輸字第014837號","E00102","幸生實業股份有限公司","散劑開封後有雜質",
"2","FDA藥字第0991559268號書函","2010-11-04","佑而康錠 EUGLUCON TABLETS","衛署藥輸字第014586號","14批庫存","禾利行股份有限公司","3年安定性試驗降解產物超過標準",
"2","FDA藥字第0991553229號","2010-04-15","庫魯化錠 Glucophage Tablets","衛署藥輸字第007152號","105563、105576、105593、105608、105624","嘉德藥品企業有限公司","錠劑有不明小黑點",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂滅疥佳軟膏","衛署藥製字第029212號","有效期限2017年07月03日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂抗黴菌乳膏","衛署藥製字第029217號","有效期限2021年04月25日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂ 必胃健錠","衛署藥製字第029418號","有效期限2020年12月09日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂優賜胃錠500公絲(斯克拉非)","衛署藥製字第029736號","3100201、3100203-3100206、4100205、5100202-5100203","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","“大豐”謳速生注射液10國際單位/毫升","衛署藥製字第033873號","3177204-3177209、4177201-4177206、5177201-5177211、5177213-5177220、6177202、6177205-6177215","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1050020411號 (食藥署風管組)","2016-05-26","咳舒佳液 COSICA LIQUID ＂J.C.S.＂","衛署藥製字第034044號","411301~411303","正長生化學製藥股份有限公司","產品含量測定結果與規格不符。",
"","衛署藥字第0980316249號函","2009-03-24","化痰能顆粒20公絲/公克（乙基希賜典）","衛署藥製字第026551號","K09218B","西德有機化學藥品股份有限公司","藥品包裝內容物有黑色雜質",
"","衛署藥字第0980316237號函","2009-03-24","達康胃錠（希每得定）","衛署藥製字第023028號","S09A","中美兄弟製藥股份有限公司","錠劑有雜質",
"","衛署藥字第0980316238號函","2009-03-24","蒙利安命賜源注射液","衛署藥製字第024029號","75P613","中國化學製藥股份有限公司新豐工廠","內容物有雜質",
"","衛署藥字第0970319898號書函","2008-09-19","＂聯邦＂扼煞西林注射劑","衛署藥製字第048641號","OYI23D48、OYI18C48","聯邦化學製藥股份有限公司","注射劑經稀釋後內含黑色不明物質",
"","衛署藥字第0970343347號書函","2008-11-25","使可治壯乾粉注射劑300公絲（皮質醇琥珀酸鈉）","衛署藥製字第039606號","","順華藥品工業股份有限公司","已泡製注射液中出現類似木屑的長條狀雜質",
"","衛署藥字第0970319817號書函","2008-08-29","生理食鹽水注射液500ml（玻璃瓶）","衛署藥製字第001085號","239O79A","永豐化學工業股份有限公司","玻璃瓶注射液中有長灰黑色物質",
"2","FDA藥字第1001401641號書函","2011-03-17","賜爾寧注射劑（西華樂林）","衛署藥製字第032549號","","生達化學製藥股份有限公司","針劑內有疑似玻璃異物",
"2","FDA藥字第0991560140號函","2010-12-29","克慮平錠100毫克（可洛慮平）","衛署藥製字第042448號","LTH276","瑞士藥廠股份有限公司","外觀碎裂",
"","FDA藥字第1000021402號書函","2011-04-19","順療疼注射液30毫克/毫升","衛署藥製字第048699號","","育生企業股份有限公司","批號002未開封針劑內有雜質、批號001同模具生產",
"2","署授食字第1001100632號函","2011-04-19","＂天乾＂安克黴寧親水性乳膏","衛署藥製字第032501號","","天乾製藥有限公司","產品製造管制標準書之標準處方非衛生署核准之處方",
"2","署授食字第1001100714號函","2011-05-05","＂正長生＂痛得好感冒液、浣腸液150毫克/公克（氯化鈉）、整腸丸、＂正長生＂感得寧液、＂正長生＂薄荷棒、克膚寧乳膏0.05%（可洛貝他索）","衛署藥製字第032916號、衛署成製字第010064號、衛署成製字第003168號、衛署藥製字第017008號、衛署成製字第008311號、衛署藥製字第034107號","","正長生化學製藥股份有限公司","涉及嚴重缺失，其產品品質及安全堪慮",
"2","署授食字第1001100758號函","2011-05-12","＂成大＂氫氧化鎂錠300毫克、酸氣寧糖衣錠、＂成大＂阿西淨顆粒66.67毫克/公克（乙醯半胱胺酸）、宜舒胃錠、理膚肝糖衣錠、炎能糖衣錠、博舒痛錠500公絲（每非那）、使復健糖衣錠、克痛炎凝膠1%（待克菲那）、＂成大＂克痛芬凝膠30毫克（凱妥普洛芬）、＂成大＂尼樂敏錠4毫克（縮蘋酸氯菲安明）","衛署藥製字第020455號、衛署藥製字第007356號、衛署藥製字第038163號、衛署藥製字第012542號、衛署藥製字第007479號、衛署藥製字第023791號、衛署藥製字第038211號、衛署藥製字第025985號、衛署藥製字第036867號、衛署藥製字第041522號、衛署藥製字第006551號","","成大藥品股份有限公司","屢次查核結果發現未有原物料之檢驗及領用紀錄、生產之批次製造紀錄、產品之檢驗紀錄等，其產品品質及安全堪慮",
"2","","2011-05-27","潔膚軟膏","衛署藥製字第041287號","TG-055","TG-055","含量低於合格（Betamethasone (17-Valerate)）",
"2","FDA藥字第1001403475號函","2011-06-07","口舒樂藥膏（安西諾隆）","衛署藥製字第018772號","1011097、1104035、1104036、1102034、1102035、1102036","臺灣汎生製藥廠股份有限公司","疑似為原料受污染",
"2","FDA藥字第1001403474號函","2011-06-10","固骨密加強型口服溶液用粉劑","衛署藥製字第049448號","","瑞安大藥廠股份有限公司","使用受塑化劑污染廠商所提供之原料，產品疑似為受塑化劑污染",
"","FDA藥字第1001403531號書函","2011-06-14","＂政德＂美普隆乾粉注射劑","衛署藥製字第043726號","IC1032","政德製藥股份有限公司","藥品瓶標標示錯誤",
"","FDA藥字第1001403479號書函","2011-06-17","立克醣膜衣錠500公絲（二甲二脈）","衛署藥製字第034096號","GMT510184-510185、GMT510196A-510197A","培力藥品工業股份有限公司","鋁箔包內有雜質",
"","FDA藥字第1001403517號函","2011-06-17","每鞭達挫錠","衛署藥製字第016247號","","臺灣汎生製藥廠股份有限公司","使用受塑化劑污染廠商所提供之原料，產品疑似為受塑化劑污染",
"2","FDA藥字第1001404482號書函","2011-07-22","＂內外＂普利爽錠","內衛藥製字第013753號","5027","內外化學工業股份有限公司","錠劑有雜質",
"2","FDA藥字第1000045201號書函","2011-07-25","快通浣腸液","衛署成製字第008033號","100410、100510、010711、010811、010911、021211","明仁醫藥股份有限公司","賦形劑Sodium benzoate含量不足",
"2","署授食字第1001101469號函","2011-09-13","胃喜因懸浮液","衛署藥製字第024613號","","皇佳化學製藥股份有限公司","產品製造管制標準書之標準處方非衛生署核准之處方",
"2","FDA藥字第1001406617號書函","2011-09-28","乳酸林格氏乙注射液","衛署藥製字第002801號","253D43E","永豐化學工業股份有限公司","點滴溶液內有疑似橡皮圈",
"2","FDA藥字第1001406981號書函","2011-10-06","＂長安＂康格-四聯乳膏","衛署藥製字第039208號","LF02","長安化學工業股份有限公司","檢驗未合格（含量測定）",
"1","署授食字第1011403966號公告","2012-06-04","＂合誠＂ 服樂脈膜衣錠150公絲（鹽酸布福脈迪歐）Buflo F.C. Tablets 150mg (Buflomedil Hydrochloride) ＂H.C.＂","衛署藥製字第041817號","","合誠化學製藥股份有限公司","安全性評估未獲通過",
"2","104年12月4日 FDA藥字第1040050403A號(食藥署藥品組)","2015-12-17","浣腸液150毫克/公克(氯化鈉) WAN ZAN ENEMA 150MG/GM (SODIUM CHLORIDE) ＂J.C.S＂","衛署成製字第010064號","效期106年12月前所有批號","正長生化學製藥股份有限公司","廠商主動通報，說明藥品藥品使用不符合規定之原料藥",
"2","104年12月4日 FDA藥字第1040050403A號(食藥署藥品組)","2015-12-17","＂正長生＂一必通甘油浣腸液 30% Glycerin Enema Solution 30%“J.C.S.”","衛署成製字第015271號","效期105年12月前所有批號","正長生化學製藥股份有限公司","廠商主動通報，說明藥品藥品使用不符合規定之原料藥",
"第二級","104年10月19日部授食字第1041106539號(食藥署風管組)","2015-12-31","速克腫軟膏４２．６公絲/公克〝北進〞ROSSKASTAN OINTMENT 42.6MG/GM ＂P.J.＂","衛署藥製字第036952號","DC1173","北進國際有限公司","含量測定結果與原核准規格不符。",
"第二級","104年12月3日部授食字第1041107042號(食藥署風管組)","2015-12-31","＂生春＂ 伏痛貼布 (氟白普洛芬) ANTIPAIN PATCH ＂SHENG CHUN＂ (FLURBIPROFEN)","衛署藥製字第045599號","BB22E","生春堂製藥工業股份有限公司","含量測定結果與原核准規格不符。",
"2","104年12月28日 FDA藥字第1040056422號(食藥署藥品組)","2016-01-07","舒藥胃寧散 SHUYAWEILIN POWDER ＂T.W.＂","衛署藥製字第016102號","219401","峰揚新生技有限公司","廠商主動通報，說明藥品藥品使用不符合規定之原料藥",
"2","104年12月15日 FDA藥字第1041412399號(食藥署藥品組)","2016-01-14","“大豐”安神眠錠1毫克 Lovamin Tablets 1mg ＂T.F.＂","衛署藥製字第025623號","3080203","大豐製藥股份有限公司","藥品不純物(Lorazepam related compound C,D,E)含量及不純物總量皆超出美國藥典之限量範圍",
"2","104年12月15日 FDA藥字第1040058940號(食藥署藥品組)","2016-01-14","容可曼針筒注射劑2000國劑單位 RECORMON SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 2000IU","衛署菌疫輸字第000646號","H0816H04","羅氏大藥廠股份有限公司","廠商主動通報，說明藥品注射針筒品質不佳(組裝針筒與針頭後，有滲漏之現象)。",
"2","104年12月30日 FDA藥字第1046083470號(食藥署藥品組)","2016-01-22","可致律錠25毫克CLOZARIL TABLETS 25MG","衛署藥輸字第018541號","U0808A、U0801","台灣諾華股份有限公司","廠商主動通報，說明藥品因長期安定性試驗之溶離度試驗結果低於原核准規格",
"2","104年12月30日 FDA藥字第1046083470號(食藥署藥品組)","2016-01-22","可致律錠100毫克CLOZARIL TABLETS 100MG","衛署藥輸字第018542號","U2093、U2090、U2089、U2050","台灣諾華股份有限公司","廠商主動通報，說明藥品因長期安定性試驗之溶離度試驗結果低於原核准規格",
"","105年1月7日 FDA藥字第1050000278號(食藥署藥品組)","2016-01-22","＂濟生＂回利他命注射液 FELINAMIN INJECTION ＂CHI SHENG＂","衛署藥製字第013651號","IA023、IA051","濟生化學製藥廠股份有限公司","藥品因長期安定性試驗結果發現主成分含量趨近於原核准規格下限。",
"第二級","104年12月30日 FDA風字第1040061191號(食藥署風管組)","2016-01-28","＂久松＂ 風熱友液 HONZEYU SOLUTION ＂C.S.＂","衛署藥製字第031492號","SH2013","久松化學企業股份有限公司","含量測定結果與原核准規格不符。",
"第二級","104年12月30日 FDA風字第1040060902號(食藥署風管組)","2016-01-28","得治黴乳膏 TRINAZOLE CREAM ＂YUNG CHI＂","衛署藥製字第031978號","OU01","永吉製藥股份有限公司","含量測定結果與原核准規格不符。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂復爾力Ｅ口服液","衛署藥製字第029339號","4005202","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂治鼻敏錠","衛署藥製字第029512號","有效期限2017年12月10日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"1","署授食字第1011403966號公告","2012-06-04","＂亞培＂ 洛福迪膜衣錠(布福脈迪歐) LOFTYL FILM TABLETS (BUFLOMEDIL HCL)","衛署藥製字第042951號","","香港商英維達有限公司台灣分公司","安全性評估未獲通過",
"1","署授食字第1011403966號公告","2012-06-04","＂合吉＂ 鹽酸別福咪迪酸 BUFLOMEDIL HYDROCHLORIDE","衛署藥輸字第019864號","","新雙隆生技股份有限公司","安全性評估未獲通過",
"1","署授食字第1011403966號公告","2012-06-04","脈通暢 膜衣錠300公絲 BLADIRON F.C. TABLETS","衛署藥輸字第022805號","","吉裕藥品有限公司","安全性評估未獲通過",
"1","署授食字第1011403966號公告","2012-06-04","鹽酸別福咪迪酸 Buflomedil Hydrochloride","衛署藥陸輸字第000457號","","誠品貿易有限公司","",
"2","FDA藥字第1011405234號函","2012-06-18","惠心糖衣錠50公絲＂國嘉＂ OSIN S.C. TABLETS 50MG (DIPYRIDAMOLE) ＂KOJAR＂","衛署藥製字第031228號","","國嘉製藥工業股份有限公司","溶離度試驗結果與原核准規格不符",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","“大豐”痛炎好膜衣錠500毫克","衛署藥製字第029885號","2106204、2106206、2106209、2106211、2106213、3106201、3106204-3106208、3106210、4106202-4106203、4106205、5106201、5106203、5106205-5106208、5106210、5106214","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂力妃士他鈣Ｂ６注射液","衛署藥製字第033876號","2180203-2180210、3180201-3180208、4180202-4180204、4180206-4180209、5180201-5180202、5180204-5180206、5180208-5180218","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年6月24日 FDA風字第1050024721號(食藥署風管組)","2016-06-30","一陣風感冒液 ICHEN FONG ANCOLD SOLUTION","衛署藥製字第024812號","AC1613","威力化學製藥股份有限公司","產品含量測定結果與規格不符。",
"2","FDA藥字第1001406723號書函","2011-10-11","彼膚美軟膏","衛署藥製字第022850號","HA00604","恆安製藥工業股份有限公司","檢驗未合格（含量測定）",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂蟯剋顆粒１００毫克/公克","衛署藥製字第032722號","有效期限2018年12月15日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂克疹乳膏0.5毫克/公克","衛署藥製字第032812號","有效期限2021年01月20日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂泛好嗽鎮注射液","衛署藥製字第033558號","有效期限2020年10月25日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"2","FDA藥字第1001406979號書函","2011-10-11","樂儷彷親水軟膏","衛署藥製字第019778號","AT101001","東洲化學製藥廠股份有限公司","檢驗未合格（含量測定）",
"2","FDA藥字第1000065437號書函","2011-10-11","西華樂林注射劑","衛署藥製字第019280號","EA029","濟生化學製藥廠股份有限公司","針劑開封後有雜質",
"2","FDA藥字第1001407142號書函","2011-10-18","潰克定膜衣錠300公絲（鹽酸雷尼得定）","衛署藥製字第039035號","01T3E1","中國化學製藥新豐工廠","異物混入藥品內",
"2","FDA藥字第1000065437號書函","2011-10-18","＂信東＂克痛解注射液30毫克/毫升","衛署藥製字第047551號","2RD0178","信東生技股份有限公司","異物混入藥品內",
"2","FDA藥字第1000068187號書函","2011-10-18","＂瑞安＂普健膚乳膏","衛署藥製字第046483號","9583","瑞安大藥廠股份有限公司","檢驗未合格（含量測定）",
"2","FDA藥字第1001407526號書函","2011-10-26","必坦寧吸入液2.5公絲/公撮","衛署藥製字第043735號","A1721108","信東生技股份有限公司","藥品外觀顏色異常",
"2","FDA藥字第1001407486號函","2011-10-27","維尼膚霜劑","衛署藥製字第018927號","1B1314","南光化學製藥股份有限公司","檢驗未合格（含量測定）",
"2","FDA藥字第1001407487號函","2011-10-27","倍賜爽水溶性軟膏","衛署藥製字第008678號","BGO237","利達製藥股份有限公司","檢驗未合格（含量測定）",
"2","FDA藥字第1001407489號函","2011-10-27","悠利膚軟膏","衛署藥製字第030509號","U12A","中美兄弟製藥股份有限公司","檢驗未合格（含量測定）",
"2","FDA藥字第1000068133號書函","2011-11-02","凍結乾燥卡介苗","衛署菌疫製字第000085號","BG0310001","行政院衛生署疾病管制局","使用時溶解度不佳，有白色片狀懸浮物",
"3","FDA藥字第1000069639號書函","2011-11-03","解佳益舌下錠","衛署藥製字第050251號","102406","美時化學製藥股份有限公司","產品空包之情形",
"2","FDA藥字第1000072301號書函","2011-11-16","＂寶齡＂寶馬生漱口水（克羅希西定）","衛署藥製字第031170號","376-1021","寶齡富錦生技股份有限公司","產品未開封即發現內容物呈渾濁狀況",
"2","FDA藥字第1005051771號書函","2011-11-16","樂多糖漿666公絲/公撮（拉特樂斯）","衛署藥製字第039701號","L5707","杏輝藥品工業股份有限公司","液劑開封後有雜質",
"2","FDA藥字第1001408162號書函","2011-11-16","優本乳膏（磺胺嘧啶銀）","衛署藥製字第020276號","U21265；U21266：U21267：U21268；U21275；U21279","優良化學製藥股份有限公司","顏色異常",
"2","FDA藥字第1000076106號書函","2011-11-23","鋅復原膜衣錠","衛署藥製字第039238號","334-1001；334-1003","寶齡富錦生技股份有限公司","例行之安定性試驗中發現PTP包裝之產品成分cyanocobalamin及calcium pantothenate皆已低於規格下限",
"2","FDA藥字第1000076107號書函","2011-11-23","克菌寧潔淨液0.5%","衛署藥製字第044025號","395-1001、395-1002、395-1101","寶齡富錦生技股份有限公司","例行之安定性試驗中發現藥品之外觀有沉澱物且含量低於規定下限",
"2","105年1月15日 FDA藥字第1050001681號(食藥署藥品組)","2016-02-04","風感克膠囊ANTI-COLDEN CAPSULES","內衛藥製字第011028號","SRV10013、SRV10014、SRV10024、SRV10034、SRV15001、SRV15002","溫士頓醫藥股份有限公司","廠商主動通報，說明藥品因長期安定性試驗結果發現主成分(THIAMINE HYDROCHLORIDE) 含量低於原核准規格",
"第二級","105年1月22日 FDA風字第1050002247號(食藥署風管組)","2016-02-25","利可胃錠","內衛藥製字第016304號","LCT099","利達製藥股份有限公司","生產處方與查驗登記不符",
"第二級","105年1月22日 FDA風字第1050002247號(食藥署風管組)","2016-02-25","＂利達＂ 炎妥安膠囊400公絲","衛署藥製字第014624號","PFC056","利達製藥股份有限公司","重量偏差試驗結果不符廠內規格。",
"第二級","105年1月28日 FDA風字第1050002530B號(食藥署風管組)","2016-02-25","百風熱液 PAIFONGZE SOLUTION","衛署藥製字第024223號","218901","峰揚新生技有限公司","含量測定結果不符廠內規格。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂倍您力口服液","衛署藥製字第029340號","4003201、5003201","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","“大豐”便利腸溶膜衣錠5毫克","衛署藥製字第029883號","3104203、3104204、5104201-5104202","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"2","FDA藥字第1000046263號書函","2011-08-18","欣腫癒腸溶膜衣錠5公絲（鋸齒酵素）","衛署藥製字第036668號","114","生達化學製藥股份有限公司","疑似受塑化劑污染",
"2","FDA藥字第1000051549號書函","2011-08-18","順淨浣腸","衛署藥製字第018013號","","慶豐商貿有限公司","溶液內有雜質",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂袪痰錠200毫克（呱芬那辛）","衛署藥製字第030692號","2079201、2079202、4079201-4079202、5079201","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂克痛可得錠4公絲（特安皮質醇）","衛署藥製字第030695號","4069201、4069203、6069201","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂ 消炎腸溶膜衣錠２５毫克","衛署藥製字第030964號","2108202、4108201","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","FDA藥字第1011407607號函","2012-08-31","優本乳膏（磺胺嘧啶銀）UBURN CREAM (SILVER SULFADIAZINE)　","衛署藥製字第020276號","U22415、U22416、U22421、U22422、U22423","優良化學製藥股份有限公司","顏色異常",
"第二級","105年1月28日 FDA風字第1050002530A號(食藥署風管組)","2016-02-25","止咳寧液 CHIN KO NIN SOLUTION","衛署藥製字第015043號","305801、305802、305803、405801、405802、405803(共6批)","正長生化學製藥股份有限公司","生產處方與查驗登記不符。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂治咳康錠30公絲（美蘇仿）","衛署藥製字第030694號","1073202-1073203、3073201、3073202、5073201、5073202","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂康普肌肉注射液５０毫克/毫升","衛署藥製字第037200號","2235201-2235203、3235201-3235202、4235201-4235204、5235201-5235207","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","”大豐”剋糖錠５毫克","衛署藥製字第029513號","有效期限2019年03月10日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"2","105年6月27日 FDA藥字第1050026248號(食藥署藥品組)","2016-07-07","大正百保能感冒膠囊 PABRON CAPSULES","衛署藥製字第042670號","PACaI001","台灣大正製藥股份有限公司","案內批號藥品原料藥CARBINOXAMINE MALEATE誤用不符合規定之來源",
