燈號,標題名稱,內容,附檔,更新日期
"綠燈","美國食品藥物管理局 (FDA) 發布 CSFPDX 公司自主回收疑遭肉毒桿菌 (Clostridium botulinum) 污染Skipanon 品牌之鮪魚罐頭產品 (CS Fishery Wild Albacore Tuna)，問題產品未有申請食品輸入查驗，問題產品未輸入我國。","美國食品藥物管理局 (FDA) 於 104年10月27日發布 CSFPDX 公司自主回收疑遭肉毒桿菌 (Clostridium botulinum) 污染Skipanon 品牌之鮪魚罐頭產品 (CS Fishery Wild Albacore Tuna)。 問題產品最後銷售日期為 2015年9月，並銷售於美國俄勒岡州之零售商店及批發商。 問題產品詳細資訊如下: 產品名稱 產品規格 代碼 其他資訊 CS Fishery Wild Albacore Tuna 64 盎司 (4 磅) (1991g) OCK 16APR2017 (於罐頭底部及頂部) 其中涉案產品未包括7.5盎司之海鮮罐頭產品 ( premium Wild Line Caught Albacore Tuna)。 目前無相關病例報導，經查問題產品無向本署申請食品輸入查驗紀錄， 問題產品未輸入我國，本案經評估列屬綠燈。 該國原回收警訊網址如下: http://www.fda.gov/Safety/Recalls/ucm469962.htm ;; 1. 涉案產品未輸入我國。 2. 食品藥物管理署呼籲民眾如赴美國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 3. 本菌的毒素主要侵犯末梢神經，症狀有視力模糊或複視、眼瞼下垂、瞳孔放大或無光反射、顏面神經麻痺、唾液分泌障礙、口乾、吞嚥困難及講話困難等。 接續發生由上半身到下半身的肌肉無力、神經性腸阻塞、呼吸困難等相關症狀，失去頭部控制、肌肉張力低下及全身性虛弱，病人通常意識清楚，但嚴重時會因呼吸障礙而死亡，死亡率高達30～60%。真空包裝食品通常沒有經過高溫高壓殺菌，因此一定要購買冷藏銷售及保存的真空包裝食品，購買後也要盡快冷藏，最好先加熱煮沸後再食用。家庭於醃製或保存食品時，欲使毒素破壞須要煮沸至少10分鐘，且食物要攪拌，或將酸鹼值控制在4.5以下（pH＜4.5以下的酸性環境，肉毒桿菌無法生存）。此毒素不耐熱，經煮沸後毒性會消失，消費者則應注意食品在食用前應「充分加熱」。脹起蓋子的罐頭製品一定不可食用。由於孢子於自然界很廣，一歲以下之嬰兒避免餵食蜂蜜。 4. 詳細資料可參考食品藥物管理署食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1945。;; 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8479&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8480&type=0","2015-11-17"
"綠燈","美國食品藥物管理局 (FDA) 發布 Sockeye Suzy’s Fish 公司自主回收疑遭肉毒桿菌 (Clostridium botulinum) 污染之魚類罐頭產品 (canned catfish, salmon, sturgeon, and walleye)，問題產品未有申請食品輸入查驗，問題產品未輸入我國。","1. 美國食品藥物管理局 (FDA) 於 104年10月28日發布 Sockeye Suzy’s Fish 公司自主回收疑遭肉毒桿菌 (Clostridium botulinum) 污染之魚類罐頭產品 (canned catfish, salmon, sturgeon, and walleye)。 2. 問題產品最後銷售日期為 2015年9月，並銷售於美國華盛頓州之 Sockeye Suzy’s Fish 商店、零售商店及釀酒廠。 3. 問題產品詳細資訊如下: (1) 製造工廠: Skipanon Brand Seafoods。 (2) 產品底部及頂部含任何以 ”OC” 起始之生產碼。 (3) 有關問題產品其他詳細資訊如下: 產品名稱 品牌名稱 產品規格 UPC碼 Fancy Chinook Sockeye Suzy Fish 6盎司(187g) 7 48252 67292 6 Fancy Spring Chinook 7 48252 67412 8 Peppered & Smoked Chinook 7 48252 67282 7 Peppered & Smoked Chinook 7 48252 67302 2 Peppered & Smoked Coho 7 48252 67212 4 Peppered & Smoked Steelhead 7 48252 67332 9 Peppered & Smoked Sockeye 7 48252 67232 2 Smoked Catfish 7 48252 67252 0 Smoked Chinook 7 48252 67282 7 Smoked Chinook 7 48252 67212 4 Smoked Chinook 7 48252 67302 2 Smoked Coho 7 48252 67222 3 Smoked Garlic Chinook 7 48252 67322 0 Smoked Garlic Steelhead 7 48252 67362 6 Smoked Jalapeno Chinook 7 48252 67312 1 Smoked Jalapeno Spring Chinook 7 48252 67392 3 Smoked Jalapeno Sturgeon 7 48252 67272 8 Smoked Jalapeno Steelhead 7 48252 67352 7 Smoked Sockeye 7 48252 67242 1 Smoked Spring Chinook 7 48252 67402 9 Smoked Spring Chinook 7 48252 67382 4 Smoked Spring Chinook 7 48252 67372 5 Smoked Steelhead 7 48252 67342 8 Smoked Sturgeon 7 48252 67262 9 Smoked Walleye 7 94504 39610 2 4. 目前無相關病例報導，經查問題產品無向本署申請食品輸入查驗紀錄，問題產品未輸入我國，本案經評估列屬綠燈 。 5.該國原回收警訊網址如下: http://www.fda.gov/Safety/Recalls/ucm469970.htm ;; 1. 涉案產品未輸入我國。 2. 食品藥物管理署呼籲民眾如赴美國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 3. 本菌的毒素主要侵犯末梢神經，症狀有視力模糊或複視、眼瞼下垂、瞳孔放大或無光反射、顏面神經麻痺、唾液分泌障礙、口乾、吞嚥困難及講話困難等。 接續發生由上半身到下半身的肌肉無力、神經性腸阻塞、呼吸困難等相關症狀，失去頭部控制、肌肉張力低下及全身性虛弱，病人通常意識清楚，但嚴重時會因呼吸障礙而死亡，死亡率高達30～60%。真空包裝食品通常沒有經過高溫高壓殺菌，因此一定要購買冷藏銷售及保存的真空包裝食品，購買後也要盡快冷藏，最好先加熱煮沸後再食用。家庭於醃製或保存食品時，欲使毒素破壞須要煮沸至少10分鐘，且食物要攪拌，或將酸鹼值控制在4.5以下（pH＜4.5以下的酸性環境，肉毒桿菌無法生存）。此毒素不耐熱，經煮沸後毒性會消失，消費者則應注意食品在食用前應「充分加熱」。脹起蓋子的罐頭製品一定不可食用。由於孢子於自然界很廣，一歲以下之嬰兒避免餵食蜂蜜。4. 詳細資料可參考食品藥物管理署食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1945。;; 1. 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 2. 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 3. 若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8481&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8482&type=0","2015-11-17"
"綠燈","美國食品藥物管理局 (FDA) 發布 Farmer Creek 公司自主回收疑遭肉毒桿菌 (Clostridium botulinum) 污染Farmer Creek品牌之長鰭金槍魚罐頭產品 (Canned Albacore Tuna Products)，問題產品未有申請食品輸入查驗，問題產品未輸入我國。","美國食品藥物管理局 (FDA) 於 104年10月30日發布 Farmer Creek 公司自主回收疑遭肉毒桿菌 (Clostridium botulinum) 污染Farmer Creek品牌之長鰭金槍魚罐頭產品 (Canned Albacore Tuna Products)。 問題產品最後銷售日期為 2015年9月，並銷售於美國俄勒岡州之 farm stand 及 farmers markets。 問題產品詳細資訊如下: (1) 產品底部及頂部含任何以 ”OC” 起始之生產碼。 (2) 問題產品以金屬封罐包裝，淨重為6盎司。 目前無相關病例報導，經查問題產品無向本署申請食品輸入查驗紀錄，問題產品未輸入我國，本案經評估列屬綠燈。 該國原回收警訊網址如下: http://www.fda.gov/Safety/Recalls/ucm470366.htm;; 1. 涉案產品未輸入我國。 2. 食品藥物管理署呼籲民眾如赴美國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 3. 本菌的毒素主要侵犯末梢神經，症狀有視力模糊或複視、眼瞼下垂、瞳孔放大或無光反射、顏面神經麻痺、唾液分泌障礙、口乾、吞嚥困難及講話困難等。 接續發生由上半身到下半身的肌肉無力、神經性腸阻塞、呼吸困難等相關症狀，失去頭部控制、肌肉張力低下及全身性虛弱，病人通常意識清楚，但嚴重時會因呼吸障礙而死亡，死亡率高達30～60%。真空包裝食品通常沒有經過高溫高壓殺菌，因此一定要購買冷藏銷售及保存的真空包裝食品，購買後也要盡快冷藏，最好先加熱煮沸後再食用。家庭於醃製或保存食品時，欲使毒素破壞須要煮沸至少10分鐘，且食物要攪拌，或將酸鹼值控制在4.5以下（pH＜4.5以下的酸性環境，肉毒桿菌無法生存）。此毒素不耐熱，經煮沸後毒性會消失，消費者則應注意食品在食用前應「充分加熱」。脹起蓋子的罐頭製品一定不可食用。由於孢子於自然界很廣，一歲以下之嬰兒避免餵食蜂蜜。 4. 詳細資料可參考食品藥物管理署食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1945。;; 1. 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 2. 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 3. 若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8483&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8484&type=0","2015-11-17"
"綠燈","美國食品藥物管理局 (FDA) 發布 Hormel Foods Sales 公司自主回收疑含有金屬片(metal shavings) 之低脂奶油花生醬 (Skippy Reduced Fat Creamy Peanut Butter Spread) 產品，問題產品無有申請食品輸入查驗紀錄，問題產品未輸入我國。","美國食品藥物管理局 (FDA) 於104年10月29日發布Hormel Foods Sales 公司自主回收疑含有金屬片 (metal shavings) 之低脂奶油花生醬 (Skippy Reduced Fat Creamy Peanut Butter Spread) 產品，共153箱，總重1871磅。 問題產品販售於美國佐治亞州、弗吉尼亞州、阿拉巴馬州、北卡羅來納州、南卡羅來納州、特拉華州和阿肯色州等 7州之Publix ,Target及Walmart中心。 問題產品之詳細資訊如下： 產品名稱 產品規格 最佳食用期限 出售數量 UPC碼 Fat Creamy Peanut Butter Spread 16.3盎司/罐 2016年12月14日 1871磅/153箱 37600-10500 目前無相關病例報導，經查問題產品未向本署申請食品輸入查驗紀錄，問題產品未輸入我國，本案經評估列屬綠燈。 該國發布原警訊連結如下: http://www.fda.gov/Safety/Recalls/ucm470175.htm ;; 食品藥物管理署呼籲民眾如自美國攜帶或網路購得上揭產品，應先暫停食用；並提醒民眾如赴美國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 詳細資料可參考食品藥物管理署食品中毒專區，連結http://www.fda.gov.tw/TC/site.aspx?sid=1816 ;; 1. 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 2. 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 3. 若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8485&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8486&type=0","2015-11-17"
"綠燈","英國食品標準局 (FSA) 發布 Cow & Gate 公司回收疑含有昆蟲 (insect) 之香蕉麥片 (Sunny Start My First Banana Muesli) 產品，問題產品無有申請食品輸入查驗紀錄，問題產品未輸入我國。","英國食品標準局 (FSA) 於104年10月30日發布 Cow & Gate 公司回收疑含有昆蟲 (insect) 之香蕉麥片 (Sunny Start My First Banana Muesli) 產品。 問題產品之詳細資訊如下： 產品名稱 產品規格 最佳食用期限 Cow & Gate Sunny Start – My First Banana Muesli (from 10 months) 330 g 2016年09月27日 經查問題產品未向本署申請食品輸入查驗紀錄，問題產品未輸入我國，本案經評估列屬綠燈。 該國發布原警訊連結如下: http://www.food.gov.uk/news-updates/news/2015/14634/cow-gate-recalls-its-sunny-start-my-first-banana-muesli-from-10-months ;; 食品藥物管理署呼籲民眾如自英國攜帶或網路購得上揭產品，應先暫停食用；並提醒民眾如赴英國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 詳細資料可參考食品藥物管理署食品中毒專區，連結http://www.fda.gov.tw/TC/site.aspx?sid=1816 ;; 1. 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 2. 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 3.若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8487&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8488&type=0","2015-11-17"
"綠燈","香港食物安全中心發布警訊回收疑遭大腸桿菌 (Escherichia coli) 之有機生蠔 (kaipara oyster) 產品，經查問題產品未有申請食品輸入查驗紀錄，問題產品未輸入我國。","香港食物安全中心於104年11月04日發布警訊回收疑遭大腸桿菌 (Escherichia coli) 之紐西蘭有機生蠔 (kaipara oyster) 產品。 問題產品食用期限為2017年02月28日，詳細資訊如下: 產品名稱 生產國 產品規格 分銷商 紐西蘭 有機生蠔 (kaipara oyster) 紐西蘭 12隻/包 慈康農圃（國際）有限公司 目前食物安全中心已通知進口商停止進口並下令回收問題產品，並進行封存。 經查該問題產品未輸入我國，惟香港回收之問題產品無向本署申請輸入查驗紀錄，本案經評估列屬綠燈。 該國原警訊連結如下: http://www.cfs.gov.hk/cgi-bin/cfsnew/fa/foodalert_c.pl?record=126&year=2015 ;; 1. 涉案產品未輸入我國。 2. 食品藥物管理署呼籲民眾如自香港或紐西蘭攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴香港或澳洲旅遊，應注意相關回收警訊，避免購買及食用問題食品。;; 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8490&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8498&type=0","2015-11-17"
"綠燈","加拿大食品檢查署 (CFIA) 發布 Everspring Farms 公司回收疑遭沙門氏菌 (Salmonella) 污染 2 the Garden 及Now Real Food 品牌之發芽奇異籽粉 (sprouted chia seed powder)，問題產品經查未輸入我國。","加拿大食品檢查署 (CFIA) 於 104年11月04日發布Everspring Farms 公司回收疑遭沙門氏菌 (Salmonella) 污染 2 the Garden 及 Now Real Food 品牌之發芽奇異籽粉 (sprouted chia seed powder)。 問題產品販售至加拿大全國之零售店及網路銷售方式。 問題產品詳細資訊如下： 品牌名稱 產品名稱 重量 產品碼 UPC碼 Back 2 the Garden Organic Sprouted Chia Seed Powder 200 g Lot # EVCHO150608-04 BB/MA JUN-2016 and Lot # EVCHO150608-06 BB/MA JUL-2016 6 27843 15900 1 Now Real Food ＂Sprouted＂ Milled Chia Seed 227 g EVCHO150529-08 BB/MA JUL-2016 7 33739 92070 6 目前尚無相關病例，經查問題產品未有申請食品輸入查驗，問題產品未輸入我國，本案經評估列屬綠燈。 該國原回收警訊如下: http://inspection.gc.ca/about-the-cfia/newsroom/food-recall-warnings/complete-listing/2015-11-04/eng/1446687744219/1446687747820 ;; 問題產品未輸入我國。 2. 食品藥物管理署呼籲民眾如自加拿大攜帶或網路購得上揭產品，應先暫停食用；並提醒民眾如赴該地旅遊，應注意相關回收警訊，避免購買及食用問題食品。 3. 沙門氏菌廣泛存在自然界各處中，本菌為內毒素型致病菌，造成食品中毒最常見的種類為奶類、蛋類、禽肉類等，造成腸胃炎症狀極嚴重者可能致命。食品加工過程中應注意：(1) 奶類製品應經巴斯德殺菌之條件確實執行。(2)烹調食品應確實煮熟。(3)勿生食禽肉類、蛋類。(4) 防止鼠、蠅、蟑螂等病媒接觸食物。食品藥物管理局建議民眾，此病菌不耐熱，經煮沸後完全死滅，應注意食品在食用前「應充分加熱」(至少加熱60℃/20分鐘)。 4. 詳細資料可參考食品藥物管理署食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1942。;; 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8491&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8492&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8495&type=0","2015-11-17"
"綠燈","美國食品藥物管理局 (FDA)發布 World Variety Produce 公司自主回收疑遭沙門氏菌 (Salmonella) 污染之義大利松子 (Italian Pine Nuts)，問題產品經查未輸入我國。","美國食品藥物管理局 (FDA) 於 104年11月06日發布 World Variety Produce 公司自主回收疑遭沙門氏菌 (Salmonella) 污染之義大利松子 (Italian Pine Nuts)。 問題產品販售至美國之亞利桑那州、阿肯色州、加利福尼亞州、佛羅里達州、佐治亞州、伊利諾伊州、堪薩斯州、肯塔基州、馬里蘭州、馬薩諸塞州、密歇根州、明尼蘇達州、密蘇里州、內華達州、新澤西州、紐約州、北卡羅來納州、北達科他州、俄亥俄州、俄克拉何馬州、俄勒岡州、賓夕法尼亞州、田納西州、得克薩斯州、弗吉尼亞州和華盛頓州等26州之零售商店。 問題產品詳細資訊如下： 品牌名稱 產品規格 UPC碼 最佳使用期限 批號 Melissa’s Italian Pine Nuts 2 盎司 (57g) /塑膠袋 0-45255-14351-5 2016年9月14日 15CNP10 Wegmans Italian Classics Pine Nuts 3盎司 (85g) /方形塑膠盒 0-77890-24823-2 2016年04月10日2016年04月17日 -- 目前尚無相關病例，經查問題產品未有申請食品輸入查驗，問題產品未輸入我國，本案經評估列屬綠燈。 該國原回收警訊如下: http://www.fda.gov/Safety/Recalls/ucm471648.htm ;; 1. 問題產品未輸入我國。 2. 食品藥物管理署呼籲民眾如自美國攜帶或網路購得上揭產品，應先暫停食用；並提醒民眾如赴該地旅遊，應注意相關回收警訊，避免購買及食用問題食品。 3. 沙門氏菌廣泛存在自然界各處中，本菌為內毒素型致病菌，造成食品中毒最常見的種類為奶類、蛋類、禽肉類等，造成腸胃炎症狀極嚴重者可能致命。食品加工過程中應注意：(1) 奶類製品應經巴斯德殺菌之條件確實執行。(2)烹調食品應確實煮熟。(3)勿生食禽肉類、蛋類。(4) 防止鼠、蠅、蟑螂等病媒接觸食物。食品藥物管理局建議民眾，此病菌不耐熱，經煮沸後完全死滅，應注意食品在食用前「應充分加熱」(至少加熱60℃/20分鐘)。 4. 詳細資料可參考食品藥物管理署食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1942。;; 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8493&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8494&type=0","2015-11-17"
"綠燈","美國食品藥物管理局 (FDA)發布 Old Oregon Smokehouse 公司自主回收疑遭肉毒桿菌 (Clostridium botulinum) 污染之長鰭金槍魚罐頭(Canned Albacore Tuna)，問題產品經查未輸入我國。","美國食品藥物管理局 (FDA) 於 104年11月10日發布 Old Oregon Smokehouse 公司自主回收疑遭肉毒桿菌 (Clostridium botulinum) 污染之長鰭金槍魚罐頭(Canned Albacore Tuna)。 問題產品最後銷售日期為 2015年9月，並販售至美國俄勒岡州的Tillamook或Rockaway之零售店。 問題產品底部或頂部含任何”OC”起始之生產碼，其詳細資訊如下： 產品名稱 產品規格 UPC碼 Canned Albacore Tuna 6盎司 (170g) /金屬罐頭 無 目前尚無相關病例，經查問題產品未有申請食品輸入查驗，問題產品未輸入我國，本案經評估列屬綠燈。 該國原回收警訊如下: http://www.fda.gov/Safety/Recalls/ucm472252.htm ;; 問題產品未輸入我國。 食品藥物管理署呼籲民眾如自美國攜帶或網路購得上揭產品，應先暫停食用；並提醒民眾如赴該地旅遊，應注意相關回收警訊，避免購買及食用問題食品。 本菌的毒素主要侵犯末梢神經，症狀有視力模糊或複視、眼瞼下垂、瞳孔放大或無光反射、顏面神經麻痺、唾液分泌障礙、口乾、吞嚥困難及講話困難等。 接續發生由上半身到下半身的肌肉無力、神經性腸阻塞、呼吸困難等相關症狀，失去頭部控制、肌肉張力低下及全身性虛弱，病人通常意識清楚，但嚴重時會因呼吸障礙而死亡，死亡率高達30～60%。真空包裝食品通常沒有經過高溫高壓殺菌，因此一定要購買冷藏銷售及保存的真空包裝食品，購買後也要盡快冷藏，最好先加熱煮沸後再食用。家庭於醃製或保存食品時，欲使毒素破壞須要煮沸至少10分鐘，且食物要攪拌，或將酸鹼值控制在4.5以下（pH＜4.5以下的酸性環境，肉毒桿菌無法生存）。此毒素不耐熱，經煮沸後毒性會消失，消費者則應注意食品在食用前應「充分加熱」。脹起蓋子的罐頭製品一定不可食用。由於孢子於自然界很廣，一歲以下之嬰兒避免餵食蜂蜜。 詳細資料可參考食品藥物管理署食品中毒專區，連結http://www.fda.gov.tw/TC/siteContent.aspx?sid=1945#.VkW37FKhfX4。;; 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8533&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8534&type=0","2015-11-24"
"綠燈","日本厚生勞動省 (MHLW) 發布コストコホールセールジャパン株式會社自主回收疑遭玻璃屑(異物)污染之蘋果碳酸飲料(りんごジュース(ストレート・炭酸ガス入り))，問題產品經查未輸入我國。","日本厚生勞動省 (MHLW) 於104年11月09日發布コストコホールセールジャパン株式會社於104年10月30日自主回收疑遭玻璃屑(異物)污染之蘋果碳酸飲料(りんごジュース(ストレート・炭酸ガス入り))。 問題產品於2015年6月5日至2015年10月21日，販售至コストコホールセールジャパン株式会社各倉庫店（新三郷、京都八幡、座間、前橋、神戸、広島、北九州、千葉ニュータウン、和泉、つくば、中部国際空港、ひたちなか、かみのやま、野々市、射水、多摩境、尼崎、金沢シーサイド、川崎、札幌、入間、久山、幕張）。 問題產品之詳細資訊如下： 產品名稱 包裝型態 產品規格 最佳賞味期 生產商 蘋果碳酸飲料(りんごジュース(ストレート・炭酸ガス入り)) 玻璃瓶 250ml×12瓶 2018年3月5日及2018年3月6日 公司: コストコホールセールジャパン株式会社 地址: 川崎市川崎区池上新町3-1-4 該國原回收警訊如下: http://www.city.kawasaki.jp/350/page/0000057629.html ;; 1. 涉案產品未輸入我國。 2. 食品藥物管理署呼籲民眾如自日本攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴日本旅遊，應注意相關回收警訊，避免購買及食用問題食品。 3. 詳細資料可參考食品藥物管理署食品中毒專區，連結 http://www.fda.gov.tw/TC/site.aspx?sid=1816。;; 1. 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 2. 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 3. 若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8535&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8536&type=0","2015-11-24"
"綠燈","英國食品標準局 (FSA) 發布 Asda 公司回收疑遭透明硬塑料(clear hard plastic)污染之塗抹奶油(Buttery Spread)產品，問題產品未輸入我國。","英國食品標準局 (FSA) 於104年11月6日發布 Asda 公司回收疑遭透明硬塑料(clear hard plastic)污染之塗抹奶油(Buttery Spread)產品。 問題產品其他詳細資訊如下： 產品名稱 產品規格 產品條碼 最佳賞味期限 Asda Buttery Spread 500 g 505407048345 2015年12月28日 經查問題產品無向本署申請輸入查驗紀錄，問題產品未輸入我國，本案經評估列屬綠燈。 該國原警訊連結如下: http://www.food.gov.uk/news-updates/news/2015/14672/asda-recalls-asda-buttery-spread;; 1. 涉案產品未輸入我國。 2. 食品藥物管理署呼籲民眾如自英國攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴該地旅遊，應注意相關回收警訊，避免購買及食用問題食品。 3. 詳細資料可參考食品藥物管理署食品中毒專區，連結 http://www.fda.gov.tw/TC/site.aspx?sid=1816。;; 案內產品現查無向本署申請輸入查驗紀錄，業者應避免輸入原廠回收產品。 若有輸入類似或疑似回收警訊產品或相關產品，應立即向外國原廠或出口廠商查證，並依自主管理原則，主動暫停已進口之疑似回收產品販售。 若獲原廠通知已進口之產品為需回收產品，應立即主動下架回收，通知消費者退換貨，並通知公司所在地衛生局與本署。","https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8537&type=0;;https://consumer.fda.gov.tw/DownLoadMethod/ashx/downloadFile.ashx?id=8538&type=0","2015-11-24"
