編號,通報時間,中文品名,英文品名,許可證字號,成分學名,劑型劑量,許可證持有藥商,短缺原因,預估解決時間,備註
"80","2013.09.03","鎵－６７檸檬酸鎵注射液","GALLIUM CITRATE-GA 67 INJECTION","衛署藥輸字第R00009號","SODIUM CITRATE DIHYDRATE, SODIUM CHLORIDE ISOTONIC INJECTABLE SOLUTION, GALLIUM GA-67, BENZYL ALCOHOL, SODIUM HYDROXIDE","注射劑","元新儀器有限公司","藥物許可證到期，無法再行供應","經評估後，有兩間廠商可供應此藥物，而單位濃度劑量(2mCi/ml)是元新儀器成品(1mCi/ml)的2倍。","原元新儀器公司代理之Gallium Citrate-GA 67 Injection因藥品許可證到期(效期: 102/08/10)無法供貨。102年8月起開始由臺灣新吉美碩公司提供Ga-67至各大醫院。102年9月現況：(1)核能所加速器已修復，已可正常製造供貨。聯絡單位：核能所藥產中心，電話：03-4711400轉7158 (2)臺灣新吉美碩公司Ga-67供應量充足。"
"81","2013.09.05","西德有機新黴素膠囊250毫克","NEOMYCIN CAPSULES 250mg ＂SHITEH＂","內衛藥製字第005396號","NEOMYCIN (SULFATE)","膠囊劑","西德有機化學藥品股份有限公司","因代工廠轉證程序尚未完成，造成無法正常供貨，預計2013/12/31可恢復供貨。","有同成份替代藥品使用，暫無醫療上問題。(102/12/4經研究助理電聯後，西德藥廠表示預計103/2月開始供貨)","建議可先採用順華公司藥品(藥名：紐奧黴素膠囊250公絲，藥製字第011518號，健保代碼：A011518100)。西德有機表示因轉證時間比預估要長，導致原料藥供應不足，預計年底才能供貨，但若供貨正常後會即刻通知。另經詢問順華藥品公司後，該公司表示貨源供應正常。"
"82","2013.09.05","杏輝 金貝比嬰兒擦劑","SINBABY BABY LOTION ＂SINPHAR＂","衛署藥製字第020215號","DIPHENHYDRAMINE, DIBUCAINE HCL, ZINC OXIDE","洗劑","杏輝藥品工業股份有限公司","廠商缺貨","經評估後，建議可根據其主成分zinc oxide, diphenhydramine, dibucaine hydrochloride, dl-camphor,及 benzalkonium個別開立處方。另也可考慮使用派頓＂膚喜軟膏作為替代用藥，唯派頓＂膚喜軟膏的主成分並未包括benzalkonium。","有不同成份替代藥品使用，暫無醫療上問題。"
"83","2013.09.11","速溶 泛艾黴素１０公絲","PHARMORUBICIN RAPID DISSOLUTION 10MG","衛署藥輸字第019120號","EPIRUBICIN HCL","凍晶注射劑","輝瑞大藥廠股份有限公司","廠商缺貨","有同成份替代藥品使用，暫無醫療上問題。(經評估後，台灣東洋公司曾於國內進行Epirubicin之臨床試驗，療效與安全性評估皆符合要求。部分醫學中心已採購引進使用，應可列為優先徵詢供應之對象。)","目前國內尚有台灣東洋及聯邦化學製藥公司生產10mg/vial規格，海喬代理Epirubicin-Teva效期短(效期至102年11-12月)且數量不多。另有多家藥廠生產50mg/vial規格製劑，可供臨床使用。"
"84","2013.09.12","優力黴素口服懸液用顆粒（賜福力欣）","ULEXIN FOR ORAL SUSPENSION (CEPHALEXIN)","衛署藥製字第017280號","CEPHALEXIN (MONOHYDRATE)","懸液用顆粒劑","優良化學製藥股份有限公司","廠商年底供貨","有同成份替代藥品使用，暫無醫療上問題。","經評估後，可用其他劑型取代，或是依感染部位或是菌種採用其他抗生素口服液劑 (如augmentin)。有同成分，不同劑型、劑量藥品許可證共 12 張。 供應廠商: 永信、元宙化學、台裕化學等"
"89","2013.10.23","吉普寧糖衣錠","TIOPRONIN S.C. TABLETS ＂S.T.＂","衛署藥製字第018926號","TIOPRONIN","糖衣錠","信東生技股份有限公司","國內無人生產，亦無代理商進口。","經評估後建議使用替代藥品：Penicillamine(禾利行)","有不同成份替代藥品使用，暫無醫療上問題。"
"96","2013.11.07","疏痙 直腸用液劑１０公絲","STESOLID RECTAL TUBE 10MG","衛署藥輸字第023460號","DIAZEPAM","10MG","臺灣美強股份有限公司","因產地變更未辦理導致缺藥","經評估後，各醫院若有醫療需求可以專案進口方式提出申請","有廠商協助專案進口，暫無醫療上問題(供應者:美強)"
"106","2013.12.03","好度得注射液","HALDOL DECANOAS","衛署藥輸字第019475號","HALOPERIDOL (DECANOATE)","50MG/ML","嬌生股份有限公司","製造廠產能問題，2014年中以前可能有供貨短缺之問題","有同成分、同劑型、同劑量藥品使用，暫無醫療問題","供應廠商：瑞士"
"85","2013.10.04","必先優注射劑","BICNU (CARMUSTINE (BCNU)) 100MG","衛署藥輸字第006292號","CARMUSTINE","100 mg/vial","臺灣必治妥施貴寶股份有限公司","國外經銷權轉移","經評估後，本品為專案進口藥品且因國外許可證賣給【Emcure Phar.Limited】再授權Idis為台灣獨家代理，故建議改向Idis代理聯繫","因無許可證目前已請吉帝公司協助與Idis聯絡"
"86","2013.10.08","人人紫菌素眼用軟膏３公絲/公克","GENTAMYCIN OPHTH. OINTMENT 3MG/GM ＂GCPC＂","衛署藥製字第025128號","GENTAMICIN (AS SULFATE)","3MG/GM","人人化學製藥股份有限公司","廠商皆缺藥","有同成份替代藥品使用，暫無醫療上問題。","瑞士商愛爾康大藥廠股份有限公司的愛康明眼藥膏貨源充足，可提供各醫療院所使用。"
"87","2013.10.16","台裕安西諾隆注射液１０公絲","TRIAMCINOLONE SUSPENDED INJECTION 10MG ＂TAI YU＂","衛署藥製字第013578號","TRIAMCINOLONE ACETONIDE","10mg/ml","臺裕化學製藥廠股份有限公司","因生產工廠逢PIC/S查廠, 以致目前無法正常供貨","有同成份替代藥品使用，暫無醫療上問題。","經電詢，國內廠目前仍有壽元(10mg/ml,藥製字第012527號；40mg/ml,第016963號)、汎生(40mg/ml, 藥製字第020668號)，以及大豐製藥(40mg/ml, 藥製字第033773號)仍有持續生產相同劑型成分注射劑。"
"88","2013.10.23","塞克羅邁得糖衣錠５０公絲","SYKLOFOSFAMID S.C. TABLETS 50MG","衛署藥輸字第016754號","CYCLOPHOSPHAMIDE","50MG/tab","臺灣美強股份有限公司","廠商不再進貨","有同成份替代藥品使用，暫無醫療上問題。","生產廠商：百特，但因百特庫存不足無法供貨給全數醫院，目前已有許多醫院斷藥，暫時以針劑取代，已公告徵求廠商供應口服劑型，已有廠商協助詢問國外製造廠 (10/23更新)電聯裕利公司[02-25776438]後表示，cyclophosphamide口服與注射劑型現況供應正常。"
"90","2013.10.28","治疣液","DUOFILM","衛署藥輸字第017603號","COLLODION, SALICYLIC ACID, LACTIC ACID","外用液劑","荷商葛蘭素史克藥廠股份有限公司台灣分公司","國外生產線整合，預計103年度第四季恢復供貨","有不同成份可替代藥，12月起原短缺廠商已可正常供貨","已恢復供貨(廠商通報於12月起可正常供貨)"
"91","2013.10.29","景德 可利明眼藥膏1%(氯絲菌素)","CHLORLYMIN OPHTHALMIC OINTMENT 1% ＂KINGDOM＂ (CHLORAMPHENICOL)","衛署藥製字第046069號","CHLORAMPHENICOL","眼用軟膏劑","景德製藥股份有限公司","停產(PIC/S改建)","有同成份替代藥品使用，暫無醫療上問題。","供應廠商：綠洲化學工業有限公司"
"92","2013.10.29","利福全錠２毫克（可那氮平）","RIVOTRIL TABLETS 2MG (CLONAZEPAM)","衛署藥製字第036175號","CLONAZEPAM","2MG","羅氏大藥廠股份有限公司","民眾通報廠商無原因不供貨","有同成份替代藥品使用，暫無醫療上問題。","供應廠商：羅氏、十全、應元三家藥廠貨源充足，可供應各醫療院所，包括藥局。"
"93","2013.11.06","“管制藥品廠”吩坦尼穿皮貼片劑 25 微公克/小時","Fentanyl Transdermal Patch 25 μg/hr“PPCD”","衛署藥製字第050018號","FENTANYL (EQ TO FENTANYL BASE)","","衛生福利部食品藥物管理署管制藥品製藥工廠","因行政作業流程因素造成供應量不穩定","預計102年11月11日起恢復全面供貨","已恢復供貨"
"94","2013.11.06","氯黴素琥珀酸酯鈉鹽注射劑１克","INCHLOMYCIN SODIUM SUCCINATE INJECTION 1GM ＂C.Y.＂","衛署藥製字第006932號","CHLORAMPHENICOL (SODIUM SUCCINATE)","1 MG","聯邦化學製藥股份有限公司","配合衛生署執行PIC/S GMP，故停止生產","經評估後，建議使用不同成分可替代藥品：(1)fluoroquinolones (2)cephalosporins","有不同成份替代藥品使用，暫無醫療上問題。"
"95","2013.11.07","敏克瘤注射液１公絲？公撮","VINCRISTINE-TEVA SOLUTION 1MG/ML","衛署藥輸字第022167號","VINCRISTINE SULFATE","1mg/ml/Vial","海喬國際股份有限公司","國外原廠無法如期出貨致缺貨","有同成分、同劑型、同劑量藥品使用，暫無醫療問題","供應代理商：大用股份有限公司"
"97","2013.11.12","綠洲 氯黴素眼藥膏","CHLORAMPHENICOL OPHTHALMIC OINTMENT","衛署藥製字第004490號","CHLORAMPHENICOL","","綠洲化學工業有限公司","廠商產量不足","有同成分、不同劑型、同劑量藥品使用，暫無醫療問題","供應廠商：建議以CHLORAMPHENICOL 0.25% EYE DROPS眼藥水替代 1.杏輝藥廠或 2.應元藥廠"
"98","2013.11.13","安米諾靜脈輸注液５％Ｗ？Ｖ","AMINOSTERIL 5% W/V FOR I.V. INFUSION","衛署藥輸字第020237號","L-ALANINE, L-ARGININE, L-HISTIDINE, L-ISOLEUCINE, L-LEUCINE, L-LYSINE ACETATE, L-METHIONINE, ORNITHINE L- ASPARTATE L-, L-PHENYLALANINE, L-PROLINE, L-SERINE, L-THREONINE, L-TRYPTOPHAN, N-ACETYL TYROSINE L-, L-VALINE, GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL), TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID)","","臺灣費森尤斯卡比股份有限公司","原廠已經不再生產","經評估後，建議使用不同成分可替代藥品：(1)Aminoven 5% (2)Aminoplasmal-5% E (臺灣費森尤斯卡比股份有限公司、臺灣柏朗股份有限公司)","有不同成份替代藥品使用，暫無醫療上問題。"
"155","20140210","＂景德＂ 紅黴素眼藥膏 0.5%","Erythromycin oph oint 0.5% 3.5 g","衛署藥製字第047370號","ERYTHROMYCIN BASE","5.0 MG","景德製藥股份有限公司","PIC/S轉換","已恢復供貨",""
"156","20140210","＂景德＂ 可利明眼藥膏1%(氯絲菌素)","CHLORLYMIN OPHTHALMIC OINTMENT 1% ＂KINGDOM＂","衛署藥製字第046069號","CHLORAMPHENICOL","10.0MG","景德製藥股份有限公司","PIC/S轉換","已恢復供貨",""
"157","20140212","促甲狀腺激素釋放荷爾蒙注射液〝田邊〞","TRH inj","衛署藥輸字第016336號","PROTIRELIN(TRHTRF)","0.5 MG/ML","臺田藥品股份有限公司","藥品許可證逾期不展延。","專案進口; 廠商預計2018年國外廠符合PIC/S",""
"158","20140212","黃體形成荷爾蒙分泌荷爾蒙注射液","LH-RH inj","衛署藥輸字第017275號","GONADORELIN ACETATE","0.1 MG /ML","臺田藥品股份有限公司","藥品許可證逾期不展延。","專案進口; 廠商預計2018年國外廠符合PIC/S",""
"99","2013.11.14","Ｂ型肝炎免疫人血球蛋白注射液","HEPATITIS B IMMUNE GLOBULIN (HUMAN), HYPERHEP B S/D","衛署菌疫輸字第000452號","HEPATITIS B IMMUNOGLOBULIN","","天行貿易股份有限公司","該公司訂貨人員表示藥品已在藥檢署封緘中","有同成分、同劑型、同劑量藥品使用，暫無醫療問題","經評估後，有同成分、同劑型、同劑量藥品許可證共2張 ，持續供應共2張。並建議，暫以0.5ml/pc或1ml/pc包裝替代使用。供應廠商：天行貿易股份有限公司、吉發企業股份有限公司"
"100","2013.11.14","密鈣息鼻噴霧劑１００國際單位","MIACALCIC NASAL SPRAY 100I.U.","衛署藥輸字第018161號","CALCITONIN SALMON","","臺灣諾華股份有限公司","廠商無法供應此藥","有同成分，不同劑型、劑量藥品許可證使用，暫無醫療問題。","根據衛生福利部食品藥物管理署於10月1日之公告，因Calcitonin長期使用可能有增加 癌症的風險，Calcitonin之鼻噴劑與注射劑型已不建議用於治療骨質疏鬆症。"
"101","2013.11.19","醫百幸注射劑20公絲/公撮","EPOSIN CONCENTRATE FOR INFUSION SOLUTION 20MG/ML","衛署藥輸字第023436號","ETOPOSIDE","100 mg/5 mL/vial","民橋企業股份有限公司","廠商缺藥","有同成分、同劑型、同劑量藥品使用，暫無醫療問題","供應廠商：海喬、台灣費森尤斯卡比"
"102","2013.11.19","米諾信乾粉注射劑100毫克(美諾四環素)","MIROSIN 100MG FOR INJECTION (MINOCYCLINE) ＂PANBIOTIC＂","衛署藥製字第034352號","MINOCYCLINE (HCL)","10VIAL","臺灣汎生製藥廠股份有限公司","為符合PIC/S規定，廠區及生產線配合整修中，故無法製造","有同成分，不同劑型、劑量藥品許可證使用，暫無醫療問題。","供應廠商：永信、瑞安"
"103","2013.11.20","硫酸奎尼丁膠囊","QUINIDINE SULFATE CAPSULES ＂NYSCO＂","內衛藥製字第000990號","QUINIDINE SULFATE","","尼斯可股份有限公司新莊廠","廠商來函通知缺貨","經評估後，廠商預定102.12.13可供應。如如暫無藥品可用，建議使用不同成分可替代藥品： (1)Cordarone/amidarone (2)Tambocor/ Flecainide acetate (3)Rytmonorm /Propafenone","有不同成份替代藥品使用，暫無醫療上問題(Sanofi-winthrop、3M health care、Abbott)"
"104","2013.11.22","寧黴素５００公絲靜脈注射劑","RIFOCIN INTRAVENOUS 500MG","衛署藥輸字第021956號","RIFAMYCIN SV (SODIUM)","500mg/amp","賽諾菲股份有限公司","廠商停止進口藥品","經評估後，單一進口商表示已無存貨，未來亦不再進口，已徵得有意願供應之藥商","有廠商協助專案進口"
"105","2013.11.25","泛可黴素靜脈注射劑500公絲","VANCOMYCIN HYDROCHLORIDE FOR INJECTION 500MG ,USP","衛署藥輸字第017742號","VANCOMYCIN (HCL)","","新加坡商赫士睿股份有限公司台灣分公司","經銷商說國外廠缺原料","有同成分、同劑型、同劑量藥品使用，暫無醫療問題","供應廠商：政德製藥、諾華"
"108","2013.12.04","樂拿舒注射劑５０００ＫＵ","LEUNASE INJECTION (5,000 K.U.)","衛署藥輸字第021036號","L-ASPARAGINASE","","台灣協和醱酵麒麟股份有限公司","廠商缺藥","目前國內有專案進口Erwinia L-asparaginase 10,000 Units/vial","供應廠商：EUSA PHARMA"
"109","2013.12.06","艾斯美特 延釋膠囊90毫克","ACEMET RETARD CAPSULES 90MG","衛署藥製字第046072號","ACEMETACIN","90 mg/cap","健喬信元醫藥生技股份有限公司","TFDA公告須重作BA/BE品項,以致廠商不可交貨","有同成分，不同劑型、劑量藥品，暫無醫療問題","供應廠商：健喬信元(60 mg，藥製字第040011號)"
"111","2013.12.10","阿米若靜脈輸注液10％","AMINOSTERIL INFANT 10% W/V FOR INTRAVENOUS INFUSION","衛署藥輸字第022023號","L-ALANINE, L-ARGININE, L-HISTIDINE, ISOLEUCINE DL-, L-LEUCINE, L-LYSINE ACETATE, L-METHIONINE, L-PHENYLALANINE, L-PROLINE, L-SERINE, L-THREONINE, L-TRYPTOPHAN, N-ACETYL TYROSINE L-, L-VALINE, GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL), N-ACETYL-L-CYSTEINE, TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID), MALIC ACID L-","10% 100ml/BT","臺灣費森尤斯卡比股份有限公司","廠商庫存沒有貨了","已恢復供貨","若後續再發生此缺藥情形，可以南光產品取代(愛兒健注射液10% /Pedicare Injection 10%)"
"114","2013.12.16","壓得平錠５公絲（阿米諾樂）","EDEPIN TABLETS 5MG (AMILORIDE) ＂SWISS＂","衛署藥製字第040428號","AMILORIDE HCL, AMILORIDE HCL ANHYDROUS","5mg/tab","瑞士藥廠股份有限公司","廠商目前已不再生產","國內目前無Amiloride單方與Triamterene單方供Liddle syndrome病人使用，建議啟動缺藥處理機制公開招商。","有廠商協助專案進口"
"115","2013.12.17","欽納特懸液劑１２５公絲","ZINNAT SUSPENSION 125MG","衛署藥輸字第019420號","CEFUROXIME AXETIL","125 mg cefuroxime/5 mL, 50 mL/btl","荷商葛蘭素史克藥廠股份有限公司台灣分公司","廠商來文表示此產品將於民國103年停止進口","有同成分，不同劑型、劑量藥品，暫無醫療問題","供應廠商：生達、永信(建議因抗生素的使用因適應症不同，藥物的治療定位也不同；故各醫院可依臨床疾病選擇其他抗生素治療)"
"159","20140807","愛治膠囊５００公絲","HYDREA CAPSULES 500MG","衛署藥輸字第023135號","hydroxyurea","500 mg/cap","臺灣必治妥施貴寶股份有限公司","供需不平衡、供貨延遲","已恢復供貨",""
"160","20141126","脈律循膠囊１００公絲〝信東〞","MELETIN CAPSULES 100MG ＂S.T.＂ (MEXILETINE)","衛署藥製字第043632號","Mexiletine","100mg / Cap","信東生技股份有限公司","供需不平衡、供貨延遲","12/22廠商說明已穩定供貨",""
"161","20140326","〝台灣東洋〞克痢黴素注射劑200萬單位（可麗基美壽）","T.T.Y. COLIMYCIN INJECTION","衛署藥製字第024961號","COLISTIN METHANESULFONATE","2000000 U","臺灣東洋藥品工業股份有限公司","供需不平衡、供貨延遲","已穩定供貨",""
"116","2013.12.17","特泯菌靜脈注射劑","TIMENTIN INTRAVENOUS","衛署藥輸字第018882號","TICARCILLIN (DISODIUM), CLAVULANATE (POTASSIUM)","","荷商葛蘭素史克藥廠股份有限公司臺灣分公司","原廠停止進口","經評估後，改用其他extended-spectrum penicillin/ß-lactamase inhibitor組合，例如piperacillin/tazobactam，或依菌種感受性選擇其他合適的抗生素。","有不同成份替代藥品使用，暫無醫療上問題(Pfizer)。"
"117","2013.12.19","核研去氧葡萄糖〔氟－１８〕注射劑","INER FLUDEOXYGLUCOSE {F-18} INJECTION","衛署藥製字第R00018號","",">3 mCi/mLInjection","行政院原子能委員會核能研究所","","經評估後，國內有不同成分藥品可替代藥：由符合「斷層掃描用正子放射同位素調製作業要點」之醫院藥局調劑，供病人使用。","有不同成份替代藥品使用，暫無醫療上問題。"
"118","2013.12.25","泰吉利濃縮靜脈輸注液 300 毫克","Tysabri concentrate for solution for infusion 300mg","罕菌疫輸字第000014號","Natalizumab","","華宇藥品股份有限公司","廠藥品中文包裝生產未完成,須延至103.2月中旬才可進口","經評估後，國內無其它同成分或類似產品。雖然可替代藥品有β-interferon、glatiramer acetate，以及免疫抑制劑等可供醫療，然而這些替代藥品與原藥之作用機轉不同，且目前並無替換後是否能接續穩定病患情況之臨床研究可供參考。故對於已經使用本品並治療穩定之患者，不建議停藥或是換藥故將督促原廠中文包裝儘速更換進行。",""
"119","20140101","緩釋鉀糖衣錠","slow-K tab 600 mg","衛署藥輸字第010085號","potassium chloride","600 mg","臺灣諾華股份有限公司","原廠已經不再生產","市面上有仍有鉀離子補充劑，衛署藥製字第022314號，暫無醫療上問題。","建議使用POTASSIUM GLUCONATE，生產廠商：寶齡富錦"
"120","20140102","可致律錠","Clozaril tab 25 mg","衛署藥輸字第018541號","Clozapine","25 mg","臺灣諾華股份有限公司","而產地變更至新廠Kurtkoy/Turkey乙案目前仍在食品藥物管理局辦理當中 (案號：1015054172)，故擬暫時無法供應新廠藥品至國內。","同成分、同劑型、同劑量有許可證且持續供應有2家 (瑞士、汎生)。同成分，不同劑型、劑量有5家 (諾華、瑞士、汎生、信東、優生)","有同成份、不同成份替代藥品使用，暫無醫療上問題。"
"121","20140108, 20140423","葡萄糖酸鈣注射液10% ＂C.C.P.C.＂","葡萄糖酸鈣注射液10% ＂C.C.P.C.＂","","CALCIUM GLUCONATE INJECTION 10%","200 ml","","考量成本，已不再生產","以Calglon IV injection 10% 10 mL替代","有同成份、不同容量藥品使用，暫無醫療問題。"
"122","20140115","＂優良＂ 磷酸鉀注射液","Potassium phosphate injection","衛署藥製021343號","POTASSIUM PHOSPHATE (POSTASSIUM PHOSPHATE DIBASIC), POTASSIUM PHOSPHATE MONOBASIC(EQ TO POTASSIUM BIPHOSPHATE)(EQ TO POTASSIUM DIHYDROGEN PHOSPHATE)","20 ml/amp","優良化學製藥股份有限公司","優良化學製藥因GMP證明廢止","健喬信元已於102年併購優良化學製藥產品與藥證，經電話詢問健喬信元表示，目前potassium phosphate inj.仍正常供貨，無缺貨之虞。","健喬信元委託大豐製造，藥名成維持原名"
"123","20140116","安達菌素乾粉注射劑","Azactam 1g/vial","衛署藥輸字第023105號","Aztreonam","1 g/vial","臺灣必治妥施貴寶股份有限公司","必治妥已停產。另一台廠台裕化學亦回應不生產。","以不同成份藥品替代。Ceftazidime，Tobramycin","依據Sanford guide (熱病)資料顯示，Azactam抗菌範圍主要以G(-)菌為主，尤其是對於Pseudomonas aeruginosa (綠膿桿菌)具有良好療效，因Ceftazidime抗菌範圍、支鏈結構與Azactam相似，建議可用Ceftazidime針劑作為療效取代品；若以吸入Azactam治療P. aeruginosa造成肺囊胞性纖維化(cystic fibrosis)等呼吸道症狀時，建議可用Tobramycin以吸入給藥作為取代。"
"124","20140122","＂速溶＂ 泛艾黴素１０公絲、５０公絲","Pharmorubicin rapid dissolution 10 mg and 50 mg","衛署藥輸字第019120號 ，衛署藥輸字第019119號","EPIRUBICIN HCL","10 mg, 50 mg","輝瑞大藥廠股份有限公司","原料藥供應短缺","建議可先以他廠同成份、同劑型、同劑量藥品替代","有同成份藥品，暫無醫療問題(東洋、聯邦化學、臺灣費森尤斯卡比)。"
"125","20140122","＂貝靈＂ 血清蛋白注射液２０％","Albumin Injection 20% 50 mL/btl (CENTEON)","衛署菌疫輸字第000491號","albumin","50 ml","吉發企業股份有限公司","吉發企業股份有限公司表示衛署菌疫輸字第000491號Albumin Injection 20% 50 mL/btl (CENTEON)之製造廠CSL Behring GmbH供貨不足,無法供應","建議以同成分、同劑型、同劑量藥品衛署菌疫輸字第000842號替代","可用Albuminar-20 (吉發), TBSF (20%) Human albumin (台灣血液基金會), Uman albumin20 %(輔凱)替代,但鑑於台大醫院所需量甚大，Albuminar-20 (吉發,要簽約), Uman albumin20 %(輔凱)無法供應，故建議用 TBSF (20%) Human albumin (台灣血液基金會)替代"
"126","20140212","鋅錠１５公絲","ZINC TABLETS 15MG ＂GCPC","衛署藥製字第025124號","ZINC (ZINC SULFATE)","15MG","人人化學製藥股份有限公司","停產","建議以zinc gluconate取代zinc sulfate，另外搭配ascorbic acid使用。","Zinc gluconate: 目前國內有6張許可證，4張正常生產供應 Zinc acetate dihydrate: 目前國內有4張許可證均正常供應"
"137","20140109 20140117","","Methotrexate (MTX) 1 g/40 ml","","Methotrexate","1 g/ 40 ml","赫士睿、諾華","因國外製廠產能因素,致缺貨","103年5月~7月間，有許可證廠商(赫士睿、諾華)已持續進口，無缺藥之虞","供貨廠商:赫士睿、諾華"
"140","20140605","紐普洛穿皮貼片劑 8 毫克/ 24 小時","Neupro Transdermal Patch 8mg/24h","衛署藥輸字第024936號","ROTIGOTINE","穿皮貼片劑","友華生技股份有限公司","代理權變更","已通知恢復供應",""
"142","20140623","＂永豐＂ 芻基青黴素鈉注射液用粉","PENICILLIN G SODIUM INJECTION ＂Y.F.＂","衛署藥製字第014756號","PENICILLIN G SODIUM","乾粉注射劑","永豐化學工業股份有限公司","健保停止給付","已於6/30恢復健保價",""
"127","20140220","","FLUOROURACIL INJECTION","","FLUOROURACIL","","","藥品前因供藥短缺,暫以專案進口供應,健保署對進口藥品暫予納入給付1年,因給付期即將屆滿,故需再確認","目前市場供貨充足，有需求的醫院可自行向南光化學製藥或新加坡商美納里尼醫藥(英維達)訂藥，不需申請專案進口。","專案進口給付期屆滿後應不需展延。"
"128","20140220","","leucovorin INJECTION","","FOLINATE CALCIUM (CALCIUM LEUCOVORIN)","","","藥品前因供藥短缺,暫以專案進口供應,健保署對進口藥品暫予納入給付1年,因給付期即將屆滿,故需再確認","目前市場供貨充足，有需求醫院可自行向各供貨廠商訂藥，不需申請專案進口。","專案進口給付期屆滿後應不需展延。"
"129","20140324","溶栓　凍晶注射劑２５萬單位","Streptase","衛署藥輸字第021926號","Streptokinase","250000IU inj","吉發企業股份有限公司","停產或停止進口","streptokinase FDA labeled indications:AMI,DVT,PE,AT and Arteriovenous cannulation.可以使用替代藥品tenecteplase,Alteplase但價錢較昂貴，且有健保給付規範較受於限制；用於血液透析及通人工血管時可以urokinase或Heparin替代。","1.此藥物國內外皆已停產 2.此藥屬於外來蛋白質具抗原性會發生皮疹發燒及過敏"
"130","20140403","必醫你舒５ＫＥ注射劑","PICIBANIL 5KE","衛署藥輸字第019924號","PENICILLIN G POTASSIUM (BENZYLPENICILLIN POTASSIUM ), STREPTOCOCCUS PYROGENE SU STRAIN TX WITH PN G POTASSIUM","凍晶乾燥注射劑","臺灣中外製藥股份有限公司","供需不平衡、供貨延遲","國內目前登記Streptococcus pyogenes之藥品許可證，只有中外製藥一張由於目前供需不平衡及供貨延遲，故可能造成藥物短缺為免於醫療中斷，建議以替代藥物minocycline50mg/cap或tetracycline250mg/cap治療","本品之衛生署核准適應症包括：消化器癌、頭頸部癌、甲狀腺癌及肺癌。本品之健保給付規範為「限惡性腫瘤患者患有惡性腹水，肋膜積水或心包膜積水時使用，需檢附病歷摘要。」惡性腫瘤轉移後導致的各類積水情況，仍以外科介入引流為最主要的處理方式。處置肋膜積水後，考慮施行肋膜沾黏術(pleurodesis)並給予藥品避免肋膜再度積水。可使用藥品包括tetracycline, minocycline, talc...etc(但該類藥品用於肋膜沾黏數仍屬off-label use)"
"131","20140415","脂倍坦膠囊","Olbetam","衛署藥輸字第017140號","Acipimox","250mg/Capsule","輝瑞大藥廠(股)公司","供需不平衡、供貨延遲","可用Cholexamin Tables200 mg/tab(杏林)、Nidadd Sustained Release Tablets 500 mg/tab(世育)、Perycit Tablets 250 mg/tab(扶陞)替代(7/22與廠商聯絡，廠商回覆已正常供貨)","由於Olbetam國內目前沒有其他競爭的學名藥，因此建議以同類藥取代。此外，亦可考慮啟動缺藥處理機制，暫時核准於台灣無許可證之藥品Yiping或Nedios，因該2項藥品組成成分與Olbetam相同。"
"132","20140421","利保維源注射劑","lyo-povigent","衛署藥字第039392號","PANTHENOL D-(EQ TO D-PANTHENOL), VITAMIN A PALMITATE, BIOTIN, NIACINAMIDE (NICOTINAMIDE), THIAMINE HYDROCHLORIDE, RIBOFLAVIN PHOSPHATE SODIUM, PYRIDOXINE HCL, CYANOCOBALAMIN (VIT B12), FOLIC ACID, ASCORBIC ACID (VIT C), CHOLECALCIFEROL ( EQ TO VIT D3) ( EQ TO VITAMIN D3), TOCOPHEROL (ACETATE ALPHA DL- ), PHYTOMENADIONE(VIT K1)","凍晶注射劑","中國化學製藥股份有限公司","生產線整合及安排","請視醫院存量調整臨床處方劑量至供貨正常，若有可使用三合一製劑的病人可視情況調整處方","Lyo-povigent (中化) 103/7 可恢復供貨"
"133","20140428","“華興”速可淨高氟牙齒塗佈凝膠","SCODYL DENTAL GEL“H.S.”","衛署藥製044337號","SODIUM MONOFLUOROPHOSPHATE, SODIUM FLUORIDE","牙科用凝膠劑","華興化學製藥廠股份有限公司","藥證到期、查驗登記未過或代理權變更","改以黃氏製藥股份有限公司生產的Standard-Fluor Dental Gel (史丹氟雙氟牙齒塗佈凝膠)(衛署藥製字第048702號)替代","臨床使用可改以同成分、劑型、劑量之Standard-Fluor Dental Gel替代，但本品規格較小，每支為20gm(Scodyl dental gel為300gm/tube)，且無健保價，須自費購買。"
"134","20140509","＂瑞安＂ 福滿內服液劑","FUMIDE OREAL SOLUTION 10MG/ML ＂PURZER＂","衛署藥製字第044046號","furosemide","10 mg/mL, 120 mL/btl","瑞安大藥廠股份有限公司","機器故障暫無法生產","依病患使用需求條件容許下改以口服錠劑或注射方式為之。","單純為製造廠商原料供應不及，非全球短缺現象。"
