標題,連結,發布日期
"[藥物食品安全週報第274期]--「三管五卡」 嚴格把關牛肉進口/要紅麴 不要橘黴素/認識冬季腸胃炎","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=456&chk=32908F5A-CCD1-4C4A-92DF-07B2A0D21F3A&mid=138&name=fdContent","2010-12-17"
"[藥物食品安全週報第275期]--國際食品用防油紙袋/餐飲業衛生評鑑與輔導/冬令進補","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=438&chk=82818922-26FE-4FE0-8B8B-2ED273DE968A&mid=138&name=fdContent","2010-12-24"
"[藥物食品安全週報第276期]--TFDA週年有成/輸入食品邊境查驗無縫接軌/安全使用食品添加物","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=439&chk=24753261-2D6B-42AF-9893-9F887A429C5B&mid=138&name=fdContent","2010-12-31"
"[藥物食品安全週報第277期]--殘留農藥之健康風險/重視婦女營養及健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=457&chk=F45E4B68-F6D4-489D-9B85-E5C8A09B8256&mid=138&name=fdContent","2011-01-07"
"[藥物食品安全週報第278期]--塑膠類食品器具容器包裝應標示事項/切勿食用不知名的魚、貝、螺以防中毒","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=443&chk=BFE8BEEC-C648-40E6-BBF0-34F1B172610F&mid=138&name=fdContent","2011-01-14"
"[藥物食品安全週報第279期]--注意飲食安全，慎防肉毒桿菌中毒/洗頭兼染髮？當心傷身","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=450&chk=25119967-632F-4510-BE9F-0E76AAC94080&mid=138&name=fdContent","2011-01-21"
"[藥物食品安全週報第27期]--碳酸清涼飲料淺嚐即止/當購買的藥品不良時該如何通報/外食自備筷子","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=179&chk=9669AB32-5F55-4FE7-83EC-6A0008898747&mid=138&name=fdContent","2006-03-23"
"[藥物食品安全週報第280期]--辦年貨/含乙醯胺酚（Acetaminophen）藥品用藥安全資訊","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=453&chk=68C3A283-3370-4B63-A190-D95314BE50FC&mid=138&name=fdContent","2011-01-28"
"[藥物食品安全週報第281期]--慢性病患記得按時服藥/健康做年菜/畜牧禁用乙型受體素肉品不得檢出","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=455&chk=3DB57EF5-7941-4087-8EB7-5DB9C36FD1A7&mid=138&name=fdContent","2011-02-04"
"[藥物食品安全週報第282期]--上元佳節湯圓勿過量/ 認識身體清潔用品/ 認識大麻","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=461&chk=587C2BF1-D42B-46B6-8239-3CE5EA15A39F&mid=138&name=fdContent","2011-02-11"
"[藥物食品安全週報第283期]--食品用洗潔劑 / 劣質假睫毛不要戴 / FDA實驗室認證標章","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=462&chk=B1A0698A-F028-43FC-83FA-44096325B177&mid=138&name=fdContent","2011-02-18"
"[藥物食品安全週報第284期]--避免以塑膠容器盛裝熱食 / 使用醫療器材「4要」原則","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=463&chk=6C0FEE0D-C895-4F8D-921E-5AE9EDEAC296&mid=138&name=fdContent","2011-02-25"
"[藥物食品安全週報第285期]--瘦肉精 / 含糖飲料 / 管制藥品","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=464&chk=5EBA1AB6-5E87-4F28-B373-25C476CBFC39&mid=138&name=fdContent","2011-03-04"
"[藥物食品安全週報第286期]--食品調理守「五要」 / 遠離K他命 / 健康輕食飲","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=465&chk=151A5968-D958-4B64-A750-6510A736A010&mid=138&name=fdContent","2011-03-11"
"[藥物食品安全週報第287期]--安眠問題 / 勿購買不明來路的食品和藥物 / 我國訂有食品中原子塵或放射能污染管制標準","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=467&chk=17B9951B-7B4D-4E29-960F-94ABB7E8BFF8&mid=138&name=fdContent","2011-03-18"
"[藥物食品安全週報第288期]--核災資訊設專區 認識清楚少擔憂 / 碘片問與答","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=468&chk=818043E3-EE60-4CEE-89D6-2569AC434902&mid=138&name=fdContent","2011-03-25"
"[藥物食品安全週報第289期]--日本核災防範輻射，聽聽世界衛生組織怎麼說- 食品篇 / 個人防護措施篇","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=470&chk=988B571F-4DF0-47D4-A336-2C2D43078141&mid=138&name=fdContent","2011-04-01"
"[藥物食品安全週報第28期]--正確服用含酒精口服液劑藥品/慎用止咳糖漿/如何預防骨質疏鬆","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=180&chk=DF153F0B-7D2C-48F2-8F58-50D7901B3969&mid=138&name=fdContent","2006-03-30"
"[藥物食品安全週報第290期]--看畫展配安眠藥 / 衛生署廢止含普帕西芬成分止痛藥品許可證 / 日本輻災情報站","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=471&chk=2DE13976-1189-41C4-8225-EF5BFA684760&mid=138&name=fdContent","2011-04-08"
"[藥物食品安全週報第291期]--「阿斯匹林」應標示注意事項及警語 / 日本輻災情報細細說","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=473&chk=03B73C7E-BEE2-482D-A1DF-9DB8FE34628E&mid=138&name=fdContent","2011-04-15"
"[藥物食品安全週報第292期]--跨機關合作讓不法藥物及違規廣告無所遁形 / 耳溫槍 / 食品標章","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=476&chk=43231F31-9EF8-4566-BE47-8D614883CA5E&mid=138&name=fdContent","2011-04-22"
"[藥物食品安全週報第293期]--備妥處方箋 入出境不卡關 / 別讓毒窟藏民宅 / 避免致命風險 請勿攝食河豚","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=477&chk=A29E007F-D8D0-4A25-9CD9-2643EFD4DAE1&mid=138&name=fdContent","2011-04-29"
"[藥物食品安全週報第294期]-- 不要冒險食河豚 / 「HACCP」知多少？","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=478&chk=E0BF2D50-B0EB-460F-A977-1F901BF442AB&mid=138&name=fdContent","2011-05-06"
"[藥物食品安全週報第295期]--體重控制藥品orlistat的用藥安全資訊 / 藥害救濟修法 放寬救濟範圍","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=479&chk=E4C79AE0-0CD4-47C1-8E6C-501C22B0BDB8&mid=138&name=fdContent","2011-05-13"
"[藥物食品安全週報第296期]--看清楚指甲油標示成分 / 藥「用心」，藥「安心」/ 簡單防曬123","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=482&chk=7D7F1750-356F-4536-964A-9AC164645554&mid=138&name=fdContent","2011-05-20"
"[藥物食品安全週報第297期]--飲料含塑化劑DEHP？/ 問與答 / 可檢測食品DEHP之民間實驗室一覽表","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=483&chk=87133CD8-5A86-4176-9E0A-D1352EDD2030&mid=138&name=fdContent","2011-05-27"
"[藥物食品安全週報第298期]--各通路應停止販售受塑化劑污染食品 / 塑化劑vs.健康問與答","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=484&chk=4575FD46-01B1-402F-9422-2A703EC50599&mid=138&name=fdContent","2011-06-04"
"[藥物食品安全週報第299期]--加強5大類食品稽查 / 環保署對於毒性化學物質之分類 / 常見的塑化劑毒性資料","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=485&chk=916793D4-391E-4AEE-A3C6-4A072D585BA0&mid=138&name=fdContent","2011-06-10"
"[藥物食品安全週報第29期]-- 別讓鼻子成為隨身氣象台/以美沙冬作為海洛因藥癮戒治替代藥物/近視角膜塑型須知","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=181&chk=FECD41CC-862C-436B-ADA0-E01AFB4EC9E6&mid=138&name=fdContent","2006-04-06"
"[藥物食品安全週報第2期]--黑心食品面面觀（一）","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=154&chk=B1AFEB93-CE2D-4F9B-AF56-881F426AF69B&mid=138&name=fdContent","2005-09-29"
"[藥物食品安全週報第300期]--全面稽查 防堵塑化劑污染 / 「5少5多」減塑撇步 / 大腸桿菌O104","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=486&chk=5A92E84E-DF26-4EFD-83AA-833BDC0B0ECD&mid=138&name=fdContent","2011-06-17"
"[藥物食品安全週報第301期]-- 誠懇面對、控制損害、痛定思痛、重建聲譽 / 善用營養標示 讓你吃得健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=487&chk=87C9C443-11F0-4862-BF81-20193B4F0EAC&mid=138&name=fdContent","2011-06-24"
"[藥物食品安全週報第302期]--食品管理改革 重建安全信心及形象 / 炎夏重「五要」 嚴防食品中毒","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=488&chk=AA90DA03-0E85-41A2-B9A2-A1F612FAD7A8&mid=138&name=fdContent","2011-07-01"
"[藥物食品安全週報第303期]--新版「國民飲食指標」及「每日飲食指南」/ 戒菸輔助藥品Champix之用藥資訊 /管制藥品易成癮勿濫用","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=490&chk=8B0E6EE6-6A0A-454F-865C-1FE7F8C9B6BB&mid=138&name=fdContent","2011-07-08"
"[藥物食品安全週報第304期]--不明路邊野菜別入口 / 認識食品中的赭麴毒素A","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=492&chk=C5668519-3597-450C-BDD9-B4E0E63005B4&mid=138&name=fdContent","2011-07-15"
"[藥物食品安全週報第305期]--公布每日塑化劑耐受量參考值，強化風險評估 / 新版素食飲食指標","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=493&chk=E540F28F-01E1-4BB2-813A-CBB43AB4A9D7&mid=138&name=fdContent","2011-07-22"
"[藥物食品安全週報第306期]--塑膠食具清楚標正確用 / 吃素也要健康吃","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=494&chk=D1F9F1BE-8317-4F10-9DAD-78418C4B4199&mid=138&name=fdContent","2011-07-29"
"[藥物食品安全週報第307期]--8月1日停止適用「塑化劑污染食品之處理原則」/塑膠杯蓋分清楚 正確用 / 建國百年反毒列車啟動","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=495&chk=C6FCD142-D9FC-4BC9-A904-545C494CD32D&mid=138&name=fdContent","2011-08-05"
"[藥物食品安全週報第308期]--衛生署持續關注塑化劑 / 艷陽高照防曬知多少？/「看照證明」有一套 正確選購血壓計","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=497&chk=32BA5D6F-23B0-460B-A021-59FFD5E54F0F&mid=138&name=fdContent","2011-08-12"
"[藥物食品安全週報第309期]--網路不可販售醫療器材 / 正確使用抗生素 / 熱天涼品當道 可別忽視熱量】","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=502&chk=DB084E8F-28E9-4729-8BE1-55F5A53E7BB0&mid=138&name=fdContent","2011-08-26"
"[藥物食品安全週報第30期]--勿碰新興濫用藥物PMMA與2C-B/婦女應定期接受子宮頸癌檢查/海產熟食","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=182&chk=D24DD19A-1241-4818-91F2-FE4B02160DE7&mid=138&name=fdContent","2006-04-13"
"[藥物食品安全週報第310期]--食品品名該怎麼標？/ 購買食品前，請看「食品身分證」－標示 / 染髮劑明暸注意事項再使用","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=501&chk=A841884B-0C1C-4F8D-81B2-C82BFF3EC851&mid=138&name=fdContent","2011-08-26"
"[藥物食品安全週報第311期]--醫療院所購藥注意：三重點、五步驟 / 鎮靜劑與安眠藥 / 降低脂肪 吃出健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=503&chk=4011E7BC-26CC-406C-80E8-4FCEB7AFC62A&mid=138&name=fdContent","2011-09-02"
"[藥物食品安全週報第312期]-- 存放藥品多留心 確保藥效又放心 / 秋節健康風—烤肉篇 / 秋節健康風—月餅篇","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=504&chk=6C1136CE-584C-413E-AC06-3F0FE79B2319&mid=138&name=fdContent","2011-09-09"
"[藥物食品安全週報第313期]-- 藥師在嗎？小心違反藥事法 / 實驗室通過認證 數據保證更加分 / 秋節過後恢復健康飲食","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=505&chk=4B323E83-3B9E-40CF-B04C-7E123DC82494&mid=138&name=fdContent","2011-09-16"
"[藥物食品安全週報第314期]-- 注意！加料≠加值 / Bevacizumab（Avastin）用藥資訊 / 吩坦尼貼片用藥注意事項","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=506&chk=BBC04C4E-CEA6-4EF8-965D-6889C7E67D85&mid=138&name=fdContent","2011-09-23"
"[藥物食品安全週報第315期] -- 當心「變身毒品」陷阱 / 勿擅自購買使用女性避孕貼片 / 首屆925用藥安全日","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=507&chk=BA0012B5-DB8E-4D47-A8D6-2EC4E5CBCF75&mid=138&name=fdContent","2011-09-30"
"[藥物食品安全週報第316期] -- 正確使用塑膠類食品容器具 / 用藥安全 需要您多關心 / 傻瓜電擊器簡介","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=508&chk=8FCD161E-F74D-4D71-9AF8-597C7083941E&mid=138&name=fdContent","2011-10-07"
"[藥物食品安全週報第317期] -- 「無糖」或「低糖」不等於「無熱量」/ 正確使用美耐皿塑膠食品器具、容器","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=509&chk=CAE0C5DA-BA5C-428B-BB5A-26638747DFEC&mid=138&name=fdContent","2011-10-14"
"[藥物食品安全週報第318期] -- 「瘦肉精」知多少 / 一念之間與終身悔恨：藥物濫用下的脫序人生","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=510&chk=327321CE-58D4-4172-8B3A-2A5032C5ED01&mid=138&name=fdContent","2011-10-21"
"[藥物食品安全週報第319期] -- 網路不得販售隱形眼鏡產品 / 隱形眼鏡正確用 / 優質廚師一把罩","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=511&chk=A398B04C-97ED-4F75-AF11-C9111A874B8E&mid=138&name=fdContent","2011-10-28"
"[藥物食品安全週報第31期]--勿自網路街頭購買大陸藥品/博士倫問題隱形眼鏡藥水台灣未銷售/適量攝食鹽 有益健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=183&chk=BA9AC636-2997-4E6A-A44A-372815BED258&mid=138&name=fdContent","2006-04-20"
"[藥物食品安全週報第320期] -- 對-氯安非他命及K2 (Spice)都是第三級管制藥品 / 藥品分級「停、看、聽」","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=512&chk=F348AFF9-19FE-4C44-834C-14D5E70E3147&mid=138&name=fdContent","2011-11-04"
"[藥物食品安全週報第321期] -- 少用塑膠容器，自備餐具更環保 / 正確使用減肥藥品才「享」瘦 / 守護學童營養午餐安全","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=514&chk=2D5DFB50-EE76-4380-9598-EC9C8132949A&mid=138&name=fdContent","2011-11-11"
"[藥物食品安全週報第322期] -- 服用含荷爾蒙drospirenone避孕藥須注意血栓風險 / 全穀食品好處多 / 看清標示，1,4-二氧六圜 (1,4-Dioxane) 不用怕","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=515&chk=3A466B7C-6516-421C-AD08-0E958306DB78&mid=138&name=fdContent","2011-11-18"
"[藥物食品安全週報第323期] -- bevacizumab 成分藥品（癌思停）用藥警訊 / 正確用「套」保平安 / 隱形眼鏡為美麗加分，勤保養讓雙眸更閃亮","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=516&chk=FD7350B0-3531-4E86-81B8-9F20E857452B&mid=138&name=fdContent","2011-11-25"
"[藥物食品安全週報第324期] -- 用對隱形眼鏡視界更美好 / 隱形眼鏡清潔別偷懶 / 邊境把關，食在安心","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=517&chk=A7218F56-E188-491C-B07E-100683B6F19B&mid=138&name=fdContent","2011-12-02"
"[藥物食品安全週報第325期] -- 沒吃完、過期的藥品怎麼辦？ / Legal Highs--新興濫用物質，誤用觸法恐致命","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=519&chk=22A987D3-7980-4FF0-B35A-B69FD5614BA6&mid=138&name=fdContent","2011-12-09"
"[藥物食品安全週報第326期] -- 選購食品前，有效日期仔細瞧一瞧 / 要抗UV，更要保骨力 / 慎防河豚毒素中毒致命","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=520&chk=11AB93A0-5920-4A77-BC7D-400F77BC23D4&mid=138&name=fdContent","2011-12-16"
"[藥物食品安全週報第327期] -- 使用dabigatran成分藥品須注意嚴重出血風險 / 衛署「管」很大，「大象針」列第四級管制藥品 / 食品技師讓食品安全一把「罩」","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=521&chk=B2D827E3-41A0-489C-BC20-EDFC4274E463&mid=138&name=fdContent","2011-12-23"
"[藥物食品安全週報第328期] -- 使用drospirenone成分避孕藥品須注意栓塞風險 / 《爸媽管很大》反毒妙招 / e化管理，實驗室認證一指搞定","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=522&chk=F376B7D6-C454-48D3-B897-B07BB041FC31&mid=138&name=fdContent","2011-12-30"
"[藥物食品安全週報第329期] -- 三低一高的健康年菜 / 旅遊伴手禮 攜量、郵寄都要注意！","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=523&chk=4EF983FD-C2D0-42B8-BF5C-971E1D0E78B0&mid=138&name=fdContent","2012-01-06"
"[藥物食品安全週報第32期]--非法減肥藥 小心傷身且成癮/「食品中戴奧辛處理規範」已發布實施/PAAG整型不合法","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=184&chk=994A048B-5681-44E7-9FCC-CCA28BF4B0E1&mid=138&name=fdContent","2006-04-27"
"[藥物食品安全週報第330期] -- 過年健康吃 營養又健美 / 健康年菜食譜 / 流感發威 服用含oseltamivir成分藥品請注意","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=524&chk=14492FE5-B5B5-4141-AE1D-6DA1E53DA9C1&mid=138&name=fdContent","2012-01-13"
"[藥物食品安全週報第331期] -- 飲食衛生多注意 圍爐年菜安心吃 / 健康年菜 / 年節歡聚，當心「搖頭丸」的毒害誘惑 / 訂購網路年菜 請選擇有商譽的廠商","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=525&chk=7EF81EBF-201F-450E-8412-98574A208408&mid=138&name=fdContent","2012-01-20"
"[藥物食品安全週報第332期] -- 年後輕食少熱量多健康 / 網購食品要慎選 保障食用安全 / 認識疫苗安全正確接種","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=526&chk=650F3C58-16F6-4715-84E7-F581B97C0F7F&mid=138&name=fdContent","2012-01-30"
"[藥物食品安全週報第333期] -- 年後減重方法要謹慎 / 購買商品前先看清標示 / 便民措施「案件申辦平台系統」上線囉！","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=527&chk=DBF21FA2-D797-4915-BABB-08433B044907&mid=138&name=fdContent","2012-02-03"
"[藥物食品安全週報第334期] -- 瘦肉精之管理 / 管制藥品分級管理 / 服用骨鬆藥品請注意副作用","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=528&chk=FB0EA649-026E-4F60-BA87-EBAD3935A187&mid=138&name=fdContent","2012-02-10"
"[藥物食品安全週報第335期] -- 含bortezomib成分藥品用藥安全資訊 / 勤洗手防諾羅 / 低週波治療器使用注意事項","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=529&chk=97EF6C7B-3FBD-4E21-8EA5-202448EBC54C&mid=138&name=fdContent","2012-02-17"
"[藥物食品安全週報第336期] -- 藥物過敏導致嚴重傷害 藥害救濟有保障 / 用藥安全三「五」原則","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=530&chk=38E06F9F-12CF-4531-90CD-4A8EFD0575A7&mid=138&name=fdContent","2012-02-24"
"[藥物食品安全週報第337期] -- 科學評估萊克多巴胺之風險 /「零風險」與「零檢出」/ 去年違規廣告遭罰，近六成為「食品」","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=532&chk=6194FCE4-C74C-4774-BB1D-A5CA057B2D0C&mid=138&name=fdContent","2012-03-02"
"[藥物食品安全週報第338期] -- 安全容許、牛豬分離、強制標示、排除內臟 / 正確調理禽肉蛋類 確保「食在安全」/ 遠離「K世界」毒害","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=534&chk=EE13949A-445F-444C-BB71-8B1AC2342150&mid=138&name=fdContent","2012-03-09"
"[藥物食品安全週報第339期] -- 簡明易懂 萊克多巴胺專區提供資訊解讀 / 依照指引操作 保障食品衛生 / 勿食不明植物避免中毒","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=535&chk=3EB0A62C-552D-49AD-A04F-0E12B6F9FC54&mid=138&name=fdContent","2012-03-16"
"[藥物食品安全週報第33期]--選購嬰兒奶粉 認清標示與標誌/小心珊瑚礁魚類 避免雪卡毒素中毒/依GDP規範研磨藥品","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=185&chk=C1555E8D-2E9B-4178-A037-351F62A8BF9D&mid=138&name=fdContent","2006-05-04"
"[藥物食品安全週報第340期] -- 認識「瘦肉精」/ 擴大市售肉品檢驗加強食品把關 /「萊克多巴胺」問與答 / 清明「寒食」避免添加物傷身","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=536&chk=98105049-073A-4EC9-9C8D-7F9BB7F8A235&mid=138&name=fdContent","2012-03-23"
"[藥物食品安全週報第341期] -- 「零檢出」不是「零濃度」/「萊克多巴胺」問與答--食用動物內臟安全嗎？/ 認識「人體器官保存庫管理辦法」","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=537&chk=85B92C50-63CA-457A-B567-EAA521D012C5&mid=138&name=fdContent","2012-03-30"
"[藥物食品安全週報第342期] -- 零殘留≠食品零風險 /「萊克多巴胺」問與答—輸入查驗與市售檢驗不合格之處理 / 天然飲食的安全食用法","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=538&chk=A03A177C-AD2A-4A15-89FE-E7B88D08055F&mid=138&name=fdContent","2012-04-06"
"[藥物食品安全週報第343期] -- 春吶音樂High人心，別讓毒品害己身 / 補充維生素的健康原則","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=539&chk=6557669C-6ED0-4494-8580-353FF28C5CDB&mid=138&name=fdContent","2012-04-13"
"[藥物食品安全週報第344期] -- 慎防河豚毒素中毒 / 認識生活中的「鋁」/ 新增瑞吩坦尼、3,4-亞甲基雙氧甲基卡西酮為第二級及第三級管制藥品","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=540&chk=F191AD26-7E55-4A4A-B9F2-DFBD0E9A02E2&mid=138&name=fdContent","2012-04-20"
"[藥物食品安全週報第345期] -- 夏日腳步近 飲食要注意 / 檢驗選認證 品質有保障 / 食品技師自源頭把關食品安全","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=541&chk=001D6C3F-F284-4869-A6D0-3DA06F4CCA83&mid=138&name=fdContent","2012-04-27"
"[藥物食品安全週報第346期] -- 狂牛症說分明 / 狂牛症與食品安全 / 狂牛症與藥品安全","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=543&chk=FAC32288-EB2E-49D3-9C32-AA95EA54FE5C&mid=138&name=fdContent","2012-05-04"
"[藥物食品安全週報第347期] -- 陸製膠囊含鉻 超標百倍 / 安眠藥物治標不治本，追加使用恐成依賴","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=544&chk=987617C3-A2EF-408E-B9B5-1D4C6A25791E&mid=138&name=fdContent","2012-05-11"
"[藥物食品安全週報第348期] -- 萊克多巴胺」管控原則 /「三管五卡」為輸入食品衛生安全把關","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=548&chk=8055D9D9-C099-4811-97EF-DFAFE0451C44&mid=138&name=fdContent","2012-05-18"
"[藥物食品安全週報第349期] -- 狂牛症專區資訊摘要 /「黃莞」非山茼蒿 莫當野菜吞食 / 偽劣假藥害人不淺 壯陽不成反傷身","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=549&chk=83C9B882-64C5-4DFA-9AE0-6DA8458302AA&mid=138&name=fdContent","2012-05-25"
"[藥物食品安全週報第34期]--健康食品管理雙軌制/注射疫苗可預防腮腺炎/不要再買「大陸藥品」了！","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=186&chk=FD04CDA0-77D0-4372-8C6A-9C1273BC68C2&mid=138&name=fdContent","2006-05-11"
"[藥物食品安全週報第350期] -- 「強制標示」，保障食品安全：(一)資訊透明選擇多、(二)加強稽查與落實 / 推動「國民營養法」立法","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=550&chk=69194FF4-6D22-4205-BD14-23FB103D84C3&mid=138&name=fdContent","2012-06-01"
"[藥物食品安全週報第351期] -- 強化食品添加物管理：(一)設置「非登不可」網站、(二)加強食品添加物稽查，保障食品安全 / 牛肉來源「強制標示」資訊透明選擇多","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=551&chk=B0722DFF-E443-4FC6-AD90-0597B611A04A&mid=138&name=fdContent","2012-06-08"
"[藥物食品安全週報第352期] -- 治療禿髮用藥請由醫師處方 /「東莨菪鹼」毒禍橫行 / 選購食品牢記「五不買」","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=553&chk=66F84A39-A884-40BB-977C-236377683F0C&mid=138&name=fdContent","2012-06-15"
"[藥物食品安全週報第353期] -- 享用美味海鮮 注意衛生安全防中毒 / 了解化粧品成分 以免過敏纏身","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=554&chk=8965B18D-A2E5-44C6-AFED-718FB10B9FA3&mid=138&name=fdContent","2012-06-22"
"[藥物食品安全週報第354期] -- 治療焦慮藥品meprobamate的用藥安全資訊 / 吃粽限量不增「重」/ 大陸乳製品不得輸銷我國 誤購服恐傷身","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=555&chk=DCD0931D-F5A5-4F84-90BA-5F9A3419B10E&mid=138&name=fdContent","2012-06-29"
"[藥物食品安全週報第355期] -- 「愷他命」毒害少年身心 / 瘦身霜非萬能 / 隱形眼鏡勤保養 清洗配戴才安全","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=556&chk=405EFD42-CF10-414F-B9DF-E2F0D13936FC&mid=138&name=fdContent","2012-07-06"
"[藥物食品安全週報第356期] -- CODEX通過訂定「萊克多巴胺」殘留容許量/ 素食種類看分明","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=557&chk=19B7AB69-C556-46DA-B659-51FD8C0B67DB&mid=138&name=fdContent","2012-07-13"
"[藥物食品安全週報第357期] -- 新興毒品「浴鹽」侵台 易成癮致精神錯亂 / 實驗有認證 真「證」卡可靠 / 豔陽高照 防曬不可少","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=558&chk=14AC6DEA-49A1-41D0-8138-1AFC3C7B576A&mid=138&name=fdContent","2012-07-20"
"[藥物食品安全週報第358期] -- 回收疑遭沙門氏菌污染之荷蘭進口奶粉 / 人體器官妥善保存 植的安心，受的放心 / 少吃油炸、烘焙及高脂食品","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=560&chk=507B0831-21B0-4597-9689-ED2AFB5839E1&mid=138&name=fdContent","2012-07-27"
"[藥物食品安全週報第359期] -- 止吐藥—domperidone成分藥品之用藥安全注意事項 / 選購塑膠類餐具，認清材質、溫度標示 / 夏日輕食，健康沙拉","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=561&chk=BFF0B762-742D-4BE5-90D0-F8AD0A3FF487&mid=138&name=fdContent","2012-08-03"
