許可證字號,發證日,商品名,許可證持有者,監視終止
"衛署藥輸字第025885號","101.12.28","Trilipix 45 mg modified release capsules","美商亞培股份有限公司台灣分公司","106.12.28"
"衛署藥輸字第025884號","101.12.28","Trilipix 135 mg modified release capsules","美商亞培股份有限公司台灣分公司","106.12.28"
"衛署藥輸字第025882號","101.12.28","Firmagon 80mg, Powder and Solvent for Solution for Injection","輝凌藥品股份有限公司","106.12.28"
"衛署藥輸字第025883號","101.12.28","Firmagon 120mg, Powder and Solvent for Solution for Injection","輝凌藥品股份有限公司","106.12.28"
"衛署菌疫輸字第000936號","101.12.28","Eylea afibercept (rch) 40 mg/mL solution for intravitreal injection vial","臺灣拜耳股份有限公司","106.12.28"
"衛署菌疫輸字第000938號","102.03.01","Eylea aflibercept (rch) 40 mg/mL solution for intravitreal injection pre-filled syringe (H2O2 sterilized)","臺灣拜耳股份有限公司","106.12.28"
"衛署藥輸字第025395號","101.2.14","Simdax 2.5mg/ml Concentrate for Solution for Infusion","健喬信元醫藥生技股份有限公司","106.2.14"
"衛署菌液輸字第000921號","101.2.17","Arepanrix TM H1N1","荷商葛蘭素史克藥廠股份有限公司台灣分公司","106.2.17"
"衛署藥輸字第025633號","101.2.28","Jevtana Concentrate and solvent for solution for infusion","賽諾菲安萬特股份有限公司","106.2.28"
"衛署藥輸字第025519號","101.3.11","AKuriT-3","微確藥品有限公司","106.3.11"
"衛署藥輸字第025519號","101.3.11","AKuriT-3","微確藥品有限公司","106.3.11"
"衛署藥輸字第025518號","101.3.4","AKuriT-4","微確藥品有限公司","106.3.4"
"衛署藥輸字第025647號","101.3.8","Xarelto Film-Coated Tablets 20 mg","台灣拜耳股份有限公司","106.3.8"
"衛署藥輸字第025648號","101.3.8","Xarelto Film-Coated Tablets 15 mg","台灣拜耳股份有限公司","106.3.8"
"衛署藥製字第057216號","101.5.15","Linicor F.C.T. 20/500 mg","居正企業股份有限公司","106.5.15"
"衛署藥製字第057199號","101.5.2","Zonegran Film-coated Tablets 100 mg","衛采製藥股份有限公司","106.5.2"
"衛署藥輸字第025700號","101.5.22","Rasilamlo 150mg/5mg Film-Coated Tablets","台灣諾華股份有限公司","106.5.22"
"衛署藥輸字第025701號","101.5.22","Rasilamlo 150mg/10mg Film-Coated Tablets","台灣諾華股份有限公司","106.5.22"
"衛署藥輸字第025702號","101.5.22","Rasilamlo 300mg/5mg Film-Coated Tablets","台灣諾華股份有限公司","106.5.22"
"衛署藥輸字第025703號","101.5.22","Rasilamlo 300mg/10mg Film-Coated Tablets","台灣諾華股份有限公司","106.5.22"
"衛署菌液輸字第000927號","101.5.24","Nplate injection","台灣協和醱酵麒麟股份有限公司","106.5.24"
"衛署菌液輸字第000924號","101.6.14","XGEVA","荷商葛蘭素史克藥廠股份有限公司台灣分公司","106.6.14"
"衛署藥輸字第025730號","101.6.18","Fenistil Pencivir (for cold sore) Cream","台灣諾華股份有限公司","106.6.18"
"衛署藥輸字第025717號","101.6.4","Viviant Film-Coated Tablet 20 mg","輝瑞大藥廠股份有限公司","106.6.4"
"衛署藥輸字第025792號","101.8.10","Trajenta Duo 2.5/850 mg Film-Coated Tablets","台灣百靈佳殷格翰股份有限公司","106.8.10"
"衛署藥輸字第025793號","101.8.10","Trajenta Duo 2.5/500 mg Film-Coated Tablets","台灣百靈佳殷格翰股份有限公司","106.8.10"
"衛署藥輸字第025794號","101.8.10","Trajenta Duo 2.5/1000 mg Film-Coated Tablets","台灣百靈佳殷格翰股份有限公司","106.8.10"
"衛署藥輸字第025800號","101.8.17","Duratocin Injection 100mcg/ml","輝凌藥品股份有限公司","106.8.17"
"衛署藥製字第057348號","101.8.30","Runesda-S F. C. Tablets 2 mg","瑩碩生技醫藥股份有限公司","106.8.30"
"衛署藥製字第057349號","101.8.30","Runesda-S F. C. Tablets 3 mg","瑩碩生技醫藥股份有限公司","106.8.30"
"衛署藥製字第057350號","101.8.30","Runesda-S F. C. Tablets 1 mg","瑩碩生技醫藥股份有限公司","106.8.30"
"衛署藥輸字第025820號","101.9.19","Sancuso transdermal patch 3.1mg/24hours","台灣協和醱酵麒麟股份有限公司","106.9.19"
"衛署藥製字第057372號","101.9.26","Pitator Tablets 2mg","友霖生技醫藥股份有限公司","106.9.26"
"衛署藥輸字第025757號","101.9.7","DIFICID FILM-COATED TABLET 200MG","台灣浩鼎生技股份有限公司","106.9.7"
"菌疫輸字第000941號","102.06.07","Vectibix solution for infusion","荷商葛蘭素史克藥廠股份有限公司台灣分公司","107.06.07"
"衛署菌疫輸字第000942號","102.06.14","Perjeta Vial 420mg","羅氏大藥廠股份有限公司","107.06.14"
"衛署菌疫輸字第000943號","102.07.23","Zaltrap 25mg/ml concentrate for solution for infusion","賽諾菲安萬特股份有限公司","107.07.23"
"衛部藥輸字第026168號","102.10.11","Stivarga Filmed-Coated Tablets 40mg","台灣拜耳股份有限公司","107.10.11"
"衛部藥輸字第026157號","102.10.4","Seebri Breezhaler 50 microgram, inhalation powder hard capsules","臺灣諾華股份有限公司","107.10.4"
"衛部菌疫輸字第000949號","102.11.6","Kadcyla","羅氏大藥廠股份有限公司","107.11.06"
"衛部藥製字第058130號","102.11.20","Chiamin-A Injection","壽元化學工業股份有限公司","107.11.20"
"衛部藥輸字第026219號","102.12.12","Xeljanz Film-coated Tablets 5 mg","輝瑞大藥廠股份有限公司","107.12.12"
"衛部藥製字第058156號","102.12.18","Brosym for Injection","臺灣東洋藥品工業股份有限公司","107.12.18"
"衛部藥輸字第026207號","102.12.2","Resolor Film-Coated Tablets 1mg","嬌生股份有限公司","107.12.2"
"衛部藥輸字第026208號","102.12.2","Resolor Film-Coated Tablets 2mg","嬌生股份有限公司","107.12.2"
"衛部藥輸字第026207號","102.12.2","Resolor Film-Coated Tablets 1mg","嬌生股份有限公司","107.12.2"
"衛部藥輸字第026208號","102.12.2","Resolor Film-Coated Tablets 2mg","嬌生股份有限公司","107.12.2"
"衛部藥輸字第26204號","102.12.2","Victrelis 200mg Capsule","美商默沙東藥廠股份有限公司台灣分公司","107.12.2"
"衛部藥輸字第026209號","102.12.7","Edarbyclor Tablets 40mg/12.5mg","臺灣武田藥品工業股份有限公司","107.12.7"
"衛部藥輸字第026210號","102.12.7","Edarbyclor Tablets 40mg/25mg","臺灣武田藥品工業股份有限公司","107.12.7"
"衛部藥輸字第026209號","102.12.7","Edarbyclor Tablets 40mg/12.5mg","臺灣武田藥品工業股份有限公司","107.12.7"
"衛部藥輸字第026210號","102.12.7","Edarbyclor Tablets 40mg/25mg","臺灣武田藥品工業股份有限公司","107.12.7"
"衛署罕藥輸字第000026號","102.2.5","Xenazine 25mg","吉泰藥品股份有限公司","107.2.5"
"衛署罕藥輸字第000028號","102.2.5","Xenazine 12.5mg","吉泰藥品股份有限公司","107.2.5"
"衛署藥製字第057831號","102.2.8","Torsix injection 10mg/ml","永信藥品工業股份有限公司","107.2.8"
"衛署藥輸字第025939號","102.3.1","XALKORI Capsules 200mg","輝瑞大藥廠股份有限公司","107.3.1"
"衛署藥輸字第025938號","102.3.1","XALKORI Capsules 250mg","輝瑞大藥廠股份有限公司","107.3.1"
"衛署藥輸字第025944號","102.3.13","AMTURNIDE 300/10/25mg Film-Coated Tablets","臺灣諾華股份有限公司","107.3.13"
"衛署藥輸字第025945號","102.3.13","AMTURNIDE 300/10/12.5mg Film-Coated Tablets","臺灣諾華股份有限公司","107.3.13"
"衛署藥輸字第025946號","102.3.13","AMTURNIDE300/5/25mg Film-Coated Tablets","臺灣諾華股份有限公司","107.3.13"
"衛署藥輸字第025947號","102.3.13","AMTURNIDE300/5/12.5mg Film-Coated Tablets","臺灣諾華股份有限公司","107.3.13"
"衛署藥輸字第025948號","102.3.13","AMTURNIDE150/5/12.5mg Film-Coated Tablets","臺灣諾華股份有限公司","107.3.13"
"衛署藥製字第057861號","102.3.18","Meglide F.C. Tablets 1/500mg　","宇尚藥品有限公司","107.3.18"
"衛署藥製字第057860號","102.3.18","Repass F.C. Tablets 1/500mg","瑩碩生技醫藥股份有限公司","107.3.18"
"衛署藥輸字第025708號","102.3.18","NEOPAREN No.1 Injection","臺灣大塚製藥股份有限公司","107.3.18"
"衛署藥輸字第025902號","102.3.18","NEOPAREN No.2 Injection","臺灣大塚製藥股份有限公司","107.3.18"
"衛署藥輸字第025958號","102.03.27","Veregen 10% Ointment","杏國新藥股份有限公司","107.3.27"
"衛署藥輸字第025981號","102.4.12","PAINKYL fentanyl (buccal soluble films) 200mcg","衛生福利部食品藥物管理署管制藥品製藥工廠","107.4.12"
"衛署藥輸字第025982號","102.4.12","PAINKYL fentanyl (buccal soluble films) 400mcg","衛生福利部食品藥物管理署管制藥品製藥工廠","107.4.12"
"衛署藥輸字第025983號","102.4.12","PAINKYL fentanyl (buccal soluble films) 600mcg","衛生福利部食品藥物管理署管制藥品製藥工廠","107.4.12"
"衛署藥輸字第025984號","102.4.12","PAINKYL fentanyl (buccal soluble films) 800mcg","衛生福利部食品藥物管理署管制藥品製藥工廠","107.4.12"
"衛署藥輸字第025985號","102.4.12","PAINKYL fentanyl (buccal soluble films) 1200mcg","衛生福利部食品藥物管理署管制藥品製藥工廠","107.4.12"
"衛署菌疫輸字第000939號","102.4.24","Fluarix Tetra","荷商葛蘭素史克藥廠股份有限公司台灣分公司","107.4.24"
"衛署藥輸字第026031號","102.5.17","Giotrif Film-Coated Tablets 20mg","台灣百靈佳殷格股份有限公司","107.5.17"
"衛署藥輸字第026032號","102.5.17","Giotrif Film-Coated Tablets 30mg","台灣百靈佳殷格股份有限公司","107.5.17"
"衛署藥輸字第026033號","102.5.17","Giotrif Film-Coated Tablets 40mg","台灣百靈佳殷格股份有限公司","107.5.17"
"衛署藥輸字第026034號","102.5.17","Giotrif Film-Coated Tablets 50mg","台灣百靈佳殷格股份有限公司","107.5.17"
"衛署藥輸字第026037號","102.5.23","Jurnista Prolonged-Release Tablets 8mg","行政院衛生署食品藥物管理局管制藥品製藥工廠","107.5.23"
"衛署藥輸字第026043號","102.5.28","Zelboraf film-coated tablets 240 mg (vemurafenib)","羅氏大藥廠股份有限公司","107.5.28"
"衛署藥製第057981號","102.6.24","Acarmet F.C. Tablets","美時化學製藥股份有限公司","107.6.24"
"衛署藥輸字第026093號","102.7.18","SIGNIFOR® 0.3mg/ml solution for injection in ampoule","台灣諾華股份有限公司","107.7.18"
"衛署藥輸字第026094號","102.7.18","SIGNIFOR® 0.6mg/ml solution for injection in ampoule","台灣諾華股份有限公司","107.7.18"
"衛署藥輸字第026095號","102.7.18","SIGNIFOR® 0.9mg/ml solution for injection in ampoule","台灣諾華股份有限公司","107.7.18"
"衛部藥輸字第026097號","102.7.31","Coralan® film-coated tablets 5mg","新加坡商施維雅股份有限公司 台灣分公司","107.7.31"
"衛部藥輸字第026098號","102.7.31","Coralan® film-coated tablets 7.5mg","新加坡商施維雅股份有限公司 台灣分公司","107.7.31"
"衛部藥輸字第026124號","102.8.14","Eliquis Film-Coated Tablet 2.5mg","臺灣必治妥施貴寶股份有限公司","107.8.14"
"衛部藥輸字第026133號","102.8.14","Eliquis Film-Coated Tablet 5mg","臺灣必治妥施貴寶股份有限公司","107.8.14"
"衛部藥輸字第026137號","102.8.28","Otrivin Complete Nasal Spray","台灣諾華股份有限公司","107.8.28"
"衛部藥製字第058070號","102.8.30","Qstar Film Coated Tablets","信東生技股份有限公司","107.8.30"
"衛部藥輸字第026139號","102.8.30","ZYTIGA Table 250mg","嬌生股份有限公司","107.8.30"
"衛部菌疫輸字第000945號","102.8.5","Orencia (abatacept) Injection for subcutaneous use 125mg per syringe (125mg/ml)","台灣必治妥施貴寶股份有限公司","107.8.5"
"衛部藥製字第058073號","102.9.5","Enoxolone Gingival Paste","博存貿易有限公司","107.9.5."
