試驗藥品非監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
"Diclofenac tab 25mg","永信","衛署藥製 025524","","Y","","790106","Voltaren tab 50mg","Novartis","Switzerland"
"Diclofenac tab 50mg","中國化學","衛署藥製 036927","","Y","","910702","Voltaren tab 25mg","Novartis","Switzerland"
"Diclofenac SR tab 75mg","永勝","衛署藥製 044041","","Y","","891005","Voltaren SR tab 75mg","Novartis","Switzerland"
"Diclofenac SR tab 75mg","西德有機","衛署藥製 044951","","Y","","910617","Voltaren SR tab 75mg","Novartis","Switzerland"
"Digoxin Elixir 0.05mg/ml","晟德","衛署藥製 047126","","Y","","940314","Lanoxin Elixir Ped. 0.05mg/ml","GSK","US"
"Diltiazem cap 120mg","漢佑","衛署藥輸 023001","Y","","","890718","Herbesser tab 60mg","Tanabe","Taiwan"
"Diltiazem cap 180mg","漢佑","衛署藥輸 022997","Y","","","890814","Herbesser tab 60mg","Tanabe","Taiwan"
"Diltiazem SR cap 120mg","南光","衛署藥製 045926","","Y","","911129","Diltelan SR cap 120mg","Elan","Ireland"
"Diltiazem SR cap 90mg","南光","衛署藥製 046439","","","Y","930709","Nakasser SR cap 120mg","南光","Taiwan"
"Diltiazem tab 30mg","大赫","衛署藥輸 021267","","Y","","880727","Herbesser tab 30mg","Tanabe","Taiwan"
"Diltiazem tab 30mg","中國化學","衛署藥製 033224","","Y","","870204","Herbesser tab 30mg","Tanabe","Taiwan"
"Diltiazem tab 30mg","信元","衛署藥製 036966","","Y","","850506","Herbesser tab 30mg","Tanabe","Taiwan"
"Diltiazem tab 30mg","南光","衛署藥製 030629","","Y","","791120","Herbesser tab 30mg","Tanabe","Taiwan"
"Diltiazem tab 30mg","恆振","衛署藥輸 022486","","Y","","890824","Herbesser tab 30mg","Tanabe","Taiwan"
"Diltiazem tab 30mg","皇佳","衛署藥製 035996","","Y","","920703","Herbesser tab 30mg","Tanabe","Taiwan"
"Diltiazem tab 30mg","淺士多","衛署藥製 034373","","Y","","920103","Herbesser tab 30mg","Tanabe","Taiwan"
"Diltiazem tab 30mg","優生","衛署藥製 031889","","","Y","910122","Hesor tab 60mg","優生","Taiwan"
"Diltiazem tab 60mg","健喬信元","衛署藥製 038422","","Y","","911219","Herbesser tab 60mg","Tanabe","Taiwan"
"Diltiazem tab 60mg","優生","衛署藥製 038600","","Y","","850507","Herbesser tab 60mg","Tanabe","Taiwan"
"Diphenidol tab 25mg (104.5.11 註銷BE核備函)","生達","衛署藥製 015078","","Y","","880910","Cephadol tab 25mg","Nippon Shinyaku","Japan"
"Diphenidol tab 25mg (104.5.11 註銷BE核備函)","育生","衛署藥製 046245","","Y","","931029","Cephadol tab 25mg","Nippon Shinyaku","Japan"
"Diphenidol tab 25mg","永信","衛署藥製 015368","","Y","","951219","Cephadol tab 25mg","Nippon Shinyaku","Japan"
"Diphenidol tab 25mg","培力","衛署藥製 043932","","Y","","890629","Cephadol tab 25mg","Nippon Shinyaku","Japan"
"Diphenidol tab 25mg","華興","衛署藥製 018646","","Y","","930927","Cephadol tab 25mg","Nippon Shinyaku","Japan"
"Dipyridamole tab 25mg (104.4.8 註銷BE核備函)","生達","衛署藥製 013801","","Y","","900628","Persantin tab 25mg","Boehringer Ingelheim","Taiwan"
"Dipyridamole tab 25mg","中國化學","衛署藥製 032530","","Y","","870403","Persantin tab 25mg","Boehringer Ingelheim","Taiwan"
"Dipyridamole tab 25mg","華興","衛署藥製 025686","","Y","","920414","Persantin tab 25mg","Boehringer Ingelheim","Taiwan"
"Dipyridamole tab 25mg","瑞安","衛署藥製 041548","","Y","","880202","Persantin tab 25mg","Boehringer Ingelheim","Taiwan"
"Dipyridamole tab 25mg","榮民","衛署藥製 019895","","Y","","901022","Persantin tab 25mg","Boehringer Ingelheim","Taiwan"
"Dipyridamole tab 25mg","優生","衛署藥製 001941","","Y","","910411","Persantin tab 25mg","Boehringer Ingelheim","Taiwan"
"Dipyridamole tab 25mg","永信","衛署藥製 013634","","Y","","910312","Persantin tab 25mg","Boehringer Ingelheim","Taiwan"
"Dipyridamole tab 50mg","十全","衛署藥製 042535","","Y","","870929","Persantin tab 50mg","Boehringer Ingelheim","Taiwan"
"Dipyridamole tab 75mg","十全","衛署藥製 043040","","Y","","880831","Persantin tab 75mg","Boehringer Ingelheim","Taiwan"
"Domperidone tab 10mg","育生","衛署藥製 047310","","Y","","940707","Motilium tab 10mg","Janssen-Cilag","France"
"Domperidone tab 10mg","瑞安","衛署藥製 033947","","Y","","900803","Motilium tab 10mg","嬌生","Taiwan"
"Domperidone tab 10mg","雙正","衛署藥輸 011225","","Y","","900221","Motilium tab 10mg","嬌生","Taiwan"
"Domperidone tab 10mg","寶齡富錦","衛署藥製 030619","","Y","","920424","Motilium tab 10mg","嬌生","Philippine　"
"Estazolam tab 2mg","中國化學","衛署藥製 044029","","Y","","890811","Eurodin tab 2mg","武田","Taiwan"
"Estazolam tab 2mg","信東","衛署藥製 042646","","Y","","880930","Eurodin tab 2mg","武田","Taiwan"
"Estradiol patch 0.05mg","生達","衛署藥製 042777","Y","","","840904","Estraderm TTS 50mg","Ciba-Geigy","Switzerland"
"Fenoterol tab 2.5mg","中國化學","衛署藥製 040120","","Y","","880731","Berotec tab 2.5mg","Boehringer Ingelheim","Taiwan"
"Flavoxate tab 200mg (103.7.22 註銷BE核備函)","健喬信元","衛署藥製 044572","","Y","","920324","Genurin tab 200mg","Recordati","Italy"
"Fludiazepam tab 0.25mg","美時","衛署藥製 042657","","Y","","900716","Erispan tab 0.25mg","Sumitomo","Japan"
"Fludiazepam tab 0.25mg","強生","衛署藥製 041519","","Y","","900425","Erispan tab 0.25mg","Sumitomo","Japan"
"Fludiazepam tab 0.25mg","優生","衛署藥製 048071","","Y","","951212","Erispan tab 0.25mg","Sumitomo","Japan"
"Flunarizine cap 5mg","生達","衛署藥製 029572","","Y","","880210","Suzin cap 10mg","生達","Taiwan"
"Flunarizine cap 10mg","生達","衛署藥製 029575","","Y","","851018","Sibelium cap 5mg","嬌生","Taiwan"
"Flunarizine tab 5mg","生達","衛署藥製 023918","","Y","","880312","Sibelium cap 5mg","嬌生","Taiwan"
"Flunitrazepam tab 1mg","瑞士","衛署藥製 043806","","","Y","910806","Modipanol tab 2mg","瑞士","Taiwan"
"Flunitrazepam tab 1mg","瑞士","衛署藥製 045779","","Y","","920919","Rohypnol tab 1mg","F. Hoffmann-LA Roche Ltd.","Switzerland"
"Flunitrazepam tab 2mg","瑞士","衛署藥製 037997","","Y","","910410","Rohypnol tab 2mg","羅氏","Taiwan"
"Flupentixol tab 3mg","瑞士","衛署藥製 046706","","Y","","950601","Fluanxol tab 3mg","H. Lundbeck A/S","Denmark"
"Flupentixol/Melitracen tab 0.5mg/10mg (104.10.5 註銷BE核備函)","瑞士","衛署藥製 046759","","Y","","960613","Deanxit tab 0.5mg/10mg","H. Lundbeck A/S","Denmark"
"Flupentixol/Melitracen tab 0.5mg/10mg","保瑞","衛部藥製 058061","","Y","","1001229","Deanxit tab 0.5mg/10mg","H. Lundbeck A/S","Denmark"
"Flurbiprofen tab 100mg","台裕","衛署藥製 039397","","Y","","921120","Ansaid tab 100mg","Upjohn","US"
"Furosemide inj 10mg/ml","永信","衛署藥製 030521","","Y","","900511","Lasix inj 10mg/ml","赫美龍","Taiwan"
"Furosemide inj 10mg/ml","壽元","衛署藥製 011150","","Y","","910121","Lasix inj 10mg/ml","Hoechest AG","Germany"
"Furosemide tab 40mg","大豐","衛署藥製 030697","","Y","","890219","Lasix tab 40mg","赫美龍","Taiwan"
"Furosemide tab 40mg","永信","衛署藥製 030749","","Y","","900327","Lasix tab 40mg","赫美龍","Taiwan"
"Furosemide tab 40mg","生達","衛署藥製 045363","","Y","","911114","Lasix tab 40mg","Handok","Korea"
"Furosemide tab 40mg","安萬特","衛署藥輸 022535","","","Y","910412","Lasix tab 40mg","Handok","Korea"
"Furosemide tab 40mg","杏林新生","衛署藥製 001047","","Y","","910417","Lasix tab 40mg","Handok","Korea"
"Furosemide tab 40mg","榮民","衛署藥製 022641","","Y","","910418","Lasix tab 40mg","Handok","Korea"
"Furosemide tab 40mg","優生","衛署藥製 002368","","Y","","900511","Lasix tab 40mg","赫美龍","Taiwan"
"Gentamicin inj 40mg/ml","中國化學","衛署藥製 012521","","Y","","900219","Garamycin inj 40mg/ml","Schering-Plough","Belgium"
"Gentamicin inj 40mg/ml","台灣諾華","衛署藥輸 016987","","Y","","880907","Garamycin inj 40mg/ml","Schering-Plough","Belgium"
"Gentamicin inj 40mg/ml","生達","衛署藥製 008956","","Y","","870414","Garamycin inj 40mg/ml","Schering-Plough","Belgium"
"Gentamicin inj 40mg/ml","生達","衛署藥製 013637","","Y","","900927","Garamycin inj 40mg/ml","Schering-Plough","Belgium"
"Gentamicin inj 40mg/ml","政德","衛署藥製 018291","","Y","","890112","Garamycin inj 40mg/ml","Schering-Plough","Belgium"
"Gentamicin inj 40mg/ml","溫士頓","衛署藥製 015553","","Y","","880930","Garamycin inj 40mg/ml","Schering-Plough","Belgium"
"Gentamicin inj 40mg/ml","壽元","衛署藥製 032263","","Y","","891129","Garamycin inj 40mg/ml","Schering-Plough","Belgium"
"Gentamicin inj 40mg/ml","榮民","衛署藥製 015619","","Y","","820310","Garamycin inj 40mg/ml","Schering-Plough","U.S.A"
"Gliclazide tab 80mg","生達","衛署藥製 040583","","Y","","901231","Diamicron tab 80mg","榮民","Taiwan"
"Gliclazide tab 80mg","育生","衛署藥製 047070","","Y","","940427","Gluzide tab 80mg","生達","Taiwan"
"Gliclazide tab 80mg","信東","衛署藥製 042908","","Y","","910610","Diamicron tab 80mg","Servier Lab","Australia"
"Gliclazide tab 80mg","健益","衛署藥輸 023677","","Y","","930913","Diamicron tab.80mg","Servier","Australia"
"Gliclazide tab 80mg","健喬信元","衛署藥製 043265","","Y","","911213","Diamicron tab 80mg","Les Lab Servier","France"
"Gliclazide tab 80mg","新東","衛署藥製 034350","","Y","","891011","Diamicron tab.80mg","Les Lab. Servier","France"
"Gliclazide tab 80mg","壽元","衛署藥製 039734","","Y","","910326","Diamicron tab 80mg","Les Lab. Servier","France"
"Gliclazide MR tab 30mg","中國化學","衛署藥製 050769","","Y","","980814","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide MR tab 30mg","日研","衛署藥製 049114","","Y","","960417","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide MR tab 30mg","信東","衛署藥製 048089","","Y","","950615","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide MR tab 30mg","美時","衛署藥製 046070","","Y","","920801","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide MR tab 30mg","萬菱","衛署藥製 046658","","Y","","931008","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide MR tab 30mg","壽元","衛署藥製 048510","","Y","","951130","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide MR tab 30mg","漢旭","衛署藥製 047871","","Y","","940928","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide MR tab 30mg","耀科","衛署藥製 049225","","Y","","961129","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide SR tab 30mg","永信","衛署藥製 049466","","Y","","970218","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide SR tab 30mg","健喬信元","衛署藥製 050091","","Y","","980319","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide SR tab 30mg","瑞士","衛署藥製 048307","","Y","","950811","Diamicron MR tab 30mg","Les Lab. Servier","France"
"Gliclazide SR tab 60mg","瑞士","衛部藥製 059396","","Y","","1051109","Diamicron MR tab 60mg","Les Laboratories Servier Industrie","France"
"Glipizide tab 5mg","中國化學","衛署藥製 021640","","Y","","850326","Minidiab tab 5mg","Farmitalia","Italy"
"Glipizide tab 5mg","瑞安","衛署藥製 034621","","Y","","840127","Minidiab tab 5mg","Farmitalia","Italy"
"Glipizide tab 5mg (103.7.24 註銷BE核備函)","瑪科隆","衛署藥製 034550","","Y","","900212","Minidiab tab 5mg","Pharmacia & Upjohn","Italy"
"Glyburide tab 5mg","大豐","衛署藥製 029513","","Y","","911007","Euglucon tab 5mg","Roche Diagnostics GmbH","Germany"
"Glyburide tab 5mg","中國化學","衛署藥製 039408","","Y","","901231","Daonil tab 5mg","赫美龍","Taiwan"
"Glyburide tab 5mg","永信","衛署藥製 004715","","Y","","900914","Englucon tab 5mg","Boehringer Mannheim","Germany"
"Glyburide tab 5mg","生達","衛署藥製 002863","","Y","","870709","Englucon tab 5mg","Boehrinyer Mannheim","Germany"
"Glyburide tab 5mg","禾利行","衛署藥輸 022564","","Y","","890927","Englucon tab 5mg","Boehringer Mannheim","Germany"
"Glyburide tab 5mg","安萬特","衛署藥輸 022442","","","Y","910610","Daonil tab 5mg","Hoechst AG","Germany"
"Glyburide tab 5mg","育生","衛署藥製 046423","","Y","","930712","Gliben tab 5mg","生達","Taiwan"
"Glyburide tab 5mg","芳鑫","衛署藥輸 020284","","Y","","900802","Englucon tab 5mg","Boehringer Mannheim","Germany"
"Glyburide tab 5mg","皇佳","衛署藥製 020713","","Y","","920109","Daonil tab 5mg","Handok","Korea"
"Glyburide tab 5mg","溫士頓","衛署藥製 020664","","Y","","911122","Daonil tab 5mg","Handok","Korea"
"Glyburide tab 5mg","榮民","衛署藥製 022634","","Y","","911112","Englucon tab 5mg","Boehringer Mannheim","Germany"
"Glyburide tab 5mg","衛達","衛署藥製 028245","","Y","","911007","Englucon tab 5mg","Boehringer Mannheim","Germany"
"Glyburide tab 5mg","優生","衛署藥製 037527","","Y","","900914","Englucon tab 5mg","Boehringer Mannheim","Germany"
"Haloperidol Decanoate inj 50mg/ml","優良","衛署藥製 034301","","Y","","840821","Haldol decanoate inj 100mg","Janssen","Belgium"
"Haloperidol tab 5mg","瑞士","衛署藥製 032584","","Y","","961115","Haldol tab 5mg","Janssen-Cilag","Portugal"
"Haloperidol tab 5mg","鴻汶","衛署藥輸 019500","","Y","","981105","Haldol tab 5mg","Lusomedicamenta","Portugal"
"Haloperidol tab 10mg","鴻汶","衛署藥輸 019499","","Y","","1020620","Haldol tab 5mg","Jassen-Cilag Farmaceutica","Portugal"
"Hydorxychloroquine tab 200mg","信東","衛署藥製 050142","","Y","","990201","Plaquenil tab200mg","Sanofi-Synthelabo","UK"
"Hydroxychlorquine tab 200mg","健亞","衛署藥製 042899","","Y","","890904","Plaquenil tab 200mg","Nycomed","Puerto Rico"
"Ibuprofen susp 20mg/ml (104.6.4 註銷BE核備函)","生達","衛署藥製 045438","","Y","","920206","Motrin susp 20mg/ml","McNeil Consumer Healthcare","US"
"Ibuprofen lysinate tab 500mg","瑞安","衛署藥製 040147","","Y","","880226","Arfen tab 500mg","Lisapharma S.p.A.","Italy"
"Ibuprofen tab 200mg","井田","衛署藥製 044316","","","Y","900823","Ipufen tab 400mg","井田","Taiwan"
"Ibuprofen tab 400mg","井田","衛署藥製 033961","","Y","","890629","Brufen tab 400mg","Boots","UK"
"Ibuprofen tab 400mg","瑞安","衛署藥製 032312","","Y","","870709","Brufen tab 400mg","Boots","UK"
"Imipramine tab 10mg","明德","衛署藥製 048087","","","Y","961113","Tone tab 25mg","明德","Taiwan"
"Imipramine tab 25mg","明德","衛署藥製 047966","","Y","","950919","Tofranil tab 25mg","諾華","Taiwan"
"Indapamide tab 1.25mg","南光","衛署藥製 044828","","","Y","900727","Nakamide tab 2.5mg","南光","Taiwan"
"Indapamide tab 1.25mg","美時","衛署藥製 042380","","Y","","870407","Lozol tab 1.25mg","Rhone-Poulenc Rorer","US"
"Indapamide tab 2.5mg","永信","衛署藥製 042659","","Y","","930304","Natrilix tab 2.5mg","Les Lab.Servier","France"
"Indapamide tab 2.5mg","回春堂","衛署藥製 027818","","Y","","840127","Natrilix tab 2.5mg","Les Lab Servier","France"
"Indapamide tab 2.5mg","南光","衛署藥製 041641","","Y","","880212","Natrilix tab 2.5mg","Les Lab.Servier","France"
"Indapamide SR tab 1.5mg","五洲","衛署藥製 048353","","Y","","950322","Natrilix SR tab 1.5mg","Les Laboratories Servier","France"
"Indapamide SR tab 1.5mg","生達","衛署藥製 047372","","Y","","940527","Natrilix SR tab 1.5mg","Les Lab. Servier","France"
"Indapamide SR tab 1.5mg","南光","衛署藥製 045955","","Y","","920822","Natrilix SR tab 1.5mg","Les Lab Servier","France"
"Indapamide SR tab 1.5mg","美時","衛署藥製 046538","","Y","","930217","Natrilix SR tab 1.5mg","Les Lab.Servier","France"
"Indapamide SR tab 1.5mg","健喬信元","衛署藥製 048122","","Y","","950704","Natrilix SR tab 1.5mg","Les Lab. Servier","France"
"Indapamide SR tab 1.5mg","淺仕多","衛署藥製 047996","","Y","","950510","Natrilix SR tab 1.5mg","Les Lab. Servier","France"
"Indapamide SR tab 1.5mg","景德","衛署藥製 051388","","Y","","980818","Natrilix SR tab 1.5mg","Les Lab Servier","France"
"Indapamide SR tab 1.5mg","瑞士","衛署藥製 048705","","Y","","960319","Natrilix SR tab 1.5mg","Les Lab. Servier","France"
"Isoniazid tab 100mg","強生","內衛藥製 000164","","Y","","1060711","Isoniazid tab 100mg","Epic Pharma LLC","US"
"Isoniazid tab 100mg","友霖","衛部藥製 059739","","Y","","1060518","Isozid tab 100mg","Riemser Arzneimittel AG","Germany"
"Isoniazid/Rifampicin/Pyrazinamide/Ethambutol F.C. Tab 37.5mg/75mg/200mg/137.5mg","信東","衛部藥製 058070","Y","","","1020401","Rimstar(Isoniazid/Rifampicin/Pyrazinamide/Ethambutol) Tab 75mg/150mg/400mg/275mg","Sandoz GmbH","Austria"
"Isosorbide dinitrate tab 10mg","衛達","衛署藥製 027438","","Y","","911029","Sorbitrate tab 10mg","Zeneca","US"
"Isosorbide mononitrate tab 20mg","台灣東洋","衛署藥製 031168","","Y","","900226","Ismo tab 20mg","Boehringer Mannheim","Germany"
"Isosorbide mononitrate tab 20mg","健喬信元","衛署藥製 043364","","Y","","960418","Ismo tab 20mg","Roche","Italy"
"Isosorbide mononitrate SR tab 40mg","信元","衛署藥製 044597","","Y","","900718","Corangin SR tab 40mg","Novartis","Switzerland"
"Isosorbide-5-MN CR tab 60mg","十全","衛署藥製 049514","","Y","","970212","Imdur CR tab 60mg","AstraZeneca","Sweden"
"Isosorbide-5-MN CR tab 60mg","健喬信元","衛署藥製 049018","","Y","","960831","Imdur CR tab 60mg","AstraZeneca","Sweden"
"Isosorbide-5-MN CR tab 60mg","景德","衛署藥製 049522","","Y","","970526","Imdur CR tab 60mg","AstraZeneca","Sweden"
"Isosorbide-5-MN CR tab 60mg","萬菱","衛署藥製 049372","","Y","","960904","Imdur CR tab 60mg","AstraZeneca","Sweden"
"Ketoprofen cap 50mg","溫士頓","衛署藥製 020700","","Y","","881020","Profenid cap 50mg","Specia Rhone Poulenc","France"
"Ketoprofen SR cap 200mg","瑞士","衛署藥製 049051","","Y","","960917","Oruvail CR cap 200mg","May&Baker(Aventis)","UK"
"Labetalol tab 200mg","育生","衛署藥製 049266","","Y","","951205","Trandate tab 200mg","Wellspring","Canada"
"Levonorgestrel tab 0.75mg","內外","衛署藥製 049965","","Y","","970619","Postinor-2 tab 0.75mg","Gedeon Richter","Hungary"
"Levonorgestrel tab 1.5mg","美時","衛署藥製 049791","","Y","","980326","Norlevo tab 1.5mg","Cardial Health","France"
"Lorazepam tab 0.5mg","景德","衛署藥製 023370","","Y","","930318","Ativan tab 0.5mg","Wyeth","US"
"Lorazepam tab 1mg","優良","衛署藥製 024885","","Y","","800612","Ativan tab 1mg","Wyeth","Germany"
"Lorazepam tab 2mg","優良","衛署藥製 048682","","","Y","961115","Anxiedin tab 1mg","優良","Taiwan"
"Lysine acetylsalicylate inj 900mg","中國化學","衛署藥製 010871","","Y","","871014","Aspegic inj 900mg","Lab. Synthelabo","France"
"Meclofenamic cap 50mg","優良","衛署藥製 031169","","","Y","840914","Meclomen cap 50mg","Parke-Davis","US"
"Mebeverine SR cap 200mg","永信","衛部藥製 059042","","Y","","1031020","Duspatal cap 200mg","Abbott","Italy"
"Meclofenamic cap 100mg","永信","衛署藥製 036322","","Y","","841020","Meclomen cap 100mg","Parke-Davis","Taiwan"
"Meclofenamic cap 100mg","優良","衛署藥製 031104","","Y","","790731","Meclomen cap 100mg","Parke-Davis","Taiwan"
"Mephenoxalone tab 200mg (103.7.17 註銷BE核備函)","台灣道格拉斯","衛署藥製 043682","","Y","","911025","Dorsiflex tab 200mg","Syntex","Switzerland"
"Mephenoxalone tab 200mg (103.7.17 註銷BE核備函)","五洲","衛署藥製 044091","","Y","","900619","Dorsiflex tab 200mg","Syntex","Switzerland"
"Mephenoxalone tab 200mg","十全","衛署藥製 042856","","Y","","890721","Dorsiflex tab 200mg","Syntex","Switzerland"
"Mephenoxalone tab 200mg","永信","衛署藥製 044114","","Y","","940708","Dorsiflex tab 200mg","Ebulon","Switerland"
"Mephenoxalone tab 200mg","西華","衛署藥製 044459","","Y","","901204","Dorsiflex tab 200mg","Syntex","Switzerland"
"Mephenoxalone tab 200mg","健亞","衛署藥製 042743","","Y","","891020","Dorsiflex tab 200mg","Syntex","Switzerland"
"Mequitazine tab 5mg","十全","衛署藥製 039407","","Y","","920226","Primalan tab 5mg","Rhone-Poulenc Rorer","UK"
"Mequitazine tab 5mg (103.7.17 註銷BE核備函)","五洲","衛署藥製 044115","","Y","","900713","Primalan tab 5mg","Rhone-Poulenc Rorer","UK"
"Metformin tab 250mg (103.11.27 註銷BE核備函)","培力","衛署藥製 035665","","","Y","840807","Glucomine tab 500mg","培力","Taiwan"
"Metformin tab 250mg","東竹","衛署藥製 046686","","","Y","950726","Meto tab 500mg","東竹","Taiwan"
"Metformin tab 500mg (103.11.27 註銷BE核備函)","培力","衛署藥製 034096","","Y","","820521","Glucophage tab 500mg","Lipha","UK"
"Metformin tab 500mg (103.9.1 註銷BE核備函)","十全","衛署藥製 040047","","Y","","870701","Glucophage tab 500mg","Lipha","UK"
"Metformin tab 500mg (104.5.11 註銷BE核備函)","生達","衛署藥製 043706","","Y","","890221","Glucophage tab 500mg","Lipha","UK"
"Metformin tab 500mg","中國化學","衛署藥製 041750","","Y","","870203","Glucophage tab 500mg","Lipha","UK"
"Metformin tab 500mg","永信","衛署藥製 038680","","Y","","891205","Glucophage tab 500mg","Lipha","UK"
"Metformin tab 500mg","東竹","衛署藥製 047089","","Y","","941223","Glucophage tab 500mg","Lipha","France"
"Metformin tab 500mg","芳鑫","衛署藥輸 018054","","Y","","900802","Glucophage tab 500mg","Lipha","France"
"Metformin tab 500mg","景德","衛署藥製 038498","","Y","","890913","Glucophage tab 500mg","Lipha","France"
"Metformin tab 500mg","瑞士","衛署藥製 040781","","Y","","880115","Glucophage tab 500mg","Lipha","UK"
"Metformin tab 500mg","瑞安","衛署藥製 041233","","Y","","880311","Glucophage tab 500mg","Lipha","UK"
"Metformin tab 850mg","內外","衛署藥製 043158","","Y","","930405","Glucophage tab 850mg","Lipha","France"
"Metformin tab 850mg","瑩碩","衛署藥製 047991","","","Y","970429","Anxoken tab 1000mg","聯亞","Taiwan"
"Metformin tab 850mg (103.7.22 註銷BE核備函)","漢旭","衛署藥製 047687","","Y","","940928","Glucophage tab 850mg","Merck Sante S.A.S.","France"
"Metformin tab 1000mg (105.8.16 註銷BE核備函)","瑩碩","衛署藥製 048229","","Y","","951219","Glucophage tab 1000mg","Merck Sante S.A.S.","France"
"Metformin ER tab 500mg","十全","衛署藥製 049128","","Y","","950705","Glucophage XR ER tab 500mg","Bristol-Myers Squibb","US"
"Metformin ER tab 500mg","信東","衛署藥製 056652","","Y","","990722","Glucophage ® XR tab 500mg","Bristol-Myers Squibb","US"
"Metformin ER tab 500mg","培力","衛署藥製 048484","","Y","","950810","Glucophage XR ER tab 500mg","Bristol-Myers Squibb","US"
"Metformin ER tab 500mg","瑞士","衛署藥製 049457","Y","","","970129","Glucophage XR ER tab 500mg","Bristo-Myers Squibb","US"
"Metformin ER tab 750mg","瑞士","衛署藥製 057217","","Y","","1010621","Glibudon XR tab 750mg","中化","Taiwan"
"Metformin XR tab 500mg","十全","衛署藥製 055298","","Y","","981118","Glucophage XR ER tab 500mg","Bristo-Myers Squibb","US"
"Metformin XR tab 750mg","中國化學","衛署藥製 052534","","Y","","990205","Glucophage XR tab 750mg","Bristol-MyersSquibb","US"
"Methylphenidate ER tab 18mg","中國化學","衛部藥製 059744","","","Y","1060116","Adhood ER tab 36mg","中國化學新豐廠","Taiwan"
"Methylphenidate ER tab 27mg","中國化學","衛部藥製 059417","","","Y","1060113","Adhood ER tab 36mg","中國化學新豐廠","Taiwan"
"Methylphenidate ER tab 36mg","中國化學","衛部藥製 059242","","Y","","1050331","Concerta ER tab 36mg","Janssen Cilag Manufacturing LLC","Puerto Rico"
"Methylprednisolone inj 40mg","永信","衛署藥製 048267","","Y","","970307","Solu-Medrol powder for inj 40mg","Pharmacia & Upjohn","US"
"Methylprednisolone inj 500mg","永信","衛署藥製 048248","","Y","","960820","Solu-Medrol Inj 500mg/vial","Pfizer","Belgium"
"Methylprednisolone tab 2mg","華興","衛署藥製 043727","","","Y","930419","Mednin tab 4mg","華興","Taiwan"
"Methylprednisolone tab 4mg","世達","衛署藥製 038955","","Y","","841110","Medrol tab 4mg","Upjohn","US"
"Methylprednisolone tab 4mg","西華","衛署藥製 043761","","Y","","890417","Medrol tab 4mg","Upjohn","US"
"Methylprednisolone tab 4mg","培力","衛署藥製 041918","","Y","","911114","Medrol tab 4mg","Upjohn","US"
"Methylprednisolone tab 4mg","華興","衛署藥製 035835","","Y","","870910","Medrol tab 4mg","Upjohn","US"
"Methylprednisolone tab 8mg","新豐","衛署藥製 042577","","Y","","880212","Medrol tab 8mg","Upjohn","US"
"Metolazone tab 0.5mg","友華","衛署藥輸 018332","","Y","","980326","Mykrox tab 0.5mg","UCB","US"
"Metolazone tab 0.5mg","榮民","衛署藥製 050136","","Y","","980309","Mykrox tab 0.5mg","UCB","US"
"Mexiletine cap 100mg","信東","衛署藥製 043632","","Y","","891219","Mexitil cap. 100mg","百靈佳殷格翰","Taiwan"
"Minocycline cap 100mg","永信","衛署藥製 033471","","Y","","901126","Minocin cap 100mg","Cyanamid","Taiwan"
"Minocycline cap 100mg","華興","衛署藥製 036266","","Y","","890703","Minocin cap 100mg","Cyanamid","Taiwan"
"Minocycline cap 100mg","瑞安","衛署藥製 036281","","Y","","860731","Minocin cap 100mg","Cyanamid","Taiwan"
"Minocycline cap 50mg","永信","衛署藥製 044878","","Y","","940912","Minocin cap 50mg","Ledrele","US"
"Naproxen tab 250mg","優良","衛署藥製 030891","","Y","","790917","Naposin tab 250mg","中化","Taiwan"
"Naproxen tab 275mg","寶齡富錦","衛署藥製 039775","","Y","","880517","Anaprox tab 275mg","中國化學","Taiwan"
"Naproxen tab 500mg","永信","衛署藥製 028136","","Y","","900319","Naprosyn tab 500mg","Syntex","Puerto Rico"
"Naproxen EC tab 500mg","永信","衛署藥製 045090","","Y","","931122","EC-Naprosyn DR tab 500mg","Roche Laboratories Inc.","US"
"Naproxen CR tab 750mg","永勝","衛署藥製 043823","","Y","","890505","Naposin SR tab 750mg","中國化學","Taiwan"
"Naproxen SR tab 750mg","中國化學","衛署藥製 036105","","Y","","811210","Naprosyn SR tab 750mg","Syntex","Canada"
"Naproxen SR tab 750mg","內外","衛署藥製 043154","","Y","","880731","Naprosin SR tab 750mg","中國化學","Taiwan"
"Naproxen SR tab 750mg","寶齡富錦","衛署藥製 033048","","Y","","790824","Naposin tab 375mg","中國化學","Taiwan"
"Nefopam tab 30mg","雙正","衛署藥輸 011051","","Y","","901231","Acupan tab 30mg","3M Health care","UK"
