證書編號,縣市別,類別,廠商名稱,負責人,地址,電話,證書狀況,證書有效期限,最大安全生產量,食品衛生管理專責人員,管制小組成員,承包商名稱,承包商負責人,承包商地址,承包商電話,備註
"衛評餐服字第050號","新竹市","餐飲服務業","國賓大飯店股份有限公司新竹分公司玖樓中餐廳供膳場所","尤國彬","300 東區 三民里中華路2段188、190號","03-5151111","廢止","2016-12-27","226 餐食份/日","謝O貞","食品衛生管理(專責)人員暨餐飲部餐務組副理 謝O貞餐飲部副協理 沈O餐飲部玖樓中餐廳資深經理 戴O傑","","","","","中華民國99年12月28日署授食字第0990078348號函公告通過"
"衛評餐服字第052號","桃園市","餐飲服務業","華航大飯店股份有限公司(台北諾富特華航桃園機場飯店味坊中餐廳供膳場所)","孫洪祥","337 大園鄉 航站南路1-1號","03-3980988","廢止","2014-12-30","220 餐食份/日","賴O瑋","食品衛生管理(專責)人員暨餐務主任 賴O瑋西廚房領班 林O婷點心房主廚 何O梅","","","","","中華民國99年12月31日署授食字第0990078949號函公告通過"
"衛評餐服字第053號","臺北市","餐飲服務業","西華大飯店股份有限公司(台北西華飯店怡園中餐廳供膳場所)","劉文治","105 松山區 民生東路3段111號","02-27186666","廢止","2014-12-28","120 餐食份/日","吳O女","餐飲部中餐總主廚 高O輝餐飲部器皿組主任暨衛管人員 吳O女餐飲部器皿組領班周O澤","","","","","中華民國99年12月29日署授食字第0990078950號函公告通過中華民國101年7月17日北市衛食藥字第10137080000號函變更HACCP小組成員"
"衛評餐服字第054號","臺中市","餐飲服務業","通豪大飯店股份有限公司(通豪大飯店珍寶樓中餐廳供膳場所","劉瑞欉","404 北區 長青里大雅路431號全樓","04-22956789","廢止","2012-12-28","350 餐食份/日","李O華","行政總主廚暨衛管人員 李O華總監 張O忠行政專員 劉O華","","","","","中華民國99年12月29日署授食字第0990078667號函公告通過"
"衛評餐服字第056號","新竹市","餐飲服務業","行政院衛生署新竹醫院供膳場所","陳文鍾","300 北區金華里 經國路1段442巷25號","03-5326151","廢止","2012-12-28","1000 餐食份/日","傅O梅","營養科主任 黃O惠營養師 黃O俐營養師暨衛管人員 傅O梅","","","","","中華民國99年12月29日署授食字第0990080709號函公告通過"
"衛評餐服字第057號","屏東縣","餐飲服務業","凱撒大飯店股份有限公司(墾丁凱撒大飯店蘭苑風味餐廳供膳場所)","林鴻道","946 恆春鎮 墾丁路6號","08-8861889","廢止","2014-12-30","500 餐食份/日","陳O吉","廚師領班 賴O任餐廳經理 朱O美食品衛生管理(專責)人員暨主廚 陳O吉","","","","","中華民國99年12月31日署授食字第0990080707號函公告通過"
"衛評餐服字第058號","苗栗縣","餐飲服務業","財團法人為恭紀念醫院東興院區供膳場所","陳振文","351 頭份鎮 水源路417巷13號","03-7685569","展延(有效)","2019-01-24","1300 餐食份/日","沈O慧","承包商副理 林O邦院方營養師 張O勻承包商營養員 陳O平承包商衛生管理(專責)人員 沈O慧","美麒食品有限公司","王廷豐","新竹縣竹北市聯興里中正西路839號","","100.01.25 套印"
"衛評餐服字第059號","臺北市","餐飲服務業","臺北市立聯合醫院陽明院區供膳場所","楊文理","111 士林區 雨聲街105號","02-28389138","廢止","2013-01-24","2000 餐食份/日","李O蓮","營養科主任 饒O娟營養師暨食品衛生管理(專責)人員 李O蓮營養師 黃O芬技術士 蘇O","","","","","100.01.25 套印"
"衛評餐服字第060號","臺南市","餐飲服務業","奇美醫療財團法人奇美醫院營養科所屬中餐廳廚房","邱仲慶","710 永康區 中華路901號","06-2812811#52519","廢止","2015-01-24","2500 餐食份/日","曾O星 劉O如","食品衛生管理(專責)人員暨營養師 劉O如食品衛生管理(專責)人員暨承包商品管 曾O星營養科主任 劉O媛","晨新餐飲企業社","唐錦清","臺南市北區實踐里北門路3段27巷9號","06-2828764","100.01.25 套印"
"衛評餐服字第061號","新北市","餐飲服務業","薇庭企業股份有限公司宴會廳供膳場所","劉保佑","221 汐止區 大同路3段611號2樓","02-26906088","展延(有效)","2019-01-24","1200 餐食份/日","劉O明","副主廚 陳O男副主廚 吳O和","","","","","100.01.25 套印104年05月04日FDA食字第1040016547號函展延通過"
"衛評餐服字第062號","臺北市","餐飲服務業","六福開發股份有限公司南京分公司(六福皇宮留園上海料理餐廳供膳場所)","莊秀石","104 中山區 南京東路3段133號","02-87706565","廢止","2013-01-24","160 餐食份/日","廖O秀","留園主廚 邱O彬留園副主廚 鄭O順衛生管理經理暨衛生管理(專責)人員 廖O秀","","","","","100.01.25 套印"
"衛評餐服字第063號","宜蘭縣","餐飲服務業","鳳凰酒店股份有限公司(長榮鳳凰酒店(礁溪)餐飲部桂冠自助餐廳供膳場所)","陳正曜","262 礁溪鄉 玉石村12鄰健康路77號","03-9109988","廢止","2013-01-24","1000 餐食份/日","郭O然","餐務領班 游駿玉西餐副主廚 李O縣副主任 王O忠餐務總領班暨食品衛生管理(專責)人員 郭O然","","","","","100.01.25 套印"
"衛評餐服字第117號","桃園市","餐飲服務業","臺北榮民總醫院桃園分院病患供膳場所","王德芳","330 桃園市 成功路三段100號","03-3384889","展延(有效)","2018-07-18","4300","徐O家","衛生管理(專責)人員暨營養師 徐O家駐點經理 羅O麗院方營養師 林O如","鼎正有限公司","陳再昌","新北市板橋區幸福路60巷4-2號","02-29021316",""
"衛評餐服字第157號","新北市","餐飲服務業","聖心女子高級中學學生餐廳","魏雪玲","249 八里區 龍米路1段263號","02-26182287","廢止","2015-12-09","3,200","鄭O佩","駐校店長及廚師 李O蓉駐校廚師 石O櫻學校專責幹事 池O芳","宏遠食品股份有限公司、統皓食品股份有限公司","宏遠：陳貴美、統皓：鄭得興","宏遠：新北市五股工業區五權路49號、統皓：新北市五股工業區五權路49號3樓","宏遠：02-22900198、統皓：02-22900079",""
"衛評餐服字第064號","宜蘭縣","餐飲服務業","鳳凰酒店股份有限公司(長榮鳳凰酒店(礁溪)餐飲部宴會廳供膳場所)","陳正曜","262 礁溪鄉 玉石村12鄰健康路77號","03-9109988","廢止","2013-01-24","1000 餐食份/日","郭O然","中餐主廚 徐O財副主任 王O忠餐務總領班暨食品衛生管理(專責)人員 郭O然","","","","","100.01.25 套印"
"衛評餐服字第156號","宜蘭縣","餐飲服務業","鳳凰酒店股份有限公司(長榮鳳凰酒店礁溪中式宴會廳)","陳正曜","262 礁溪鄉 礁溪鄉健康路77號","03-9109988","廢止","2015-11-29","1,000","李O縣","宴會廳資深副理 曾O玲中餐主廚 彭O順餐務領班 游O玉","","","","",""
"衛評餐服字第158號","宜蘭縣","餐飲服務業","鳳凰酒店股份有限公司(長榮鳳凰酒店礁溪桂冠自助餐廳)","陳正曜","262 礁溪鄉 健康路77號","03-9109988","廢止","2015-12-09","1,000","李O縣","西餐主廚 湯O喜西餐副主廚 李O靖","","","","",""
"衛評餐服字第159號","彰化縣","餐飲服務業","中州學校財團法人中州科技大學供膳場所","曾慶瀛","510 員林鎮 山腳路3段2巷6號","04-8359000","廢止","2015-12-09","1,000","李O福","廠長 陳O訓生產課長 林O裕品管課長 吳O曄總務組長 童O源","","","","",""
"衛評餐服字第162號","臺北市","餐飲服務業","兄弟大飯店股份有限公司桂花廳","洪騰勝","105 松山區 南京東路255號","02-27123456","廢止","2016-01-03","400","涂O萍","採購部協理 曾O宗桂花廳副主廚 蘇O賓","","","","",""
"衛評餐服字第118號","屏東縣","餐飲服務業","衛生福利部屏東醫院供膳場所","鄭裕民","900 屏東市 自由路270號","08-7360311","展延(有效)","2018-07-24","1000","劉O志","衛生管理專責人員 劉O志副理 金O衛生福利部屏東醫院營養師 李O芳烹調班長 李O茂","嘉軒美食有限公司","莊文中","屏東縣麟洛鄉中華路91號","",""
"衛評餐服字第160號","嘉義縣","餐飲服務業","長庚醫療財團法人嘉義長庚紀念醫院","蔡熒煌","613 朴子市 嘉朴路西段8號","05-3621000#3132","廢止","2015-12-31","1,500","羅O娟","營養師 許O雅營養員 曾O怡管理課經辦 陳O利","鼎正有限公司","陳再昌","新北市板橋區幸福路60巷4之2號","02-29021316",""
"衛評餐服字第186號","臺北市","餐飲服務業","晶華國際酒店股份有限公司(晶華酒店宴會廳)","潘思亮","104 中山區 中山北路二段39巷3號","02-25215000","廢止","2016-09-30","3,000","廖O秀","衛生管理專責人員 廖O秀宴會廳副協理 張O豪宴會廳行政副主廚 吳O煌","","","","",""
"衛評餐服字第097號","花蓮縣","餐飲服務業","統帥大飯店股份有限公司中餐廳","張峻熒","970 花蓮市 公園路36號","038-326123","廢止","2016-01-17","2,000餐食份/日","林O火","中餐部副主廚 呂O洋中廚房點心部領班 范O政中廚房砧板部領班 黃O賢","","","","",""
"衛評餐服字第092號","桃園市","餐飲服務業","長庚醫院桃院分院美食街(全宥自助餐廳)","林雪美","33378 龜山鄉 頂湖路123號","03-3299135","廢止","2013-12-21","5,000餐食份/日","李O玫","總經理 李O雄主廚 陳O銘","","","","",""
"衛評餐服字第066號","新竹縣","餐飲服務業","新竹縣竹東鎮學生午餐供應中心","羅賜欽","310 竹東鎮 中正里15鄰中山路86號","03-5956415","廢止","2015-01-24","6000 餐食份/日","劉O鈴","食品衛生管理(專責)人員暨營養師 劉O鈴 事務管理人員 鄒O卿廚務總班長 謝O珍","","","","","100.01.25 套印"
"衛評餐服字第068號","高雄市","餐飲服務業","高雄市立凱旋醫院附設大寮精神養護之家供膳場所","許維琪","831 大寮區 內坑里內坑路180號","07-7839176","展延(有效)","2019-01-24","4200 餐食份/日","劉O伶","組長 羅O芬米之香食品有限公司負責人 謝O安衛生管理(專責)人員 劉O伶","米之香食品有限公司","謝騏安","高雄市三民區建工路776號13樓","(07) 702-1966","100.01.25 套印"
"衛評餐服字第069號","高雄市","餐飲服務業","長庚醫療財團法人高雄長庚紀念醫院供膳場所","陳肇隆","833 鳥松區 大埤路123號","07-7352224","廢止","2015-01-27","600 餐食份/日","張O昀","食品衛生管理(專責)人員 張O昀承包商駐點主任 魏O娟院方營養師 李O琪","鼎正有限公司","陳再昌","新北市板橋區幸福路60巷4-2號","(02) 2902-1316","100.1.28套印"
"衛評餐服字第070號","臺北市","餐飲服務業","振興醫療財團法人振興醫院供膳場所","李壽東","112 北投區 振興街45號","02-28264400#7370","展延(有效)","2019-01-27","3000 餐食份/日","黃O妮 張O如","食品衛生管理(專責)人員暨供膳組組長 黃O妮食品衛生管理(專責)人員暨營養師 張O如營養師 劉O君","","","","","100.1.28套印"
"衛評餐服字第071號","臺南市","餐飲服務業","台灣糖業股份有限公司台糖長榮酒店(台南)吃遍天下自助餐廳供膳場所","鄭東波","701 東區 中華東路3段336巷1號","06-2899988","廢止","2015-01-30","500 餐食份/日","黃O忠","食品衛生管理(專責)人員暨吃遍天下副主廚 黃O忠副總經理 林O存人資部副理 謝O振","","","","","100.1.31 套印"
"衛評餐服字第072號","臺南市","餐飲服務業","台灣糖業股份有限公司台糖長榮酒店(台南)長園中餐廳供膳場所","鄭東波","701 東區 中華東路3段336巷1號","06-2899988","廢止","2015-01-30","100 餐食份/日","薛O玉","副總經理 林O存食品衛生管理(專責)人員暨長園中餐領班 薛O玉人資部副理 謝O振","","","","","100.1.31 套印"
"衛評餐服字第073號","臺南市","餐飲服務業","未來式企業有限公司(國立新化高級工業職業學校供膳場所BOT)","王麗玲","712 新化區 信義路54號","06-5908000","展延(有效)","2018-01-30","3000 餐食份/日","詹O閔","副總經理 吳O欽主廚 金O梅衛生管理專責人員暨營養師 詹O閔","","","","","100.1.31 套印"
"衛評餐服字第074號","臺南市","餐飲服務業","衛生福利部臺南醫院供膳場所","許博翔","700 中西區 中山路125號","06-2200055","展延(有效)","2019-01-30","1500 餐食份/日","李O玲","營養師兼營養科主任 蔡O芬營養師 黃O玲工友 莊O雅衛生管理(專責)人員暨營養師 李O玲工友 莊O雅營養師 吳金珍","","","","","100.1.31 套印"
"衛評餐服字第075號","臺北市","餐飲服務業","亞都麗緻大飯店股份有限公司中式餐廳供膳場所","嚴長壽","100 中正區 民權東路2段41號","02-25985512","廢止","2015-01-30","600 餐食份/日","陳O錦","餐飲副總經理兼集團總主廚 廖郁翔中廚房行政主廚 楊O宗中廚房資深副主廚 李O清食品衛生管理(專責)人員間餐務部主任 陳O錦","","","","","100.1.31 套印"
"衛評餐服字第076號","桃園市","餐飲服務業","長庚醫療財團法人林口長庚紀念醫院及長庚醫療財團法人附設桃園長庚養生文化村供膳場所","王正儀、黃美涓","333 龜山鄉 長青路2號","03-3492345#5081","廢止","2013-01-30","900 餐食份/日","張O雰","承包商主任 呂O毅院方供膳營養師 謝O珊營養師暨食品衛生管理(專責)人員 張O雰","鼎正有限公司","陳再昌","台北縣板橋市幸福路60巷4-2號","02-29021316","100.1.31 套印"
"衛評餐服字第086號","臺中市","餐飲服務業","內政部役政署成功嶺替代役訓練營區供膳場所","郭清泉","41400 烏日區 烏日郵政197號","04-23388063","廢止","2013-09-08","4,000 餐食份/日","邱O菁","營養師 林O婷營養師助理 鄧O欣食品衛生管理(專責)人員 邱O菁","台邑食品有限公司承包","童育賢","43641臺中市清水區東山路59-51號","04-26202168",""
"衛評餐服字第038號","臺南市","餐飲服務業","台南大飯店股份有限公司中餐廳","鄭林穎慧","70050 中區 廣慈里成功路1號","06-2289101","廢止","2016-12-07","800 餐食份/日","陳O民","餐飲部經理 鄭O文食品衛生管理(專責)人員暨餐飲部中廚主廚 陳富民餐飲部中廚廚師 王O山","","","","",""
"衛評餐服字第094號","花蓮縣","餐飲服務業","福容大飯店股份有限公司花蓮分公司-福園中餐廳","郭美珠","970 花蓮市 民生路51號","03-8239988","廢止","2014-01-12","1,400餐食份/日","陳O賢","羅O鳴蔡O城","","","","",""
"衛評餐服字第176號","彰化縣","餐飲服務業","彰化縣彰化市泰和國民小學供膳場所","王春堎","彰化縣 彰化市 彰化市泰和路二段145巷1號","04-7285373","廢止","2016-02-14","7,000餐食份/日","林O慧","營養師 王O姿總經理 童O賢","","","","",""
"衛評餐服字第126號","臺北市","餐飲服務業","華興學校財團法人臺北市私立華興高級中等學校供膳場所","梅瑞珊","111 士林區 仰德大道1段101號","02-28316834","展延(有效)","2018-10-05","5000","陳O吟、葉O錡","衛生管理(專責)人員 陳O吟衛生管理(專責)人員 葉O錡庶務組長 李O育總務主任 應O興","","","","",""
"衛評餐服字第039號","臺南市","餐飲服務業","台南大飯店股份有限公司西餐廳","鄭林穎慧","70050 中區 廣慈里成功路1號","06-2289101","廢止","2016-12-07","200 餐食份/日","馬O榮","餐飲部經理 鄭O文食品衛生管理(專責)人員暨餐飲部西廚領班副主廚 馬O榮餐飲部主任 陳O綿","","","","",""
"衛評餐服字第077號","臺北市","餐飲服務業","豐隆大飯店股份有限公司(台北君悅飯店凱菲屋供膳場所)","郭令明","110 信義區 松壽路2號","02-27201234#3350","廢止","2015-05-09","900 餐食份/日","李O鎮","食品衛生管理(專責)人員暨餐飲部協理 李O鎮執行副總主廚 陳O烽凱菲屋主廚 陳O竹凱菲屋經理 曾O昌","","","","",""
"衛評餐服字第210號","高雄市","餐飲服務業","福容大飯店股份有限公司高雄分公司(福園廳)","郭美珠","803 鹽埕區 五福四路45號","07-5511188","有效","2018-07-23","300餐食份/日","顏O美","一廚 黃O祥二廚 郭O輝","","","","",""
"衛評餐服字第224號","嘉義市","餐飲服務業","大潤發流通事業股份有限公司嘉義分公司即食熟食供膳場所","林啟瑜","600 西區 博愛路二段281號","05-2323699","有效","2017-12-29","200餐食份/日","顏O春","熟食課員：楊O柔生鮮經理：徐O浩熟食課長暨衛生管理專責人員：顏O春","","","","",""
"衛評餐服字第230號","臺中市","餐飲服務業","臺中市豐原區南陽國小學生午餐廚房","楊朝銘","420 豐原區 南陽路440號","04-25222521","有效","2018-01-17","4000 餐食份/日","傅O儀","領班：劉O娟午餐秘書：劉O霞衛生管理(專責)人員暨營養師：傅O儀","","","","",""
"衛評餐服字第125號","臺南市","餐飲服務業","衛生福利部嘉南療養院供膳場所","邱O章","717 仁德區 中山路870巷80號","06-2795019","展延(有效)","2018-09-07","2500","曾O涵","衛生管理專責人員 曾O涵駐點營養師 張O華院方營養師 陳O愈","米之香食品有限公司","謝騏安","高雄市三民區建功路776號13樓","07-7021966",""
"衛評餐服字第164號","臺中市","餐飲服務業","臺中市立后里國民中學中央廚房","江鴻鈞","42146 后里區 中眉路169號","04-25562409","展延(有效)","2018-01-25","2,000","陳O琳","衛生管理專責人員 陳O琳衛生組長 汪O惠午餐秘書 陳O珍","吉米食品有限公司","溫黃順惠","臺中市外埔區鐵山里長生路265號","04-26835936",""
"衛評餐服字第232號","宜蘭縣","餐飲服務業","集山實業股份有限公司","李照禎","268 五結鄉 五濱路一段18號","03-9903366","有效","2018-01-30","1000 餐食份/日","簡O貞","食供處協理 ：曾O達物流副理：張O智生產主任：楊O聰衛生管理專責人員暨品保副理：簡O貞","","","","",""
"衛評餐服字第258號","臺中市","餐飲服務業","金色三麥餐飲股份有限公司(勤美誠品店)","葉冠廷","403 西區 公益路68號B1","04-23295911","有效","2019-01-19","830","洪O瑋","店長：謝O遠內場主管暨衛生管理(專責)人員：洪O瑋廚師暨衛生管理(專責)人員(代理人)：陳O朋","","","","",""
"衛評餐服字第259號","高雄市","餐飲服務業","金色三麥餐飲股份有限公司義大店供膳場所","葉冠廷","8401 大樹區 學城路一段7號1樓","07-9758989","有效","2019-02-13","1000","陳O昀","店長：郭O麟廚師：許O豪內場主管暨衛生管理(專責)人員：陳O昀","","","","",""
"衛評餐服字第268號","嘉義市","餐飲服務業","挺益調養餐股份有限公司","楊文岑","600 中興路 408巷10號1樓","05-2358811","有效","2019-07-27","1200","林O諭","總經理 羅O嫺營養師 劉O廷配膳主管 黃O瑜衛管人員 林O諭","","","","",""
"衛評餐服字第079號","臺中市","餐飲服務業","長榮國際股份有限公司台中分公司(冠品鐵板燒)","張明哲","40759 西屯區 台灣大道2段666號","04-2313-9988","廢止","2015-06-14","100 餐食份/日","才O","餐飲部主廚 黃O榮餐飲部主廚暨食品衛生管理(專責)人員 才O冠品鐵板燒主廚 白O平","","","","",""
"衛評餐服字第130號","彰化縣","餐飲服務業","彰化基督教醫療財團法人基督教醫院供膳場所","郭守仁","500 彰化市 南校街135號","04-7238595#3042","展延(有效)","2018-12-16","12,000","林O珍","食品衛生管理專責人員 林O珍營養室主任 林O青 供膳組組長 施O婷主廚 洪O堂主廚 黃O源副主任 游O亭總營養師 林O姿營養師 林O欣","","","","",""
"衛評餐服字第166號","臺南市","餐飲服務業","郭綜合醫院供膳場所","郭宗正","700 中西區 民生路二段22號","06-2221111","展延(有效)","2020-02-06","1600","陳O美","大業食品營養師暨衛生管理(專責)人員 陳O美郭綜合醫院營養師 郭O伶廚師 郭O敏","大業食品有限公司","游泰祥","新北市泰山區仁愛路6巷36號9樓","02-29013515",""
"衛評餐服字第080號","臺北市","餐飲服務業","臺北市私立光仁國民小學廚房","何怡君","10874 萬華區 萬大路423巷15號","02-23032874轉111","展延(有效)","2019-06-20","2,200 餐食份/日","簡O穎","食品衛生管理(專責)人員暨營養師 簡O穎主廚 李O豫光小事務組長 黃O宗","上林餐飲事業股份有限公司","林漢廷","23145新北市新店區寶興路45巷5號1樓","02-2910-2502",""
"衛評餐服字第081號","臺北市","餐飲服務業","臺北市私立靜心國民中小學供膳場所","唐尚智","11687 文山區 興隆路二段46號","02-29323118轉202","展延(有效)","2019-07-12","2,500 餐食份/日","林O修","食品衛生管理(專責)人員暨營養師 林O修靜心午餐秘書 李O主廚 張O宗","上林餐飲事業股份有限公司","林漢廷","23145新北市新店區寶興路45巷5號1樓","02-2910-2502",""
"衛評餐服字第084號","嘉義市","餐飲服務業","臺中榮民醫院嘉義分院供膳場所","吳少白","60088 世賢路 二段600號","05-2359630轉1900","廢止","2013-08-31","1,125 餐食份/日","楊O雅","營養科主任 羅O華組長 鍾O梅營養師兼食品衛生管理(專責)人員 楊O雅","鼎正有限公司","陳再昌","22053新北市板橋區幸福路60巷4之2號","02-29021316","101年11月13日嘉市衛食字第1010054084號函廢止"
"衛評餐服字第085號","臺中市","餐飲服務業","長榮國際股份有限公司台中分公司(長園廳)","張明哲","40759 西屯區 台灣大道2段666號","04-2313-9988","廢止","2015-09-04","352 餐食份/日","才O","食品衛生管理(專責)人員暨餐飲部行政副主廚 才O餐飲部主廚 黃O榮長園廳副主廚 吳O明長園廳副主廚 王O敏","","","","",""
"衛評餐服字第087號","基隆市","餐飲服務業","行政院衛生署基隆醫院供膳場所","許振榮","20147 信義區 信二路268號","02-2429-2525#3399","廢止","2013-09-19","2,500 餐食份/日","林O佳","供膳營養師 張O璟營養師 許O萍營養師 余O馨營養師 陳O方營養師兼食品衛生管理(專責)人員 林O佳","鼎正有限公司","陳再昌","22053新北市板橋區幸福路60巷4之2號","02-2902-1316",""
"衛評餐服字第088號","臺北市","餐飲服務業","臺北市百齡國民小學","劉明晃","11169 士林區 福港街205號","02-2881-7683","廢止","2013-09-19","2,700 餐食份/日","張O文","董事長 陳O美經理 陳O靜營養師兼食品衛生管理(專責)人員 張O文","宏遠食品股份有限公司","陳貴美","24886新北市五股區五權路49號","02-2290-0918",""
"衛評餐服字第089號","臺中市","餐飲服務業","福順股份有限公司(台中福華大飯店-江南春餐廳)","廖國宏","40765 西屯區 安和路129號","04-2463-2323","廢止","2015-10-23","460 餐食份/日","黃O偉","主廚 古O福副主廚 黃O堂中餐廚師 劉O彥","","","","",""
"衛評餐服字第090號","臺北市","餐飲服務業","寒舍餐旅管理顧問股份有限公司信義分公司(台北寒舍艾美酒店宴會廳)","戴文龍","10073 信義區 松仁路38號","02-6622-8000","廢止","2017-10-23","1000 餐食份/日","林O珊、林O雪","宴會廳主廚 吳O儒宴會聽副主廚 葉O傑","","","","",""
"衛評餐服字第091號","新北市","餐飲服務業","福容大飯店股份有限公司-福園中餐廳","郭美珠","22241 深坑區 北深路3段266號","02-2662-1717","廢止","2013-11-20","240 餐食份/日","馮O君","中餐主廚 陳O林中餐一廚 林O隆餐飲部經理兼食品衛生管理(專責)人員 馮O君","","","","",""
"衛評餐服字第093號","臺北市","餐飲服務業","華泰大飯店企業股份有限公司華泰王子大飯店(九華樓)","陳天貴","10487 中山區 區林森北路369號","02-2581-8111#1521","廢止","2016-12-27","250","黃O","九華樓經理 陳O中行政部經理 陳O華九華樓副理 黃O億九華樓頭燒臘暨衛生管理人員代理人 馮O良","","","","","中華民國104年1月19日食研技字第1040000375號函展延申請通過"
"衛評餐服字第095號","臺北市","餐飲服務業","國賓大飯店粵菜廳","許育瑞","臺北市 104 中山北路2段63號","02-21002100#2189","廢止","2016-01-12","600","林O達","提案人：林O達 同意人：黃O香 小組召集人：林O龍 食品衛管人員：林O達","","","","",""
"衛評餐服字第096號","臺北市","餐飲服務業","臺北國賓大飯店ahmicafe廳","許育瑞","104 中山區 中山北路2段63號","02-21002100#2189","廢止","2016-01-15","155餐食份/日","林O達","提案人：林O達 同意人：黃O香 小組召集人：李O康 食品衛管人員：林O達","","","","",""
"衛評餐服字第098號","臺中市","餐飲服務業","全國大飯店股份有限公司(全壽樓中餐廳)","何明憲","臺中市 西區 館前路57號","04-23214066","廢止","2016-02-04","640","李O昌","行政副主廚/全壽樓主廚 黃O汶全壽樓副主廚 黃O智全壽樓主任 楊O吉食品衛生管理人員 李O昌","","","","",""
"衛評餐服字第099號","臺中市","餐飲服務業","亞緻酒店(股)公司台中分公司異料理餐廳","周永銘","臺中市 西區 民龍里英才路532號","04-23031234","廢止","2014-02-04","600","李O吉","餐飲部協理 簡O麟 主廚 張O彬","","","","",""
"衛評餐服字第102號","宜蘭縣","餐飲服務業","田江股份有限公司蘭城晶英酒店分公司(紅樓中餐廳)","江素芬","宜蘭縣 宜蘭市 民權路2段36號","03-9101011","廢止","2014-02-13","1200 餐食份/日","朱O雯","主廚 黃O旺副總監 陳O帆衛生管理專責人員 朱O雯","","","","",""
"衛評餐服字第132號","臺北市","餐飲服務業","財團法人台灣敦睦聯誼會所屬作業組織圓山大飯店松鶴廳","李建榮","100 中山區 中山北路四段1巷1號","02-28861818#1610","廢止","2015-01-31","3,200","陳O燦","食品衛生管理專責人員暨松鶴廳副主廚 陳O燦松鶴廳副主廚 賴O泊 餐服經理 莊O嬌","","","","",""
"衛評餐服字第167號","新竹縣","餐飲服務業","臺北榮民總醫院新竹分院供膳場所","游漢欽","310 竹東鎮 中豐路一段81號","03-59621345","廢止","2016-02-06","6600","莊O鈺","衛生管理專責人員暨駐點營養師 莊O鈺院方營養室主任 蔡O龍鼎正有限公司經理 呂O毅","鼎正有限公司","陳再昌","新北市板橋區幸福路60巷4之2號","02-29021316",""
"衛評餐服字第188號","彰化縣","餐飲服務業","彰化縣立崙雅國民小學午餐廚房供膳場所","吳明德","511 社頭鄉 員集路一段615號","04-8736371","廢止","2016-10-07","6,000","徐O佑 蕭O超","衛生管理專責人員 徐O佑衛生管理專責人員 蕭O超營養師 黃O瑜午餐秘書 王O雯","梅景食品股份有限公司","黃信允","雲林縣西螺鎮福田里社口68-19號","05-5882573","中華民國103年10月9日FDA食字第1030039359號函公布"
"衛評餐服字第104號","屏東縣","餐飲服務業","屏基醫療財團法人屏東基督教醫院供膳場所","余廣亮","900 屏東市 大連路60號","08-9368686","廢止","2014-02-21","500","朱O文","營養師 陳O頻營養師 黃O婷外包廠商負責人 王O珠外包廠商助廚 柯O明","尚豪企業社","王錦珠","屏東縣屏東市民貴三街39號1樓","08-7226456",""
"衛評餐服字第111號","臺中市","餐飲服務業","中國醫藥大學附設醫院供膳場所","周得陽","40447 北區 育德路2號","04-22052421","展延(有效)","2018-05-20","1500","翁O璐","組長 林O誠營養師兼衛生管理專責人員 翁O璐營養師 陳O雅助理廚員 姚O楣助理業務員 郭O汝","","","","",""
"衛評餐服字第114號","高雄市","餐飲服務業","財團法人高雄市私立復華高級中學供膳場所(米之香食品有限公司承包)","謝騏安","80251 苓雅區 民權一路42號","07-5373882","廢止","2016-06-11","3500","鄭O琦","營養師兼衛管人員 鄭O琦經理 歐O玫廚師 蕭O祥","米之香食品有限公司","康木村","高雄市三民區建工路776號13樓","07-7021966",""
"衛評餐服字第120號","臺南市","餐飲服務業","遠鼎股份有限公司台南分公司(香格里拉台南遠東國際大飯店中餐宴會廳)","熊隸華","701 東區 大學路西段89號","06-7028888","廢止","2014-08-03","500","吳O慧","食品衛生管理(專責)人員 吳O慧中餐宴會副主廚 葉O穩餐務部領班 楊O芬","","","","",""
"衛評餐服字第121號","新北市","餐飲服務業","衛生福利部雙和醫院(委託臺北醫學大學興建經營)營養室廚房供膳場所","吳麥斯","235 中和區 中正路291號","02-22490088","展延(有效)","2018-08-05","8000","莊O玟","臨床營養組組長暨食品衛生管理(專責)人員 莊O玟營養師 薛O栗主任 金O雲膳食供應組組長 黃O傑","","","","",""
"衛評餐服字第004號","屏東縣","餐飲服務業","行政院衛生署屏東醫院供膳場所(承包商:麗浤美食館)","鄭裕民","900 屏東市 自由路270號","08-7360311","廢止","2011-11-17","1000","黃O井","承包商負責人 王O珠品質管理人員 曹O淳食品衛生管理(專責)人員 黃O井","麗浤美食館","王錦珠","屏東市博愛路275號","08-7325579",""
"衛評餐服字第127號","臺北市","餐飲服務業","老爺大酒店股份有限公司Le cafe廳","林清波","100 中山區 中山北路2段37之1號","02-25423299","廢止","2014-12-03","620","王O稼","衛生管理專責人員暨餐務經理 王O稼 Le cafe咖啡廳主廚 王O嘉餐飲部協理 邱O蘭","","","","",""
