產地,主旨,原因,進口商名稱,進口商地址,貨品分類號列,不合格原因暨檢出量詳細說明,法規限量標準,製造廠或出口商名稱,製造商代碼,牌名,重量,處置情形,發布日期,報驗受理日期,附圖
"越南","胡椒(＂MASCCO＂ PEPPER POWDER)","殘留農藥含量不符規定","慕南有限公司","臺北市大同區重慶北路三段338號7樓","0904.12.00.00.3","檢出殘留農藥貝芬替0.6 ppm","依據「農藥殘留容許量標準」，農藥貝芬替容許量為0.1 ppm，本案不符合食品安全衛生管理法第15條規定。","MASECO","","MASCCO","72.00","案內不符合商品依規定退運或銷毀。","2017-02-08","2017-01-03","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6026&type=unsafefood"
"美國","草莓奶油味(STRAWBERRIES AND CREAM FLAVOR)","防腐劑含量不符規定","銓球金蒸氣企業社","台中市大雅區神林南路23號1樓","3302.10.90.00.8","檢出防腐劑丙酸2.0 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","THE  PERFUMERS  APPRENTICE","","PERFUMERS APPRENTICE","4.22","案內不符合商品依規定退運或銷毀。","2016-01-05","2015-12-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5050&type=unsafefood"
"韓國","鮮草莓(FRESH STRAWBERRIES)","殘留農藥含量不符規定","盛花園國際實業有限公司","台北市北投區明德路9號10樓","0810.10.00.00.8","檢出殘留農藥賽果培0.31ppm、賽福座1.15 ppm","依據「農藥殘留容許量標準」，農藥賽果培限值為0.01 ppm、賽福座容許量為1.0 ppm，本案不符合食品安全衛生管理法第15條規定。","EVER GOOD CORPORATION","KRCHW","EVER GOOD CORPORATION","198.00","案內不符合商品依規定退運或銷毀。","2016-01-05","2015-12-08","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5051&type=unsafefood"
"日本","鮮草莓(福岡) (FRESH STRAWBERRY )","殘留農藥含量不符規定","吉一水果有限公司","新北市中和區建八路152巷10號2樓","0810.10.00.00.8","檢出殘留農藥比加普0.09 ppm","依據「農藥殘留容許量標準」，農藥比加普限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","RISSYOU CO., LTD.","福岡","RISSYOU CO., LTD.","66.00","案內不符合商品依規定退運或銷毀。","2016-01-05","2015-12-08","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5052&type=unsafefood"
"義大利","芝麻葉(FRESH WILD ROCKET SALAD)","殘留農藥含量不符規定","東發國際有限公司","台北市中正區金門街9之14號1樓","0709.99.90.90.8","檢出殘留農藥白克列3.62 ppm","依據「農藥殘留容許量標準」，農藥白克列限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","PARIS GASTRONOMY","","PARIS GASTRONOMY","84.00","案內不符合商品依規定退運或銷毀。","2016-01-05","2015-12-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5053&type=unsafefood"
"美國","拜任敦 膠囊食品(BIOJODON)","其它衛生項目不符規定(含安全性不明成分)","豪樂福股份有限公司","桃園市桃園區萬壽里萬壽路三段158號","2106.90.99.20.8","檢出育亨賓(Yohimbine)789.9 ppm","育亨賓屬非經中央主管機關許可之添加物，本案不符合食品安全衛生管理法第15條規定。","BIONATURAL LABS","","BIONATURAL LABS","0.75","案內不符合商品依規定退運或銷毀。","2016-01-12","2015-10-15","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5054&type=unsafefood"
"韓國","小魚醬汁(小魚醬汁)","防腐劑含量不符規定","哈尼皮克餐飲有限公司","臺北市信義區信義路四段415號之3","2103.90.90.90.5","檢出防腐劑對羥苯甲酸乙酯(以對羥苯甲酸計0.13 g/kg)","依據「食品添加物使用範圍及限量暨規格標準」，用量以p-Hydroxybenzoic Acid計為0.10 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","HAETSALNAEUM","","","240.00","案內不符合商品依規定退運或銷毀。","2016-01-12","2015-11-30","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5055&type=unsafefood"
"中國大陸","盤子(盤子)","重金屬含量不符規定","仙晨實業有限公司","台北市文山區木柵路一段254號1樓","6911.10.00.00.4","溶出試驗檢出鉛103 μg/cm2","依據「食品器具容器包裝衛生標準」，溶出試驗合格標準鉛為17 µg/cm2以下，本案不符合食品安全衛生管理法第17條規定。","SHENZHEN RONGXIN FREIGHT SURROGATE CO.,LTD","","","8.00","案內不符合商品依規定退運或銷毀。","2016-01-12","2015-12-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5056&type=unsafefood"
"澳大利亞","燕麥片(QUICK OATS)","殘留農藥含量不符規定","吉利高股份有限公司","臺中巿南屯區文山里工業區十八路8號","1104.22.90.00.8","檢出殘留農藥撲滅松0.11 ppm","依據「農藥殘留容許量標準」，農藥撲滅松容許量為0.02 ppm，本案不符合食品衛生管理法第15條規定。","BLUE LAKE MILLING PTY LTD","","BLM","24,000.00","案內不符合商品依規定退運或銷毀。","2016-01-12","2015-12-04","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5057&type=unsafefood"
"韓國","生鮮大白菜(FRESH CHINESE CABBAGE)","殘留農藥含量不符規定","醄醴有限公司","新北市新莊區五一路5號7樓之7","0704.90.10.00.8","檢出殘留農藥氟尼胺0.02 ppm","依據「農藥殘留容許量標準」，農藥氟尼胺限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","EVER GOOD CORPORATION","","","15,750.00","案內不符合商品依規定退運或銷毀。","2016-01-12","2015-12-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5058&type=unsafefood"
"德國","有機茉莉白玉綠茶(ORGANIC JAMINE GREEN TEA)","防腐劑含量不符規定","卡堤咖啡有限公司","桃園市桃園區龍安街189號","2106.90.99.90.3","檢出防腐劑水楊酸0.05 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，水楊酸非表列准用之食品添加物範圍，本案不符合食品安全衛生管理法第18條規定。","FLORAPHARM GMBH","","FLORAPHARM GMBH","15.00","案內不符合商品依規定退運或銷毀。","2016-09-06","2016-07-19","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5557&type=unsafefood"
"印尼","大白菜(FRESH CHINESE CABBAGE)","殘留農藥含量不符規定","簡明宏有限公司","桃園縣桃園巿同德十一街37巷5號1樓","0704.90.10.00.8","檢出殘留農藥待克利0.03 ppm","依據「農藥殘留容許量標準」，農藥待克利定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","CV.MAHKOTA BARU","","","22,200.00","案內不符合商品依規定退運或銷毀。","2016-09-06","2016-08-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5558&type=unsafefood"
"馬來西亞","結球萵苣(FRESH ICEBERG LETTUCE)","殘留農藥含量不符規定","隆記農產有限公司","苗栗縣苗栗市中華路607巷15弄106號","0705.11.00.00.5","檢出殘留農藥克凡派0.31 ppm、四氯異苯腈6.2 ppm","依據「農藥殘留容許量標準」，農藥克凡派定量極限為0.01 ppm、四氯異苯腈容許量為1.0 ppm，本案不符合食品安全衛生管理法第15條規定。","DOLE FRUIT AND VEGETABLE MALAYSIA SDN BHD","","","8,640.00","案內不符合商品依規定退運或銷毀。","2016-09-06","2016-08-06","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5559&type=unsafefood"
"日本","芽蔥(YOUNG WELSH ONION)","殘留農藥含量不符規定","大洋蔬果行","臺北市萬華區長泰街160號","0703.90.00.00.1","檢出殘留農藥氟尼胺0.04 ppm","依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","KANKU-UNYU CO.,LTD.","靜岡","KANKU-UNYU CO.,LTD.","0.90","案內不符合商品依規定退運或銷毀。","2016-09-06","2016-08-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5560&type=unsafefood"
"法國","香蕉蔥(FRESH BANANA SHALLOTS)","殘留農藥含量不符規定","東發國際有限公司","台北市中正區金門街9之14號1樓","0703.10.20.00.4","檢出殘留農藥白克列0.02 ppm、達滅芬0.03 ppm","依據「農藥殘留容許量標準」，農藥白克列及達滅芬定量極限均為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","PARIS GASTRONOMY","","PARIS GASTRONOMY","10.00","案內不符合商品依規定退運或銷毀。","2016-09-06","2016-08-11","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5561&type=unsafefood"
"英國","WHITTARD 英式玫瑰紅茶限量罐(LOOSE ENGLISH ROSE CADDY)","防腐劑含量不符規定","哈迪艾薇國際貿易有限公司","屏東縣麟洛鄉中山路382-109號2樓","2106.90.99.90.3","檢出防腐劑水楊酸0.07 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，水楊酸非表列准用之食品添加物，本案不符合食品安全衛生管理法第18條規定。","WHITTARD OF CHELSEA","","WHITTARD","1.20","案內不符合商品依規定退運或銷毀。","2016-09-13","2016-07-13","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5562&type=unsafefood"
"英國","WHITTARD馬拉喀什薄荷茶罐(MARRAKECH MINT CADDY)","防腐劑含量不符規定","哈迪艾薇國際貿易有限公司","屏東縣麟洛鄉中山路382-109號2樓","2106.90.99.90.3","檢出防腐劑水楊酸0.04 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，水楊酸非表列准用之食品添加物，本案不符合食品安全衛生管理法第18條規定。","WHITTARD OF CHELSEA","","WHITTARD","0.72","案內不符合商品依規定退運或銷毀。","2016-09-13","2016-07-13","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5563&type=unsafefood"
"英國","WHITTARD 芒果&佛手柑混紡綠茶散茶包(MANGO & BERGAMOT POUCH)","防腐劑含量不符規定","哈迪艾薇國際貿易有限公司","屏東縣麟洛鄉中山路382-109號2樓","2106.90.99.90.3","檢出防腐劑水楊酸0.03 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，水楊酸非表列准用之食品添加物，本案不符合食品安全衛生管理法第18條規定。","WHITTARD OF CHELSEA","","WHITTARD","10.80","案內不符合商品依規定退運或銷毀。","2016-09-13","2016-07-13","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5564&type=unsafefood"
"日本","紫蘇(PERILLA(LEAVES))","殘留農藥含量不符規定","大洋蔬果行","臺北市萬華區長泰街160號","0709.99.90.90.8","檢出殘留農藥亞滅培0.03 ppm、護汰寧0.05 ppm、合賽多0.03 ppm、邁克尼0.06 ppm、得克利0.05 ppm、必芬蟎0.02 ppm、可芬諾0.02 ppm及畢達本0.01 ppm","依據「農藥殘留容許量標準」，農藥亞滅培、護汰寧、合賽多、邁克尼及得克利定量極限均為0.01 ppm、必芬蟎、可芬諾及畢達本均為不得檢出，本案不符合食品安全衛生管理法第15條規定。","KANKU-UNYU CO.,LTD.","愛知","KANKU-UNYU CO.,LTD.","2.00","案內不符合商品依規定退運或銷毀。","2016-09-06","2016-08-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5552&type=unsafefood"
"日本","結球萵苣，生鮮或冷藏(FRESH LETTUCE)","殘留農藥含量不符規定","彬瑪貿易股份有限公司","台北巿敦化南路一段57號8樓之2","0705.11.00.00.5","檢出殘留農藥氟芬隆0.07 ppm","依據「農藥殘留容許量標準」，農藥氟芬隆定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","MATSUWA CO., LTD.","長野","","12,600.00","案內不符合商品依規定退運或銷毀。","2016-07-27","2016-06-29","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5463&type=unsafefood"
"日本","抹茶粉(A)(GREEN TEA A)","殘留農藥含量不符規定","山城宇治國際有限公司","高雄市仁武區八德一路198號1樓","0902.10.00.00.7","檢出殘留農藥賽果培0.27 ppm、克凡派3.4 ppm","依據「農藥殘留容許量標準」，農藥賽果培定量極限為0.05 ppm、克凡派容許量為2.0 ppm，本案不符合食品安全衛生管理法第15條規定。","有限会社 三星園上林三入本店","京都","","20.00","案內不符合商品依規定退運或銷毀。","2016-08-02","2016-07-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5464&type=unsafefood"
"日本","煎茶(SENCHA)","殘留農藥含量不符規定","山城宇治國際有限公司","高雄市仁武區八德一路198號1樓","0902.10.00.00.7","檢出殘留農藥賽果培1.29 ppm","依據「農藥殘留容許量標準」，農藥賽果培定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","有限会社 三星園上林三入本店","京都","","20.00","案內不符合商品依規定退運或銷毀。","2016-08-02","2016-07-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5465&type=unsafefood"
"泰國","主婦蠔油(OYSTER SAUCE)","防腐劑含量不符規定","金勇食品行","桃園市蘆竹區中山里福祿一街216號2樓","2103.90.90.90.5","檢出防腐劑丙酸0.6 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","MAEKRUA FOOD CO.,LTD.","","MAEKRUA","176.40","案內不符合商品依規定退運或銷毀。","2016-08-02","2016-07-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5466&type=unsafefood"
"以色列","芝麻葉(ARUGULA(ERUCA SATIVA))","殘留農藥含量不符規定","大洋蔬菓行","臺北市萬華區長泰街160號","0709.99.90.90.8","檢出殘留農藥達有龍0.02 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","GAIA AGRICULTURAL PRODUCE LTD","","GAIA AGRICULTURAL PRODUCE LTD","20.00","案內不符合商品依規定退運或銷毀。","2017-03-09","2017-02-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6109&type=unsafefood"
"日本","石斑魚(FRESH SEVENBAND GROUPER)","重金屬含量不符規定","旬採國際股份有限公司","台北市中山區中山北路2段50巷3號1樓","0302.89.89.41.4","檢出甲基汞0.7 ppm","依據「水產動物類衛生標準」，甲基汞限量為0.5 ppm以下，本案不符合食品安全衛生管理法第17條規定。","HONMEIICHIZAN CO.,LTD.","長崎","HONMEIICHIZAN CO.,LTD.","1.30","案內不符合商品依規定退運或銷毀。","2017-03-09","2017-02-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6110&type=unsafefood"
"秘魯","CHENOPODIUM QUINOA 有機黑藜麥(BLACK QUINOA)","殘留農藥含量不符規定","康寶餐飲股份有限公司","臺中市南屯區大墩路395號1樓","1104.29.90.00.1","檢出殘留農藥亞滅培0.08 ppm","依據「農藥殘留容許量標準」，農藥亞滅培定量極限為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。","INDALIEXP PERU","","","300.00","案內不符合商品依規定退運或銷毀。","2017-03-14","2016-08-26","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6111&type=unsafefood"
"秘魯","CHENOPODIUM QUINOA 有機三色藜麥(TRICOLOR PACKAGED)","殘留農藥含量不符規定","康寶餐飲股份有限公司","臺中市南屯區大墩路395號1樓","1104.29.90.00.1","檢出殘留農藥亞滅培0.04 ppm","依據「農藥殘留容許量標準」，農藥亞滅培定量極限為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。","INDALIEXP PERU","","","1,000.00","案內不符合商品依規定退運或銷毀。","2017-03-14","2016-08-26","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6112&type=unsafefood"
"美國","營養奶昔 香草口味(TW VANILLA TRIM SHAKE)","甜味劑含量不符規定","美商多特瑞有限公司台灣分公司","臺中市西屯區文心路二段201號9樓之1","2106.90.99.90.3","檢出甜味劑新橙皮苷二氫查爾酮 0.04 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，非表列准用之食品添加物，本案不符合食品安全衛生管理法第18條規定。","DŌTERRA INTL, LLC","","DOTERRA","66.96","案內不符合商品依規定退運或銷毀。","2017-03-14","2017-01-20","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6113&type=unsafefood"
"日本","柚子皮(YUZU)","殘留農藥含量不符規定","富帆貿易有限公司","新北市中和區建康路252號2樓","0814.00.00.90.7","檢出殘留農藥克收欣0.03 ppm","依據「農藥殘留容許量標準」，農藥克收欣定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","金印WASABI株式会社 靜岡工場","靜岡","金印WASABI","300.00","案內不符合商品依規定退運或銷毀。","2017-03-14","2017-02-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6114&type=unsafefood"
"烏干達","細蔥(CHIVES)","殘留農藥含量不符規定","佳藍園藝工程有限公司","台北巿南京西路360號","0703.90.00.00.1","檢出殘留農藥第滅寧0.48 ppm","依據「農藥殘留容許量標準」，農藥第滅寧容許量為0.2 ppm，本案不符合食品安全衛生管理法第15條規定。","NEW GREEN OVERSEAS B.V.","","NEW GREEN OVERSEAS B.V.","10.00","案內不符合商品依規定退運或銷毀。","2016-04-12","2016-03-16","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5215&type=unsafefood"
"日本","宇治抹茶粉 無糖(YANOSEICHA UJI GREEN TEA POWDER 1KG)","殘留農藥含量不符規定","志江貿易有限公司","臺北市中山區南京西路1之1號7樓","0902.10.00.00.7","檢出殘留農藥白克列0.21 ppm","依據「農藥殘留容許量標準」，農藥白克列定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","YANOEN.CO.,LTD","京都","UJI","400.00","案內不符合商品依規定退運或銷毀。","2016-04-19","2016-03-14","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5216&type=unsafefood"
"韓國","結球白菜(FRESH CHINESE CABBAGE (結球白菜)(食品用) 批號:HSZQ160314)","殘留農藥含量不符規定","長青物流有限公司","雲林縣西螺鎮新安里市場北路250號","0704.90.10.00.8","檢出殘留農藥大滅松0.03 ppm","依據「農藥殘留容許量標準」，農藥大滅松容許量為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","HASUNG ENTERPRISE CO., LTD","","","16,170.00","案內不符合商品依規定退運或銷毀。","2016-04-19","2016-03-21","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5217&type=unsafefood"
"中國大陸","枸杞(枸杞子)(枸杞(枸杞子))","殘留農藥含量不符規定","金記寶安股份有限公司","苗栗縣竹南鎮工業區和興路338號","1211.90.91.10.2","檢出殘留農藥毆蟎多0.04 ppm、賜派芬0.02 ppm","依據「農藥殘留容許量標準」，農藥賜派芬定量極限為0.01 ppm、毆蟎多為不得檢出，本案不符合食品安全衛生管理法第15條規定。","廣東省肇慶食品進出公司","","","300.00","案內不符合商品依規定退運或銷毀。","2016-04-19","2016-03-23","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5218&type=unsafefood"
"日本","鮮草莓(FRESH STRAWBERRY)","殘留農藥含量不符規定","上佳水果有限公司","臺北市萬華區國興路84號6樓之1","0810.10.00.00.8","檢出殘留農藥克凡派0.12 ppm","依據「農藥殘留容許量標準」，農藥克凡派定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","NISSYOU CO., LTD.","奈良","NISSYOU CO., LTD.","2.70","案內不符合商品依規定退運或銷毀。","2017-03-28","2017-02-16","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6135&type=unsafefood"
"中國大陸","水瓶(1124419 WATER BOTTLE PLASTIC)","其它衛生項目不符規定(其他衛生項目不符規定)","富台貿易股份有限公司","臺北市內湖區新湖二路146巷33號","3924.90.00.30-2","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","MONT-BELL CO., LTD.","","MONT-BELL","2.73","案內不符合商品依規定退運或銷毀。","2017-03-28","2017-02-18","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6136&type=unsafefood"
"中國大陸","水瓶(1124420 WATER BOTTLE PLASTIC)","其它衛生項目不符規定(其他衛生項目不符規定)","富台貿易股份有限公司","臺北市內湖區新湖二路146巷33號","3924.90.00.30.2","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","MONT-BELL CO., LTD.","","MONT-BELL","3.74","案內不符合商品依規定退運或銷毀。","2017-03-28","2017-02-18","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6137&type=unsafefood"
"中國大陸","水瓶(1124421 WATER BOTTLE PLASTIC)","其它衛生項目不符規定(其他衛生項目不符規定)","富台貿易股份有限公司","臺北市內湖區新湖二路146巷33號","3924.90.00.30.2","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","MONT-BELL CO., LTD.","","MONT-BELL","4.84","案內不符合商品依規定退運或銷毀。","2017-03-28","2017-02-18","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6138&type=unsafefood"
"中國大陸","卡儂 4＂方形碗(206504 卡儂 4＂方形碗)","其它衛生項目不符規定(其他衛生項目不符規定)","寬淂有限公司","新北市土城區中華路一段56巷7號","3924.10.00.20.1","檢出甲醛-三聚氰胺為合成原料之塑膠類蒸發殘渣(4%醋酸) 44 ppm","依據「食品器具容器包裝衛生標準」，4%醋酸溶出標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","中山廣展實業有限公司","","EFAY","132.84","案內不符合商品依規定退運或銷毀。","2017-03-28","2017-02-20","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6139&type=unsafefood"
"泰國","特級魚露(＂LADY’S＂ FISH SAUCE)","防腐劑含量不符規定","北岸有限公司","臺北市大同區重慶北路三段338號7樓","2103.90.90.90-5","檢出防腐劑苯甲酸2.2 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，防腐劑用量以Benzoic Acid計為1.0 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","NETWORK SUPPLIES CO.","","LADY’S","192.00","案內不符合商品依規定退運或銷毀。","2016-04-12","2016-03-16","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5204&type=unsafefood"
"美國","春天綜合生菜(盒)(SPRING MIX VEGETABLES SALAD)","殘留農藥含量不符規定","宇富實業有限公司","新北市中和區景平路722號11樓","0709.99.90.90.8","檢出殘留農藥氟尼胺0.03 ppm","依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","AGRI-PACIFIC INTL TRADING CORP","","AGRI-PACIFIC INTL TRADING CORP","30.60","案內不符合商品依規定退運或銷毀。","2016-04-12","2016-03-17","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5205&type=unsafefood"
"法國","法國MEDELYS諾曼地蘋果醋(MEDELYS CIDER VINEGAR FROM NORMENDY)","防腐劑含量不符規定","東遠國際有限公司","台北市中正區金門街9之14號1樓","2209.00.00.00.5","檢出防腐劑丙酸0.6 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","MEDELYS","","","150.00","案內不符合商品依規定退運或銷毀。","2016-04-12","2016-01-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5207&type=unsafefood"
"日本","乾燥苦瓜粉末(DRY BITTER MELON FRUIT AND SEED(35%) OF OKINAWA)","殘留農藥含量不符規定","耐斯國際開發股份有限公司","臺北巿大安區敦化南路二段97號17樓","1106.10.90.00.0","檢出殘留農藥芬普尼0.004 ppm","依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。","SUIKOU YAEDAKE CO.,LTD.","沖繩","SUIKOU","500.00","案內不符合商品依規定退運或銷毀。","2016-04-06","2016-02-20","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5194&type=unsafefood"
"德國","巴西里末(PARSLEY SHREDDED)","殘留農藥含量不符規定","河洛企業股份有限公司","台北市中山區林森北路612號2樓","0712.90.90.90.2","檢出殘留農藥普拔克0.11 ppm","依據「農藥殘留容許量標準」，農藥普拔克定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","HELA SPICE SINGAPORE PTE LTD","","HELA","25.00","案內不符合商品依規定退運或銷毀。","2016-04-06","2016-02-23","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5195&type=unsafefood"
"越南","金萱茶(半發酵)(JIN SHUAN TEA)","殘留農藥含量不符規定","苡勒實業有限公司","臺中市西屯區臺灣大道二段803號1樓","0902.40.20.00.7","檢出殘留農藥亞滅培2.1 ppm","依據「農藥殘留容許量標準」，農藥亞滅培容許量為2.0 ppm，本案不符合食品安全衛生管理法第15條規定。","FU SHENG CO.,LTD.","","","9,720.00","案內不符合商品依規定退運或銷毀。","2016-04-06","2016-03-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5196&type=unsafefood"
"義大利","鮮奇異果(FRESH KIWIFRUIT)","殘留農藥含量不符規定","馥威企業股份有限公司","新北市板橋區雙十路二段47巷14號1樓","0810.50.00.00.9","檢出殘留農藥Fenhexamid 0.97 ppm、白克列0.04 ppm","依據「農藥殘留容許量標準」，農藥白克列定量極限為0.01 ppm、Fenhexamid為不得檢出，本案不符合食品安全衛生管理法第15條規定。","TRE S FRUT DI BRENTEGANI G.& C.SAS","ITSNY","TRE S","20,821.00","案內不符合商品依規定退運或銷毀。","2016-04-06","2016-03-02","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5197&type=unsafefood"
"日本","鮮黃金柑 (高知) (FRESH CITRUS)","殘留農藥含量不符規定","川咏水果有限公司","新北市中和區建八路152巷10號2樓","0805.20.90.19.3","檢出殘留農藥達特南0.19 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","RISSYOU CO., LTD.","高知","RISSYOU CO., LTD.","45.00","案內不符合商品依規定退運或銷毀。","2016-04-06","2016-03-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5198&type=unsafefood"
"中國大陸","白靈芝菇罐頭(CANNED BAILING MUSHROOMS 825GX12TINS 輸入供食品用途 NUMBER:SLC160302)","漂白劑含量不符規定","順立昌企業社","彰化縣員林鎮員水路二段20號1樓","2003.90.90.10.3","檢出二氧化硫殘留量0.055 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，漂白劑殘留量(以二氧化硫計)為0.030 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","HENAN SHIJIXIANG EDIBLE MUSHROOM CO.,LTD.","HNSGEE","飯友牌","16,829.00","案內不符合商品依規定退運或銷毀。","2016-04-12","2016-03-03","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5208&type=unsafefood"
