學名,中文名稱,殘留部位,動物種類,殘留容許量ppm
"Trimethoprim","三甲氧芐氨嘧啶","肌肉、肝、腎、脂","其他家畜類、家禽類","0.05"
"Trimethoprim","三甲氧芐氨嘧啶","乳","家畜類","0.05"
"Trimethoprim","三甲氧芐氨嘧啶","蛋","家禽類","0.02"
"Tulathromycin","泰拉黴素","肌肉、脂(含皮)","牛、豬","0.1"
"Tulathromycin","泰拉黴素","肝、腎","牛、豬","3"
"Tylosin","泰黴素","肌肉、肝、腎、脂","家畜類、家禽類","0.1"
"Tylosin","泰黴素","乳","牛","0.1"
"Tylosin","泰黴素","蛋","家禽類","0.3"
"Virginiamycin","純黴素","肌肉","豬","0.1"
"Virginiamycin","純黴素","肝","豬","0.3"
"Virginiamycin","純黴素","腎、脂","豬","0.4"
"Zeranol","","肌肉","牛","0.02"
"Zeranol","","肝","牛","0.01"
"Zoalene","柔林","肌肉","雞","3"
"Zoalene","柔林","肝、腎","雞","6"
"Zoalene","柔林","脂","雞","2"
"Zoalene","柔林","肌肉、肝","火雞","3"
