製劑別,申請廠商,製劑名稱,製造批號,有效期限,包裝,封緘數量,封緘劑量,封緘日期,備註
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎鏈球菌十三價結合型疫苗","F89730, F59565","09 30 2014 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 87,735盒","87735","06 13 2012 12:00AM","封條 AG179712、AG179533、AG179583、AG179580、AG179760、AG182714、AG162284、AG149755、AG141814、AG199110共十張毀損，更換為AF992370~AF992379"
"血液製劑類","上合貿易股份有限公司","＂貝靈＂血清蛋白注射液20%","B3044411B","12 31 2016 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 27,587盒","27587","05 14 2012 12:00AM",""
"血液製劑類","上合貿易股份有限公司","＂貝靈＂血清蛋白注射液20%","B3144411A","12 31 2016 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 21,030盒","21030","05 14 2012 12:00AM","AF769873,776972,777287毀損,補發AF965550~965552"
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","紐蒙肺多價性肺炎鏈球菌疫苗","T0965, 1890AA/0673223","11 30 2013 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 947盒","9470","06 25 2012 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂愛默＂人體血清白蛋白25%注射液","N995512","12 18 2014 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 17,969 盒","17969","05 29 2012 12:00AM","因廠商封緘作業損毀AF876345,AF876355及AF873469,補發AF986398~AF986400"
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎鏈球菌十三價結合型疫苗","F98506, F59565","09 30 2014 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 85,905盒","85905","06 18 2012 12:00AM","缺損5張：AG271109、AG292217、AG302565、AG319062、AG331433"
"抗毒素及抗血清類","行政院衛生署疾病管制局","抗雨傘節及飯匙倩蛇毒血清凍晶注射劑","FN10101","04 22 2017 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 2,178盒","2178","07 9 2012 12:00AM",""
"血液製劑類","禾利行股份有限公司","＂百合＂人白蛋白20%","B234072","01 31 2015 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 1,996盒","1996","05 22 2012 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","安在時B型肝炎疫苗","AHBVC183AA, AHBVC183A","11 30 2014 12:00AM","1劑/1 mL/瓶 × 100瓶/盒","1劑/1 mL/瓶 × 100瓶/盒 × 2,000盒；58瓶/盒 × 1盒","200058","06 8 2012 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","＂巴斯德＂五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗）","C4010AB, C4010A","03 31 2014 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 7,491盒","74910","06 20 2012 12:00AM","AG342846及AG3448425損毀，申請補發AG349029及AG349030共2張"
"疫苗及類毒素類","友霖生技醫藥股份有限公司","日本腦炎疫苗(Boryung Japanese Encephalitis Vaccine)","00412002","07 10 2013 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 3,590盒","35900","05 18 2012 12:00AM",""
"疫苗及類毒素類","友霖生技醫藥股份有限公司","日本腦炎疫苗(Boryung Japanese Encephalitis Vaccine)","00412004","07 12 2013 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 2,790盒","27900","05 18 2012 12:00AM","AF887185於執行封緘作業時毀損，補AF985277。"
"疫苗及類毒素類","友霖生技醫藥股份有限公司","日本腦炎疫苗(Boryung Japanese Encephalitis Vaccine)","00412003","07 11 2013 12:00AM","1劑/1 mL/瓶 × 10瓶/盒","1劑/1 mL/瓶 × 10瓶/盒 × 3,590盒","35900","05 18 2012 12:00AM",""
"疫苗及類毒素類","行政院衛生署疾病管制局","凍結乾燥卡介苗","BG0310104","04 5 2014 12:00AM","30劑/1.5mg/瓶 × 10瓶/盒","30劑/1.5mg/瓶 × 10瓶/盒 × 636盒","190800","08 10 2012 12:00AM",""
"疫苗及類毒素類","行政院衛生署疾病管制局","凍結乾燥卡介苗","BG0310103","04 2 2014 12:00AM","30劑/1.5mg/瓶 × 10瓶/盒","30劑/1.5mg/瓶 × 10瓶/盒 × 595盒","178500","08 10 2012 12:00AM",""
"疫苗及類毒素類","行政院衛生署疾病管制局","凍結乾燥卡介苗","BG0310105","04 29 2014 12:00AM","30劑/1.5mg/瓶 × 10瓶/盒","30劑/1.5mg/瓶 × 10瓶/盒 × 637盒","191100","08 10 2012 12:00AM",""
"其他生物藥品類","海喬國際股份有限公司","儷緻注射劑","E06700","01 31 2014 12:00AM","500 units/瓶/盒","500 units/瓶/盒 × 3,968盒","3968","06 11 2012 12:00AM","毀損封條為AF988660，共計一張，更新封條為AG220433"
"疫苗及類毒素類","明聚生物科技有限公司","炭疽疫苗(BioThrax)","FAV392","07 25 2015 12:00AM","10劑/5 mL/瓶/盒","10劑/5 mL/瓶/盒 × 18盒","180","05 22 2012 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","羅特律輪狀病毒疫苗口服懸液劑","AROLA488AD, AROLA488A","05 31 2014 12:00AM","1劑/1.5 mL/支/盒","1劑/1.5 mL/支/盒 × 11,710盒","11710","05 30 2012 12:00AM","因封緘作業損毀AG110545及AG108606,補發AG132694及AG132695"
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","羅特律輪狀病毒疫苗口服懸液劑","AROLA488AE, AROLA488A","05 31 2014 12:00AM","1劑/1.5 mL/支/盒","1劑/1.5 mL/支/盒 × 10,670盒","10670","05 30 2012 12:00AM","因封緘作業損毀AG118646及AG127002,補發AG132696及AG132697"
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","巴斯德四合一補追疫苗","H0280-1, H0280","02 28 2014 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 52,793盒","52793","07 25 2012 12:00AM","小封條編號：AG583154破損，補領小封條一張：AG612798"
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑","VND2L038","06 30 2013 12:00AM","1 mL/支 × 2支/組/盒","1 mL/支 × 2支/組/盒 × 1,101盒","1101","06 8 2012 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂愛締絲低溫冷凍密合劑溶液","VND6M003","01 31 2014 12:00AM","1 mL/支 × 2支/組/盒","1 mL/支 × 2支/組/盒 × 500盒","500","08 3 2012 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑(第二代)","VND3L071","07 31 2013 12:00AM","2 mL/支 × 2支/組/盒","2 mL/支 × 2支/組/盒 × 208盒","208","08 15 2012 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑(第二代)","VND3L077","08 31 2013 12:00AM","1 mL/支 × 2支/組/盒","1 mL/支 × 2支/組/盒 × 314盒","314","08 15 2012 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂高純度第八凝血因子注射劑","3300850546","11 4 2014 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒 × 2,028盒","2028","07 9 2012 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂（20％）人血清白蛋白注射劑","3470500415","08 25 2015 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 24,529盒","24529","07 9 2012 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂威保500U抗抑制子凝血複合物","VNF2M004","12 31 2013 12:00AM","500 U/瓶/盒","500 U/瓶/盒 × 1,688盒","1688","06 19 2012 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂高純度第八凝血因子注射劑","3300850544","11 4 2014 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒 × 1,509盒","1509","07 9 2012 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂高純度第九凝血因子注射劑","3250920198","11 9 2013 12:00AM","500 IU/瓶/盒","500 IU/瓶/盒 × 1,202盒","1202","07 31 2012 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂高純度第九凝血因子注射劑","3250920197","11 3 2013 12:00AM","500 IU/瓶/盒","500 IU/瓶/盒 × 1,258盒","1258","08 21 2012 12:00AM",""
"其他生物藥品類","國光生物科技股份有限公司","精製結核菌素 RT23SSI","1600F","12 31 2014 12:00AM","15劑/1.5 mL/瓶 × 10 瓶/盒","15劑/1.5 mL/瓶 × 10 瓶/盒 × 2,200 盒","330000","07 24 2012 12:00AM",""
"血液製劑類","天行貿易股份有限公司","抗RH因子球蛋白注射液","26NJN51","11 29 2013 12:00AM","1500 IU/支/盒","1500 IU/支/盒 × 480盒","480","06 19 2012 12:00AM",""
"血液製劑類","天行貿易股份有限公司","人用狂犬病免疫球蛋白","26NK5L1","12 15 2013 12:00AM","10 mL/瓶/盒","10 mL/瓶/盒 × 10盒","10","06 19 2012 12:00AM",""
"血液製劑類","天行貿易股份有限公司","B型肝炎免疫人血球蛋白注射液","26NK841","08 2 2014 12:00AM","0.5 mL/支/盒","0.5 mL/支/盒 × 6,340盒","6340","06 12 2012 12:00AM",""
"其他生物藥品類","台灣愛力根藥品股份有限公司","＂愛力根＂保妥適乾粉注射劑","C3055 C2","01 31 2015 12:00AM","50 units/瓶/盒","50 units/瓶/盒 × 2,993盒","2993","06 15 2012 12:00AM",""
"其他生物藥品類","台灣愛力根藥品股份有限公司","＂愛力根＂保妥適乾粉注射劑","C3045 C3","01 1 2015 12:00AM","100 units/瓶/盒","100 units/瓶/盒 × 9,880盒","9880","06 26 2012 12:00AM",""
"血液製劑類","百達醫療產品股份有限公司","＂百特＂組織修復凝合劑","VND2M008","12 31 2013 12:00AM","2 mL/支 × 2支/組/盒","2 mL/支 × 2支/組/盒 × 616盒","616","06 29 2012 12:00AM","AF999743 損壞,補發AG466573 1張"
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","安在時B型肝炎疫苗","AHBVC122AB, AHBVC122A","06 30 2014 12:00AM","1劑/1 mL/瓶 × 25瓶/盒","1劑/1 mL/瓶 × 25瓶/盒 × 1,520盒；8瓶/盒 × 1盒","38008","07 4 2012 12:00AM",""
"血液製劑類","禾利行股份有限公司","立保B型肝炎抗體注射液","B793022","02 28 2014 12:00AM","10 mL/瓶/盒","10 mL/瓶/盒 × 4,186盒","4186","06 22 2012 12:00AM",""
"其他生物藥品類","台灣愛力根藥品股份有限公司","＂愛力根＂保妥適乾粉注射劑","C3015 C3","10 25 2014 12:00AM","100 units/瓶/盒","100 units/瓶/盒 × 13,987盒","13987","06 19 2012 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂25%人體正常血清白蛋白注射劑","LA12E036AA","03 26 2014 12:00AM","50 mL/瓶","50 mL/瓶 × 15,460瓶","15460","06 28 2012 12:00AM","小封條號碼AG353667、AG355399及AG355880，共3張毀損，補AG466574、AG466575及AG466576，共3張新封條"
"血液製劑類","泛泰醫療產品有限公司","＂百特＂25%人體正常血清白蛋白注射劑","LA12D037AA","03 22 2014 12:00AM","50 mL/瓶","50 mL/瓶 × 18,532瓶","18532","06 28 2012 12:00AM","小封條號碼AG381662，共1張毀損，補AG466577，共1張新封條"
"血液製劑類","天行貿易股份有限公司","白蛋白注射劑","26NKWW1","03 19 2015 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 22,690盒","22690","07 11 2012 12:00AM","小封緘條AG434105於進行封緘作業時毀損，補發小封緘條AG502664。"
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","＂巴斯德＂三合一補追疫苗","C4065BA, C4065B","06 30 2014 12:00AM","1劑/0.5 mL/瓶/盒","1劑/0.5 mL/瓶/盒 × 3,585盒","3585","09 5 2012 12:00AM","AG964097,AG964098,AG964099三張破損"
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","嘉喜〔四價人類乳突病毒(第6,11,16,18型)基因重組疫苗〕","HO09411, 0173AE","01 27 2015 12:00AM","1劑/0.5 mL/支 × 10支/盒","1劑/0.5 mL/支 × 10支/盒 × 2,306盒","23060","08 13 2012 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂貝靈＂血清蛋白注射液20%","B5744411A","02 28 2017 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 32,777盒","32777","06 28 2012 12:00AM","封條號碼AG392696破損，補發封條號碼AG494439共1張"
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","新赫寶克","AHAVB530FF, AHAVB530F","01 31 2014 12:00AM","1劑/0.5 mL/瓶/盒","1劑/0.5 mL/瓶/盒 × 19,860盒","19860","07 17 2012 12:00AM","AG480050,AG493232,AG493468破損,補發AG502661-AG502663 共計3張."
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","安在時B型肝炎疫苗","AHBVC151CA, AHBVC151C","09 30 2014 12:00AM","1劑/1 mL/瓶 × 25瓶/盒","1劑/1 mL/瓶 × 25瓶/盒 × 1,736盒；8瓶/盒 × 1盒","43408","07 23 2012 12:00AM","AG494454破損"
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","＂輪達停＂口服活性五價輪狀病毒疫苗","0557AE/0673216","12 16 2013 12:00AM","1劑/2 mL/軟管 × 10軟管/盒","1劑/2 mL/軟管 × 10 軟管/盒 × 5,312盒","53120","08 22 2012 12:00AM",""
"疫苗及類毒素類","台灣諾華股份有限公司","瑞犬伏狂犬病疫苗注射用凍晶粉末","474011C","01 31 2013 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 130盒","130","07 9 2012 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂人類免疫球蛋白靜脈注射劑","3740500797","04 16 2015 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 9,935盒","9935","07 31 2012 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","紐蒙肺多價性肺炎鏈球菌疫苗","T1691, 0180AE/0673519","01 14 2014 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 12,270盒","122700","08 8 2012 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","＂唯德＂不活化A型肝炎疫苗","T1690, 0099AE/0672840","10 24 2014 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 655盒","6550","08 8 2012 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","巴斯德小兒麻痺注射疫苗","H7080-7, H7080","04 30 2014 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 3,000盒","3000","08 14 2012 12:00AM",""
"其他生物藥品類","海喬國際股份有限公司","儷緻注射劑","E07915","02 28 2014 12:00AM","500 units/瓶/盒","500 units/瓶/盒 × 4,968盒","4968","07 23 2012 12:00AM",""
"血液製劑類","禾利行股份有限公司","＂百合＂施多特注射液","B144012","02 28 2015 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 2,204盒","2204","07 9 2012 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","羅特律輪狀病毒疫苗口服懸液劑","AROLA547AA, AROLA547A","09 30 2014 12:00AM","1劑/1.5 mL/支/盒","1劑/1.5 mL/支/盒 × 19,460盒","19460","08 9 2012 12:00AM",""
"血液製劑類","科懋生物科技股份有限公司","血基賞濃縮輸注液 25毫克/毫升","20194","01 31 2014 12:00AM","10 mL/瓶 × 4瓶/盒","10 mL/瓶 × 4瓶/盒 × 59盒；2瓶 × 1盒","238","07 25 2012 12:00AM",""
"血液製劑類","天行貿易股份有限公司","白蛋白注射劑","26NL3N1","05 1 2015 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 9,990 盒","9990","07 25 2012 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂貝靈＂止血纖維蛋白膠纖維蛋白止血組","604974A","01 31 2014 12:00AM","1 mL/瓶 × 4瓶/組/盒","1 mL/瓶 × 4瓶/組/盒 × 581盒","581","08 27 2012 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂高純度第八凝血因子注射劑","3300850587","04 22 2015 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒 × 1,173盒","1173","01 29 2013 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂高純度第八凝血因子注射劑","3300850571","04 22 2015 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒 × 4,542盒","4542","01 28 2013 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂高純度第九凝血因子注射劑","3250920207","04 18 2014 12:00AM","500 IU/瓶/盒","500 IU/瓶/盒 × 1,262盒","1262","01 29 2013 12:00AM",""
"血液製劑類","世信生物科技股份有限公司","＂國血製劑益康＂高純度第九凝血因子注射劑","3250920206","04 27 2014 12:00AM","500 IU/瓶/盒","500 IU/瓶/盒 × 1,146盒","1146","01 29 2013 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","嘉喜〔四價人類乳突病毒(第6,11,16,18型)基因重組疫苗〕","HO11393, 0333AE","02 13 2015 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 1,900盒","1900","07 31 2012 12:00AM","封條損毀共1張編號AG526562，補發編號AG612799"
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","紐蒙肺多價性肺炎鏈球菌疫苗","T1691, 0180AE/0673519","01 14 2014 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 482盒","4820","08 9 2012 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗)","A20CA814A. A20LA814A/A20FA814A","04 30 2014 12:00AM","1劑/盒","1劑/盒 × 14,760盒","14760","08 29 2012 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗)","A20CA813A, A20LA813A/A20FA813A","04 30 2014 12:00AM","1劑/盒","1劑/盒 × 75,240盒","75240","09 3 2012 12:00AM","AH012890,AH013486,AH040180-AH040209，共32張損毀。"
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","羅特律輪狀病毒疫苗口服懸液劑","AROLA528DA, AROLA528D","08 31 2014 12:00AM","1劑/1.5 mL/支/盒","1劑/1.5 mL/支/盒 × 4,460盒","4460","08 14 2012 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","保蓓人類乳突病毒第16/18型疫苗","AHPVA155AP, AHPVA155A","02 28 2015 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 27,020盒","27020","08 3 2012 12:00AM","AG594882與AG587356共兩張封條毀損，分別更改為AG688144與AG688145。"
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎鏈球菌十三價結合型疫苗","F63651, F91514","01 31 2015 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 65,529盒","65529","08 23 2012 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂貝靈＂第八凝血因子注射劑","A8466911E","01 31 2015 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒 × 1,952盒","1952","08 14 2012 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗)","A20CA813A, A20LA813A/A20FA813A","04 30 2014 12:00AM","1劑/盒","1劑/盒 × 43,560劑","43560","09 11 2012 12:00AM","小封條AH152153、AH133749、AH120686及AH117919破損，補發AG972627～AG972630，共4張"
"血液製劑類","天行貿易股份有限公司","白蛋白注射劑20%","26NL3X1","05 7 2015 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 21,977盒","21977","08 17 2012 12:00AM",""
"其他生物藥品類","台灣愛力根藥品股份有限公司","＂愛力根＂保妥適乾粉注射劑","C3045 C3","01 1 2015 12:00AM","100 units/瓶/盒","100 units/瓶/盒 × 5,102盒","5102","07 27 2012 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂25%人體正常血清白蛋白注射劑","LA12D038AB","03 26 2014 12:00AM","50 mL/瓶","50 mL/瓶 × 15,242瓶","15242","08 10 2012 12:00AM",""
"血液製劑類","泛泰醫療產品有限公司","＂百特＂25%人體正常血清白蛋白注射劑","LA12E036AA","03 26 2014 12:00AM","50 mL/瓶","50 mL/瓶 × 1,750瓶","1750","08 10 2012 12:00AM","AG686995共1張破損,補AG811111共1張"
"血液製劑類","泛泰醫療產品有限公司","＂百特＂威保500U抗抑制子凝血複合物","VNF2M009","01 31 2014 12:00AM","500 U/瓶/盒","500 U/瓶/盒 × 632盒","632","07 26 2012 12:00AM",""
"血液製劑類","吉發企業股份有限公司","＂愛默＂人體血清白蛋白25%注射液","P997002","02 15 2015 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 16,812盒","16812","08 1 2012 12:00AM","因廠商封緘作業毀損AG643567,AG633891,AG640198,AG641388,AG648345及AG648879，補發AG811110及AG811112~AG811116共6張"
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗)","A20CA815A, A20LA815A/A20FA815A","05 31 2014 12:00AM","1劑/盒","1劑/盒 × 58,100盒","58100","09 18 2012 12:00AM","1張小封條AH195570破損，重新領取1張小封條AH261229。"
"血液製劑類","泛泰醫療產品有限公司","＂百特＂威保500U抗抑制子凝血複合物","VNF2M009","01 31 2014 12:00AM","500 U/瓶/盒","500 U/瓶/盒 × 3,436盒","3436","08 10 2012 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","新赫寶克","AHAVB581FB, AHAVB581F","07 31 2014 12:00AM","1劑/0.5 mL/瓶/盒","1劑/0.5 mL/瓶/盒 × 6,120盒","6120","08 17 2012 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","＂巴斯德＂五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗）","C4085AA, C4085A","07 31 2014 12:00AM","1劑/0.5 mL/瓶 × 10瓶/盒","1劑/0.5 mL/瓶 × 10瓶/盒 × 6,668盒","66680","09 21 2012 12:00AM","AG986884毀損,補發AG999973"
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","新赫寶克","AHAVB571BD, AHAVB571B","05 31 2014 12:00AM","1劑/1 mL/瓶/盒","1劑/1 mL/瓶/盒 × 2,758盒","2758","08 24 2012 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","白喉破傷風非細胞性百日咳、b型嗜血桿菌與不活化小兒麻痺混合疫苗(Pentaxim)","J2102-1, H0534/H8381","09 30 2014 12:00AM","1劑/盒","1劑/盒 × 24,776盒","24776","08 17 2012 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","白喉破傷風非細胞性百日咳、b型嗜血桿菌與不活化小兒麻痺混合疫苗(Pentaxim)","J2099-1, H0439/H8380","08 31 2014 12:00AM","1劑/盒","1劑/盒 × 74,864盒","74864","08 17 2012 12:00AM",""
"血液製劑類","天行貿易股份有限公司","B型肝炎免疫人血球蛋白注射液","26NJRT1","01 17 2014 12:00AM","5 mL/瓶/盒","5 mL/瓶/盒 × 2,032盒","2032","08 14 2012 12:00AM","AG693216破損,補發AG845784"
"其他生物藥品類","台灣愛力根藥品股份有限公司","＂愛力根＂保妥適乾粉注射劑","C3055 C2F","01 31 2015 12:00AM","50 units/瓶/盒","50 units/瓶/盒 × 2,576盒","2576","08 3 2012 12:00AM",""
"血液製劑類","天行貿易股份有限公司","B型肝炎免疫人血球蛋白注射液","26NJRV1","01 17 2014 12:00AM","5 mL/瓶/盒","5 mL/瓶/盒 × 444盒","444","08 14 2012 12:00AM",""
"血液製劑類","台灣綠十字股份有限公司","艾爾補定注射液25%","B1NE28P001","04 21 2015 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 9,713盒","9713","08 15 2012 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","雙伏威肺炎鏈球菌十價接合型疫苗","ASPNA206BD, ASPNA206B","09 30 2014 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 9,350盒","9350","10 25 2012 12:00AM","封條號碼AH699205、AH704844及AH705243三張壞損，補發封條3張"
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","羅特律輪狀病毒疫苗口服懸液劑","AROLA501AB, AROLA501A","05 31 2014 12:00AM","1劑/1.5 mL/支/盒","1劑/1.5 mL/支/盒 × 31,540盒","31540","09 6 2012 12:00AM",""
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎鏈球菌十三價結合型疫苗","G21074, F89910","12 31 2014 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 49,544盒","49544","10 2 2012 12:00AM",""
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎鏈球菌十三價結合型疫苗","G21074, F89910","12 31 2014 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 87,925盒","87925","10 8 2012 12:00AM",""
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎鏈球菌十三價結合型疫苗","G21074, F89910","12 31 2014 12:00AM","1劑/0.5 mL/支/盒","1劑/0.5 mL/支/盒 × 87,925盒","87925","10 8 2012 12:00AM",""
"疫苗及類毒素類","賽諾菲安萬特股份有限公司","黃熱病疫苗","H5225-1, H5225","05 31 2014 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 3,000盒","3000","08 24 2012 12:00AM",""
"血液製劑類","天行貿易股份有限公司","白蛋白注射劑","26NL6N1","06 8 2015 12:00AM","50 mL/瓶/盒","50 mL/瓶/盒 × 12,312盒","12312","08 31 2012 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","新赫寶克","AHAVB613BG, AHAVB613B","09 30 2014 12:00AM","1劑/1 mL/瓶/盒","1劑/1 mL/瓶/盒 × 5,178盒","5178","09 10 2012 12:00AM","因廠商封緘作業毀損AG969114小封條1張,故補發AH153314,共1張"
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","安在時B型肝炎疫苗","AHBVC195AA,AHBVC195A","01 31 2015 12:00AM","1劑/1 mL/瓶 × 25瓶/盒","1劑/1 mL/瓶 × 25瓶/盒 × 2,107盒 ; 8瓶/盒 × 1盒","52683","09 12 2012 12:00AM",""
