主類別,次類別,名稱,附檔說明
"農藥","殺草劑","除草靈(Propanil)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76468-31 除草靈.doc"
"農藥","殺草劑","殺丹（Thiobencarb）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76469-32 殺丹.doc"
"農藥","殺菌劑","嘉賜米松(Phosdiphen)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76472-01 嘉賜米松.doc"
"農藥","殺菌劑","三泰隆(Triadimenol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76473-02 三泰隆.doc"
"農藥","殺菌劑","布瑞莫（Bupirimate）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76475-03 布瑞莫.doc"
"農藥","殺菌劑","四氯丹（Captafol）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76476-04 四氯丹.doc"
"農藥","殺草劑","達有龍(Diuron)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76462-更新74.達有龍(Diuron)民眾版.doc"
"農藥","殺草劑","甲基合氯氟(Haloxyfop-methyl)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76463-26 甲基合氯氟.doc"
"農藥","殺草劑","莫多草（Metolachlor）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76464-27 莫多草.doc"
"農藥","殺草劑","樂滅草（Oxadiazon）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76465-28 樂滅草.doc"
"農藥","殺草劑","復祿芬（Oxyfluorfen）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76466-更新88.復祿芬（Oxyfluorfen）民眾版.doc"
"農藥","殺草劑","施得圃 (Pendimethalin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76467-30 施得圃.doc"
"農藥","殺草劑","可滅蹤（Clomazone）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76454-17 可滅蹤.doc"
"農藥","殺草劑","環殺草（Cycloxydim）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76455-18 環殺草.doc"
"農藥","殺草劑","得拉本（Dalapon）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76458-21 得拉本.doc"
"農藥","殺草劑","汰草滅 (Dimethenamid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76459-22 汰草滅.doc"
"農藥","殺草劑","達乃安(dinitramine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76460-23 達乃安.doc"
"農藥","殺草劑","大芬滅(diphenamid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76461-24 大芬滅.doc"
"農藥","殺草劑","拉草(Alachlor)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76447-10 拉草.doc"
"農藥","殺草劑","亞汰草（Alloxydim sodium）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76448-11 亞汰草.doc"
"農藥","殺草劑","草殺淨（Ametryn）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76449-12 草殺淨.doc"
"農藥","殺草劑","倍尼芬(Benfluralin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76450-13 倍尼芬.doc"
"農藥","殺草劑","克草（Bromacil）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76451-14 克草.doc"
"農藥","殺草劑","西速隆（Cinosulfuron）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76453-16 西速隆.doc"
"農藥","殺草劑","汰草龍（Dymron）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76440-03 汰草龍.doc"
"農藥","殺草劑","芬殺草（Fenoxaprop-ethyl）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76441-04 芬殺草-修.doc"
"農藥","殺草劑","愛速隆（Isouron）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76442-05 愛速隆.doc"
"農藥","殺草劑","撲多草（Metobromuron）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76443-06 撲多草.doc"
"農藥","殺草劑","甲基砷酸鈉（MSMA）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76444-07 甲基砷酸鈉.doc"
"農藥","殺草劑","亞喜芬 (Acifluorfen)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76446-09 亞喜芬.doc"
"農藥","殺菌劑","派美尼（Pyrimethanil）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76395-更新97.派美尼（Pyrimethanil）民眾版.doc"
"農藥","殺菌劑","快諾芬（Quinoxyfen）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76396-04 快諾芬.doc"
"農藥","殺蟲劑","矽護芬(Silafluofen)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76397-01 矽護芬.doc"
"農藥","殺蟲劑","硫賜胺 (thiocyclam)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76399-03 硫 賜胺.doc"
"農藥","殺草劑","普拉草 (Pretilachlor)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76438-01 普拉草.doc"
"農藥","殺草劑","三福林 (Trifluralin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76439-02 三福林.doc"
"農藥","殺草劑","西殺草 (sethoxydim)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76387-02 西殺草.doc"
"農藥","殺草劑","快伏草 (quizalofop-ethyl )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76388-03 快伏草.doc"
"農藥","殺草劑","快克草(Quinclorac)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76389-更新98.快克草(Quinclorac)民眾版.doc"
"農藥","除草劑","欣克草（Thenylchlor）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76390-05 欣克草.doc"
"農藥","殺菌劑","甲基益發靈 (tolylfluanid )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76393-01 甲基益發靈.doc"
"農藥","殺菌劑","百克敏 (pyraclostrobin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76394-更新95.百克敏 ( Pyraclostrobin )民眾版.doc"
"農藥","殺蟲劑","滅賜松（Demeton-S-methyl）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76371-21 滅賜松.doc"
"農藥","殺菌劑","滅紋（MALS）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76374-24 滅紋.doc"
"農藥","殺蟎劑","螨離丹(Chinomethionat)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76377-03 蟎離丹.doc"
"農藥","生長調節劑","勃激素A3（Gibberellic acid）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76378-01 勃激素A3.doc"
"農藥","生長調節劑","穫萎得（Dimethipin）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76379-02 穫萎得.doc"
"農藥","殺草劑","百速隆 ( pyrazosulfuron-ethyl )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76386-百速隆-民眾版.doc"
"農藥","殺蟲劑","乙基溴磷松(Ethyl bromophos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76365-15 乙基溴磷松.doc"
"農藥","殺蟲劑","加保利（Carbaryl）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76366-16 加保利.doc"
"農藥","殺蟲劑","加保扶（Carbofuran）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76367-17 加保扶.doc"
"農藥","殺蟲劑","加芬松(Carbophenothion)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76368-18 加芬松.doc"
"農藥","殺蟲劑","可氯丹(Chlordane)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76369-19 可氯丹.doc"
"農藥","殺蟲劑","克福隆(Chlorfluazuron)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76370-20 克福隆.doc"
"農藥","殺蟲劑","得滅克(Aldicarb)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76358-08 得滅克.doc"
"農藥","殺蟲劑","亞滅寧(Alphacypermethrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76359-09 亞滅寧.doc"
"農藥","殺蟲劑","谷速松(Azinphos-methyl)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76360-10 谷速松.doc"
"農藥","殺蟲劑","免敵克(Bendiocarb)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76361-11 免敵克.doc"
"農藥","殺蟲劑","蟲必死(BHC)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76362-12 蟲必死.doc"
"農藥","殺蟲劑","溴磷松(Bromophos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76364-14 溴磷松.doc"
"農藥","殺蟲劑","裕必松(Phosalone)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76351-02 裕必松.doc"
"農藥","殺蟲劑","三落松(Triazophos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76353-80.三落松(Triazophos)專業版.doc"
"農藥","殺蟲劑","三氯松(Trichlorfon)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76354-04 三氯松.doc"
"農藥","殺蟲劑","繁米松 (Vamidothion)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76355-05 繁米松.doc"
"農藥","殺蟲劑","佈嘉信（Butocarboxim）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76356-06 怖嘉信.doc"
"農藥","殺草劑","必芬諾(Bifenox)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76357-07 必芬諾.doc"
"農藥","殺菌劑","依普座（Epoxiconazole）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76344-20 依普座.doc"
"農藥","殺菌劑","芬瑞莫(Fenarimol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76345-更新75.芬瑞莫(Fenarimol)專業版.doc"
"農藥","殺菌劑","邁克尼（Myclobutanil）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76346-22 邁克尼.doc"
"農藥","殺菌劑","尼瑞莫（Nuarimol）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76347-23 尼瑞莫.doc"
"農藥","殺菌劑","平克座 (Penconazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76348-24 平克座.doc"
"農藥","殺蟲劑","福瑞松 (Phorate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76350-01 福瑞松.doc"
"農藥","殺菌劑","比多農 (Bitertanol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76334-12 比多農.doc"
"農藥","殺菌劑","溴克座(Bromuconazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76338-14 溴克座.doc"
"農藥","殺菌劑","克絕（Cymoxanil）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76340-16 克絕.doc"
"農藥","殺菌劑","大克爛(Dicloran)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76341-17 大克爛.doc"
"農藥","殺菌劑","普得松(ditalimfos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76342-18 普得松.doc"
"農藥","殺菌劑","護粒松(Edifenphos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76343-19 護粒松.doc"
"農藥","殺菌劑","布瑞莫（Bupirimate）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76325-03 布瑞莫.doc"
"農藥","殺菌劑","四氯丹（Captafol）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76326-04 四氯丹.doc"
"農藥","殺菌劑","撲克拉（Prochloraz）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76328-06 撲克拉.doc"
"農藥","殺菌劑","福賽得（Fosetyl-Al）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76330-08 福賽得.doc"
"農藥","殺菌劑","熱必斯（Fthalide）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76331-09 熱必斯.doc"
"農藥","殺蟲劑","貝他賽扶寧(Beta-cyfluthrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76333-11 貝他賽扶寧.doc"
"農藥","殺草劑","樂滅草（Oxadiazon）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76317-28 樂滅草.doc"
"農藥","殺草劑","施得圃 (Pendimethalin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76319-30 施得圃.doc"
"農藥","殺草劑","除草靈(Propanil)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76320-31 除草靈.doc"
"農藥","殺草劑","殺丹（Thiobencarb）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76321-32 殺丹.doc"
"農藥","殺菌劑","嘉賜米松(Phosdiphen)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76323-01 嘉賜米松.doc"
"農藥","殺菌劑","三泰隆(Triadimenol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76324-02 三泰隆.doc"
"農藥","殺草劑","得拉本（Dalapon）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76309-21 得拉本.doc"
"農藥","殺草劑","汰草滅 (Dimethenamid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76310-22 汰草滅.doc"
"農藥","殺草劑","達乃安(dinitramine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76311-23 達乃安.doc"
"農藥","殺草劑","大芬滅(diphenamid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76312-24 大芬滅.doc"
"農藥","殺草劑","甲基合氯氟(Haloxyfop-methyl)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76314-26 甲基合氯氟.doc"
"農藥","殺草劑","莫多草（Metolachlor）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76316-27 莫多草.doc"
"農藥","殺草劑","倍尼芬(Benfluralin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76301-13 倍尼芬.doc"
"農藥","殺草劑","克草（Bromacil）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76302-14 克草.doc"
"農藥","殺草劑","西速隆（Cinosulfuron）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76304-16 西速隆.doc"
"農藥","殺草劑","可滅蹤（Clomazone）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76305-17 可滅蹤.doc"
"農藥","殺草劑","環殺草（Cycloxydim）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76306-18 環殺草.doc"
"農藥","殺草劑","丁基賽伏草（Cyhalofop-buty）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76307-19 丁基賽伏草.doc"
"農藥","殺草劑","撲多草（Metobromuron）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76292-06 撲多草.doc"
"農藥","殺草劑","甲基砷酸鈉（MSMA）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76293-07 甲基砷酸鈉.doc"
"農藥","殺草劑","亞喜芬 (Acifluorfen)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76295-09 亞喜芬.doc"
"農藥","殺草劑","拉草(Alachlor)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76296-10 拉草.doc"
"農藥","殺草劑","亞汰草（Alloxydim sodium）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76297-11 亞汰草.doc"
"農藥","殺草劑","草殺淨（Ametryn）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76298-12 草殺淨.doc"
"農藥","殺蟲劑","硫賜胺 (thiocyclam)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76242-03 硫賜胺.doc"
"農藥","殺草劑","普拉草 (Pretilachlor)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76287-01 普拉草.doc"
"農藥","殺草劑","三福林 (Trifluralin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76288-02 三福林.doc"
"農藥","殺草劑","汰草龍（Dymron）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76289-03 汰草龍.doc"
"農藥","殺草劑","芬殺草（Fenoxaprop-ethyl）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76290-04 芬殺草.doc"
"農藥","殺草劑","愛速隆（Isouron）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76291-05 愛速隆.doc"
"農藥","殺草劑","西殺草 (sethoxydim)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76230-02 西殺草.doc"
"農藥","殺草劑","快伏草 (quizalofop-ethyl )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76231-03 快伏草.doc"
"農藥","除草劑","欣克草（Thenylchlor）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76233-05 欣克草.doc"
"農藥","殺菌劑","甲基益發靈 (tolylfluanid )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76236-01 甲基益發靈.doc"
"農藥","殺菌劑","快諾芬（Quinoxyfen）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76239-04 快諾芬.doc"
"農藥","殺蟲劑","矽護芬(Silafluofen)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76240-01 矽護芬.doc"
"農藥","殺蟲劑","合芬寧( Halfenprox )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76015-87.合芬寧(Halfenprox)民眾版.doc"
"農藥","殺蟲劑","六伏隆( Hexaflumuron )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76016-83.六伏隆 ( Hexaflumuron )民眾版.doc"
"農藥","殺蟲劑","依殺松(Isazofos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76018-92.依殺松(Isazofos)民眾版.doc"
"農藥","殺蟎劑","克芬蟎( Clofentezine )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76035-69.克芬蟎 ( Clofentezine )民眾版.doc"
"農藥","燻蒸劑","斯美地 ( Metham-sodium )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76036-斯美地民眾版.doc"
"農藥","殺草劑","百速隆 ( Pyrazosulfuron-ethyl )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76229-pyrazosulfuron-ethyl 百速隆 專業版修.doc"
"農藥","殺蟲劑","繁福松(Fensulfothion)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76008-繁福松民眾.doc"
"農藥","殺蟲劑","芬普尼代謝物(以Fipronil-desulfinyl為代表)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76010-94.芬普尼代謝物(以Fipronil-desulfinyl為代表)民眾版.doc"
"農藥","殺蟲劑","芬普尼(Fipronil)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76011-93.芬普尼(Fipronil)民眾版.doc"
"農藥","殺蟲劑","福化利(Fluvalinate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76012-福化利民眾.doc"
"農藥","殺蟲劑","大福松( Fonofos )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76013-81.大福松(Fonofos)民眾版.doc"
"農藥","殺蟲劑","福木松 (Formothion)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76014-Formothion 福木松 民眾版 update 980423.doc"
"農藥","殺蟲劑","甲基陶斯松(Chlorpyriphos-methyl)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76000-86.甲基陶斯松（Chlorpyrifos-methyl）民眾版.doc"
"農藥","殺蟲劑","施力松(Cyanophenphos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76001-96.施力松(Cyanophenphos)民眾版.doc"
"農藥","殺蟲劑","賽滅寧(Cypermethrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76004-更新69.賽滅寧(Cypermethrin)民眾版.doc"
"農藥","殺蟲劑","第滅寧(Deltamethrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76005-99.第滅寧(Deltamethrin)民眾版.doc"
"農藥","殺蟲劑","二氯松(Dichlorvos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76006-79.二氯松(Dichlorvos)民眾版.doc"
"農藥","殺蟲劑","丁基滅必蝨(fenobucarb)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/76007-78.丁基滅必蝨(fenobucarb)民眾版.doc"
"農藥","殺蟲劑","滅爾蝨( Xylylcarb；MPMC )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75993-82.滅爾蝨 ( Xylylcarb；MPMC )民眾版.doc"
"農藥","殺蟲劑","祿芬隆 ( Lufenuron )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75994-祿芬隆.doc"
"農藥","殺蟲劑","阿特靈(Aldrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75995-95.阿特靈(Aldrin)民眾版.doc"
"農藥","殺蟲劑","因得克( Indoxacarb )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75996-88.因得克(Indoxacarb)民眾版.doc"
"農藥","殺蟲劑","祿芬隆 ( Lufenuron )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75997-祿芬隆民眾版.doc"
"農藥","殺菌劑","加普胺( Carpropamid )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75998-38.加普胺( Carpropamid )民眾版.doc"
"農藥","殺菌劑","克收欣（Kresoxim-methyl）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75985-更新84.克收欣（Kresoxim-methyl）民眾版.doc"
"農藥","殺菌劑","滅普寧(mepronil)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75986-60.滅普寧(mepronil)民眾版.doc"
"農藥","殺菌劑","賓克隆(Pencycuron)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75987-66.賓克隆(Pencycuron)民眾版.doc"
"農藥","殺菌劑","殺紋寧(Hymexazol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75989-58.殺紋寧(Hymexazol)民眾版.doc"
"農藥","殺菌劑","嘉賜黴素(Kasugamycin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75991-62.嘉賜黴素(Kasugamycin)民眾版.doc"
"農藥","殺菌劑","鐵甲砷酸銨(MAFA)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75992-67.鐵甲砷酸銨(MAFA)民眾版.doc"
"農藥","殺菌劑","福多寧(Flutolanil)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75979-63.福多寧(Flutolanil)民眾版P.doc"
"農藥","殺菌劑","護汰芬(Flutriafol)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75980-更新81.護汰芬(Flutriafol)民眾版.doc"
"農藥","殺菌劑","菲克利(Hexaconazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75981-59.菲克利(Hexaconazole)民眾版.doc"
"農藥","殺菌劑","易胺座(Imibenconazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75982-57.易胺座(Imibenconazole)民眾版.doc"
"農藥","殺菌劑","丙基喜樂松(Iprobenfos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75983-37.丙基喜樂松(Iprobenfos)民眾版.doc"
"農藥","殺菌劑","依普同(Iprodione)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75984-56.依普同(Iprodione)民眾版.doc"
"農藥","殺草劑","免速隆(Bensulfuron-methyl)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75973-41.免速隆(Bensulfuron-methyl)民眾版.doc"
"農藥","殺菌劑","佈生(Benthiazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75974-52.佈生(Benthiazole)民眾版.doc"
"農藥","殺菌劑","蓋普丹（Captan）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75975-65.蓋普丹（Captan）民眾版.doc"
"農藥","殺菌劑","四氯異苯腈(Chlorothalonil)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75976-51.四氯異苯腈(Chlorothalonil)民眾版.doc"
"農藥","殺菌劑","克氯得(Chlozolinate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75977-53.克氯得(Chlozolinate)民眾版.doc"
"農藥","殺菌劑","護矽得(flusilazole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75978-更新80.護矽得(flusilazole)民眾版.doc"
"農藥","殺草劑","滅必淨 ( Metribuzin )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75965-50.滅必淨 ( Metribuzin )民眾版.doc"
"農藥","殺草劑","巴拉松(Parathion)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75966-77.巴拉松(Parathion)民眾版.doc"
"農藥","殺草劑","菲殺淨(Hexazinone)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75967-49.菲殺淨(Hexazinone)民眾版.doc"
"農藥","殺草劑","依滅草 (Imazapyr)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75969-43.依滅草 (Imazapyr)民眾版.doc"
"農藥","除草劑","環磺隆 (Cyclosulfamuron)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75970-47.環磺隆 (Cyclosulfamuron)民眾版.doc"
"農藥","殺草劑","巴拉刈(Paraquat)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75971-35.巴拉刈(Paraquat)民眾版.doc"
"農藥","殺草劑","亞速爛(Asulam)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75959-42.亞速爛(Asulam)民眾版.doc"
"農藥","殺草劑","草脫淨(Atrazine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75960-45.草脫淨(Atrazine)民眾版.doc"
"農藥","殺草劑","草芬定(Azafenidin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75961-44.草芬定(Azafenidin)民眾版.doc"
"農藥","殺草劑","本達隆(Bentazone)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75962-39.本達隆(Bentazone)民眾版.doc"
"農藥","殺草劑","比達寧（Butralin）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75963-36.比達寧（Butralin）民眾版.doc"
"農藥","殺草劑","滅芬草（Mefenacet）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75964-46.滅芬草（Mefenacet）民眾版.doc"
"農藥","殺蟲劑","依殺松(Isazofos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75764-92.依殺松(Isazofos)專業版.doc"
"農藥","殺蟎劑","克氯蟎(Chloropropylate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75772-70.克氯蟎 (Chloropropylate)專業版.doc"
"農藥","殺蟎劑","克芬蟎( Clofentezine )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75773-69.克芬蟎 ( Clofentezine )專業版.doc"
"農藥","燻蒸劑","斯美地 ( Metham-sodium )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75775-斯美地.doc"
"農藥","生長調節劑","抑芽素 (Maleic hydrazide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75956-抑芽素民眾版.doc"
"農藥","生長調節劑","根生長素 (NAA)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75957-根生長素 (NAA)-民眾版修.doc"
"農藥","殺蟲劑","芬普尼(Fipronil)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75753-93.芬普尼(Fipronil)專業版.doc"
"農藥","殺蟲劑","福化利(Fluvalinate)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75754-福化利980427.doc"
"農藥","殺蟲劑","大福松( Fonofos )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75755-81.大福松(Fonofos)專業版.doc"
"農藥","殺蟲劑","福木松 (Formothion)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75756-Formothion 福木松 update 980423.doc"
"農藥","殺蟲劑","合芬寧( Halfenprox )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75757-87.合芬寧(Halfenprox)專業版.doc"
"農藥","殺蟲劑","六伏隆( Hexaflumuron )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75758-83.六伏隆 ( Hexaflumuron )專業版.doc"
"農藥","殺蟲劑","施力松(Cyanophenphos)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75742-96.施力松(Cyanophenphos)專業版.doc"
"農藥","殺蟲劑","第滅寧(Deltamethrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/75747-99.第滅寧(Deltamethrin)專業版.doc"
