類別,中文品名,英文品名,使用食品範圍及限量,使用限制,規格,類別說明
"(八) 營養添加劑","氧化鋅","Zinc Oxide","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鋅之總含量不得高於30 mg。2.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其鋅之總含量不得高於22.5mg；未標示每日食用量者，每300g食品中鋅之總含量不得高於22.5mg。 3.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其鋅之總含量不得高於7.5mg；未標示每日食用量者，每300g食品中鋅之總含量不得高於7.5mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","硬脂酸鋅","Znic Stearate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鋅之總含量不得高於30 mg。2.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其鋅之總含量不得高於22.5mg；未標示每日食用量者，每300g食品中鋅之總含量不得高於22.5mg。 3.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其鋅之總含量不得高於7.5mg；未標示每日食用量者，每300g食品中鋅之總含量不得高於7.5mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","硫酸銅","Copper Sulfate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。2.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其銅之總含量不得高於2.5mg ；未標示每日食用量者，每300g食品中銅之總含量不得高於2.5mg 。 3.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其銅之總含量不得高於1.0mg；未標示每日食用量者，每300g食品中銅之總含量不得高於1.0mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","葡萄糖酸銅","Copper Gluconate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其銅之總含量不得高於8 mg。2.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其銅之總含量不得高於2.5mg ；未標示每日食用量者，每300g食品中銅之總含量不得高於2.5mg 。 3.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其銅之總含量不得高於1.0mg；未標示每日食用量者，每300g食品中銅之總含量不得高於1.0mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","維生素K1","Phylloquinone （Vitamin K1）","本品可於各類食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","維生素K2","Menaquinone （Vitamin K2）","本品可於各類食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","磷酸鐵","Ferric Phosphate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鐵之總含量不得高於45 mg。2.一般食品，在每日食用量或每300g食品(未標示每日食用量者)中，其鐵之總含量不得高於22.5mg。3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其鐵之總含量不得高於15mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","葡萄糖酸亞鐵","Ferrous Gluconate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鐵之總含量不得高於45 mg。2.一般食品，在每日食用量或每300g食品(未標示每日食用量者)中，其鐵之總含量不得高於22.5mg。3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其鐵之總含量不得高於15mg。","限於補充食品中不足之營養素時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/241\08078葡萄糖酸亞鐵Ferrous Gluconate.doc","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","丁烯二酸亞鐵","Ferrous Fumarate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其鐵之總含量不得高於45 mg。2.一般食品，在每日食用量或每300g食品(未標示每日食用量者)中，其鐵之總含量不得高於22.5mg。3.嬰兒(輔助)食品，在每日食用量或每300g食品(未標示每日食用量者)中，其鐵之總含量不得高於15mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","氧化鎂","Magnesium Oxide","1.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其鎂之總含量不得高於600mg ；未標示每日食用量者，每300g食品中鎂之總含量不得高於600mg 。2.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其鎂之總含量不得高於105mg ；未標示每日食用量者，每300g 食品中鎂之總含量不得高於105mg 。","限於補充食品中不足之營養素時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/243\08080氧化鎂Magnesium Oxide.doc","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","磷酸鎂","Magnesium Phosphate，Dibasic or Tribasic","1.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其鎂之總含量不得高於600mg ；未標示每日食用量者，每300g食品中鎂之總含量不得高於600mg 。 2.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其鎂之總含量不得高於105mg ；未標示每日食用量者，每300g食品中鎂之總含量不得高於105mg 。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","L-肉酸","L-Carnitine","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其L-Carnitine之總含量不得高於2 g。2.本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","氯化錳","Manganese Chloride","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其錳之總含量不得高於9 mg。2.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於5.0mg ；未標示每日食用量者，每300g食品中錳之總含量不得高於5.0mg 。3.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於1.0mg ；未標示每日食用量者，每300g 食品中錳之總含量不得高於1.0mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","檸檬酸錳","Manganese Citrate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其錳之總含量不得高於9 mg。2.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於5.0mg ；未標示每日食用量者，每300g食品中錳之總含量不得高於5.0mg 。3.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於1.0mg ；未標示每日食用量者，每300g 食品中錳之總含量不得高於1.0mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","葡萄糖酸錳","Manganese Gluconate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其錳之總含量不得高於9 mg。2.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於5.0mg ；未標示每日食用量者，每300g食品中錳之總含量不得高於5.0mg 。3.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於1.0mg ；未標示每日食用量者，每300g 食品中錳之總含量不得高於1.0mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","甘油磷酸錳","Manganese Glycerophosphate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其錳之總含量不得高於9 mg。2.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於5.0mg ；未標示每日食用量者，每300g食品中錳之總含量不得高於5.0mg 。3.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於1.0mg ；未標示每日食用量者，每300g 食品中錳之總含量不得高於1.0mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","硫酸錳","Manganese Sulfate","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其錳之總含量不得高於9 mg。2.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於5.0mg ；未標示每日食用量者，每300g食品中錳之總含量不得高於5.0mg 。3.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於1.0mg ；未標示每日食用量者，每300g 食品中錳之總含量不得高於1.0mg。","限於補充食品中不足之營養素時使用","https://consumer.fda.gov.tw/Files/FoodAdditives/250\08087硫酸錳Manganese Sulfate.doc","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","氧化亞錳","Manganous Oxide","1.形態屬膠囊狀、錠狀且標示有每日食用限量之食品，在每日食用量中，其錳之總含量不得高於9 mg。2.本品可使用於一般食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於5.0mg ；未標示每日食用量者，每300g食品中錳之總含量不得高於5.0mg 。3.本品可使用於嬰兒（輔助）食品中以補充不足之營養素。在每日食用量中，其錳之總含量不得高於1.0mg ；未標示每日食用量者，每300g 食品中錳之總含量不得高於1.0mg。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","牛磺酸","Taurine","本品可於各類食品中視實際需要適量使用。","限於補充食品中不足該營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","L-精胺酸","L-Arginine","本品可於各類食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","L-醋酸精胺酸","L-Arginine Acetate","本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","L-天冬胺酸","L-Aspartic Acid","本品可於各類食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","DL-天門冬酸","DL-Aspartic Acid","本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","麩醯胺酸","L-Glutamine","本品可於各類食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","L-白胺酸","L-Leucine","本品可於各類食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
"(八) 營養添加劑","DL-白胺酸","DL-Leucine","本品可於特殊營養食品中視實際需要適量使用。","限於補充食品中不足之營養素時使用。","","1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。"
