許可證字號,中文品名,英文品名,有效日期,申請商名稱,發證日期,申請商電話,劑型,用途,簽審文件,製造廠國別,成分,申請商地址,包裝量及單位
"衛署添輸字 007592","磷酸氫鈣","CALCIUM PHOSPHATE, DIBASIC (DICALCIUM PHOSPHATE DIHYDRATE)","2021-04-19","富藏貿易有限公司","2006-04-19","03-4753035","粉劑","營養添加劑;;品質改良用、釀造用及食品製造用劑","DHB0C007592007","中國大陸","CALCIUM PHOSPHATE, DIBASIC","","25.00000公斤"
"衛署添輸字 009947","重酒石酸膽鹼","CHOLINE BITARTRATE","2018-02-25","恒海貿易股份有限公司","2013-02-25","07-7130235","結晶性粉末","營養添加劑","DHB0C009947008","中國大陸","CHOLINE BITARTRATE","","25.00000公斤"
"衛署添輸字 003411","氯化鉀　　　　　　　　　　　　　　　　　　　　　　　","POTASSIUM CHLORIDE (POTASSIUM CHLORIDE SUITABLE FOR USE AS EXCIPIENT EMPROVE EXP PH EUR, BP, USP, FCC, E 508)","2021-12-21","台灣默克股份有限公司","1990-04-01","02-5219331","粉劑","營養添加劑;;調味劑","DHB0C003411008","德國","POTASSIUM CHLORIDE","",""
"衛署添輸字 003413","磷酸氫二鉀","POTASSIUM PHOSPHATE,DIBASIC(DI-POTASSIUM HYDROGEN PHOSPHATE ANHYDROUS,SUITABLE F","2021-06-21","台灣默克股份有限公司","1990-04-01","02-5219331","結晶性粉末","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0C003413001","德國","POTASSIUM PHOSPHATE, DIBASIC","","1.00000公斤;5.00000公斤;25.00000公斤"
"衛部添輸字 011838","氟化鈉","SODIUM FLUORIDE (SODIUM FLUORIDE SUITABLE FOR USE AS AN ACTIVE PHARMACEUTICAL INGREDIENT EMPROVE® API PH EUR, BP, USP)","2021-09-12","台灣默克股份有限公司","2016-09-12","02-5219331","粉劑","營養添加劑","DHB0M011838002","德國","SODIUM FLUORIDE","","25.00000公斤;1.00000公斤"
"衛部添輸字 010249","氰鈷胺明(維生素B12)","CYANOCOBALAMIN (VITAMIN B12)","2018-09-12","恒海貿易股份有限公司","2013-09-12","07-7130235","結晶性粉末","營養添加劑","DHB0M010249009","中國大陸","CYANOCOBALAMIN(VITAMIN B12)","","50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤"
"衛部添輸字 011486","L-薄荷腦","L-MENTHOL (NATURAL MENTHOL CRYSTALS)","2020-11-12","恒海貿易股份有限公司","2015-11-12","07-7130235","結晶","香料","DHB0M011486006","中國大陸","L-MENTHOL","","25.00000公斤"
"衛部添輸字 011427","聚糊精","POLYDEXTROSE","2020-10-15","承豪國際貿易有限公司","2015-10-15","04-24616789","粉劑","品質改良用、釀造用及食品製造用劑;;粘稠劑","DHB0M011427001","中國大陸","POLYDEXTROSE","","25.00000公斤"
"衛部添輸字 012289","甜菊醣苷","STEVIOL GLYCOSIDE (STEVIA)","2022-09-13","大江生醫股份有限公司","2017-09-13","02-87977811","粉劑","甜味劑","DHB0M012289001","中國大陸","STEVIOL GLYCOSIDE","","20.00000公斤"
"衛部添輸字 011251","複方澱粉酵素","BIOZYME AEC","2020-06-06","尹太有限公司","2015-06-06","02-5221005","液劑","酵素製劑","DHB0M011251008","中國大陸","ALPHA-AMYLASE;;D-SORBITOL;;SODIUM CHLORIDE;;SODIUM BENZOATE;;POTASSIUM SORBATE","","25.00000公斤"
"衛署添輸字 006895","己二烯酸鉀","POTASSIUM SORBATE","2022-10-14","振芳股份有限公司","2002-10-14","02-23415137","結晶性粉末","防腐劑","DHB0C006895002","德國","POTASSIUM SORBATE","","25.00000公斤;1.00000公斤;25.00000公斤"
"衛部添輸字 010312","牛磺酸","TAURINE","2018-10-18","恒海貿易股份有限公司","2013-10-18","07-7130235","結晶性粉末","營養添加劑","DHB0M010312007","中國大陸","TAURINE","","25.00000公斤"
"衛部添輸字 011540","L-丙胺酸","L-ALANINE","2020-12-14","大江生醫股份有限公司","2015-12-14","02-87977811","結晶性粉末","營養添加劑","DHB0M011540003","中國大陸","L-ALANINE","","25.00000公斤"
"衛部添輸字 011629","谷氨醯胺轉氨酶 TG-1200","TRANSGLUTAMINASE TG-1200","2021-03-10","仲麟實業有限公司","2016-03-10","07-6520036","粉劑","酵素製劑","DHB0M011629001","中國大陸","MALTODEXTRIN;;TRANSGLUTAMINASE","","1.00000公斤;0.50000公斤;10.00000公斤;20.00000公斤;2.00000公斤"
"衛部添輸字 011437","DL-胺基丙酸","DL-ALANINE","2020-10-13","寶祥貿易股份有限公司","2015-10-13","03-3562569","結晶性粉末","調味劑","DHB0M011437002","中國大陸","DL-ALANINE","","25.00000公斤"
"衛部添輸字 011312","海藻酸鈉","SODIUM ALGINATE","2020-07-25","韓寶國際企業有限公司","2015-07-25","02-29030223","粉劑","粘稠劑","DHB0M011312000","中國大陸","SODIUM ALGINATE","","25.00000公斤"
"衛部添輸字 011457","海藻酸鈉","SODIUM ALGINATE","2020-10-23","韓寶國際企業有限公司","2015-10-23","02-29030223","顆粒劑","粘稠劑","DHB0M011457000","中國大陸","SODIUM ALGINATE","","25.00000公斤"
"衛署添輸字 009937","合成維生素E醋酸酯乾粉 50% CWS","DL-?-TOCOPHERYL ACETATE POWDER 50% CWS","2018-02-18","忠悅生物科技有限公司","2013-02-18","02-89902077","粉劑","營養添加劑","DHB0C009937004","中國大陸","DL-ALPHA-TOCOPHERYL ACETATE;;STARCH SODIUM OCTENYL SUCCINATE;;SILICON DIOXIDE","","5.00000公斤;20.00000公斤;50.00000公斤"
"衛部添輸字 010374","鹽酸吡哆辛(維生素B6)","PYRIDOXINE HYDROCHLORIDE (VITAMIN B6)","2018-11-12","恒海貿易股份有限公司","2013-11-12","07-7130235","結晶性粉末","營養添加劑","DHB0M010374001","中國大陸","PYRIDOXINE HYDROCHLORIDE","","5.00000公斤;10.00000公斤;25.00000公斤"
"衛署添輸字 008122","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (IF-131)","2021-02-26","三將實業股份有限公司","2008-06-17","(02)2738-8829","粉劑","粘稠劑","DHB0C008122004","美國","HYDROXYPROPYL DISTARCH PHOSPHATE","","22.68000公斤"
"衛署添輸字 008110","羥丙基磷酸二澱粉","HYDROXYPROPOYL DISTARCH PHOSPHATE (ULTRA-TEX 3)","2018-06-13","三將實業股份有限公司","2008-06-13","(02)2738-8829","粉劑","粘稠劑","DHB0C008110007","美國","HYDROXYPROPYL DISTARCH PHOSPHATE","","22.70000公斤"
"衛署添輸字 008111","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (NATIONAL 465)","2021-02-26","三將實業股份有限公司","2008-06-13","(02)2738-8829","粉劑","粘稠劑","DHB0C008111000","美國","HYDROXYPROPYL DISTARCH PHOSPHATE","","22.70000公斤"
"衛署添輸字 008112","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (THERMTEX)","2021-02-26","三將實業股份有限公司","2008-06-13","(02)2738-8829","粉劑","粘稠劑","DHB0C008112000","美國","HYDROXYPROPYL DISTARCH PHOSPHATE","","22.70000公斤"
"衛署添輸字 008115","磷酸二澱粉","DISTARCH PHOSPHATE (WNA)","2021-03-26","三將實業股份有限公司","2008-06-16","(02)2738-8829","粉劑","粘稠劑","DHB0C008115009","美國","DISTARCH PHOSPHATE","","22.70000公斤;25.00000公斤"
"衛署添輸字 008123","乙醯化己二酸二澱粉","ACETYLATED DISTARCH ADIBATE (INSTANT CLEARJEL)","2021-03-26","三將實業股份有限公司","2008-06-16","(02)2738-8829","粉劑","粘稠劑","DHB0C008123007","美國","ACETYLATED DISTARCH ADIPATE","","22.70000公斤;25.68000公斤;25.00000公斤"
"衛署添輸字 008118","醋酸澱粉","STARCH ACETATE (CRISPFILM)","2021-03-26","三將實業股份有限公司","2008-06-16","(02)2738-8829","粉劑","粘稠劑","DHB0C008118005","美國","STARCH ACETATE","","22.70000公斤"
"衛署添輸字 008120","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (FIRM-TEX)","2021-04-18","三將實業股份有限公司","2008-06-16","(02)2738-8829","粉劑","粘稠劑","DHB0C008120001","美國","HYDROXYPROPYL DISTARCH PHOSPHATE","","22.70000公斤"
"衛署添輸字 008119","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (ULTRA TEX 4)","2021-04-18","三將實業股份有限公司","2008-06-16","(02)2738-8829","粉劑","粘稠劑","DHB0C008119008","美國","HYDROXYPROPYL DISTARCH PHOSPHATE","","22.70000公斤;25.00000公斤"
"衛部添輸字 011945","丙酸鈣","CALCIUM PROPIONATE","2021-11-21","力遠貿易股份有限公司","2016-11-21","02-22690005","粉劑","防腐劑","DHB0M011945002","中國大陸","CALCIUM PROPIONATE","","25.00000公斤"
"衛部添輸字 011313","無水氯化鈣","CALCIUM CHLORIDE ANHYDROUS (FOOD GRADE)","2020-07-25","韓寶國際企業有限公司","2015-07-25","02-29030223","顆粒劑","品質改良用、釀造用及食品製造用劑;;營養添加劑","DHB0M011313003","中國大陸","CALCIUM CHLORIDE ANHYDROUS","","25.00000公斤"
"衛部添輸字 011390","丙二醇","PROPYLENE GLYCOL (USP/EP)","2020-09-08","伍騏生科有限公司","2015-09-08","02-26331394","液劑","載體","DHB0M011390000","美國","PROPYLENE GLYCOL","","215.00000公斤"
"衛署添輸字 008480","維生素C","L-ASCORBIC ACID","2019-11-03","台灣格雷蒙股份有限公司","2009-11-03","02-27193456","微細顆粒","抗氧化劑;;營養添加劑","DHB0C008480001","中國大陸","L-ASCORBIC ACID","","25.00000公斤"
"衛署添輸字 006904","檸檬酸","CITRIC ACID","2022-10-15","美商百事可股份有限公司台灣分公司","2002-10-15","02-27643855","結晶性粉末","調味劑","DHB0C006904004","愛爾蘭","CITRIC ACID","","3.02200公斤"
"衛署添輸字 006890","檸檬酸鈉","SODIUM CITRATE","2022-10-03","美商百事可股份有限公司台灣分公司","2002-10-03","02-27643855","結晶性粉末","調味劑","DHB0C006890000","愛爾蘭","SODIUM CITRATE","","2.33300公斤"
"衛署添輸字 006879","苯甲酸鈉","SODIUM BENZOATE","2022-09-17","美商百事可股份有限公司台灣分公司","2002-09-17","02-27643855","結晶性粉末","防腐劑","DHB0C006879003","愛爾蘭","SODIUM BENZOATE","","1.83600公斤"
"衛部添輸字 010560","肌醇","INOSITOL","2019-03-06","漢旭股份有限公司","2014-03-06","0227773207","粉劑","營養添加劑","DHB0M010560005","中國大陸","INOSITOL","","25.00000公斤"
"衛部添輸字 010752","L-肉酸","L-CARNITINE (L-CARNITINE BASE)","2019-07-09","漢旭股份有限公司","2014-07-09","0227773207","粉劑","營養添加劑","DHB0M010752004","中國大陸","L-CARNITINE","","25.00000公斤"
"衛署添輸字 006348","抗壞血酸（維生素Ｃ）　　　　　　　　　　　　　　","ASCORBIC ACID (VC ASCORBIC ACID REGULAR)","2020-07-15","漢旭股份有限公司","2000-07-15","0227773207","結晶性粉末","抗氧化劑;;營養添加劑","DHB0C006348002","中國大陸","L-ASCORBIC ACID","","25.00000公斤;20.00000公斤"
"衛署添輸字 006308","抗壞血酸鈉 (維生素C)　　　　　　　　　　　　　　　　　","SODIUM ASCORBATE (VC SODIUM ASCORBATE REGULAR)","2020-05-03","漢旭股份有限公司","2000-05-03","0227773207","結晶性粉末","抗氧化劑;;營養添加劑","DHB0C006308002","中國大陸","SODIUM L-ASCORBATE","",""
"衛署添輸字 010081","檸檬酸鈉","SODIUM CITRATE (TRI-SODIUM CITRATE DIHYDRATE)","2018-05-09","漢旭股份有限公司","2013-05-09","0227773207","結晶性粉末","調味劑","DHB0C010081005","中國大陸","SODIUM CITRATE","","25.00000公斤"
"衛署添輸字 010080","無水檸檬酸","CITRIC ACID, ANHYDROUS","2018-05-09","漢旭股份有限公司","2013-05-09","0227773207","結晶性粉末","調味劑","DHB0C010080002","中國大陸","CITRIC ACID, ANHYDROUS","","25.00000公斤"
"衛署添輸字 008121","辛烯基丁二酸鈉澱粉","STARCH SODIUM OCTENYL SUCCINATE (CAPSUL)","2021-02-26","三將實業股份有限公司","2008-06-16","(02)2738-8829","粉劑","粘稠劑","DHB0C008121001","美國","STARCH SODIUM OCTENYL SUCCINATE","","22.70000公克;25.00000公斤"
"衛署添輸字 008117","乙醯化己二酸二澱粉","ACETYLATED DISTARCH ADIPATE (BAKASNAK)","2021-03-15","三將實業股份有限公司","2008-06-16","(02)2738-8829","粉劑","粘稠劑","DHB0C008117002","美國","ACETYLATED DISTARCH ADIPATE","","22.70000公斤"
"衛署添輸字 008116","磷酸二澱粉","DISTARCH PHOSPHATE (CLEARJEL)","2021-03-26","三將實業股份有限公司","2008-06-16","(02)2738-8829","粉劑","粘稠劑","DHB0C008116002","美國","DISTARCH PHOSPHATE","","22.70000公斤"
"衛部添輸字 012268","辛烯基丁二酸鈉澱粉","STARCH SODIUM OCTENYL SUCCINATE (NATIONAL 912)","2022-08-29","三將實業股份有限公司","2017-08-29","(02)2738-8829","粉劑","粘稠劑","DHB0M012268000","中國大陸","STARCH SODIUM OCTENYL SUCCINATE","","25.00000公斤"
"衛部添輸字 012157","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (NATIONAL 465)","2022-06-03","三將實業股份有限公司","2017-06-03","(02)2738-8829","粉劑","粘稠劑","DHB0M012157001","中國大陸","HYDROXYPROPYL DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 012155","乙醯化己二酸二澱粉","ACETYLATED DISTARCH ADIPATE (COLFLO 67)","2022-06-03","三將實業股份有限公司","2017-06-03","(02)2738-8829","粉劑","粘稠劑","DHB0M012155008","中國大陸","ACETYLATED DISTARCH ADIPATE","","25.00000公斤"
"衛部添輸字 012203","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (FIRM-TEX)","2022-07-13","三將實業股份有限公司","2017-07-13","(02)2738-8829","粉劑","粘稠劑","DHB0M012203000","中國大陸","HYDROXYPROPYL DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 012158","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (THERMTEX)","2022-06-03","三將實業股份有限公司","2017-06-03","(02)2738-8829","粉劑","粘稠劑","DHB0M012158004","中國大陸","HYDROXYPROPYL DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 011264","乙醯化己二酸二澱粉","ACETYLATED DISTARCH ADIPATE (BATTER BIND S)","2020-06-10","三將實業股份有限公司","2015-06-10","(02)2738-8829","粉劑","粘稠劑","DHB0M011264008","中國大陸","ACETYLATED DISTARCH ADIPATE","","25.00000公斤"
"衛署添輸字 009890","牛磺酸","TAURINE","2017-12-31","順達興業股份有限公司","2012-12-31","06-6362898","結晶性粉末","營養添加劑","DHB0C009890002","中國大陸","TAURINE","","1.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤"
"衛部添輸字 010429","咖啡因","CAFFEINE ﹝CAFFEINE (ANHYDROUS)﹞","2018-12-09","漢旭股份有限公司","2013-12-09","0227773207","粉劑","調味劑","DHB0M010429001","中國大陸","CAFFEINE","","25.00000公斤;20.00000公斤"
"衛部添輸字 010579","甜菊醣苷","STEVIOL GLYCOSIDE (TRUVIA STEVIA RA80)","2019-03-24","信意企業股份有限公司","2014-03-24","02-7523137","粉劑","甜味劑","DHB0M010579000","中國大陸","STEVIOL GLYCOSIDE","","10.00000公斤;20.00000公斤;1.00000公斤"
"衛部添輸字 010385","甜菊醣苷","STEVIOL GLYCOSIDE (TRUVIA STEVIA RA95)","2018-11-18","信意企業股份有限公司","2013-11-18","02-7523137","粉劑","甜味劑","DHB0M010385005","中國大陸","STEVIOL GLYCOSIDE","","10.00000公斤;20.00000公斤;1.00000公斤"
"衛部添輸字 011492","鹿角菜膠","CARRAGEENAN (REFINED KAPPA CARRAGEENAN BLK1060)","2020-11-13","信意企業股份有限公司","2015-11-13","02-7523137","粉劑","粘稠劑","DHB0M011492001","中國大陸","CARRAGEENAN","","25.00000公斤"
"衛部添輸字 011126","無水氯化鈣96.81%複方食品添加物","COMPOUND CALCIUM CHLORIDE ANHYDROUS 96.81%","2020-02-24","韓寶國際企業有限公司","2015-02-24","02-29030223","顆粒劑","品質改良用、釀造用及食品製造用劑;;營養添加劑","DHB0M011126006","中國大陸","CALCIUM CHLORIDE;;SODIUM CHLORIDE;;MAGNESIUM CHLORIDE;;CALCIUM HYDROXIDE","","25.00000公斤"
"衛署添輸字 007015","牛磺酸","TAURINE","2018-04-16","漢旭股份有限公司","2003-04-16","0227773207","結晶性粉末","營養添加劑","DHB0C007015001","中國大陸","TAURINE","","25.00000公斤;50.00000公斤;25.00000公斤"
"衛部添輸字 012130","抗壞血酸 (維生素C)","ASCORBIC ACID","2022-05-11","大江生醫股份有限公司","2017-05-11","02-87977811","粉劑","抗氧化劑;;營養添加劑","DHB0M012130001","英國","ASCORBIC ACID","","25.00000公斤"
"衛部添輸字 011125","甘油","GLYCEROL (REFINED GLYCERINE USP 99.5%)","2020-02-13","協明化工股份有限公司","2015-02-13","02-22515151","液劑","載體;;品質改良用、釀造用及食品製造用劑","DHB0M011125003","馬來西亞","GLYCEROL","","250.00000公斤"
"衛署添輸字 009892","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE(PURITY 87)","2017-12-27","三將實業股份有限公司","2012-12-27","(02)2738-8829","粉劑","粘稠劑","DHB0C009892008","泰國","HYDROXYPROPYL DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 010928","L-抗壞血酸鈉","SODIUM L-ASCORBATE","2019-10-08","裕元興業股份有限公司","2014-10-08","02-25082277","結晶性粉末","抗氧化劑;;營養添加劑","DHB0M010928007","中國大陸","SODIUM L-ASCORBATE","","25.00000公斤"
"衛部添輸字 012046","D-山梨醇","D-SORBITOL (SORBITOL)","2022-02-09","大江生醫股份有限公司","2017-02-09","02-87977811","結晶性粉末","品質改良用、釀造用及食品製造用劑;;甜味劑","DHB0M012046002","中國大陸","D-SORBITOL","","25.00000公斤"
"衛署添輸字 008892","L-抗壞血酸(維生素C)","L-ASCORBIC ACID (VITAMIN C)","2021-01-31","大江生醫股份有限公司","2011-01-31","02-87977811","結晶性粉末","抗氧化劑;;營養添加劑","DHB0C008892002","中國大陸","L-ASCORBIC ACID (VITAMIN C)","","25.00000公斤"
"衛部添輸字 011972","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (PENBIND 1015)","2021-12-23","三將實業股份有限公司","2016-12-23","(02)2738-8829","粉劑","粘稠劑","DHB0M011972002","美國","HYDROXYPROPYL DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 010636","辛烯基丁二酸鈉澱粉","STARCH SODIUM OCTENYL SUCCINATE (PURITY GUM ULTRA)","2019-04-21","三將實業股份有限公司","2014-04-21","(02)2738-8829","粉劑","粘稠劑","DHB0M010636003","美國","STARCH SODIUM OCTENYL SUCCINATE","","22.70000公斤"
"衛署添輸字 007411","矽藻土","DIATOMACEOUS EARTH (KENITE 2500)","2020-03-25","貝盟行銷股份有限公司","2005-03-25","03-3520026","粉劑","品質改良用、釀造用及食品製造用劑;;濾助劑","DHB0C007411006","美國","DIATOMACEOUS EARTH","","22.70000公斤"
"衛署添輸字 007410","矽藻土","DIATOMACEOUS EARTH (KENITE 5200)","2020-03-30","貝盟行銷股份有限公司","2005-03-30","03-3520026","粉劑","品質改良用、釀造用及食品製造用劑;;濾助劑","DHB0C007410003","美國","DIATOMACEOUS EARTH","","22.70000公斤"
"衛署添輸字 007451","矽藻土","DIATOMACEOUS EARTH (MICRO-KEN 803)","2020-06-22","貝盟行銷股份有限公司","2005-06-22","03-3520026","粉劑","品質改良用、釀造用及食品製造用劑;;濾助劑","DHB0C007451009","美國","DIATOMACEOUS EARTH","","20.00000公斤"
"衛署添輸字 009385","磷酸二氫鈣","CALCIUM PHOSPHATE, MONOBASIC (ANHYDROUS) (MONOCALCIUM PHOSPHATE ANHYDROUS)","2022-02-15","富藏貿易有限公司","2012-02-15","03-4753035","結晶性粉末","營養添加劑;;品質改良用、釀造用及食品製造用劑","DHB0C009385001","中國大陸","CALCIUM PHOSPHATE, MONOBASIC, ANHYDROUS","","25.00000公斤"
"衛部添輸字 012026","磷酸氫鈣 (無水)","CALCIUM PHOSPHATE, DIBASIC (ANHYDROUS) (DICALCIUM PHOSPHATE ANHYDROUS POWDER)","2022-01-18","富藏貿易有限公司","2017-01-18","03-4753035","結晶性粉末","營養添加劑;;品質改良用、釀造用及食品製造用劑","DHB0M012026007","中國大陸","CALCIUM PHOSPHATE, DIBASIC (ANHYDROUS)","","25.00000公斤"
"衛部添輸字 012027","磷酸氫鈣 (無水)","CALCIUM PHOSPHATE, DIBASIC (ANHYDROUS) (DICALCIUM PHOSPHATE ANHYDROUS GRANULAR)","2022-01-18","富藏貿易有限公司","2017-01-18","03-4753035","微細顆粒","營養添加劑;;品質改良用、釀造用及食品製造用劑","DHB0M012027000","中國大陸","CALCIUM PHOSPHATE, DIBASIC (ANHYDROUS)","","25.00000公斤"
"衛部添輸字 010770","L-抗壞血酸棕櫚酸酯","L-ASCORBYL PALMITATE","2019-07-16","漢旭股份有限公司","2014-07-16","0227773207","粉劑","抗氧化劑;;營養添加劑","DHB0M010770006","中國大陸","L-ASCORBYL PALMITATE","","25.00000公斤"
"衛部添輸字 011760","辛烯基丁二酸鈉澱粉","STARCH SODIUM OCTENYL SUCCINATE (HI-CAP 100)","2021-07-13","三將實業股份有限公司","2016-07-13","(02)2738-8829","粉劑","粘稠劑","DHB0M011760008","美國","STARCH SODIUM OCTENYL SUCCINATE","","25.00000公斤"
"衛部添輸字 011764","蔗糖素","SUCRALOSE","2021-07-22","大江生醫股份有限公司","2016-07-22","02-87977811","結晶性粉末","甜味劑","DHB0M011764007","中國大陸","SUCRALOSE","","10.00000公斤"
"衛署添輸字 008687","己二烯酸鉀","POTASSIUM SORBATE","2020-06-21","美商百事可股份有限公司台灣分公司","2010-06-21","02-27643855","顆粒劑","防腐劑","DHB0C008687003","波多黎各","POTASSIUM SORBATE","","2.36400磅"
"衛署添輸字 008840","檸檬酸鈣","CALCIUM CITRATE","2020-12-23","拜爾汀生技營養有限公司","2010-12-23","06-3306112","粉劑","營養添加劑;;品質改良用、釀造用及食品製造用劑","DHB0C008840002","日本","CALCIUM CITRATE","","20.00000公斤"
"衛部添輸字 011397","玉米糖膠","XANTHAN GUM (ZIBOXAN F200)","2020-09-16","信意企業股份有限公司","2015-09-16","02-7523137","粉劑","粘稠劑","DHB0M011397008","中國大陸","XANTHAN GUM","","25.00000公斤"
"衛部添輸字 012290","L-薄荷腦","L-MENTHOL (MENTHOL CRYSTALS)","2022-09-19","恒海貿易股份有限公司","2017-09-19","07-7130235","結晶","香料","DHB0M012290001","中國大陸","L-MENTHOL","","25.00000公斤"
"衛部添輸字 011899","菸鹼醯胺","NICOTINAMIDE","2021-11-01","恒海貿易股份有限公司","2016-11-01","07-7130235","結晶性粉末","營養添加劑","DHB0M011899000","中國大陸","NICOTINAMIDE","","25.00000公斤"
"衛署添輸字 009219","肌醇","INOSITOL","2021-10-28","恒海貿易股份有限公司","2011-10-28","07-7130235","結晶性粉末","營養添加劑","DHB0C009219006","中國大陸","INOSITOL","","25.00000公斤"
"衛部添輸字 010279","檸檬酸","CITRIC ACID (CITRIC ACID MONOHYDRATE)","2018-10-02","漢旭股份有限公司","2013-10-02","0227773207","結晶性粉末","調味劑","DHB0M010279008","中國大陸","CITRIC ACID","","25.00000公斤"
"衛部添輸字 011025","卡德蘭熱凝膠","CURDLAN","2019-11-28","仲暘企業有限公司","2014-11-28","2733-9318","粉劑","粘稠劑","DHB0M011025001","中國大陸","CURDLAN","","20.00000公斤"
"衛署添輸字","羧甲基纖維素鈉","SODIUM CARBOXYMETHYL CELLULOSE(BONDWELL FVH9A -2)","2019-03-18","台灣赫克力士股份有限公司","2009-03-18","02-25080606","結晶性粉末","粘稠劑","DHB0C000000002","中國大陸","SODIUM CARBOXYMETHYL CELLULOSE","","25.00000公斤"
"衛部添輸字 011703","海藻酸丙二醇","PROPYLENE GLYCOL ALGINATE (KIMILOID NLS-K)","2021-05-23","信意企業股份有限公司","2016-05-23","02-7523137","粉劑","粘稠劑","DHB0M011703006","智利","PROPYLENE GLYCOL ALGINATE","","20.00000公斤"
"衛署添輸字 009193","鹿角菜膠","CARRAGEENAN (CARRAGEENAN BENVISCO SI-100)","2021-10-18","信意企業股份有限公司","2011-10-18","02-7523137","粉劑","粘稠劑","DHB0C009193002","菲律賓","CARRAGEENAN","","25.00000公斤"
"衛署香輸字 004707","粉狀橘皮抽出物　　　　　　　　　　　　　　　　　　　","BITTER ORANGE PEEL EXTRACT SPRAYDRIED","2019-08-03","振芳股份有限公司","1994-08-03","02-23415137","粉劑","香料","DHB0F004707005","德國","MALTODEXTRIN;;ORANGE EXTRACT","",""
"衛署香輸字 004590","天然西洋甘菊抽取物　　　　　　　　　　　　　　　　　","CHAMOMILE EXTRACT SPRAYDRIED","2019-05-24","振芳股份有限公司","1994-05-24","02-23415137","粉劑","香料","DHB0F004590000","德國","CHAMOMILE EXTRACT;;MALTODEXTRIN","",""
"衛部添輸字 011031","脂肪酸甘油酯","GLYCERIN FATTY ACID ESTER (EMULGREN GMS 40 SE)","2019-11-28","大寬貿易有限公司","2014-11-28","02-86672031","微細顆粒","乳化劑","DHB0M011031003","馬來西亞","GLYCERIN FATTY ACID ESTER","","25.00000公斤"
"衛部添輸字 011032","脂肪酸甘油酯","GLYCERIN FATTY ACID ESTER (EMULGREN DMG 95)","2019-11-28","大寬貿易有限公司","2014-11-28","02-86672031","微細顆粒","乳化劑","DHB0M011032006","馬來西亞","GLYCERIN FATTY ACID ESTER","","25.00000公斤"
"衛署添輸字 009870","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE(C*CREAM TEX75720)","2017-12-10","信意企業股份有限公司","2012-12-10","02-7523137","粉劑","粘稠劑","DHB0C009870007","泰國","HYDROXYPROPYL DISTARCH PHOSPHATE","","25.00000公斤"
"衛署添輸字 009868","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE(C*CREAM TEX75725)","2017-12-10","信意企業股份有限公司","2012-12-10","02-7523137","粉劑","粘稠劑","DHB0C009868001","泰國","HYDROXYPROPYL DISTARCH PHOSPHATE","","25.00000公斤"
"衛署添輸字 009869","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE(C*CREAM TEX75710)","2017-12-10","信意企業股份有限公司","2012-12-10","02-7523137","粉劑","粘稠劑","DHB0C009869004","泰國","HYDROXYPROPYL DISTARCH PHOSPHATE","","25.00000公斤"
"衛署添輸字 004929","甘草萃　　　　　　　　　　　　　　　　　　　　　　　","LICORICE EXTRACTS","2019-05-17","振芳股份有限公司","1994-05-17","02-23415137","粉劑","甜味劑","DHB0C004929002","日本","LICORICE EXTRACTS","","30.00000公斤"
"衛署添輸字 007331","脂肪酸聚合甘油酯","POLYGLYCEROL ESTERS OF FATTY ACIDS (RIKEMAL JV-3081)","2019-11-24","裕元興業股份有限公司","2004-11-24","02-25082277","粒狀","乳化劑","DHB0C007331009","馬來西亞","POLYGLYCEROL ESTERS OF FATTY ACIDS","","20.00000公斤"
"衛署添輸字 007261","脂肪酸山梨醇酐酯","SORBITAN FATTY ACID ESTER ( RIKEMAL SV-300B )","2018-12-10","裕元興業股份有限公司","2004-08-10","02-25082277","粒狀","乳化劑","DHB0C007261003","馬來西亞","SORBITAN FATTY ACID ESTER","","20.00000公斤"
